date,number,step,surface,latitude,longitude,valid_time,blh
2008-01-01 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 00:00:00,598.5349
2008-01-01 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 03:00:00,629.75415
2008-01-01 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 06:00:00,498.59766
2008-01-01 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 09:00:00,470.3645
2008-01-01 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 12:00:00,442.27075
2008-01-01 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 15:00:00,392.8313
2008-01-01 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 18:00:00,340.35693
2008-01-01 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-01 21:00:00,383.0193
2008-01-02 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 00:00:00,307.8789
2008-01-02 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 03:00:00,226.37277
2008-01-02 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 06:00:00,455.80322
2008-01-02 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 09:00:00,704.71265
2008-01-02 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 12:00:00,744.24414
2008-01-02 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 15:00:00,768.6763
2008-01-02 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 18:00:00,1011.85034
2008-01-02 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-02 21:00:00,1214.1187
2008-01-03 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 00:00:00,1276.4907
2008-01-03 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 03:00:00,1420.3333
2008-01-03 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 06:00:00,1377.7336
2008-01-03 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 09:00:00,1363.147
2008-01-03 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 12:00:00,1284.7715
2008-01-03 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 15:00:00,1170.0757
2008-01-03 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 18:00:00,1067.606
2008-01-03 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-03 21:00:00,1006.37305
2008-01-04 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 00:00:00,1006.2993
2008-01-04 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 03:00:00,970.62695
2008-01-04 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 06:00:00,984.4038
2008-01-04 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 09:00:00,1032.397
2008-01-04 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 12:00:00,1019.0691
2008-01-04 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 15:00:00,976.16504
2008-01-04 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 18:00:00,966.1887
2008-01-04 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-04 21:00:00,1043.1953
2008-01-05 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 00:00:00,933.2905
2008-01-05 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 03:00:00,874.57227
2008-01-05 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 06:00:00,821.28516
2008-01-05 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 09:00:00,737.88184
2008-01-05 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 12:00:00,626.15356
2008-01-05 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 15:00:00,613.11597
2008-01-05 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 18:00:00,668.2329
2008-01-05 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-05 21:00:00,603.8164
2008-01-06 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 00:00:00,440.39014
2008-01-06 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 03:00:00,351.90137
2008-01-06 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 06:00:00,366.93896
2008-01-06 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 09:00:00,298.69775
2008-01-06 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 12:00:00,199.51176
2008-01-06 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 15:00:00,74.46626
2008-01-06 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 18:00:00,99.19214
2008-01-06 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-06 21:00:00,122.58267
2008-01-07 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 00:00:00,235.00005
2008-01-07 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 03:00:00,232.91957
2008-01-07 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 06:00:00,257.58984
2008-01-07 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 09:00:00,681.89966
2008-01-07 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 12:00:00,714.2417
2008-01-07 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 15:00:00,783.42725
2008-01-07 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 18:00:00,364.98804
2008-01-07 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-07 21:00:00,592.01855
2008-01-08 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 00:00:00,772.3423
2008-01-08 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 03:00:00,662.5344
2008-01-08 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 06:00:00,883.9234
2008-01-08 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 09:00:00,1019.12964
2008-01-08 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 12:00:00,1008.01733
2008-01-08 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 15:00:00,709.3281
2008-01-08 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 18:00:00,478.3518
2008-01-08 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-08 21:00:00,410.08398
2008-01-09 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 00:00:00,443.8181
2008-01-09 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 03:00:00,516.771
2008-01-09 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 06:00:00,600.29395
2008-01-09 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 09:00:00,573.2505
2008-01-09 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 12:00:00,693.81006
2008-01-09 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 15:00:00,588.19824
2008-01-09 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 18:00:00,629.2107
2008-01-09 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-09 21:00:00,674.52246
2008-01-10 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 00:00:00,604.34595
2008-01-10 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 03:00:00,629.176
2008-01-10 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 06:00:00,462.19067
2008-01-10 09:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 09:00:00,729.4834
2008-01-10 12:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 12:00:00,1039.3694
2008-01-10 15:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 15:00:00,852.4783
2008-01-10 18:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 18:00:00,724.4912
2008-01-10 21:00:00,0,0 days,0.0,56.04,13.52,2008-01-10 21:00:00,849.79126
2008-01-11 00:00:00,0,0 days,0.0,56.04,13.52,2008-01-11 00:00:00,894.1924
2008-01-11 03:00:00,0,0 days,0.0,56.04,13.52,2008-01-11 03:00:00,949.50903
2008-01-11 06:00:00,0,0 days,0.0,56.04,13.52,2008-01-11 06:00:00,790.23096
