date,number,step,surface,latitude,longitude,valid_time,blh
2012-01-01 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 00:00:00,645.9221
2012-01-01 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 03:00:00,713.5022
2012-01-01 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 06:00:00,665.8862
2012-01-01 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 09:00:00,741.1196
2012-01-01 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 12:00:00,589.66406
2012-01-01 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 15:00:00,689.7146
2012-01-01 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 18:00:00,890.1018
2012-01-01 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-01 21:00:00,1090.0898
2012-01-02 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 00:00:00,1022.0989
2012-01-02 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 03:00:00,974.2949
2012-01-02 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 06:00:00,855.6721
2012-01-02 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 09:00:00,724.6936
2012-01-02 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 12:00:00,696.6262
2012-01-02 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 15:00:00,722.01196
2012-01-02 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 18:00:00,671.13696
2012-01-02 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-02 21:00:00,565.9492
2012-01-03 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 00:00:00,644.86523
2012-01-03 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 03:00:00,640.9568
2012-01-03 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 06:00:00,749.0818
2012-01-03 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 09:00:00,1056.6406
2012-01-03 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 12:00:00,1113.2517
2012-01-03 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 15:00:00,1317.7253
2012-01-03 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 18:00:00,1462.5317
2012-01-03 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-03 21:00:00,1422.8752
2012-01-04 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 00:00:00,872.16675
2012-01-04 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 03:00:00,977.584
2012-01-04 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 06:00:00,1171.0742
2012-01-04 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 09:00:00,1133.0027
2012-01-04 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 12:00:00,1144.7058
2012-01-04 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 15:00:00,1091.4773
2012-01-04 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 18:00:00,967.2356
2012-01-04 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-04 21:00:00,1244.387
2012-01-05 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 00:00:00,1269.6719
2012-01-05 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 03:00:00,1491.675
2012-01-05 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 06:00:00,1561.9272
2012-01-05 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 09:00:00,1682.5964
2012-01-05 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 12:00:00,1718.6428
2012-01-05 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 15:00:00,1449.2285
2012-01-05 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 18:00:00,1208.1079
2012-01-05 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-05 21:00:00,1276.1243
2012-01-06 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 00:00:00,1275.6699
2012-01-06 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 03:00:00,1120.9541
2012-01-06 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 06:00:00,1100.7034
2012-01-06 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 09:00:00,988.02637
2012-01-06 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 12:00:00,814.70557
2012-01-06 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 15:00:00,735.1301
2012-01-06 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 18:00:00,571.2993
2012-01-06 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-06 21:00:00,586.9011
2012-01-07 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 00:00:00,552.5698
2012-01-07 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 03:00:00,590.1865
2012-01-07 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 06:00:00,607.36084
2012-01-07 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 09:00:00,828.6577
2012-01-07 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 12:00:00,1058.8147
2012-01-07 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 15:00:00,1084.7336
2012-01-07 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 18:00:00,1076.3318
2012-01-07 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-07 21:00:00,942.39233
2012-01-08 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 00:00:00,817.416
2012-01-08 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 03:00:00,800.7793
2012-01-08 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 06:00:00,810.1218
2012-01-08 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 09:00:00,775.48047
2012-01-08 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 12:00:00,805.2754
2012-01-08 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 15:00:00,738.12744
2012-01-08 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 18:00:00,691.666
2012-01-08 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-08 21:00:00,586.64575
2012-01-09 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 00:00:00,489.49017
2012-01-09 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 03:00:00,378.84424
2012-01-09 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 06:00:00,338.9231
2012-01-09 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 09:00:00,388.68164
2012-01-09 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 12:00:00,632.6941
2012-01-09 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 15:00:00,822.91284
2012-01-09 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 18:00:00,767.1277
2012-01-09 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-09 21:00:00,541.89014
2012-01-10 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 00:00:00,582.6709
2012-01-10 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 03:00:00,440.73486
2012-01-10 06:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 06:00:00,375.95752
2012-01-10 09:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 09:00:00,489.04248
2012-01-10 12:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 12:00:00,859.80444
2012-01-10 15:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 15:00:00,582.4966
2012-01-10 18:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 18:00:00,198.90178
2012-01-10 21:00:00,0,0 days,0.0,50.3,6.0,2012-01-10 21:00:00,217.13065
2012-01-11 00:00:00,0,0 days,0.0,50.3,6.0,2012-01-11 00:00:00,655.33435
2012-01-11 03:00:00,0,0 days,0.0,50.3,6.0,2012-01-11 03:00:00,528.09595
