date,number,step,surface,latitude,longitude,valid_time,blh
2006-10-01 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 00:00:00,635.13745
2006-10-01 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 03:00:00,901.66675
2006-10-01 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 06:00:00,1373.968
2006-10-01 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 09:00:00,1450.1003
2006-10-01 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 12:00:00,1440.2461
2006-10-01 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 15:00:00,1280.9409
2006-10-01 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 18:00:00,960.00464
2006-10-01 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-01 21:00:00,838.50073
2006-10-02 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 00:00:00,878.8135
2006-10-02 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 03:00:00,986.4082
2006-10-02 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 06:00:00,1214.957
2006-10-02 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 09:00:00,1287.3428
2006-10-02 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 12:00:00,353.60645
2006-10-02 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 15:00:00,253.27884
2006-10-02 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 18:00:00,167.16132
2006-10-02 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-02 21:00:00,128.12425
2006-10-03 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 00:00:00,76.789734
2006-10-03 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 03:00:00,134.1566
2006-10-03 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 06:00:00,1091.5879
2006-10-03 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 09:00:00,727.5415
2006-10-03 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 12:00:00,90.87227
2006-10-03 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 15:00:00,174.14844
2006-10-03 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 18:00:00,297.2555
2006-10-03 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-03 21:00:00,429.00427
2006-10-04 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 00:00:00,626.29175
2006-10-04 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 03:00:00,1005.85376
2006-10-04 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 06:00:00,1497.7263
2006-10-04 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 09:00:00,1630.2952
2006-10-04 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 12:00:00,668.6509
2006-10-04 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 15:00:00,611.8606
2006-10-04 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 18:00:00,527.3518
2006-10-04 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-04 21:00:00,535.90845
2006-10-05 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 00:00:00,555.37866
2006-10-05 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 03:00:00,673.0342
2006-10-05 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 06:00:00,1367.8022
2006-10-05 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 09:00:00,1082.948
2006-10-05 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 12:00:00,368.80786
2006-10-05 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 15:00:00,390.09375
2006-10-05 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 18:00:00,360.35205
2006-10-05 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-05 21:00:00,312.7307
2006-10-06 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 00:00:00,346.75287
2006-10-06 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 03:00:00,454.96582
2006-10-06 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 06:00:00,1070.8491
2006-10-06 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 09:00:00,1190.2803
2006-10-06 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 12:00:00,59.436386
2006-10-06 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 15:00:00,59.923096
2006-10-06 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 18:00:00,76.32289
2006-10-06 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-06 21:00:00,67.63605
2006-10-07 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 00:00:00,58.38994
2006-10-07 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 03:00:00,201.011
2006-10-07 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 06:00:00,1461.3079
2006-10-07 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 09:00:00,1477.2976
2006-10-07 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 12:00:00,63.16394
2006-10-07 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 15:00:00,128.99791
2006-10-07 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 18:00:00,119.127
2006-10-07 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-07 21:00:00,90.302765
2006-10-08 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 00:00:00,83.19731
2006-10-08 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 03:00:00,268.08374
2006-10-08 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 06:00:00,933.2783
2006-10-08 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 09:00:00,945.77637
2006-10-08 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 12:00:00,58.36479
2006-10-08 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 15:00:00,72.013275
2006-10-08 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 18:00:00,51.49617
2006-10-08 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-08 21:00:00,27.517792
2006-10-09 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 00:00:00,24.184677
2006-10-09 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 03:00:00,117.703735
2006-10-09 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 06:00:00,620.292
2006-10-09 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 09:00:00,242.108
2006-10-09 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 12:00:00,23.348125
2006-10-09 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 15:00:00,32.745804
2006-10-09 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 18:00:00,21.96025
2006-10-09 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-09 21:00:00,23.150253
2006-10-10 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 00:00:00,39.960953
2006-10-10 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 03:00:00,126.214005
2006-10-10 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 06:00:00,815.5012
2006-10-10 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 09:00:00,805.02563
2006-10-10 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 12:00:00,112.95549
2006-10-10 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 15:00:00,376.8979
2006-10-10 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 18:00:00,522.4912
2006-10-10 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-10 21:00:00,645.2991
2006-10-11 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 00:00:00,853.5867
2006-10-11 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 03:00:00,685.72437
2006-10-11 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 06:00:00,525.6113
2006-10-11 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 09:00:00,561.5796
2006-10-11 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 12:00:00,287.69434
2006-10-11 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 15:00:00,258.023
2006-10-11 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 18:00:00,280.83887
2006-10-11 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-11 21:00:00,815.90454
2006-10-12 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 00:00:00,1108.6179
2006-10-12 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 03:00:00,1315.3127
2006-10-12 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 06:00:00,1386.0486
2006-10-12 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 09:00:00,1447.053
2006-10-12 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 12:00:00,563.4238
2006-10-12 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 15:00:00,835.6765
2006-10-12 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 18:00:00,860.82666
2006-10-12 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-12 21:00:00,664.022
2006-10-13 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 00:00:00,709.2593
2006-10-13 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 03:00:00,906.66016
2006-10-13 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 06:00:00,1041.8096
2006-10-13 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 09:00:00,1032.487
2006-10-13 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 12:00:00,920.6931
2006-10-13 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 15:00:00,621.42065
2006-10-13 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 18:00:00,424.4768
2006-10-13 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-13 21:00:00,387.0559
2006-10-14 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 00:00:00,518.0591
2006-10-14 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 03:00:00,825.2258
2006-10-14 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 06:00:00,927.4375
2006-10-14 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 09:00:00,1155.7422
2006-10-14 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 12:00:00,519.417
2006-10-14 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 15:00:00,479.04663
2006-10-14 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 18:00:00,455.937
2006-10-14 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-14 21:00:00,517.5293
2006-10-15 00:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 00:00:00,669.43774
2006-10-15 03:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 03:00:00,919.84863
2006-10-15 06:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 06:00:00,1113.7786
2006-10-15 09:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 09:00:00,1220.7905
2006-10-15 12:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 12:00:00,966.38574
2006-10-15 15:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 15:00:00,706.1465
2006-10-15 18:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 18:00:00,561.7947
2006-10-15 21:00:00,0,0 days,0.0,60.8,89.35,2006-10-15 21:00:00,354.76562
