date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2012-01-01,60,50.57,12.99,1.923084e-07,1.6049734e-11,1.2978337e-08,4.837929e-10,2.3683704e-09
2012-01-02,60,50.57,12.99,1.4920167e-07,7.836804e-12,7.637098e-09,1.7768219e-10,2.0327444e-09
2012-01-03,60,50.57,12.99,1.6488804e-07,5.1051594e-12,8.014565e-09,2.3687924e-10,2.3876123e-09
2012-01-04,60,50.57,12.99,1.4762114e-07,4.8239724e-12,5.32043e-09,2.5562127e-10,1.6927362e-09
2012-01-05,60,50.57,12.99,1.45667e-07,4.2739766e-12,4.1826285e-09,6.435142e-11,1.2080988e-09
2012-01-06,60,50.57,12.99,1.4788891e-07,2.4580366e-12,4.475302e-09,1.4025421e-10,1.5493931e-09
2012-01-07,60,50.57,12.99,1.7191715e-07,6.6987327e-12,7.80545e-09,2.4483937e-10,2.088055e-09
2012-01-08,60,50.57,12.99,1.5968493e-07,4.5790116e-12,6.1191554e-09,2.447037e-10,1.9004014e-09
2012-01-09,60,50.57,12.99,1.768295e-07,6.802043e-12,9.178001e-09,2.8893343e-10,2.0365107e-09
2012-01-10,60,50.57,12.99,1.6546738e-07,6.2941575e-12,8.220129e-09,2.6186212e-10,2.1280098e-09
2012-01-11,60,50.57,12.99,1.82854e-07,7.39495e-12,1.081867e-08,3.0801708e-10,3.0740663e-09
2012-01-12,60,50.57,12.99,1.7261061e-07,1.025389e-11,9.211766e-09,3.1131933e-10,2.035502e-09
2012-01-13,60,50.57,12.99,1.4578987e-07,3.0155492e-12,4.631502e-09,1.9283829e-10,1.538111e-09
2012-01-14,60,50.57,12.99,1.5622714e-07,2.6493556e-12,5.0392943e-09,2.2477756e-10,1.7758918e-09
2012-01-15,60,50.57,12.99,1.7976689e-07,3.8932334e-12,8.274759e-09,2.5848335e-10,2.185492e-09
2012-01-16,60,50.57,12.99,2.2574346e-07,8.930423e-12,1.5825332e-08,1.2083152e-09,3.562374e-09
2012-01-17,60,50.57,12.99,2.1033092e-07,8.696724e-12,1.4100749e-08,5.919888e-10,2.92376e-09
2012-01-18,60,50.57,12.99,2.6632114e-07,1.5586508e-11,1.9907677e-08,2.0247823e-09,3.9965076e-09
2012-01-19,60,50.57,12.99,2.2847395e-07,1.3171295e-11,9.028303e-09,2.0797343e-10,1.5851385e-09
2012-01-20,60,50.57,12.99,1.5558507e-07,4.523068e-12,8.060423e-09,2.113375e-10,2.2787545e-09
2012-01-21,60,50.57,12.99,1.8608803e-07,9.214524e-12,1.0665034e-08,2.7635932e-10,2.5961386e-09
2012-01-22,60,50.57,12.99,1.5005318e-07,3.7134007e-12,5.3047673e-09,2.4712934e-10,1.6947306e-09
2012-01-23,60,50.57,12.99,1.6187963e-07,4.917514e-12,7.1875963e-09,3.8434883e-10,1.8959232e-09
2012-01-24,60,50.57,12.99,2.2526763e-07,1.0915772e-11,1.6929295e-08,1.1989116e-09,4.181984e-09
2012-01-25,60,50.57,12.99,3.9034046e-07,2.618969e-11,1.9455069e-08,2.0674682e-08,6.650495e-09
2012-01-26,60,50.57,12.99,3.418626e-07,1.8454523e-11,2.0601211e-08,1.3029129e-08,6.4648296e-09
2012-01-27,60,50.57,12.99,3.7872113e-07,2.2306811e-11,2.1998511e-08,1.48906345e-08,7.1130435e-09
2012-01-28,60,50.57,12.99,5.1855005e-07,3.4817565e-11,1.8871752e-08,3.310498e-08,7.495814e-09
2012-01-29,60,50.57,12.99,3.12984e-07,1.2967259e-11,1.5696006e-08,4.424891e-09,4.929475e-09
2012-01-30,60,50.57,12.99,2.4148895e-07,8.755192e-12,1.34503075e-08,1.0212351e-09,5.219232e-09
2012-01-31,60,50.57,12.99,2.4044283e-07,8.7431555e-12,1.4534479e-08,9.907976e-10,6.1958145e-09
2012-02-01,60,50.57,12.99,2.178482e-07,8.546535e-12,1.5106712e-08,1.2486528e-09,6.346777e-09
2012-02-02,60,50.57,12.99,2.0352951e-07,8.7076995e-12,1.3141888e-08,1.3087302e-09,5.0440696e-09
2012-02-03,60,50.57,12.99,2.75339e-07,1.8745658e-11,1.9092116e-08,6.6681958e-09,5.3036486e-09
2012-02-04,60,50.57,12.99,3.1532625e-07,2.203085e-11,2.1227812e-08,1.17635786e-08,5.3163185e-09
