date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2015-01-01 00:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 00:00:00,1.4928769e-07,1.239338e-07,2.6830804e-10,4.3548e-12,1.9439197e-11
2015-01-01 03:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 03:00:00,1.7156911e-07,1.7562893e-07,5.0665006e-10,4.735855e-12,3.0642974e-11
2015-01-01 06:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 06:00:00,1.9217802e-07,2.042824e-07,5.9444244e-10,4.378341e-12,2.6300734e-11
2015-01-01 09:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 09:00:00,1.917227e-07,2.223907e-07,3.2994013e-10,1.6028973e-12,5.747391e-12
2015-01-01 12:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 12:00:00,1.6948665e-07,1.9076927e-07,8.559792e-11,7.467526e-12,7.936857e-12
2015-01-01 15:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 15:00:00,1.3331953e-07,6.8784395e-08,8.0244466e-12,1.12464e-12,1.6745383e-11
2015-01-01 18:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 18:00:00,1.2374821e-07,4.112809e-08,3.5999723e-12,5.6326986e-13,1.6559986e-11
2015-01-01 21:00:00,0 days,60.0,-2.146,-59.006,2015-01-01 21:00:00,1.2391484e-07,6.1039586e-08,3.724051e-11,3.3285046e-12,1.3012131e-11
2015-01-02 00:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 00:00:00,1.3305667e-07,9.9911205e-08,1.5068889e-10,1.6232085e-12,1.5842959e-11
2015-01-02 03:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 03:00:00,1.2814054e-07,7.2124635e-08,1.2166249e-10,7.269929e-13,1.6191846e-11
2015-01-02 06:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 06:00:00,1.2995436e-07,7.2693595e-08,1.6224677e-10,7.5147077e-13,1.63061e-11
2015-01-02 09:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 09:00:00,1.3096816e-07,9.339894e-08,1.5396759e-10,3.1087882e-13,1.1940171e-11
2015-01-02 12:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 12:00:00,1.3126775e-07,1.3042009e-07,9.428858e-11,1.5188557e-12,8.226975e-12
2015-01-02 15:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 15:00:00,1.1414327e-07,5.4804687e-08,1.8015204e-11,1.923449e-12,7.651855e-12
2015-01-02 18:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 18:00:00,1.11728184e-07,4.7108223e-08,1.13641995e-11,6.728728e-13,8.735599e-12
2015-01-02 21:00:00,0 days,60.0,-2.146,-59.006,2015-01-02 21:00:00,1.12403704e-07,6.44404e-08,4.4991712e-11,2.990163e-12,9.181062e-12
2015-01-03 00:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 00:00:00,1.2312435e-07,1.2129055e-07,1.9215521e-10,1.9592787e-12,1.421645e-11
2015-01-03 03:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 03:00:00,1.4463046e-07,1.6676907e-07,4.942705e-10,3.9429354e-12,3.795907e-11
2015-01-03 06:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 06:00:00,1.6415795e-07,1.8934445e-07,6.5716543e-10,4.846176e-12,3.6208345e-11
2015-01-03 09:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 09:00:00,1.7558772e-07,2.385483e-07,5.282482e-10,8.5879125e-12,2.1812543e-12
2015-01-03 12:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 12:00:00,1.5058177e-07,1.9515696e-07,1.2257664e-10,6.764602e-12,8.599578e-12
2015-01-03 15:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 15:00:00,1.0926707e-07,5.0567763e-08,7.388099e-12,9.303111e-13,1.199496e-11
2015-01-03 18:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 18:00:00,1.0738759e-07,3.367584e-08,5.35985e-12,1.0307803e-13,1.2398648e-11
2015-01-03 21:00:00,0 days,60.0,-2.146,-59.006,2015-01-03 21:00:00,1.1282037e-07,5.219168e-08,3.8745063e-11,3.7952723e-12,1.3037421e-11
2015-01-04 00:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 00:00:00,1.3133966e-07,1.2250877e-07,2.7623692e-10,4.350877e-12,2.3589741e-11
2015-01-04 03:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 03:00:00,1.5497216e-07,1.6104751e-07,5.8160443e-10,7.3129254e-12,4.351107e-11
2015-01-04 06:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 06:00:00,1.7878482e-07,1.8990096e-07,8.910712e-10,1.1108582e-11,5.6161797e-11
2015-01-04 09:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 09:00:00,1.9587313e-07,2.6235415e-07,7.0825545e-10,4.2628748e-11,2.399029e-11
2015-01-04 12:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 12:00:00,1.4712907e-07,1.5097417e-07,4.766506e-11,3.825372e-12,2.1243353e-11
2015-01-04 15:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 15:00:00,1.1068844e-07,3.5243716e-08,9.999999e-15,5.858491e-13,1.8677924e-11
2015-01-04 18:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 18:00:00,1.0594154e-07,2.3515607e-08,1.209657e-13,3.652561e-13,1.41438935e-11
2015-01-04 21:00:00,0 days,60.0,-2.146,-59.006,2015-01-04 21:00:00,1.1194658e-07,5.6094123e-08,7.669955e-11,9.628768e-12,1.52309e-11
2015-01-05 00:00:00,0 days,60.0,-2.146,-59.006,2015-01-05 00:00:00,1.19025046e-07,8.321495e-08,1.0784415e-10,6.987145e-13,1.6703828e-11
2015-01-05 03:00:00,0 days,60.0,-2.146,-59.006,2015-01-05 03:00:00,1.1467331e-07,5.6717376e-08,9.8543076e-11,4.922729e-13,9.68287e-12
2015-01-05 06:00:00,0 days,60.0,-2.146,-59.006,2015-01-05 06:00:00,1.1176991e-07,4.2351555e-08,1.1450088e-10,2.8045735e-13,1.3346107e-11
2015-01-05 09:00:00,0 days,60.0,-2.146,-59.006,2015-01-05 09:00:00,1.1829036e-07,7.509526e-08,1.9299712e-10,4.0339243e-13,1.6577966e-11
2015-01-05 12:00:00,0 days,60.0,-2.146,-59.006,2015-01-05 12:00:00,1.11722066e-07,6.721824e-08,6.337559e-11,1.301183e-12,7.1521027e-12
2015-01-05 15:00:00,0 days,60.0,-2.146,-59.006,2015-01-05 15:00:00,1.0636906e-07,5.1211842e-08,3.3668384e-11,4.4074063e-12,8.46746e-12
