date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2016-08-01,60,32.01,35.87,3.284128e-07,8.872218e-09,1.801591e-08,7.7247103e-10,3.095874e-08
2016-08-02,60,32.01,35.87,3.1515845e-07,6.4974275e-09,1.3976868e-08,7.864282e-10,2.967407e-08
2016-08-03,60,32.01,35.87,2.720475e-07,7.587627e-09,1.3345079e-08,1.1951078e-09,2.8897897e-08
2016-08-04,60,32.01,35.87,2.4613624e-07,8.0239495e-09,1.390709e-08,9.913873e-10,3.0194798e-08
2016-08-05,60,32.01,35.87,2.576096e-07,9.623831e-09,1.477716e-08,1.322571e-09,2.9700159e-08
2016-08-06,60,32.01,35.87,2.2985054e-07,7.443139e-09,1.18923e-08,5.234931e-10,2.5181613e-08
2016-08-07,60,32.01,35.87,2.3898622e-07,8.154471e-09,1.45557e-08,1.3115621e-09,2.751133e-08
2016-08-08,60,32.01,35.87,2.2670372e-07,6.6121357e-09,1.12972005e-08,5.46579e-10,2.4600842e-08
2016-08-09,60,32.01,35.87,2.1770497e-07,6.523321e-09,1.3185852e-08,6.667399e-10,2.5149077e-08
2016-08-10,60,32.01,35.87,2.396099e-07,8.81737e-09,1.6655807e-08,8.6510343e-10,2.7203246e-08
2016-08-11,60,32.01,35.87,2.0679508e-07,5.9299445e-09,1.0426055e-08,5.803291e-10,2.4214017e-08
2016-08-12,60,32.01,35.87,1.9250155e-07,6.7066313e-09,1.26209585e-08,5.487072e-10,2.3753998e-08
2016-08-13,60,32.01,35.87,2.2862915e-07,8.699333e-09,1.4136102e-08,1.0846727e-09,2.8554863e-08
2016-08-14,60,32.01,35.87,2.0020886e-07,5.6069807e-09,1.2704175e-08,5.9503946e-10,2.5830424e-08
2016-08-15,60,32.01,35.87,2.2098712e-07,7.0795094e-09,1.48926e-08,8.2490126e-10,2.6842255e-08
2016-08-16,60,32.01,35.87,1.8899405e-07,5.4930314e-09,1.1059203e-08,5.0227084e-10,2.240362e-08
2016-08-17,60,32.01,35.87,1.7240366e-07,5.0569433e-09,1.0373755e-08,5.0135973e-10,2.068779e-08
2016-08-18,60,32.01,35.87,1.9583774e-07,6.540576e-09,1.1420009e-08,9.397894e-10,2.3867237e-08
2016-08-19,60,32.01,35.87,2.1793934e-07,6.633098e-09,1.27861775e-08,8.634163e-10,2.7929088e-08
2016-08-20,60,32.01,35.87,2.4522245e-07,7.273728e-09,1.3889716e-08,8.1304535e-10,2.8727097e-08
2016-08-21,60,32.01,35.87,2.4967747e-07,6.301636e-09,1.5557761e-08,1.1497292e-09,2.9252895e-08
2016-08-22,60,32.01,35.87,2.1280934e-07,4.5121573e-09,1.3154361e-08,9.506667e-10,2.6854378e-08
2016-08-23,60,32.01,35.87,2.1171229e-07,4.1724753e-09,1.1768846e-08,7.9703333e-10,2.5516947e-08
2016-08-24,60,32.01,35.87,2.2983204e-07,3.7372474e-09,1.05906395e-08,7.9312956e-10,2.3381311e-08
2016-08-25,60,32.01,35.87,2.0887177e-07,3.8820644e-09,9.14077e-09,4.8861576e-10,2.1014056e-08
2016-08-26,60,32.01,35.87,2.317591e-07,4.9758024e-09,1.23210295e-08,7.759828e-10,2.553812e-08
2016-08-27,60,32.01,35.87,2.0868357e-07,4.152451e-09,1.0280776e-08,5.785205e-10,2.1126882e-08
2016-08-28,60,32.01,35.87,1.9030543e-07,4.6103055e-09,1.2008208e-08,7.2714973e-10,2.1160268e-08
2016-08-29,60,32.01,35.87,1.9048784e-07,4.620677e-09,1.1293226e-08,7.255829e-10,1.960193e-08
2016-08-30,60,32.01,35.87,2.1576314e-07,5.039033e-09,8.503794e-09,1.0914264e-09,2.3404183e-08
2016-08-31,60,32.01,35.87,1.7104495e-07,3.1859064e-09,8.1618525e-09,4.7971865e-10,1.8287658e-08
2016-09-01,60,32.01,35.87,1.9437017e-07,4.5562976e-09,1.2202262e-08,7.905052e-10,2.3822103e-08
2016-09-02,60,32.01,35.87,2.1270426e-07,5.054313e-09,1.36630005e-08,8.3980106e-10,2.6882873e-08
2016-09-03,60,32.01,35.87,2.004859e-07,4.5778505e-09,1.264444e-08,6.176412e-10,2.6646745e-08
2016-09-04,60,32.01,35.87,1.9288808e-07,5.335617e-09,1.2761938e-08,7.71678e-10,2.569323e-08
2016-09-05,60,32.01,35.87,2.256843e-07,7.52411e-09,1.3652322e-08,2.373279e-09,2.9929282e-08
2016-09-06,60,32.01,35.87,2.1112817e-07,6.163492e-09,1.4500395e-08,1.3930701e-09,2.7815586e-08
