date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2018-06-01 00:00:00,0 days,60.0,39.94,116.3,2018-06-01 00:00:00,1.1500313e-06,1.5129467e-08,6.829682e-08,5.0448552e-08,5.1202242e-08
2018-06-01 03:00:00,0 days,60.0,39.94,116.3,2018-06-01 03:00:00,2.5511906e-07,5.505901e-10,8.372657e-09,1.2511371e-09,9.616804e-09
2018-06-01 06:00:00,0 days,60.0,39.94,116.3,2018-06-01 06:00:00,2.0579193e-07,4.2498424e-10,4.6161266e-09,6.1682415e-10,7.71872e-09
2018-06-01 09:00:00,0 days,60.0,39.94,116.3,2018-06-01 09:00:00,2.1719137e-07,7.283846e-10,6.1015992e-09,4.720212e-10,9.512929e-09
2018-06-01 12:00:00,0 days,60.0,39.94,116.3,2018-06-01 12:00:00,3.852993e-07,3.637503e-09,3.465169e-08,1.8163457e-10,3.4188048e-08
2018-06-01 15:00:00,0 days,60.0,39.94,116.3,2018-06-01 15:00:00,7.7072167e-07,7.409515e-09,8.936843e-08,7.3568756e-09,8.5253575e-08
2018-06-01 18:00:00,0 days,60.0,39.94,116.3,2018-06-01 18:00:00,1.2502874e-06,1.2955665e-08,8.893279e-08,6.348149e-08,1.3287243e-07
2018-06-01 21:00:00,0 days,60.0,39.94,116.3,2018-06-01 21:00:00,1.7655093e-06,2.8935716e-08,6.2889015e-08,1.379704e-07,1.1422882e-07
2018-06-02 00:00:00,0 days,60.0,39.94,116.3,2018-06-02 00:00:00,1.2172922e-06,1.4003213e-08,7.065003e-08,4.9364687e-08,6.7076186e-08
2018-06-02 03:00:00,0 days,60.0,39.94,116.3,2018-06-02 03:00:00,4.992888e-07,6.9867334e-10,1.7916353e-08,2.074354e-09,2.3444546e-08
2018-06-02 06:00:00,0 days,60.0,39.94,116.3,2018-06-02 06:00:00,3.8066725e-07,4.0730322e-10,6.1905414e-09,5.469074e-10,1.5038022e-08
2018-06-02 09:00:00,0 days,60.0,39.94,116.3,2018-06-02 09:00:00,3.9528553e-07,7.3309353e-10,7.806202e-09,3.6455866e-10,1.5980982e-08
2018-06-02 12:00:00,0 days,60.0,39.94,116.3,2018-06-02 12:00:00,5.754291e-07,2.1382882e-09,3.0955952e-08,9.2810745e-11,3.6832553e-08
2018-06-02 15:00:00,0 days,60.0,39.94,116.3,2018-06-02 15:00:00,8.886919e-07,4.1398227e-09,7.4634656e-08,6.8398487e-10,7.733816e-08
2018-06-02 18:00:00,0 days,60.0,39.94,116.3,2018-06-02 18:00:00,1.2014106e-06,8.321069e-09,9.6724506e-08,1.7271496e-08,1.0990778e-07
2018-06-02 21:00:00,0 days,60.0,39.94,116.3,2018-06-02 21:00:00,1.4171758e-06,2.2442613e-08,7.5734945e-08,4.7456023e-08,9.245947e-08
2018-06-03 00:00:00,0 days,60.0,39.94,116.3,2018-06-03 00:00:00,1.1676486e-06,1.7171786e-08,5.3891764e-08,3.1199175e-08,6.266133e-08
2018-06-03 03:00:00,0 days,60.0,39.94,116.3,2018-06-03 03:00:00,4.878724e-07,3.351715e-09,2.0648312e-08,1.4939301e-09,2.5552604e-08
2018-06-03 06:00:00,0 days,60.0,39.94,116.3,2018-06-03 06:00:00,3.5874163e-07,1.4175087e-09,1.2600877e-08,1.6980521e-09,1.8423428e-08
2018-06-03 09:00:00,0 days,60.0,39.94,116.3,2018-06-03 09:00:00,2.9941452e-07,1.4124005e-09,1.15018395e-08,5.839904e-10,1.6386995e-08
2018-06-03 12:00:00,0 days,60.0,39.94,116.3,2018-06-03 12:00:00,8.317661e-07,1.8652667e-08,5.860774e-08,3.681858e-08,7.901359e-08
2018-06-03 15:00:00,0 days,60.0,39.94,116.3,2018-06-03 15:00:00,1.6504798e-06,2.9329577e-08,5.790423e-08,1.474981e-07,1.4570057e-07
2018-06-03 18:00:00,0 days,60.0,39.94,116.3,2018-06-03 18:00:00,2.3303048e-06,3.2556216e-08,6.077549e-08,2.4540265e-07,1.8877844e-07
2018-06-03 21:00:00,0 days,60.0,39.94,116.3,2018-06-03 21:00:00,2.5416339e-06,4.204749e-08,5.6392395e-08,2.7071442e-07,1.15124465e-07
2018-06-04 00:00:00,0 days,60.0,39.94,116.3,2018-06-04 00:00:00,1.0969206e-06,1.5115969e-08,6.7525235e-08,4.835304e-08,4.74351e-08
2018-06-04 03:00:00,0 days,60.0,39.94,116.3,2018-06-04 03:00:00,2.7035662e-07,6.4517713e-10,9.105646e-09,1.6922249e-09,1.1695134e-08
2018-06-04 06:00:00,0 days,60.0,39.94,116.3,2018-06-04 06:00:00,1.7144583e-07,5.307739e-10,4.3890327e-09,6.9319267e-10,7.0386137e-09
