date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2006-07-01 00:00:00,0 days,60.0,-25.5,25.8,2006-07-01 00:00:00,1.6791249e-07,1.1471125e-09,4.5572928e-09,3.5166467e-11,5.94999e-09
2006-07-01 03:00:00,0 days,60.0,-25.5,25.8,2006-07-01 03:00:00,1.8818312e-07,2.1340563e-09,5.3556053e-09,5.678284e-11,6.0604473e-09
2006-07-01 06:00:00,0 days,60.0,-25.5,25.8,2006-07-01 06:00:00,2.0015852e-07,3.7783434e-09,4.856337e-09,4.4356757e-10,5.307423e-09
2006-07-01 09:00:00,0 days,60.0,-25.5,25.8,2006-07-01 09:00:00,1.015901e-07,3.43639e-10,1.0503238e-09,1.807017e-10,2.1791535e-09
2006-07-01 12:00:00,0 days,60.0,-25.5,25.8,2006-07-01 12:00:00,9.064687e-08,5.9102845e-10,8.950841e-10,8.920727e-11,1.5900817e-09
2006-07-01 15:00:00,0 days,60.0,-25.5,25.8,2006-07-01 15:00:00,9.379158e-08,1.1008253e-09,1.5217612e-09,4.259835e-11,1.9221011e-09
2006-07-01 18:00:00,0 days,60.0,-25.5,25.8,2006-07-01 18:00:00,1.2106693e-07,2.4841729e-09,3.431102e-09,5.014756e-11,4.1640265e-09
2006-07-01 21:00:00,0 days,60.0,-25.5,25.8,2006-07-01 21:00:00,1.2489576e-07,1.6915683e-09,3.942433e-09,3.9068686e-11,5.1797033e-09
2006-07-02 00:00:00,0 days,60.0,-25.5,25.8,2006-07-02 00:00:00,1.1942885e-07,1.4703013e-09,5.0100795e-09,5.0955438e-11,6.6672463e-09
2006-07-02 03:00:00,0 days,60.0,-25.5,25.8,2006-07-02 03:00:00,1.5004912e-07,2.9722231e-09,6.396364e-09,1.0760226e-10,7.454034e-09
2006-07-02 06:00:00,0 days,60.0,-25.5,25.8,2006-07-02 06:00:00,1.7750077e-07,6.4312973e-09,4.9257816e-09,1.2064915e-09,6.0121605e-09
2006-07-02 09:00:00,0 days,60.0,-25.5,25.8,2006-07-02 09:00:00,8.134944e-08,2.9159913e-10,8.3910645e-10,2.807372e-10,2.3369566e-09
2006-07-02 12:00:00,0 days,60.0,-25.5,25.8,2006-07-02 12:00:00,6.8689296e-08,2.5389235e-10,4.7724e-10,3.424693e-11,9.450942e-10
2006-07-02 15:00:00,0 days,60.0,-25.5,25.8,2006-07-02 15:00:00,8.455267e-08,1.6558614e-09,1.5686348e-09,1.0199212e-10,2.2969688e-09
2006-07-02 18:00:00,0 days,60.0,-25.5,25.8,2006-07-02 18:00:00,1.5255873e-07,5.9036536e-09,5.598615e-09,2.2496228e-10,6.2829453e-09
2006-07-02 21:00:00,0 days,60.0,-25.5,25.8,2006-07-02 21:00:00,2.0796621e-07,6.4970327e-09,8.438753e-09,4.779036e-10,9.4329184e-09
2006-07-03 00:00:00,0 days,60.0,-25.5,25.8,2006-07-03 00:00:00,2.7913012e-07,6.2422405e-09,1.1380012e-08,6.47212e-10,1.3017932e-08
