date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2010-01-01,60,53.0,7.95,1.509651e-07,7.9558484e-13,6.769353e-09,1.4939643e-10,1.5781528e-09
2010-01-02,60,53.0,7.95,2.0648393e-07,3.4070598e-12,1.5824767e-08,1.1352342e-09,1.7998265e-09
2010-01-03,60,53.0,7.95,2.479641e-07,4.875921e-12,1.500565e-08,5.6214144e-09,2.2937008e-09
2010-01-04,60,53.0,7.95,2.770005e-07,5.9858342e-12,1.6881401e-08,1.0670861e-08,2.0373707e-09
2010-01-05,60,53.0,7.95,2.781781e-07,9.19273e-12,2.522754e-08,5.3692655e-09,2.0194342e-09
2010-01-06,60,53.0,7.95,3.3778502e-07,1.5172526e-11,2.6190357e-08,1.3112645e-08,2.3666167e-09
2010-01-07,60,53.0,7.95,3.7965808e-07,1.9066615e-11,2.3648775e-08,1.8081366e-08,2.704708e-09
2010-01-08,60,53.0,7.95,3.2463066e-07,1.2659819e-11,1.4049066e-08,1.3347959e-08,2.0830615e-09
2010-01-09,60,53.0,7.95,1.6761207e-07,8.134768e-13,4.1887978e-09,1.1392919e-10,1.0355392e-09
2010-01-10,60,53.0,7.95,1.7403744e-07,1.2580493e-12,4.2382164e-09,1.6375365e-10,1.4050654e-09
2010-01-11,60,53.0,7.95,1.69705e-07,2.0895486e-12,6.0316037e-09,2.1555668e-10,1.382302e-09
2010-01-12,60,53.0,7.95,2.7351177e-07,6.4668323e-12,1.4621215e-08,5.0811315e-09,2.3838074e-09
2010-01-13,60,53.0,7.95,2.9370332e-07,3.7851926e-12,1.6052661e-08,2.1295607e-09,2.2169118e-09
2010-01-14,60,53.0,7.95,3.8213642e-07,1.0141622e-11,2.4253024e-08,4.888206e-09,2.4860245e-09
2010-01-15,60,53.0,7.95,4.2899063e-07,1.2102123e-11,2.244931e-08,7.782949e-09,2.5641205e-09
2010-01-16,60,53.0,7.95,3.1826005e-07,7.44504e-12,1.6139674e-08,1.0627936e-09,2.0199094e-09
2010-01-17,60,53.0,7.95,3.3014086e-07,1.1432074e-11,1.597911e-08,2.5573792e-09,1.7356797e-09
2010-01-18,60,53.0,7.95,2.709435e-07,6.9690365e-12,2.0741803e-08,2.2956597e-09,1.4850059e-09
2010-01-19,60,53.0,7.95,2.5143657e-07,7.273524e-12,1.7391411e-08,2.4856184e-09,7.24387e-10
2010-01-20,60,53.0,7.95,3.4005524e-07,8.767414e-12,1.9930866e-08,8.660958e-09,1.3791186e-09
2010-01-21,60,53.0,7.95,2.5702346e-07,4.6415658e-12,1.6110974e-08,7.229554e-10,1.0042284e-09
2010-01-22,60,53.0,7.95,2.3226389e-07,4.877619e-12,1.2956546e-08,6.63842e-10,1.1193604e-09
2010-01-23,60,53.0,7.95,2.4737656e-07,8.020891e-12,1.2243392e-08,5.8558175e-10,1.3133814e-09
2010-01-24,60,53.0,7.95,2.8242624e-07,1.0697764e-11,1.8853978e-08,9.838774e-10,1.5176549e-09
2010-01-25,60,53.0,7.95,2.9722202e-07,1.0986645e-11,2.0047695e-08,1.8431867e-09,2.5074534e-09
2010-01-26,60,53.0,7.95,2.5510747e-07,1.1363709e-11,2.4556726e-08,2.2965068e-09,2.7712377e-09
2010-01-27,60,53.0,7.95,2.8926263e-07,1.8601095e-11,2.5064859e-08,5.2664575e-09,2.4947666e-09
2010-01-28,60,53.0,7.95,1.4024535e-07,2.9764422e-12,3.4726846e-09,1.1954392e-10,7.7476814e-10
2010-01-29,60,53.0,7.95,1.809145e-07,7.686839e-12,1.13047225e-08,4.5216667e-10,1.0405502e-09
2010-01-30,60,53.0,7.95,1.8365549e-07,5.398561e-12,8.218789e-09,2.0587597e-10,1.2695958e-09
2010-01-31,60,53.0,7.95,1.7888149e-07,6.023327e-12,8.9859835e-09,3.2415381e-10,1.4823877e-09
2010-02-01,60,53.0,7.95,1.8800138e-07,6.2117117e-12,1.0506892e-08,4.693009e-10,1.484609e-09
2010-02-02,60,53.0,7.95,1.8782043e-07,6.4669507e-12,1.1058694e-08,2.6151334e-10,1.430466e-09
2010-02-03,60,53.0,7.95,1.6992281e-07,4.293624e-12,6.144137e-09,2.3625374e-10,1.2326147e-09
2010-02-04,60,53.0,7.95,2.4452635e-07,2.0500195e-11,2.0126587e-08,1.6968204e-09,2.023355e-09
2010-02-05,60,53.0,7.95,2.3792383e-07,1.8270718e-11,1.656681e-08,8.763176e-10,1.9475908e-09
2010-02-06,60,53.0,7.95,3.1637143e-07,2.0197472e-11,2.1068853e-08,4.2628954e-09,2.1346798e-09
2010-02-07,60,53.0,7.95,2.5860317e-07,1.1690054e-11,1.5480063e-08,1.7821674e-09,1.143879e-09
2010-02-08,60,53.0,7.95,2.1146559e-07,9.338134e-12,9.497496e-09,5.388097e-10,4.8529664e-10
2010-02-09,60,53.0,7.95,1.8919249e-07,7.2122286e-12,7.697984e-09,2.688106e-10,5.6853244e-10
2010-02-10,60,53.0,7.95,1.940866e-07,5.874908e-12,7.618903e-09,1.900664e-10,1.2874983e-09
