date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2017-01-01 00:00:00,0 days,60.0,28.55,77.19,2017-01-01 00:00:00,3.2028406e-06,7.2423184e-10,6.2483444e-08,1.2601766e-08,8.960387e-08
2017-01-01 03:00:00,0 days,60.0,28.55,77.19,2017-01-01 03:00:00,2.9499747e-06,8.196937e-10,5.0885625e-08,9.089581e-09,5.889738e-08
2017-01-01 06:00:00,0 days,60.0,28.55,77.19,2017-01-01 06:00:00,2.0468315e-06,1.2623048e-10,2.1250733e-08,1.9571011e-09,2.6568756e-08
2017-01-01 09:00:00,0 days,60.0,28.55,77.19,2017-01-01 09:00:00,1.4937309e-06,5.0509125e-11,9.990198e-09,7.907065e-10,1.7657918e-08
2017-01-01 12:00:00,0 days,60.0,28.55,77.19,2017-01-01 12:00:00,2.1433543e-06,6.729097e-10,4.9519624e-08,1.2835197e-09,5.508567e-08
2017-01-01 15:00:00,0 days,60.0,28.55,77.19,2017-01-01 15:00:00,4.7740114e-06,1.8498336e-09,6.1043366e-08,7.057261e-08,1.2321443e-07
2017-01-01 18:00:00,0 days,60.0,28.55,77.19,2017-01-01 18:00:00,3.9310166e-06,9.989202e-10,7.039724e-08,4.5512635e-08,1.17227316e-07
2017-01-01 21:00:00,0 days,60.0,28.55,77.19,2017-01-01 21:00:00,4.946246e-06,1.0780359e-09,6.613692e-08,8.709909e-08,1.6762863e-07
2017-01-02 00:00:00,0 days,60.0,28.55,77.19,2017-01-02 00:00:00,6.90785e-06,1.665189e-09,8.979919e-08,1.4358581e-07,1.5943914e-07
2017-01-02 03:00:00,0 days,60.0,28.55,77.19,2017-01-02 03:00:00,5.6954227e-06,1.826058e-09,9.257326e-08,1.081529e-07,9.483349e-08
2017-01-02 06:00:00,0 days,60.0,28.55,77.19,2017-01-02 06:00:00,2.4369388e-06,2.268429e-10,6.325538e-08,1.1471516e-08,3.9363073e-08
2017-01-02 09:00:00,0 days,60.0,28.55,77.19,2017-01-02 09:00:00,9.0329274e-07,4.4874042e-11,1.1783947e-08,1.0807647e-09,1.4204908e-08
2017-01-02 12:00:00,0 days,60.0,28.55,77.19,2017-01-02 12:00:00,2.133746e-06,1.0122668e-09,5.495802e-08,1.19978685e-08,6.825198e-08
2017-01-02 15:00:00,0 days,60.0,28.55,77.19,2017-01-02 15:00:00,2.9488747e-06,1.1916237e-09,6.775324e-08,2.561767e-08,8.705149e-08
2017-01-02 18:00:00,0 days,60.0,28.55,77.19,2017-01-02 18:00:00,3.6511512e-06,1.0913029e-09,6.4482705e-08,5.7375857e-08,1.3289892e-07
2017-01-02 21:00:00,0 days,60.0,28.55,77.19,2017-01-02 21:00:00,5.2932414e-06,1.3259869e-09,5.996833e-08,1.2165282e-07,1.9300184e-07
2017-01-03 00:00:00,0 days,60.0,28.55,77.19,2017-01-03 00:00:00,6.199164e-06,2.0331146e-09,9.999999e-15,1.5842889e-07,1.5113083e-07
2017-01-03 03:00:00,0 days,60.0,28.55,77.19,2017-01-03 03:00:00,5.608614e-06,2.0619286e-09,2.0053143e-08,1.2614241e-07,8.981108e-08
2017-01-03 06:00:00,0 days,60.0,28.55,77.19,2017-01-03 06:00:00,2.0832083e-06,1.8387408e-10,3.797482e-08,8.86946e-09,3.354485e-08
