date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2013-02-01,60,21.802,39.729,1.6414833e-07,5.340058e-10,7.91031e-09,6.3800476e-10,1.7498321e-08
2013-02-02,60,21.802,39.729,1.6307945e-07,5.033635e-10,8.175937e-09,5.2624366e-10,1.8545833e-08
2013-02-03,60,21.802,39.729,1.5761879e-07,5.659417e-10,9.373471e-09,4.3888682e-10,2.0361384e-08
2013-02-04,60,21.802,39.729,1.7055575e-07,7.431617e-10,8.924451e-09,5.4395866e-10,2.0370603e-08
2013-02-05,60,21.802,39.729,2.0056714e-07,7.8554463e-10,1.3720568e-08,1.6585473e-09,2.8712687e-08
2013-02-06,60,21.802,39.729,2.3485202e-07,1.2159563e-09,2.7319901e-08,1.7357957e-09,3.5085403e-08
2013-02-07,60,21.802,39.729,1.8966182e-07,9.169435e-10,1.6191116e-08,1.2741913e-09,3.050688e-08
2013-02-08,60,21.802,39.729,2.1019034e-07,1.0878618e-09,1.908471e-08,1.726557e-09,3.2735972e-08
2013-02-09,60,21.802,39.729,2.2010425e-07,1.4338595e-09,1.794791e-08,2.4001254e-09,3.2695795e-08
2013-02-10,60,21.802,39.729,1.8324714e-07,1.0459729e-09,1.43644865e-08,1.2487705e-09,2.7667241e-08
2013-02-11,60,21.802,39.729,1.8980231e-07,1.0301928e-09,1.955035e-08,1.523569e-09,2.8967477e-08
2013-02-12,60,21.802,39.729,2.0295258e-07,9.741311e-10,1.4472331e-08,1.3943974e-09,2.9718855e-08
2013-02-13,60,21.802,39.729,2.3587319e-07,1.5970077e-09,1.9000936e-08,3.0574612e-09,3.71757e-08
2013-02-14,60,21.802,39.729,2.5278985e-07,1.3485495e-09,1.6126307e-08,2.424104e-09,3.8298e-08
2013-02-15,60,21.802,39.729,2.5828848e-07,1.3202328e-09,2.8827321e-08,1.5874153e-09,3.6378054e-08
2013-02-16,60,21.802,39.729,2.0625447e-07,9.064159e-10,1.9013532e-08,8.0336665e-10,3.0328863e-08
2013-02-17,60,21.802,39.729,2.1158863e-07,1.2825735e-09,1.551387e-08,2.5076294e-09,3.208498e-08
2013-02-18,60,21.802,39.729,2.0694164e-07,1.114942e-09,2.1993623e-08,1.358161e-09,3.136452e-08
2013-02-19,60,21.802,39.729,1.9793198e-07,9.628831e-10,1.5751485e-08,1.0045889e-09,2.915533e-08
2013-02-20,60,21.802,39.729,2.0603903e-07,1.1114925e-09,1.5438163e-08,1.3842011e-09,2.872063e-08
