date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2005-01-01,60,60.2,24.96,1.8696537e-07,9.9999946e-26,3.0134636e-08,2.4706446e-09,2.9829679e-09
2005-01-02,60,60.2,24.96,1.8718282e-07,1.2033468e-13,1.8255731e-08,6.830061e-10,3.1026304e-09
2005-01-03,60,60.2,24.96,1.7368622e-07,1.4210855e-14,2.5933828e-08,3.4126881e-09,2.7981695e-09
2005-01-04,60,60.2,24.96,1.9747549e-07,9.9999946e-26,3.3269455e-08,9.583373e-09,2.493752e-09
2005-01-05,60,60.2,24.96,2.0004971e-07,2.4640199e-14,2.799462e-08,5.432667e-09,3.6392387e-09
2005-01-06,60,60.2,24.96,2.250415e-07,7.3920586e-14,3.680656e-08,1.7031025e-08,3.4046883e-09
2005-01-07,60,60.2,24.96,1.7042484e-07,9.947598e-14,2.3156698e-08,1.566236e-09,2.467254e-09
2005-01-08,60,60.2,24.96,1.6105471e-07,1.1537845e-13,2.5306374e-08,1.9099935e-09,2.3485927e-09
2005-01-09,60,60.2,24.96,1.6034136e-07,1.2124987e-13,1.40165115e-08,5.581905e-10,1.5743317e-09
2005-01-10,60,60.2,24.96,1.9507158e-07,7.978985e-14,2.7056954e-08,5.9522445e-09,2.66389e-09
2005-01-11,60,60.2,24.96,1.6123958e-07,1.4210855e-14,2.3061453e-08,2.303336e-09,2.0866824e-09
2005-01-12,60,60.2,24.96,1.99596e-07,1.0729853e-13,3.0328067e-08,3.2132643e-09,3.1113723e-09
2005-01-13,60,60.2,24.96,1.6271966e-07,8.526513e-14,1.3819134e-08,4.700527e-10,2.2152002e-09
2005-01-14,60,60.2,24.96,1.7502512e-07,9.999992e-26,2.0493761e-08,1.7829502e-09,1.677743e-09
2005-01-15,60,60.2,24.96,2.0197388e-07,9.9999946e-26,3.134939e-08,8.666714e-09,2.1593858e-09
2005-01-16,60,60.2,24.96,1.9153173e-07,3.945164e-13,2.3327475e-08,1.753744e-09,2.9972975e-09
2005-01-17,60,60.2,24.96,2.3374076e-07,7.2932524e-13,1.7392262e-08,1.7384865e-09,2.5608815e-09
2005-01-18,60,60.2,24.96,3.3504074e-07,2.6423638e-12,2.1305922e-08,5.3971894e-09,4.7436775e-09
2005-01-19,60,60.2,24.96,2.339074e-07,1.4589005e-13,2.2898499e-08,1.5248011e-09,4.914874e-09
2005-01-20,60,60.2,24.96,2.2806918e-07,5.011593e-13,1.8586316e-08,1.527232e-09,4.6991087e-09
2005-01-21,60,60.2,24.96,1.9904036e-07,3.5787817e-13,2.0336758e-08,1.043723e-09,3.64042e-09
2005-01-22,60,60.2,24.96,3.9839009e-07,9.921646e-14,3.635231e-08,1.12931275e-07,4.5653197e-09
