date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2010-01-01 00:00:00,0 days,60.0,47.8,11.0,2010-01-01 00:00:00,3.999842e-07,5.454072e-11,1.7801018e-08,1.0018804e-08,4.5017674e-09
2010-01-01 03:00:00,0 days,60.0,47.8,11.0,2010-01-01 03:00:00,4.1997242e-07,4.9645885e-11,2.1148715e-08,1.2019448e-08,4.109257e-09
2010-01-01 06:00:00,0 days,60.0,47.8,11.0,2010-01-01 06:00:00,4.4783803e-07,6.073834e-11,2.1371193e-08,1.5928777e-08,2.5990712e-09
2010-01-01 09:00:00,0 days,60.0,47.8,11.0,2010-01-01 09:00:00,4.8379746e-07,8.623098e-11,1.2765195e-08,2.6314677e-08,1.7377324e-09
2010-01-01 12:00:00,0 days,60.0,47.8,11.0,2010-01-01 12:00:00,3.2740374e-07,4.2132332e-11,2.0715168e-08,1.1061493e-08,1.3042265e-09
2010-01-01 15:00:00,0 days,60.0,47.8,11.0,2010-01-01 15:00:00,3.1655836e-07,4.5311047e-11,2.5933652e-08,6.2539476e-09,1.7871702e-09
2010-01-01 18:00:00,0 days,60.0,47.8,11.0,2010-01-01 18:00:00,4.069924e-07,7.665672e-11,3.1158667e-08,1.4626023e-08,2.5995532e-09
2010-01-01 21:00:00,0 days,60.0,47.8,11.0,2010-01-01 21:00:00,3.7127086e-07,5.08013e-11,3.2318013e-08,7.947068e-09,1.9179955e-09
2010-01-02 00:00:00,0 days,60.0,47.8,11.0,2010-01-02 00:00:00,3.4081285e-07,3.1367086e-11,2.782303e-08,5.044668e-09,9.301411e-10
2010-01-02 03:00:00,0 days,60.0,47.8,11.0,2010-01-02 03:00:00,3.0328954e-07,2.1419606e-11,2.544014e-08,2.6144011e-09,1.1959642e-09
2010-01-02 06:00:00,0 days,60.0,47.8,11.0,2010-01-02 06:00:00,2.2822341e-07,1.1438341e-11,1.6075926e-08,1.3852049e-10,1.5127725e-09
2010-01-02 09:00:00,0 days,60.0,47.8,11.0,2010-01-02 09:00:00,1.869584e-07,6.615027e-12,7.0451645e-09,1.526654e-09,1.4619257e-09
2010-01-02 12:00:00,0 days,60.0,47.8,11.0,2010-01-02 12:00:00,1.649845e-07,3.9699854e-12,3.5385617e-09,7.1087364e-10,1.0278848e-09
2010-01-02 15:00:00,0 days,60.0,47.8,11.0,2010-01-02 15:00:00,1.6153875e-07,6.734638e-12,4.595623e-09,4.1914586e-10,9.544613e-10
2010-01-02 18:00:00,0 days,60.0,47.8,11.0,2010-01-02 18:00:00,1.7556269e-07,1.14959405e-11,8.328254e-09,6.127898e-11,1.302041e-09
2010-01-02 21:00:00,0 days,60.0,47.8,11.0,2010-01-02 21:00:00,1.8417617e-07,1.0083717e-11,9.9448165e-09,1.3876783e-10,1.6934121e-09
2010-01-03 00:00:00,0 days,60.0,47.8,11.0,2010-01-03 00:00:00,1.9952333e-07,1.0750662e-11,1.2416597e-08,1.9126771e-10,2.0815971e-09
2010-01-03 03:00:00,0 days,60.0,47.8,11.0,2010-01-03 03:00:00,2.0968402e-07,1.3057541e-11,1.4166978e-08,2.3556773e-10,1.9934534e-09
2010-01-03 06:00:00,0 days,60.0,47.8,11.0,2010-01-03 06:00:00,2.041611e-07,1.7406639e-11,1.2980879e-08,2.0590607e-10,1.574668e-09
2010-01-03 09:00:00,0 days,60.0,47.8,11.0,2010-01-03 09:00:00,1.9645951e-07,2.2080279e-11,8.096375e-09,2.6684688e-09,1.137247e-09
2010-01-03 12:00:00,0 days,60.0,47.8,11.0,2010-01-03 12:00:00,1.5376439e-07,7.598213e-12,3.1152938e-09,6.476798e-10,7.388161e-10
2010-01-03 15:00:00,0 days,60.0,47.8,11.0,2010-01-03 15:00:00,1.6168548e-07,1.2338498e-11,6.112059e-09,4.8761195e-10,1.0785062e-09
2010-01-03 18:00:00,0 days,60.0,47.8,11.0,2010-01-03 18:00:00,1.9861972e-07,2.6246925e-11,1.38322385e-08,3.4443853e-10,1.6227968e-09
2010-01-03 21:00:00,0 days,60.0,47.8,11.0,2010-01-03 21:00:00,2.3333101e-07,2.8959724e-11,1.9605725e-08,7.6864587e-10,2.4996718e-09
2010-01-04 00:00:00,0 days,60.0,47.8,11.0,2010-01-04 00:00:00,2.221755e-07,1.8383389e-11,1.749141e-08,2.1206126e-10,2.5994682e-09
2010-01-04 03:00:00,0 days,60.0,47.8,11.0,2010-01-04 03:00:00,2.4772692e-07,2.104841e-11,2.2192317e-08,4.2085585e-10,3.0218563e-09
2010-01-04 06:00:00,0 days,60.0,47.8,11.0,2010-01-04 06:00:00,2.9991443e-07,3.800857e-11,2.8106367e-08,3.2131766e-09,2.4801672e-09
2010-01-04 09:00:00,0 days,60.0,47.8,11.0,2010-01-04 09:00:00,3.3900415e-07,5.853361e-11,1.6870455e-08,1.4730714e-08,1.8055606e-09
2010-01-04 12:00:00,0 days,60.0,47.8,11.0,2010-01-04 12:00:00,2.117249e-07,1.8508611e-11,1.0065665e-08,4.678624e-09,1.187807e-09
2010-01-04 15:00:00,0 days,60.0,47.8,11.0,2010-01-04 15:00:00,2.1102082e-07,2.154903e-11,1.425278e-08,2.1368274e-09,1.3373405e-09
2010-01-04 18:00:00,0 days,60.0,47.8,11.0,2010-01-04 18:00:00,2.852916e-07,5.2669473e-11,2.7700299e-08,3.0404066e-09,2.296715e-09
2010-01-04 21:00:00,0 days,60.0,47.8,11.0,2010-01-04 21:00:00,3.3948547e-07,6.186405e-11,3.1131343e-08,7.8041e-09,3.4313652e-09
2010-01-05 00:00:00,0 days,60.0,47.8,11.0,2010-01-05 00:00:00,3.657742e-07,5.0550487e-11,2.7962816e-08,1.0583424e-08,4.7067408e-09
2010-01-05 03:00:00,0 days,60.0,47.8,11.0,2010-01-05 03:00:00,4.0984492e-07,5.3809582e-11,2.7955444e-08,1.710315e-08,4.935141e-09
2010-01-05 06:00:00,0 days,60.0,47.8,11.0,2010-01-05 06:00:00,4.4035977e-07,6.540125e-11,2.6253833e-08,2.0797401e-08,3.042903e-09
2010-01-05 09:00:00,0 days,60.0,47.8,11.0,2010-01-05 09:00:00,4.4738317e-07,7.6325724e-11,1.557503e-08,2.6843777e-08,2.1236921e-09
