date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2006-01-01 00:00:00,0 days,60.0,51.6,-1.3,2006-01-01 00:00:00,1.854656e-07,5.928127e-12,1.6117312e-08,2.4999688e-10,6.8658648e-09
2006-01-01 03:00:00,0 days,60.0,51.6,-1.3,2006-01-01 03:00:00,1.9161519e-07,5.423389e-12,1.619476e-08,2.8402275e-10,6.863885e-09
2006-01-01 06:00:00,0 days,60.0,51.6,-1.3,2006-01-01 06:00:00,1.9505887e-07,6.968075e-12,1.4866959e-08,2.7480035e-10,5.556412e-09
2006-01-01 09:00:00,0 days,60.0,51.6,-1.3,2006-01-01 09:00:00,1.9863376e-07,9.26462e-12,1.502549e-08,1.10400064e-10,4.4297566e-09
2006-01-01 12:00:00,0 days,60.0,51.6,-1.3,2006-01-01 12:00:00,2.0062953e-07,1.0823816e-11,8.765043e-09,1.4737414e-09,3.9332693e-09
2006-01-01 15:00:00,0 days,60.0,51.6,-1.3,2006-01-01 15:00:00,2.0588986e-07,1.23799165e-11,1.13971375e-08,1.3940589e-09,4.275289e-09
2006-01-01 18:00:00,0 days,60.0,51.6,-1.3,2006-01-01 18:00:00,2.2631903e-07,1.5122069e-11,1.9971715e-08,6.3268013e-10,6.0691674e-09
2006-01-01 21:00:00,0 days,60.0,51.6,-1.3,2006-01-01 21:00:00,2.4987452e-07,1.493442e-11,2.6325642e-08,1.5226751e-09,8.792526e-09
2006-01-02 00:00:00,0 days,60.0,51.6,-1.3,2006-01-02 00:00:00,2.595929e-07,1.1483839e-11,2.9419992e-08,2.219009e-09,1.0828011e-08
2006-01-02 03:00:00,0 days,60.0,51.6,-1.3,2006-01-02 03:00:00,2.9054348e-07,1.260887e-11,3.3586087e-08,6.3962124e-09,1.3657301e-08
2006-01-02 06:00:00,0 days,60.0,51.6,-1.3,2006-01-02 06:00:00,3.3810898e-07,2.1750882e-11,3.249311e-08,1.7078943e-08,1.22231665e-08
2006-01-02 09:00:00,0 days,60.0,51.6,-1.3,2006-01-02 09:00:00,4.4635385e-07,5.3576626e-11,2.6276343e-08,4.3211777e-08,8.560658e-09
2006-01-02 12:00:00,0 days,60.0,51.6,-1.3,2006-01-02 12:00:00,3.9210073e-07,4.3182343e-11,2.7682423e-09,3.256381e-08,7.573567e-09
2006-01-02 15:00:00,0 days,60.0,51.6,-1.3,2006-01-02 15:00:00,3.3874855e-07,3.955998e-11,1.5728462e-08,1.8856579e-08,5.9726455e-09
2006-01-02 18:00:00,0 days,60.0,51.6,-1.3,2006-01-02 18:00:00,5.183423e-07,9.3727456e-11,1.3900216e-08,6.304442e-08,9.291483e-09
2006-01-02 21:00:00,0 days,60.0,51.6,-1.3,2006-01-02 21:00:00,5.5962477e-07,9.344353e-11,1.7184291e-08,7.844646e-08,1.3586233e-08
2006-01-03 00:00:00,0 days,60.0,51.6,-1.3,2006-01-03 00:00:00,4.5038382e-07,5.8182126e-11,2.5401553e-08,4.7374602e-08,1.4480476e-08
2006-01-03 03:00:00,0 days,60.0,51.6,-1.3,2006-01-03 03:00:00,3.5816754e-07,3.574172e-11,3.2595814e-08,2.554162e-08,1.2117643e-08
2006-01-03 06:00:00,0 days,60.0,51.6,-1.3,2006-01-03 06:00:00,2.895166e-07,2.5475658e-11,3.35917e-08,1.2508439e-08,8.296404e-09
2006-01-03 09:00:00,0 days,60.0,51.6,-1.3,2006-01-03 09:00:00,2.4433373e-07,2.3938896e-11,3.198719e-08,6.196226e-09,5.7618603e-09
2006-01-03 12:00:00,0 days,60.0,51.6,-1.3,2006-01-03 12:00:00,2.21189e-07,2.8243682e-11,2.5541238e-08,3.376318e-09,5.0551603e-09
2006-01-03 15:00:00,0 days,60.0,51.6,-1.3,2006-01-03 15:00:00,2.2841579e-07,3.6648237e-11,2.6843018e-08,3.1898646e-09,4.8533986e-09
2006-01-03 18:00:00,0 days,60.0,51.6,-1.3,2006-01-03 18:00:00,2.6175908e-07,4.2838857e-11,3.250759e-08,5.7306435e-09,6.7838366e-09
2006-01-03 21:00:00,0 days,60.0,51.6,-1.3,2006-01-03 21:00:00,2.6083165e-07,2.7728946e-11,3.5607385e-08,5.375061e-09,1.0610917e-08
2006-01-04 00:00:00,0 days,60.0,51.6,-1.3,2006-01-04 00:00:00,2.7647076e-07,1.9118065e-11,3.88244e-08,8.229489e-09,1.5088236e-08
2006-01-04 03:00:00,0 days,60.0,51.6,-1.3,2006-01-04 03:00:00,2.699316e-07,1.3122951e-11,3.9725183e-08,7.374821e-09,1.5440746e-08
2006-01-04 06:00:00,0 days,60.0,51.6,-1.3,2006-01-04 06:00:00,2.5014901e-07,1.2450122e-11,3.650318e-08,5.46903e-09,1.089383e-08
