date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2009-01-01 00:00:00,0 days,60.0,49.56,15.08,2009-01-01 00:00:00,2.251308e-07,1.5336676e-11,9.51365e-09,1.359097e-10,1.399864e-09
2009-01-01 03:00:00,0 days,60.0,49.56,15.08,2009-01-01 03:00:00,2.2344327e-07,1.3001678e-11,9.866445e-09,1.899197e-10,1.2106576e-09
2009-01-01 06:00:00,0 days,60.0,49.56,15.08,2009-01-01 06:00:00,2.2876372e-07,1.16995936e-11,1.0650143e-08,3.967723e-10,2.0224156e-09
2009-01-01 09:00:00,0 days,60.0,49.56,15.08,2009-01-01 09:00:00,2.4709698e-07,1.21910615e-11,9.947736e-09,2.4943825e-09,2.3884332e-09
2009-01-01 12:00:00,0 days,60.0,49.56,15.08,2009-01-01 12:00:00,2.6268458e-07,9.653004e-12,1.9704032e-08,3.6115995e-09,2.3662752e-09
2009-01-01 15:00:00,0 days,60.0,49.56,15.08,2009-01-01 15:00:00,2.899206e-07,1.0356076e-11,2.4572724e-08,1.1626371e-09,2.5575968e-09
2009-01-01 18:00:00,0 days,60.0,49.56,15.08,2009-01-01 18:00:00,2.9546354e-07,1.0906837e-11,2.5179043e-08,3.012359e-10,2.9321992e-09
2009-01-01 21:00:00,0 days,60.0,49.56,15.08,2009-01-01 21:00:00,2.9888116e-07,9.73425e-12,2.4876746e-08,3.4740993e-10,3.694875e-09
2009-01-02 00:00:00,0 days,60.0,49.56,15.08,2009-01-02 00:00:00,2.9655635e-07,8.611205e-12,1.2112666e-08,7.567941e-10,4.451058e-09
2009-01-02 03:00:00,0 days,60.0,49.56,15.08,2009-01-02 03:00:00,3.092698e-07,8.843626e-12,1.343577e-08,1.1926331e-09,5.2097344e-09
2009-01-02 06:00:00,0 days,60.0,49.56,15.08,2009-01-02 06:00:00,3.148753e-07,9.838608e-12,1.3668378e-08,1.6964158e-09,4.4962376e-09
2009-01-02 09:00:00,0 days,60.0,49.56,15.08,2009-01-02 09:00:00,3.1640866e-07,1.1460898e-11,7.860824e-09,5.4075167e-09,3.48231e-09
