date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2008-05-01 00:00:00,0 days,60.0,46.97,19.55,2008-05-01 00:00:00,1.8673953e-07,3.7909467e-10,7.104254e-09,4.978045e-11,1.1589763e-08
2008-05-01 03:00:00,0 days,60.0,46.97,19.55,2008-05-01 03:00:00,1.928288e-07,6.206435e-10,7.864889e-09,6.5451325e-11,1.1652517e-08
2008-05-01 06:00:00,0 days,60.0,46.97,19.55,2008-05-01 06:00:00,1.8552893e-07,6.625096e-10,4.8843893e-09,9.458722e-10,7.917334e-09
2008-05-01 09:00:00,0 days,60.0,46.97,19.55,2008-05-01 09:00:00,1.59349e-07,8.7709257e-11,1.4344477e-09,2.8854572e-10,3.4805012e-09
2008-05-01 12:00:00,0 days,60.0,46.97,19.55,2008-05-01 12:00:00,1.5762006e-07,6.994674e-11,1.5039479e-09,1.7839316e-10,2.7131453e-09
2008-05-01 15:00:00,0 days,60.0,46.97,19.55,2008-05-01 15:00:00,1.557465e-07,1.15310234e-10,1.5402595e-09,1.4919141e-10,3.096061e-09
2008-05-01 18:00:00,0 days,60.0,46.97,19.55,2008-05-01 18:00:00,1.7487324e-07,7.9622464e-10,6.4664913e-09,4.929098e-11,9.108168e-09
2008-05-01 21:00:00,0 days,60.0,46.97,19.55,2008-05-01 21:00:00,1.8823617e-07,5.9866234e-10,9.068802e-09,5.2077183e-11,1.3922672e-08
2008-05-02 00:00:00,0 days,60.0,46.97,19.55,2008-05-02 00:00:00,1.928282e-07,3.5629238e-10,9.444147e-09,5.908168e-11,1.5148304e-08
2008-05-02 03:00:00,0 days,60.0,46.97,19.55,2008-05-02 03:00:00,1.9629293e-07,5.327113e-10,9.451831e-09,5.4068278e-11,1.343588e-08
2008-05-02 06:00:00,0 days,60.0,46.97,19.55,2008-05-02 06:00:00,1.8374713e-07,5.5118177e-10,5.447598e-09,1.0745413e-09,8.241468e-09
2008-05-02 09:00:00,0 days,60.0,46.97,19.55,2008-05-02 09:00:00,1.6156174e-07,8.259866e-11,1.881027e-09,4.8749815e-10,4.0162975e-09
2008-05-02 12:00:00,0 days,60.0,46.97,19.55,2008-05-02 12:00:00,1.5506309e-07,5.7982855e-11,1.1239913e-09,2.0370505e-10,2.744444e-09
2008-05-02 15:00:00,0 days,60.0,46.97,19.55,2008-05-02 15:00:00,1.5171139e-07,9.8564094e-11,1.1984761e-09,1.2104749e-10,2.7045546e-09
