date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2005-01-01 00:00:00,0 days,60.0,53.32,-9.88,2005-01-01 00:00:00,1.3015871e-07,9.83312e-13,7.401694e-10,7.1170535e-12,1.5212958e-09
2005-01-01 03:00:00,0 days,60.0,53.32,-9.88,2005-01-01 03:00:00,1.282986e-07,1.1910119e-12,8.963779e-10,7.371813e-12,1.8436241e-09
2005-01-01 06:00:00,0 days,60.0,53.32,-9.88,2005-01-01 06:00:00,1.2465716e-07,1.6332314e-12,7.596837e-10,4.8730945e-12,1.451075e-09
2005-01-01 09:00:00,0 days,60.0,53.32,-9.88,2005-01-01 09:00:00,1.203071e-07,1.9987237e-12,6.3786953e-10,2.6126178e-12,9.254649e-10
2005-01-01 12:00:00,0 days,60.0,53.32,-9.88,2005-01-01 12:00:00,1.3268634e-07,1.4464414e-12,2.7162722e-10,7.850639e-12,4.662218e-10
2005-01-01 15:00:00,0 days,60.0,53.32,-9.88,2005-01-01 15:00:00,1.288865e-07,1.291238e-12,2.633942e-10,1.2776379e-11,5.3042803e-10
2005-01-01 18:00:00,0 days,60.0,53.32,-9.88,2005-01-01 18:00:00,1.308582e-07,8.689022e-13,2.2498732e-10,3.1782086e-12,4.944991e-10
2005-01-01 21:00:00,0 days,60.0,53.32,-9.88,2005-01-01 21:00:00,1.3057499e-07,5.2018275e-13,2.342469e-10,2.398345e-12,5.7837063e-10
2005-01-02 00:00:00,0 days,60.0,53.32,-9.88,2005-01-02 00:00:00,1.3034197e-07,2.91153e-13,2.7525798e-10,3.9833293e-12,7.010182e-10
2005-01-02 03:00:00,0 days,60.0,53.32,-9.88,2005-01-02 03:00:00,1.2874789e-07,3.328796e-13,2.9394925e-10,3.713455e-12,7.334816e-10
2005-01-02 06:00:00,0 days,60.0,53.32,-9.88,2005-01-02 06:00:00,1.2873723e-07,7.597723e-13,3.1065406e-10,3.9161894e-12,7.257212e-10
2005-01-02 09:00:00,0 days,60.0,53.32,-9.88,2005-01-02 09:00:00,1.3061126e-07,1.2701181e-12,3.4225436e-10,1.454482e-13,6.595692e-10
2005-01-02 12:00:00,0 days,60.0,53.32,-9.88,2005-01-02 12:00:00,1.3751045e-07,1.956997e-12,3.6963246e-10,3.3212558e-11,7.40759e-10
2005-01-02 15:00:00,0 days,60.0,53.32,-9.88,2005-01-02 15:00:00,1.3673365e-07,2.169767e-12,3.9655335e-10,2.5502357e-11,7.0160167e-10
2005-01-02 18:00:00,0 days,60.0,53.32,-9.88,2005-01-02 18:00:00,1.3324447e-07,2.066127e-12,5.096421e-10,6.2236752e-12,8.795961e-10
2005-01-02 21:00:00,0 days,60.0,53.32,-9.88,2005-01-02 21:00:00,1.3172624e-07,1.1706151e-12,4.973852e-10,5.6405297e-12,9.569707e-10
2005-01-03 00:00:00,0 days,60.0,53.32,-9.88,2005-01-03 00:00:00,1.3117132e-07,6.345926e-13,5.264935e-10,5.550199e-12,1.0856325e-09
2005-01-03 03:00:00,0 days,60.0,53.32,-9.88,2005-01-03 03:00:00,1.3091548e-07,8.324556e-13,6.058732e-10,6.0923766e-12,1.2455428e-09
2005-01-03 06:00:00,0 days,60.0,53.32,-9.88,2005-01-03 06:00:00,1.3036954e-07,1.6694681e-12,6.3366673e-10,5.7776154e-12,1.1798773e-09
2005-01-03 09:00:00,0 days,60.0,53.32,-9.88,2005-01-03 09:00:00,1.2939088e-07,2.5081365e-12,6.124994e-10,5.1873375e-12,1.0397406e-09
2005-01-03 12:00:00,0 days,60.0,53.32,-9.88,2005-01-03 12:00:00,1.2897094e-07,3.350639e-12,6.3462385e-10,4.8559566e-11,9.989295e-10
2005-01-03 15:00:00,0 days,60.0,53.32,-9.88,2005-01-03 15:00:00,1.2774562e-07,2.7411517e-12,6.1948835e-10,2.4978316e-11,7.580462e-10
2005-01-03 18:00:00,0 days,60.0,53.32,-9.88,2005-01-03 18:00:00,1.2574306e-07,2.0546342e-12,6.023173e-10,3.9764394e-12,7.7009127e-10
2005-01-03 21:00:00,0 days,60.0,53.32,-9.88,2005-01-03 21:00:00,1.2127973e-07,1.0197586e-12,5.0324167e-10,3.463349e-12,7.207406e-10
2005-01-04 00:00:00,0 days,60.0,53.32,-9.88,2005-01-04 00:00:00,1.1534121e-07,4.8901605e-13,4.69906e-10,3.330611e-12,7.4266315e-10
2005-01-04 03:00:00,0 days,60.0,53.32,-9.88,2005-01-04 03:00:00,1.1106458e-07,3.851661e-13,4.1707e-10,2.2846577e-12,6.9447637e-10
2005-01-04 06:00:00,0 days,60.0,53.32,-9.88,2005-01-04 06:00:00,1.3552278e-07,9.363055e-13,3.215156e-10,5.3288754e-12,7.251864e-10
2005-01-04 09:00:00,0 days,60.0,53.32,-9.88,2005-01-04 09:00:00,1.3430117e-07,1.9313206e-12,4.6912074e-10,5.9411673e-12,9.1635716e-10
