date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2008-01-01,60,51.53,12.9,2.1807287e-07,5.0662174e-12,1.3950701e-08,9.0529645e-10,1.7491001e-09
2008-01-02,60,51.53,12.9,2.8188782e-07,4.945866e-12,2.2916925e-08,4.3763637e-09,3.7407024e-09
2008-01-03,60,51.53,12.9,2.2053125e-07,4.5071043e-12,1.074105e-08,3.66076e-10,5.905572e-09
2008-01-04,60,51.53,12.9,2.4246862e-07,5.960403e-12,1.12123555e-08,5.26813e-10,4.573957e-09
2008-01-05,60,51.53,12.9,3.02179e-07,8.3370255e-12,1.9812758e-08,7.785338e-10,3.9030486e-09
2008-01-06,60,51.53,12.9,2.51619e-07,5.0974715e-12,1.6906828e-08,4.6385912e-10,2.4694908e-09
2008-01-07,60,51.53,12.9,2.1233971e-07,2.991241e-12,1.37757254e-08,1.9890156e-10,2.2640074e-09
2008-01-08,60,51.53,12.9,1.8136531e-07,1.291318e-12,7.797273e-09,4.401109e-10,1.8942552e-09
2008-01-09,60,51.53,12.9,2.3834542e-07,3.5143542e-12,1.3949304e-08,6.437459e-10,2.5070968e-09
2008-01-10,60,51.53,12.9,2.3162139e-07,4.6062607e-12,1.0101486e-08,6.761516e-10,1.9614135e-09
2008-01-11,60,51.53,12.9,2.3900873e-07,2.75497e-12,1.1560753e-08,3.6430614e-10,2.1725168e-09
2008-01-12,60,51.53,12.9,2.7745932e-07,6.4489004e-12,1.448158e-08,8.5608937e-10,2.672804e-09
2008-01-13,60,51.53,12.9,2.7120151e-07,3.737954e-12,2.0727498e-08,1.8658473e-09,2.6380642e-09
2008-01-14,60,51.53,12.9,3.1932285e-07,7.336673e-12,2.0156666e-08,1.426439e-09,3.3981287e-09
2008-01-15,60,51.53,12.9,2.3538858e-07,3.5456824e-12,1.1955981e-08,5.7430494e-10,2.1856519e-09
2008-01-16,60,51.53,12.9,2.1795721e-07,2.198907e-12,8.901681e-09,1.3988376e-10,2.041381e-09
2008-01-17,60,51.53,12.9,2.7758938e-07,7.944654e-12,1.8404098e-08,1.2286699e-09,2.7533276e-09
2008-01-18,60,51.53,12.9,1.9255904e-07,4.8707696e-12,7.797772e-09,2.5870533e-10,1.7131222e-09
2008-01-19,60,51.53,12.9,1.5671239e-07,4.884644e-12,5.9206746e-09,5.230685e-11,9.908232e-10
2008-01-20,60,51.53,12.9,1.8351795e-07,6.8509625e-12,1.0443722e-08,6.845972e-10,1.5758082e-09
2008-01-21,60,51.53,12.9,1.3897366e-07,4.056563e-12,5.9382983e-09,7.157596e-11,1.1596689e-09
2008-01-22,60,51.53,12.9,1.6025506e-07,3.797227e-12,4.8197677e-09,1.26283e-10,1.0403491e-09
2008-01-23,60,51.53,12.9,1.9717422e-07,5.7457507e-12,9.597951e-09,3.2068398e-10,1.8076236e-09
2008-01-24,60,51.53,12.9,2.1732795e-07,8.547933e-12,9.759278e-09,2.5233343e-10,1.7901501e-09
2008-01-25,60,51.53,12.9,1.8110137e-07,5.8611735e-12,5.9526166e-09,2.7634592e-10,1.7128872e-09
2008-01-26,60,51.53,12.9,1.9368773e-07,6.235502e-12,6.722933e-09,3.4936584e-10,1.8881876e-09
2008-01-27,60,51.53,12.9,1.7722947e-07,6.636994e-12,7.252173e-09,5.0964257e-11,1.5165633e-09
2008-01-28,60,51.53,12.9,2.2573421e-07,1.9396842e-11,1.60812e-08,5.386622e-10,1.3822534e-09
2008-01-29,60,51.53,12.9,2.633422e-07,2.5946795e-11,1.8995491e-08,6.9073536e-10,2.6317533e-09
2008-01-30,60,51.53,12.9,2.9419286e-07,2.874959e-11,2.4808921e-08,1.7492532e-09,2.748489e-09
2008-01-31,60,51.53,12.9,1.9741825e-07,1.2389666e-11,9.852719e-09,2.6284117e-10,1.3541647e-09
2008-02-01,60,51.53,12.9,1.9164892e-07,1.3347682e-11,5.4848304e-09,1.0504229e-10,9.244433e-10
2008-02-02,60,51.53,12.9,1.7874484e-07,1.3005904e-11,6.9920274e-09,2.9395156e-10,1.2123704e-09
2008-02-03,60,51.53,12.9,2.1110513e-07,1.9917925e-11,1.1439817e-08,4.3068105e-10,2.5142672e-09
2008-02-04,60,51.53,12.9,2.801783e-07,3.5596224e-11,1.8999916e-08,1.1806853e-09,3.3902228e-09
2008-02-05,60,51.53,12.9,2.1462868e-07,1.9546035e-11,8.2060465e-09,1.8939168e-10,1.5752026e-09
2008-02-06,60,51.53,12.9,1.6895864e-07,1.1050566e-11,5.825828e-09,1.549262e-10,1.1705237e-09
2008-02-07,60,51.53,12.9,1.6858641e-07,1.0726921e-11,6.643959e-09,1.405937e-10,1.4400936e-09
2008-02-08,60,51.53,12.9,2.6093738e-07,4.9105723e-11,2.1310349e-08,9.985934e-10,2.7222253e-09
2008-02-09,60,51.53,12.9,3.6191332e-07,1.03188263e-10,3.2089535e-08,1.0335366e-08,3.1965208e-09
2008-02-10,60,51.53,12.9,4.99268e-07,1.7422626e-10,1.9838092e-08,3.386439e-08,3.820888e-09
2008-02-11,60,51.53,12.9,4.5486735e-07,1.49019e-10,2.5058817e-08,2.6469563e-08,3.4269398e-09
2008-02-12,60,51.53,12.9,3.50108e-07,7.78165e-11,2.3693078e-08,1.1511638e-08,2.74551e-09
2008-02-13,60,51.53,12.9,3.863087e-07,9.1715524e-11,2.0569885e-08,1.4488643e-08,2.5394964e-09
2008-02-14,60,51.53,12.9,2.5417393e-07,3.5515403e-11,1.504488e-08,1.6777217e-09,9.373354e-10
2008-02-15,60,51.53,12.9,1.9718607e-07,2.3392822e-11,1.0704625e-08,2.9635644e-10,1.1458416e-09
2008-02-16,60,51.53,12.9,2.0630014e-07,4.4146915e-11,1.16859615e-08,4.808373e-10,1.4815201e-09
2008-02-17,60,51.53,12.9,2.2905463e-07,3.8259854e-11,1.4356816e-08,3.8518855e-10,2.3775506e-09
2008-02-18,60,51.53,12.9,2.2358458e-07,3.4401194e-11,1.634628e-08,4.4107884e-10,1.6729187e-09
2008-02-19,60,51.53,12.9,2.0492266e-07,4.5284127e-11,1.2480607e-08,3.1729058e-10,8.200897e-10
2008-02-20,60,51.53,12.9,2.7025735e-07,8.268556e-11,2.4459045e-08,3.3267915e-09,2.446886e-09
2008-02-21,60,51.53,12.9,2.726933e-07,5.5092327e-11,1.5558768e-08,3.694141e-10,1.3884303e-09
2008-02-22,60,51.53,12.9,1.9582647e-07,2.2587498e-11,7.763388e-09,1.8453448e-10,6.751266e-10
2008-02-23,60,51.53,12.9,1.6476082e-07,1.6719555e-11,5.6434715e-09,1.2852625e-10,9.093837e-10
2008-02-24,60,51.53,12.9,2.1235421e-07,3.9126116e-11,1.1881187e-08,4.4393272e-10,2.0157778e-09
2008-02-25,60,51.53,12.9,2.215276e-07,4.1117488e-11,1.3132452e-08,3.9892983e-10,1.9228308e-09
2008-02-26,60,51.53,12.9,2.0546145e-07,3.1117747e-11,1.1730203e-08,2.6083696e-10,1.5781323e-09
2008-02-27,60,51.53,12.9,1.7093501e-07,1.7805299e-11,6.2225984e-09,1.6466037e-10,1.0992379e-09
2008-02-28,60,51.53,12.9,1.844309e-07,3.092413e-11,7.680931e-09,1.975344e-10,1.7106058e-09
2008-02-29,60,51.53,12.9,2.2812883e-07,5.7723177e-11,1.6448695e-08,5.744785e-10,1.7334798e-09
2008-03-01,60,51.53,12.9,1.5688686e-07,2.159685e-11,5.1502176e-09,1.8509384e-10,5.97847e-10
2008-03-02,60,51.53,12.9,1.5351497e-07,1.6001311e-11,4.6661524e-09,1.09127124e-10,9.591772e-10
2008-03-03,60,51.53,12.9,1.6528747e-07,2.0941663e-11,6.8268706e-09,1.4475736e-10,1.3439526e-09
2008-03-04,60,51.53,12.9,1.7212425e-07,2.534267e-11,6.7870634e-09,2.0644896e-10,1.275217e-09
2008-03-05,60,51.53,12.9,1.6964505e-07,3.1817278e-11,6.921945e-09,2.4866048e-10,1.1951309e-09
2008-03-06,60,51.53,12.9,1.9074699e-07,3.838078e-11,1.0763349e-08,4.260412e-10,1.4503545e-09
2008-03-07,60,51.53,12.9,2.3318802e-07,1.1459028e-10,1.6921152e-08,1.1255912e-09,1.2418515e-09
2008-03-08,60,51.53,12.9,3.510582e-07,2.4049127e-10,2.337623e-08,1.8243705e-08,2.2131943e-09
2008-03-09,60,51.53,12.9,2.154741e-07,5.632035e-11,1.1624996e-08,3.3369196e-10,1.2763108e-09
2008-03-10,60,51.53,12.9,2.0597057e-07,3.8618827e-11,1.01462065e-08,1.6661861e-10,1.7616805e-09
2008-03-11,60,51.53,12.9,1.9402667e-07,2.478941e-11,7.0168884e-09,1.542488e-10,1.1971852e-09
2008-03-12,60,51.53,12.9,1.536007e-07,2.6818233e-11,5.6449876e-09,2.3516472e-10,8.974316e-10
2008-03-13,60,51.53,12.9,1.6160539e-07,1.8578316e-11,5.0555493e-09,2.1291179e-10,9.53706e-10
