date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2005-12-01 00:00:00,0 days,60.0,29.47,79.65,2005-12-01 00:00:00,1.5434866e-06,1.35225005e-08,1.2946053e-08,1.1150365e-08,1.05053095e-08
2005-12-01 03:00:00,0 days,60.0,29.47,79.65,2005-12-01 03:00:00,1.7790255e-06,2.1510413e-08,4.9089537e-09,1.7858016e-08,5.5655662e-09
2005-12-01 06:00:00,0 days,60.0,29.47,79.65,2005-12-01 06:00:00,3.4639012e-07,3.4899444e-10,9.598539e-10,2.1047275e-10,2.353699e-09
2005-12-01 09:00:00,0 days,60.0,29.47,79.65,2005-12-01 09:00:00,3.1622523e-07,2.6874256e-10,8.854899e-10,1.1921988e-10,2.3891462e-09
2005-12-01 12:00:00,0 days,60.0,29.47,79.65,2005-12-01 12:00:00,5.2716763e-07,3.5124328e-09,6.407412e-09,7.468505e-11,4.87781e-09
2005-12-01 15:00:00,0 days,60.0,29.47,79.65,2005-12-01 15:00:00,8.0496625e-07,5.7947704e-09,1.3040818e-08,1.3874626e-10,8.262194e-09
2005-12-01 18:00:00,0 days,60.0,29.47,79.65,2005-12-01 18:00:00,1.0505685e-06,6.101785e-09,2.0777932e-08,3.2208994e-10,1.2730279e-08
2005-12-01 21:00:00,0 days,60.0,29.47,79.65,2005-12-01 21:00:00,1.3413601e-06,7.815858e-09,2.5222164e-08,3.7432404e-09,1.530324e-08
2005-12-02 00:00:00,0 days,60.0,29.47,79.65,2005-12-02 00:00:00,1.5758965e-06,1.2906065e-08,3.7548322e-08,1.1306121e-08,1.0311142e-08
2005-12-02 03:00:00,0 days,60.0,29.47,79.65,2005-12-02 03:00:00,1.5704e-06,1.7137982e-08,2.1291164e-08,1.2724478e-08,5.348077e-09
2005-12-02 06:00:00,0 days,60.0,29.47,79.65,2005-12-02 06:00:00,2.98795e-07,2.6379582e-10,1.8587792e-09,2.4072105e-10,1.7915487e-09
2005-12-02 09:00:00,0 days,60.0,29.47,79.65,2005-12-02 09:00:00,2.6164355e-07,2.3984262e-10,1.2869577e-09,1.3949142e-10,1.8257991e-09
2005-12-02 12:00:00,0 days,60.0,29.47,79.65,2005-12-02 12:00:00,4.866715e-07,3.3254155e-09,6.514857e-09,6.595874e-11,4.7091455e-09
2005-12-02 15:00:00,0 days,60.0,29.47,79.65,2005-12-02 15:00:00,7.713203e-07,5.8653162e-09,1.3385008e-08,1.6975937e-10,8.233986e-09
2005-12-02 18:00:00,0 days,60.0,29.47,79.65,2005-12-02 18:00:00,1.0736971e-06,7.381214e-09,2.2714977e-08,9.580672e-10,1.3167621e-08
