date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2011-12-01 00:00:00,0 days,60.0,32.2,118.9,2011-12-01 00:00:00,2.7591597e-07,5.5521147e-11,1.3637683e-08,2.2547055e-09,2.4479046e-08
2011-12-01 03:00:00,0 days,60.0,32.2,118.9,2011-12-01 03:00:00,2.3551426e-07,2.6840925e-11,7.2867707e-09,2.7646574e-09,1.7424483e-08
2011-12-01 06:00:00,0 days,60.0,32.2,118.9,2011-12-01 06:00:00,2.3057102e-07,2.5549403e-11,8.420998e-09,1.940086e-09,1.6611946e-08
2011-12-01 09:00:00,0 days,60.0,32.2,118.9,2011-12-01 09:00:00,2.5468904e-07,4.6099416e-11,1.579883e-08,3.0584782e-10,2.0871802e-08
2011-12-01 12:00:00,0 days,60.0,32.2,118.9,2011-12-01 12:00:00,2.991782e-07,5.558607e-11,2.1947546e-08,4.6487414e-10,2.7516798e-08
2011-12-01 15:00:00,0 days,60.0,32.2,118.9,2011-12-01 15:00:00,3.0110877e-07,3.403962e-11,2.2470303e-08,5.478824e-10,3.0715128e-08
2011-12-01 18:00:00,0 days,60.0,32.2,118.9,2011-12-01 18:00:00,4.0991492e-07,5.3949737e-11,3.4282035e-08,4.795313e-09,5.0683283e-08
2011-12-01 21:00:00,0 days,60.0,32.2,118.9,2011-12-01 21:00:00,5.783768e-07,1.4192617e-10,3.6213432e-08,1.9863426e-08,6.4993124e-08
2011-12-02 00:00:00,0 days,60.0,32.2,118.9,2011-12-02 00:00:00,6.0183737e-07,1.8512539e-10,2.5852394e-08,2.2842464e-08,5.186564e-08
2011-12-02 03:00:00,0 days,60.0,32.2,118.9,2011-12-02 03:00:00,3.1368975e-07,2.3074608e-11,8.484812e-09,4.0353663e-09,2.3468031e-08
2011-12-02 06:00:00,0 days,60.0,32.2,118.9,2011-12-02 06:00:00,3.118231e-07,1.7622133e-11,8.275408e-09,2.5117672e-09,2.126107e-08
2011-12-02 09:00:00,0 days,60.0,32.2,118.9,2011-12-02 09:00:00,5.0264214e-07,1.521348e-10,3.6614953e-08,3.794423e-09,4.8317958e-08
2011-12-02 12:00:00,0 days,60.0,32.2,118.9,2011-12-02 12:00:00,1.1531664e-06,4.5303555e-10,3.9329297e-08,6.963222e-08,1.0065236e-07
