date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2011-04-01 00:00:00,0 days,60.0,53.14,13.03,2011-04-01 00:00:00,1.3921091e-07,7.57343e-11,8.919957e-09,3.950091e-11,1.1075765e-09
2011-04-01 03:00:00,0 days,60.0,53.14,13.03,2011-04-01 03:00:00,1.3354415e-07,6.236606e-11,7.951975e-09,3.4563817e-11,1.4279936e-09
2011-04-01 06:00:00,0 days,60.0,53.14,13.03,2011-04-01 06:00:00,1.3605867e-07,1.0826537e-10,6.4896417e-09,3.9138293e-10,1.5178936e-09
2011-04-01 09:00:00,0 days,60.0,53.14,13.03,2011-04-01 09:00:00,1.3379176e-07,7.39679e-11,3.759292e-09,7.78697e-10,1.2528448e-09
2011-04-01 12:00:00,0 days,60.0,53.14,13.03,2011-04-01 12:00:00,1.2941062e-07,7.910704e-11,3.3986811e-09,2.8022848e-10,5.340958e-10
2011-04-01 15:00:00,0 days,60.0,53.14,13.03,2011-04-01 15:00:00,1.2866265e-07,1.014046e-10,3.910492e-09,2.1077701e-10,3.885375e-10
2011-04-01 18:00:00,0 days,60.0,53.14,13.03,2011-04-01 18:00:00,1.3743795e-07,2.0585177e-10,7.924655e-09,6.1110325e-11,8.3258456e-10
2011-04-01 21:00:00,0 days,60.0,53.14,13.03,2011-04-01 21:00:00,1.4964671e-07,1.9168729e-10,1.2317314e-08,9.5504576e-11,1.5137055e-09
2011-04-02 00:00:00,0 days,60.0,53.14,13.03,2011-04-02 00:00:00,1.5658637e-07,1.6912377e-10,1.3930072e-08,1.2788766e-10,1.7349264e-09
2011-04-02 03:00:00,0 days,60.0,53.14,13.03,2011-04-02 03:00:00,1.7605545e-07,3.093191e-10,1.867852e-08,3.0347702e-10,1.8558162e-09
2011-04-02 06:00:00,0 days,60.0,53.14,13.03,2011-04-02 06:00:00,1.990255e-07,6.234428e-10,1.994841e-08,2.542894e-09,1.6202306e-09
2011-04-02 09:00:00,0 days,60.0,53.14,13.03,2011-04-02 09:00:00,1.644777e-07,2.5631866e-10,8.80563e-09,2.2591242e-09,8.65194e-10
2011-04-02 12:00:00,0 days,60.0,53.14,13.03,2011-04-02 12:00:00,1.342041e-07,6.731347e-11,5.2355e-09,9.228845e-10,4.739322e-10
2011-04-02 15:00:00,0 days,60.0,53.14,13.03,2011-04-02 15:00:00,1.2767242e-07,1.14467144e-10,4.7776694e-09,6.906971e-10,7.4400447e-10
2011-04-02 18:00:00,0 days,60.0,53.14,13.03,2011-04-02 18:00:00,1.4383822e-07,3.209208e-10,1.1337356e-08,1.0686242e-10,1.4453326e-09
2011-04-02 21:00:00,0 days,60.0,53.14,13.03,2011-04-02 21:00:00,1.5130625e-07,2.1769386e-10,1.3441252e-08,9.206455e-11,2.1028537e-09
2011-04-03 00:00:00,0 days,60.0,53.14,13.03,2011-04-03 00:00:00,1.5879954e-07,1.5608395e-10,1.5080968e-08,1.0658256e-10,3.010656e-09
2011-04-03 03:00:00,0 days,60.0,53.14,13.03,2011-04-03 03:00:00,1.757401e-07,2.0881302e-10,1.7861556e-08,1.4871968e-10,3.578713e-09
2011-04-03 06:00:00,0 days,60.0,53.14,13.03,2011-04-03 06:00:00,1.9718865e-07,4.335392e-10,1.7671164e-08,2.360682e-09,2.8555986e-09
2011-04-03 09:00:00,0 days,60.0,53.14,13.03,2011-04-03 09:00:00,1.9875719e-07,3.615312e-10,1.2452456e-08,4.557301e-09,2.0245463e-09
2011-04-03 12:00:00,0 days,60.0,53.14,13.03,2011-04-03 12:00:00,1.7930601e-07,9.155766e-11,6.4283334e-09,1.6095647e-09,1.2730828e-09
2011-04-03 15:00:00,0 days,60.0,53.14,13.03,2011-04-03 15:00:00,1.7037883e-07,1.0514135e-10,6.373986e-09,5.684057e-10,9.538526e-10
2011-04-03 18:00:00,0 days,60.0,53.14,13.03,2011-04-03 18:00:00,1.7351752e-07,2.2890981e-10,1.0224689e-08,3.8078953e-11,1.1201124e-09
2011-04-03 21:00:00,0 days,60.0,53.14,13.03,2011-04-03 21:00:00,1.7439845e-07,1.9371603e-10,1.1846812e-08,8.2029696e-11,1.4548788e-09
2011-04-04 00:00:00,0 days,60.0,53.14,13.03,2011-04-04 00:00:00,1.674596e-07,1.3923693e-10,9.776215e-09,8.839714e-11,3.5487438e-10
2011-04-04 03:00:00,0 days,60.0,53.14,13.03,2011-04-04 03:00:00,1.628334e-07,1.569162e-10,8.7368e-09,8.603828e-11,5.0457605e-10
2011-04-04 06:00:00,0 days,60.0,53.14,13.03,2011-04-04 06:00:00,1.6698638e-07,2.9827577e-10,9.670394e-09,1.7452964e-10,5.278783e-10
2011-04-04 09:00:00,0 days,60.0,53.14,13.03,2011-04-04 09:00:00,1.5912005e-07,2.3143265e-10,5.6770397e-09,1.354618e-09,3.7823236e-10
2011-04-04 12:00:00,0 days,60.0,53.14,13.03,2011-04-04 12:00:00,1.471777e-07,7.796075e-11,4.352441e-09,8.725347e-10,4.5374837e-10
2011-04-04 15:00:00,0 days,60.0,53.14,13.03,2011-04-04 15:00:00,1.5131593e-07,8.776847e-11,4.6097153e-09,5.794627e-10,6.163081e-10
2011-04-04 18:00:00,0 days,60.0,53.14,13.03,2011-04-04 18:00:00,1.686537e-07,2.8490726e-10,1.0388096e-08,7.390487e-11,1.1932478e-09
2011-04-04 21:00:00,0 days,60.0,53.14,13.03,2011-04-04 21:00:00,1.8060557e-07,2.2208677e-10,1.3026895e-08,9.5235736e-11,1.6701244e-09
2011-04-05 00:00:00,0 days,60.0,53.14,13.03,2011-04-05 00:00:00,1.8477e-07,1.4849091e-10,1.382773e-08,1.0086908e-10,2.11141e-09
2011-04-05 03:00:00,0 days,60.0,53.14,13.03,2011-04-05 03:00:00,2.0224135e-07,2.758718e-10,1.8691804e-08,2.0640184e-10,2.654156e-09
