date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2003-01-01,60,44.65,11.62,7.892764e-07,1.3565625e-10,2.7638668e-08,5.0179402e-08,8.6233145e-09
2003-01-02,60,44.65,11.62,8.1134954e-07,1.8935636e-10,2.453193e-08,5.2081425e-08,8.296387e-09
2003-01-03,60,44.65,11.62,5.713366e-07,1.1629848e-10,2.417574e-08,3.028419e-08,7.18107e-09
2003-01-04,60,44.65,11.62,6.324645e-07,1.2242987e-10,2.6202079e-08,3.6182577e-08,6.9366837e-09
2003-01-05,60,44.65,11.62,4.2584787e-07,5.7522907e-11,2.336077e-08,1.4451672e-08,7.252484e-09
2003-01-06,60,44.65,11.62,4.819615e-07,8.277915e-11,1.6301726e-08,2.0346192e-08,6.8917454e-09
2003-01-07,60,44.65,11.62,3.4703174e-07,3.710423e-11,1.5982534e-08,3.4450087e-09,5.1167772e-09
2003-01-08,60,44.65,11.62,3.4471415e-07,4.468296e-11,1.7928487e-08,3.646172e-09,7.2420665e-09
2003-01-09,60,44.65,11.62,3.9178158e-07,4.3093744e-11,1.8126935e-08,5.5510077e-09,6.4315544e-09
2003-01-10,60,44.65,11.62,6.7683027e-07,1.1965008e-10,1.873569e-08,3.429934e-08,9.046227e-09
2003-01-11,60,44.65,11.62,3.594684e-07,4.188553e-11,1.7043027e-08,4.9824385e-09,6.542196e-09
2003-01-12,60,44.65,11.62,3.2721647e-07,4.0316566e-11,1.6229052e-08,5.0514566e-09,6.239037e-09
2003-01-13,60,44.65,11.62,6.32401e-07,1.2726005e-10,2.3533426e-08,2.6873941e-08,8.959209e-09
2003-01-14,60,44.65,11.62,1.0065102e-06,2.5612856e-10,2.5606845e-08,5.9155266e-08,1.0039125e-08
2003-01-15,60,44.65,11.62,1.146742e-06,2.7756492e-10,2.3537345e-08,6.7087214e-08,1.0479087e-08
2003-01-16,60,44.65,11.62,9.010894e-07,2.244539e-10,2.5454986e-08,4.2932665e-08,8.9057295e-09
2003-01-17,60,44.65,11.62,9.805493e-07,1.6324722e-10,2.7057707e-08,5.221667e-08,9.016338e-09
2003-01-18,60,44.65,11.62,7.746819e-07,1.01588515e-10,2.7682008e-08,2.7648195e-08,9.752483e-09
2003-01-19,60,44.65,11.62,8.498423e-07,1.4955746e-10,2.7295338e-08,4.1533422e-08,1.0430767e-08
2003-01-20,60,44.65,11.62,1.0417571e-06,2.725618e-10,2.4027228e-08,6.346942e-08,1.1848726e-08
2003-01-21,60,44.65,11.62,6.726651e-07,1.372382e-10,2.9036265e-08,2.795196e-08,1.0086403e-08
2003-01-22,60,44.65,11.62,5.523728e-07,1.0045085e-10,2.685697e-08,1.6871361e-08,7.838877e-09
2003-01-23,60,44.65,11.62,8.051454e-07,1.6119313e-10,2.4930921e-08,4.2537298e-08,1.0583585e-08
2003-01-24,60,44.65,11.62,6.1451135e-07,7.817404e-11,2.5842764e-08,2.5441114e-08,9.23053e-09
2003-01-25,60,44.65,11.62,3.8864084e-07,2.7616453e-11,1.783806e-08,7.224761e-09,6.184598e-09
2003-01-26,60,44.65,11.62,5.264834e-07,5.552947e-11,2.083429e-08,1.8631109e-08,8.470185e-09
2003-01-27,60,44.65,11.62,5.3611365e-07,8.6316385e-11,2.5290877e-08,1.890096e-08,1.0172588e-08
2003-01-28,60,44.65,11.62,7.7379735e-07,1.6740276e-10,2.8737158e-08,3.9512262e-08,1.11403695e-08
2003-01-29,60,44.65,11.62,9.529709e-07,1.964703e-10,2.5538638e-08,6.060525e-08,1.2043245e-08
2003-01-30,60,44.65,11.62,9.3437643e-07,2.2197705e-10,2.8126593e-08,5.6489682e-08,1.2164642e-08
2003-01-31,60,44.65,11.62,6.619308e-07,1.5207813e-10,2.791197e-08,3.472961e-08,1.0537019e-08
2003-02-01,60,44.65,11.62,2.7801315e-07,2.2676791e-11,1.5973699e-08,1.7730548e-09,6.475194e-09
2003-02-02,60,44.65,11.62,3.606005e-07,5.894795e-11,1.9204238e-08,7.598493e-09,8.745133e-09
2003-02-03,60,44.65,11.62,6.172751e-07,1.6776293e-10,2.4678755e-08,3.2276986e-08,1.1976034e-08
2003-02-04,60,44.65,11.62,4.746666e-07,1.10471146e-10,2.4979423e-08,1.6359403e-08,8.1586276e-09
2003-02-05,60,44.65,11.62,3.8897548e-07,5.6215248e-11,2.6299665e-08,6.772317e-09,7.761367e-09
2003-02-06,60,44.65,11.62,3.3038583e-07,5.5548625e-11,2.5063082e-08,2.4850506e-09,8.2775795e-09
2003-02-07,60,44.65,11.62,4.8031796e-07,1.1692725e-10,2.7835235e-08,1.648942e-08,1.0788033e-08
2003-02-08,60,44.65,11.62,6.5103336e-07,2.0509579e-10,2.553333e-08,3.48112e-08,1.1612568e-08
2003-02-09,60,44.65,11.62,4.3680046e-07,1.00164536e-10,2.0913738e-08,1.2587943e-08,9.669795e-09
2003-02-10,60,44.65,11.62,4.5808173e-07,7.7402924e-11,2.1360103e-08,1.3810646e-08,1.1400002e-08
2003-02-11,60,44.65,11.62,5.4449487e-07,9.0179364e-11,2.1917643e-08,2.3504933e-08,1.2276836e-08
2003-02-12,60,44.65,11.62,3.1231042e-07,2.5599802e-11,1.5103952e-08,2.7512703e-09,8.172914e-09
2003-02-13,60,44.65,11.62,2.8616805e-07,2.7626592e-11,1.6410176e-08,1.1831258e-09,7.3099953e-09
2003-02-14,60,44.65,11.62,3.0341943e-07,3.8241826e-11,1.8844897e-08,1.5284088e-09,8.370231e-09
2003-02-15,60,44.65,11.62,5.855233e-07,1.1267727e-10,2.25503e-08,2.9571419e-08,1.26022535e-08
2003-02-16,60,44.65,11.62,2.7113708e-07,2.8453864e-11,1.3773777e-08,6.1951594e-10,6.6219705e-09
2003-02-17,60,44.65,11.62,2.5970482e-07,1.9709422e-11,9.121333e-09,3.7665046e-10,6.1886176e-09
2003-02-18,60,44.65,11.62,3.42068e-07,6.350806e-11,1.7030379e-08,5.014477e-09,7.840479e-09
2003-02-19,60,44.65,11.62,4.659542e-07,1.4442525e-10,2.1221485e-08,1.5739767e-08,9.912562e-09
2003-02-20,60,44.65,11.62,5.183298e-07,2.2781263e-10,2.2119064e-08,2.1514467e-08,1.12558265e-08
2003-02-21,60,44.65,11.62,5.4661496e-07,2.7214098e-10,2.2485503e-08,2.468556e-08,1.1305224e-08
2003-02-22,60,44.65,11.62,3.7871598e-07,1.4000112e-10,1.9691607e-08,8.2322815e-09,8.676353e-09
2003-02-23,60,44.65,11.62,3.4879434e-07,1.405723e-10,2.1249273e-08,4.8141136e-09,8.353297e-09
2003-02-24,60,44.65,11.62,6.046583e-07,3.8805878e-10,2.4162484e-08,3.000856e-08,1.1221206e-08
2003-02-25,60,44.65,11.62,6.6839794e-07,4.8372323e-10,2.7745369e-08,3.5587405e-08,1.0871333e-08
2003-02-26,60,44.65,11.62,5.4095864e-07,4.2844644e-10,2.745311e-08,2.1298085e-08,9.430874e-09
2003-02-27,60,44.65,11.62,6.1738945e-07,5.3766125e-10,2.3526631e-08,2.995344e-08,8.899807e-09
2003-02-28,60,44.65,11.62,7.658711e-07,6.1480326e-10,2.3311271e-08,4.3879364e-08,1.0549396e-08
2003-03-01,60,44.65,11.62,7.204614e-07,7.610567e-10,2.19643e-08,3.8622765e-08,1.0208516e-08
2003-03-02,60,44.65,11.62,6.476002e-07,6.3175554e-10,2.5553888e-08,3.271348e-08,9.393201e-09
2003-03-03,60,44.65,11.62,3.7921922e-07,2.3880112e-10,2.3365525e-08,3.5405205e-09,6.01621e-09
2003-03-04,60,44.65,11.62,5.1698936e-07,4.318128e-10,2.6201988e-08,2.0241718e-08,8.622998e-09
2003-03-05,60,44.65,11.62,5.548112e-07,5.825562e-10,2.4579869e-08,2.521558e-08,9.257237e-09
2003-03-06,60,44.65,11.62,6.933261e-07,9.752729e-10,2.6465347e-08,3.8181764e-08,9.367812e-09
2003-03-07,60,44.65,11.62,4.695019e-07,4.8137283e-10,2.4805226e-08,9.544867e-09,7.982621e-09
2003-03-08,60,44.65,11.62,6.59787e-07,7.2857875e-10,2.145096e-08,3.2115423e-08,8.975354e-09
2003-03-09,60,44.65,11.62,6.0061654e-07,6.482044e-10,2.4016142e-08,2.1570665e-08,8.956518e-09
2003-03-10,60,44.65,11.62,7.456001e-07,1.0733211e-09,2.9205157e-08,3.5129204e-08,9.170458e-09
2003-03-11,60,44.65,11.62,8.067224e-07,1.1224021e-09,2.8198187e-08,4.302945e-08,9.263754e-09
2003-03-12,60,44.65,11.62,4.4535267e-07,5.215744e-10,2.5205098e-08,1.115363e-08,7.854969e-09
2003-03-13,60,44.65,11.62,5.219469e-07,6.1324834e-10,2.4764617e-08,2.0441046e-08,7.879997e-09
2003-03-14,60,44.65,11.62,2.2839863e-07,1.2998426e-10,1.0305701e-08,3.0083389e-10,3.5772976e-09
2003-03-15,60,44.65,11.62,2.824812e-07,1.7167576e-10,1.5734924e-08,1.3892733e-09,5.298359e-09
2003-03-16,60,44.65,11.62,3.797291e-07,2.677586e-10,1.3016779e-08,1.1825948e-08,5.490529e-09
