date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2009-04-01 00:00:00,0 days,60.0,55.55,22.0,2009-04-01 00:00:00,1.8412759e-07,1.9988827e-11,4.9935442e-09,1.4046342e-11,2.0431714e-09
2009-04-01 03:00:00,0 days,60.0,55.55,22.0,2009-04-01 03:00:00,1.7831918e-07,2.502139e-11,3.87077e-09,1.3167913e-11,1.7604302e-09
2009-04-01 06:00:00,0 days,60.0,55.55,22.0,2009-04-01 06:00:00,1.726263e-07,4.14901e-11,3.2889198e-09,6.3580155e-11,1.1099536e-09
2009-04-01 09:00:00,0 days,60.0,55.55,22.0,2009-04-01 09:00:00,1.5947825e-07,3.9583746e-11,2.4262015e-09,2.6435862e-10,4.1785225e-10
2009-04-01 12:00:00,0 days,60.0,55.55,22.0,2009-04-01 12:00:00,1.4723483e-07,1.258858e-11,9.0780783e-10,2.330431e-10,4.3369408e-10
2009-04-01 15:00:00,0 days,60.0,55.55,22.0,2009-04-01 15:00:00,1.4342085e-07,1.3090003e-11,7.4483164e-10,1.01687145e-10,4.846461e-10
2009-04-01 18:00:00,0 days,60.0,55.55,22.0,2009-04-01 18:00:00,1.5355452e-07,3.5112892e-11,1.6593014e-09,1.13839355e-11,9.1829494e-10
2009-04-01 21:00:00,0 days,60.0,55.55,22.0,2009-04-01 21:00:00,1.6703507e-07,3.5879293e-11,2.4941487e-09,1.7628251e-11,1.4989258e-09
2009-04-02 00:00:00,0 days,60.0,55.55,22.0,2009-04-02 00:00:00,1.8308845e-07,3.551998e-11,3.2509413e-09,2.533905e-11,2.0334288e-09
2009-04-02 03:00:00,0 days,60.0,55.55,22.0,2009-04-02 03:00:00,1.9777191e-07,6.427722e-11,3.989229e-09,3.1748697e-11,2.1173938e-09
2009-04-02 06:00:00,0 days,60.0,55.55,22.0,2009-04-02 06:00:00,2.050078e-07,1.0556794e-10,3.4524057e-09,5.999198e-10,1.681037e-09
2009-04-02 09:00:00,0 days,60.0,55.55,22.0,2009-04-02 09:00:00,1.654878e-07,1.7413035e-11,9.766968e-10,2.5866287e-10,6.583063e-10
2009-04-02 12:00:00,0 days,60.0,55.55,22.0,2009-04-02 12:00:00,1.5604314e-07,8.864062e-12,2.2456782e-10,1.661572e-10,5.057256e-10
2009-04-02 15:00:00,0 days,60.0,55.55,22.0,2009-04-02 15:00:00,1.5366125e-07,1.6841431e-11,5.973136e-10,1.2019671e-10,6.318899e-10
2009-04-02 18:00:00,0 days,60.0,55.55,22.0,2009-04-02 18:00:00,1.8301854e-07,8.8842864e-11,3.6126306e-09,3.190826e-11,1.6228441e-09
2009-04-02 21:00:00,0 days,60.0,55.55,22.0,2009-04-02 21:00:00,2.1098805e-07,8.946187e-11,5.523985e-09,3.4108442e-11,2.3563365e-09
2009-04-03 00:00:00,0 days,60.0,55.55,22.0,2009-04-03 00:00:00,2.5614708e-07,8.161947e-11,7.1829485e-09,3.894405e-11,2.6907456e-09
2009-04-03 03:00:00,0 days,60.0,55.55,22.0,2009-04-03 03:00:00,2.864362e-07,1.06053916e-10,7.5906e-09,3.5940147e-11,2.7638052e-09
2009-04-03 06:00:00,0 days,60.0,55.55,22.0,2009-04-03 06:00:00,2.966605e-07,1.4009796e-10,6.7815082e-09,7.584178e-10,2.596475e-09
2009-04-03 09:00:00,0 days,60.0,55.55,22.0,2009-04-03 09:00:00,2.35347e-07,3.986965e-11,3.5906227e-09,6.990407e-10,2.1891935e-09
2009-04-03 12:00:00,0 days,60.0,55.55,22.0,2009-04-03 12:00:00,1.8867625e-07,1.4377253e-11,1.5467652e-09,3.8984235e-10,1.5428296e-09
