date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2010-10-01 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 00:00:00,6.143348e-07,1.5516694e-08,2.6275181e-08,3.98454e-09,2.038385e-08
2010-10-01 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 03:00:00,6.686822e-07,1.2677438e-08,3.2131297e-08,6.53106e-09,2.8831423e-08
2010-10-01 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 06:00:00,5.4063037e-07,9.018013e-09,2.7150625e-08,1.2194055e-10,1.8062298e-08
2010-10-01 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 09:00:00,5.1306e-07,1.324002e-08,2.234133e-08,5.4910887e-10,1.3584291e-08
2010-10-01 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 12:00:00,4.3313338e-07,8.630278e-09,1.0699455e-08,1.7454249e-09,7.1932513e-09
2010-10-01 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 15:00:00,4.20057e-07,6.206291e-09,6.7017094e-09,1.6891123e-09,5.7329865e-09
2010-10-01 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 18:00:00,3.716304e-07,7.641872e-09,9.376682e-09,3.941694e-10,5.8604632e-09
2010-10-01 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-01 21:00:00,3.621155e-07,9.816363e-09,1.2184843e-08,1.5965107e-10,8.226953e-09
2010-10-02 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 00:00:00,4.4688704e-07,1.5073951e-08,2.3087775e-08,7.7661444e-10,1.6369889e-08
2010-10-02 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 03:00:00,4.6782674e-07,1.09160485e-08,2.4098611e-08,3.4075778e-10,1.8674202e-08
2010-10-02 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 06:00:00,5.630865e-07,1.3004934e-08,2.9136782e-08,2.025681e-09,2.195672e-08
2010-10-02 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 09:00:00,5.657846e-07,1.7903893e-08,2.3097755e-08,1.8315112e-09,1.04963735e-08
2010-10-02 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 12:00:00,5.218427e-07,1.5312471e-08,1.3478971e-08,3.2613814e-09,2.8193219e-09
2010-10-02 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 15:00:00,4.495556e-07,3.927254e-09,5.3817297e-09,7.091357e-10,4.92412e-09
2010-10-02 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 18:00:00,3.742e-07,3.5495415e-09,3.5900292e-09,1.5058899e-10,3.8052956e-09
2010-10-02 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-02 21:00:00,3.432104e-07,1.0042276e-08,9.027065e-09,1.907414e-10,6.394923e-09
2010-10-03 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 00:00:00,2.6895208e-07,4.9961963e-09,6.8880155e-09,4.8222183e-11,5.0373004e-09
2010-10-03 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 03:00:00,1.9717774e-07,2.442096e-09,6.9051675e-09,9.140575e-11,6.5487296e-09
2010-10-03 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 06:00:00,1.5279478e-07,2.2976754e-09,6.3307994e-09,8.2885504e-11,6.0439227e-09
2010-10-03 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 09:00:00,1.2528058e-07,3.1255212e-09,5.224492e-09,6.800657e-11,4.605195e-09
2010-10-03 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 12:00:00,1.07884574e-07,2.9514342e-09,3.2877605e-09,2.758796e-10,3.0463299e-09
2010-10-03 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 15:00:00,1.02999664e-07,2.2982405e-09,2.4931257e-09,3.1829842e-10,2.5398972e-09
2010-10-03 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 18:00:00,1.0315152e-07,2.4458553e-09,2.6191387e-09,2.1912894e-10,2.5558329e-09
2010-10-03 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-03 21:00:00,1.0585866e-07,3.2035872e-09,3.885093e-09,4.9566063e-11,3.4090695e-09
2010-10-04 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 00:00:00,1.2526947e-07,4.3043533e-09,6.558528e-09,8.190655e-11,5.93176e-09
2010-10-04 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 03:00:00,1.4908451e-07,3.6973307e-09,9.794498e-09,9.797607e-11,9.226011e-09
2010-10-04 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 06:00:00,1.6425696e-07,3.858075e-09,1.0876095e-08,1.5350468e-10,1.0034311e-08
2010-10-04 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 09:00:00,1.6915025e-07,5.992849e-09,1.0255189e-08,1.2256871e-11,8.084138e-09
2010-10-04 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 12:00:00,1.5563401e-07,4.4504733e-09,6.2516383e-09,1.1148893e-09,4.3585637e-09
2010-10-04 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 15:00:00,1.5351299e-07,2.434012e-09,3.7387995e-09,4.8355375e-10,2.9449554e-09
2010-10-04 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 18:00:00,1.5600025e-07,2.0374191e-09,3.2331844e-09,5.1092136e-10,3.4195824e-09
2010-10-04 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-04 21:00:00,1.8487522e-07,5.804877e-09,8.308692e-09,1.3208812e-10,7.200552e-09
2010-10-05 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 00:00:00,2.5626764e-07,9.667315e-09,1.7168137e-08,8.8193997e-10,1.47016115e-08
2010-10-05 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 03:00:00,3.1815176e-07,8.726346e-09,2.0213772e-08,4.0557553e-09,2.1753156e-08
2010-10-05 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 06:00:00,5.444742e-07,1.6060644e-08,1.9487501e-08,2.3191387e-08,2.9726877e-08
2010-10-05 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 09:00:00,5.692448e-07,2.4566184e-08,1.6497872e-08,2.4730515e-08,1.5101298e-08
2010-10-05 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 12:00:00,2.6412843e-07,7.199281e-09,1.4824761e-08,1.8585216e-09,5.1053153e-09
2010-10-05 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 15:00:00,2.2571632e-07,3.3759529e-09,8.1703355e-09,8.89132e-10,4.882121e-09
2010-10-05 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 18:00:00,1.9448449e-07,2.1084334e-09,5.156549e-09,4.2306547e-10,4.0325547e-09
2010-10-05 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-05 21:00:00,1.8139576e-07,3.754911e-09,7.034509e-09,6.099959e-11,5.6524208e-09
2010-10-06 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 00:00:00,1.763167e-07,3.4681986e-09,7.0105726e-09,5.5339795e-11,6.092602e-09
2010-10-06 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 03:00:00,1.9445943e-07,3.219526e-09,9.739167e-09,1.11049614e-10,8.882948e-09
2010-10-06 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 06:00:00,2.1816118e-07,5.3564504e-09,1.205649e-08,1.6601762e-10,1.0468093e-08
2010-10-06 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 09:00:00,2.1191305e-07,9.3458254e-09,9.185122e-09,1.0194323e-10,7.202162e-09
2010-10-06 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 12:00:00,2.0772654e-07,2.3726128e-09,1.0991231e-08,1.981087e-09,5.7175056e-09
2010-10-06 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 15:00:00,2.1405893e-07,6.025949e-10,5.0297047e-09,4.735242e-10,4.660712e-09
2010-10-06 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 18:00:00,2.0506985e-07,1.0002282e-09,3.897009e-09,3.901798e-10,4.455508e-09
2010-10-06 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-06 21:00:00,2.1533909e-07,5.007047e-09,9.041173e-09,8.430716e-11,7.967005e-09
2010-10-07 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 00:00:00,2.8191778e-07,8.7832746e-09,1.7681618e-08,2.4153812e-10,1.50741e-08
2010-10-07 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 03:00:00,3.1542754e-07,7.9435285e-09,2.1813266e-08,3.670842e-10,1.924624e-08
2010-10-07 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 06:00:00,4.108187e-07,1.12962e-08,2.6691968e-08,4.1269748e-09,2.481313e-08
2010-10-07 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 09:00:00,5.9985837e-07,2.8568062e-08,2.2456497e-08,1.8674202e-08,1.990043e-08
2010-10-07 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 12:00:00,4.7308075e-07,1.1573506e-08,1.7832766e-08,5.5208775e-09,1.0233543e-08
2010-10-07 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 15:00:00,3.4189227e-07,2.1771205e-09,4.453362e-09,5.940795e-10,3.6926568e-09
2010-10-07 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 18:00:00,3.3714502e-07,4.748644e-09,5.5544023e-09,3.349921e-10,4.4542476e-09
2010-10-07 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-07 21:00:00,3.5133638e-07,8.398089e-09,9.058743e-09,6.4098456e-11,6.5336994e-09
2010-10-08 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 00:00:00,3.4905472e-07,6.7211143e-09,9.841701e-09,6.765228e-11,8.121599e-09
2010-10-08 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 03:00:00,3.3614148e-07,4.259358e-09,7.842896e-09,2.32003e-11,6.3833543e-09
2010-10-08 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 06:00:00,3.424446e-07,5.446915e-09,7.5119715e-09,2.92333e-11,5.403144e-09
2010-10-08 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 09:00:00,3.178787e-07,8.953435e-09,6.287864e-09,7.744301e-11,4.654292e-09
2010-10-08 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 12:00:00,2.576445e-07,4.090372e-09,2.8270755e-09,6.7837086e-10,3.1742937e-09
2010-10-08 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 15:00:00,1.9964543e-07,1.4796374e-09,1.4320046e-09,3.0761735e-10,2.3127429e-09
2010-10-08 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 18:00:00,1.67369e-07,1.501018e-09,2.0221407e-09,4.4215254e-10,2.7257023e-09
2010-10-08 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-08 21:00:00,1.8171897e-07,4.774039e-09,6.665342e-09,8.6292966e-11,6.033914e-09
2010-10-09 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 00:00:00,2.6176738e-07,9.142665e-09,1.7278708e-08,4.625007e-10,1.4648678e-08
2010-10-09 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 03:00:00,1.6747035e-07,2.1122817e-09,7.383591e-09,5.7219434e-11,7.1789596e-09
2010-10-09 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 06:00:00,1.4066072e-07,1.6534033e-09,5.3670814e-09,4.4842397e-11,5.2522573e-09
2010-10-09 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 09:00:00,1.4711878e-07,4.220051e-09,6.7298105e-09,6.809926e-11,5.8701763e-09
2010-10-09 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 12:00:00,1.15160816e-07,1.841924e-09,2.5551885e-09,3.4720388e-10,2.6399496e-09
2010-10-09 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 15:00:00,1.0965507e-07,1.0356804e-09,1.5792032e-09,2.9928354e-10,2.1282704e-09
2010-10-09 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 18:00:00,1.0606196e-07,1.2158884e-09,1.7803883e-09,2.4112126e-10,2.2099536e-09
2010-10-09 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-09 21:00:00,1.0986893e-07,2.5652318e-09,3.8303947e-09,1.7148902e-11,3.4873886e-09
2010-10-10 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 00:00:00,1.1837199e-07,2.704383e-09,5.5970886e-09,6.419822e-11,5.296253e-09
2010-10-10 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 03:00:00,1.2983735e-07,2.4033355e-09,7.55231e-09,7.665216e-11,7.321795e-09
2010-10-10 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 06:00:00,1.4224311e-07,3.4464698e-09,9.1982795e-09,1.16172724e-10,8.560085e-09
2010-10-10 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 09:00:00,1.4301692e-07,5.98122e-09,8.623218e-09,1.2190923e-10,7.251996e-09
2010-10-10 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 12:00:00,8.908077e-08,1.677952e-09,2.1592297e-09,5.191749e-10,2.5753542e-09
2010-10-10 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 15:00:00,8.731824e-08,7.639501e-10,1.259707e-09,3.238948e-10,2.1203963e-09
2010-10-10 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 18:00:00,8.913338e-08,1.1223423e-09,1.5576715e-09,2.518407e-10,2.086882e-09
2010-10-10 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-10 21:00:00,1.0101458e-07,2.8729918e-09,4.0935797e-09,2.160444e-11,3.9811e-09
2010-10-11 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 00:00:00,1.0874618e-07,3.1063705e-09,5.7824123e-09,7.415778e-11,5.5715716e-09
2010-10-11 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 03:00:00,1.3137068e-07,3.078827e-09,9.006398e-09,1.3076362e-10,8.977514e-09
2010-10-11 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 06:00:00,1.5875494e-07,4.5920805e-09,1.211477e-08,2.2597099e-10,1.1408138e-08
2010-10-11 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 09:00:00,2.143002e-07,1.1140833e-08,1.539046e-08,1.3014079e-09,1.224751e-08
2010-10-11 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 12:00:00,1.0128728e-07,2.3449354e-09,4.1389976e-09,7.23525e-10,3.2502583e-09
2010-10-11 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 15:00:00,9.337231e-08,9.2313995e-10,1.7548758e-09,3.3237246e-10,2.2416486e-09
2010-10-11 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 18:00:00,9.414558e-08,1.2343858e-09,1.882836e-09,2.1454657e-10,2.1180884e-09
2010-10-11 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-11 21:00:00,9.6237564e-08,2.1788074e-09,3.206579e-09,3.61224e-11,2.8371117e-09
2010-10-12 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 00:00:00,1.01980305e-07,1.9355595e-09,4.718939e-09,5.605731e-11,4.419454e-09
2010-10-12 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 03:00:00,1.1501631e-07,1.6717087e-09,6.6176105e-09,8.683017e-11,6.539843e-09
2010-10-12 06:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 06:00:00,1.3031081e-07,2.7073723e-09,8.444678e-09,1.3113544e-10,8.0261575e-09
2010-10-12 09:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 09:00:00,1.5019407e-07,6.5210495e-09,1.0131775e-08,2.1578031e-10,8.320995e-09
2010-10-12 12:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 12:00:00,9.043001e-08,1.4213392e-09,2.3295907e-09,8.198935e-10,2.803068e-09
2010-10-12 15:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 15:00:00,8.3422734e-08,5.3422694e-10,9.838581e-10,3.4030745e-10,2.2487605e-09
2010-10-12 18:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 18:00:00,7.995995e-08,6.945851e-10,1.0931807e-09,2.9258307e-10,2.1487523e-09
2010-10-12 21:00:00,0 days,60.0,-23.6,-46.6,2010-10-12 21:00:00,8.625499e-08,2.21578e-09,3.3394816e-09,6.066404e-11,3.4691785e-09
2010-10-13 00:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 00:00:00,1.0164801e-07,3.0241516e-09,5.9550995e-09,8.0660145e-11,5.6596203e-09
2010-10-13 03:00:00,0 days,60.0,-23.6,-46.6,2010-10-13 03:00:00,1.2776025e-07,3.2224503e-09,9.646241e-09,1.5098867e-10,9.062516e-09
