date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2006-01-01,60,47.91,7.91,2.1410378e-07,5.245942e-11,1.1421618e-08,8.864961e-10,1.9805453e-09
2006-01-02,60,47.91,7.91,4.0788814e-07,1.317045e-10,2.6972636e-08,1.0687816e-08,3.8440873e-09
2006-01-03,60,47.91,7.91,3.0001277e-07,6.373926e-11,2.0791498e-08,1.3723811e-09,3.012119e-09
2006-01-04,60,47.91,7.91,2.9248997e-07,5.0566322e-11,1.7725096e-08,2.638696e-09,2.9364184e-09
2006-01-05,60,47.91,7.91,3.050892e-07,4.909491e-11,1.8573974e-08,1.6525993e-09,2.9653893e-09
2006-01-06,60,47.91,7.91,4.0230682e-07,9.684457e-11,2.8169506e-08,6.687141e-09,3.1731415e-09
2006-01-07,60,47.91,7.91,4.2108513e-07,1.1559749e-10,3.042286e-08,6.90666e-09,3.139638e-09
2006-01-08,60,47.91,7.91,4.706539e-07,1.402069e-10,2.8828664e-08,1.2568677e-08,3.3834207e-09
2006-01-09,60,47.91,7.91,5.310289e-07,1.7392474e-10,3.069505e-08,1.8563007e-08,3.6548518e-09
2006-01-10,60,47.91,7.91,5.1583277e-07,1.9099868e-10,3.4760316e-08,1.7195179e-08,3.513389e-09
2006-01-11,60,47.91,7.91,4.6005556e-07,1.6191967e-10,4.505899e-08,1.1939479e-08,3.6702126e-09
2006-01-12,60,47.91,7.91,4.074281e-07,1.0307624e-10,3.4175933e-08,4.279226e-09,3.4886782e-09
2006-01-13,60,47.91,7.91,4.8228e-07,1.1968328e-10,4.3170218e-08,1.2833369e-08,3.7238148e-09
2006-01-14,60,47.91,7.91,5.351469e-07,1.4328107e-10,3.781129e-08,2.1164698e-08,4.2080863e-09
2006-01-15,60,47.91,7.91,4.615746e-07,1.1205553e-10,3.198961e-08,1.193697e-08,3.7038461e-09
2006-01-16,60,47.91,7.91,4.9458856e-07,1.0995495e-10,3.5555942e-08,1.4505245e-08,3.9324473e-09
2006-01-17,60,47.91,7.91,2.5980953e-07,2.9931536e-11,1.4339935e-08,3.2271952e-10,2.3022908e-09
2006-01-18,60,47.91,7.91,2.4539426e-07,3.33499e-11,1.0382227e-08,4.342114e-10,1.5297754e-09
2006-01-19,60,47.91,7.91,4.55183e-07,1.13046086e-10,2.0449567e-08,1.7312216e-08,3.604776e-09
2006-01-20,60,47.91,7.91,3.7737195e-07,7.526605e-11,2.715326e-08,6.144367e-09,3.0268152e-09
2006-01-21,60,47.91,7.91,2.3931767e-07,3.3343897e-11,1.0805438e-08,4.1444526e-10,2.0782005e-09
2006-01-22,60,47.91,7.91,3.0217507e-07,4.0949053e-11,1.8367942e-08,2.7544418e-09,3.5304102e-09
2006-01-23,60,47.91,7.91,2.5504949e-07,1.4989444e-11,1.4139327e-08,1.0648811e-09,2.8078475e-09
2006-01-24,60,47.91,7.91,3.3663363e-07,4.035303e-11,2.384171e-08,3.82858e-09,2.8787572e-09
2006-01-25,60,47.91,7.91,4.0208397e-07,8.0902084e-11,3.08974e-08,5.801019e-09,3.542888e-09
2006-01-26,60,47.91,7.91,3.6247798e-07,3.647528e-11,1.7916033e-08,1.7866234e-09,2.891725e-09
2006-01-27,60,47.91,7.91,3.5687754e-07,3.6321033e-11,2.7813387e-08,2.5754847e-09,3.61442e-09
2006-01-28,60,47.91,7.91,4.27463e-07,6.026181e-11,4.2060403e-08,9.066434e-09,4.0425325e-09
2006-01-29,60,47.91,7.91,4.7689775e-07,7.008586e-11,3.256466e-08,1.3226627e-08,4.726632e-09
2006-01-30,60,47.91,7.91,4.4525888e-07,6.617808e-11,2.951398e-08,9.469642e-09,3.7189005e-09
2006-01-31,60,47.91,7.91,4.62454e-07,9.0203706e-11,3.64011e-08,1.3252822e-08,3.8087262e-09
2006-02-01,60,47.91,7.91,5.118934e-07,1.4604624e-10,3.0330902e-08,1.8801277e-08,4.0404817e-09
2006-02-02,60,47.91,7.91,5.716602e-07,1.6131887e-10,2.6286163e-08,2.3264228e-08,4.672644e-09
2006-02-03,60,47.91,7.91,5.352425e-07,9.563389e-11,4.1322444e-08,1.8766471e-08,3.671547e-09
2006-02-04,60,47.91,7.91,5.0583617e-07,7.362563e-11,5.7277212e-08,1.727246e-08,3.1600038e-09
2006-02-05,60,47.91,7.91,3.8750505e-07,6.3851785e-11,3.343535e-08,6.104277e-09,2.8477631e-09
2006-02-06,60,47.91,7.91,3.5832633e-07,7.439963e-11,2.2167544e-08,4.0323256e-09,3.2043779e-09
2006-02-07,60,47.91,7.91,3.149734e-07,6.470103e-11,1.7211399e-08,3.0462755e-09,2.7453408e-09
2006-02-08,60,47.91,7.91,2.1634855e-07,3.2255802e-11,8.549705e-09,1.9098782e-10,1.7409996e-09
2006-02-09,60,47.91,7.91,2.1248417e-07,2.5682699e-11,9.184145e-09,3.1986205e-10,2.070604e-09
2006-02-10,60,47.91,7.91,1.9795804e-07,2.4740461e-11,8.380425e-09,2.396924e-10,1.9906237e-09
2006-02-11,60,47.91,7.91,2.6907077e-07,4.70067e-11,1.5965103e-08,2.36997e-09,3.311301e-09
2006-02-12,60,47.91,7.91,3.0160749e-07,6.570813e-11,2.1795195e-08,2.2237667e-09,3.9874135e-09
2006-02-13,60,47.91,7.91,4.083815e-07,1.2109938e-10,2.5191778e-08,1.1154673e-08,4.5599995e-09
2006-02-14,60,47.91,7.91,3.6745328e-07,1.0592159e-10,2.509345e-08,5.2232476e-09,3.877809e-09
2006-02-15,60,47.91,7.91,2.348039e-07,4.3179658e-11,1.2614852e-08,2.386135e-10,2.3052595e-09
2006-02-16,60,47.91,7.91,1.9249444e-07,2.9847604e-11,8.0091045e-09,3.5923423e-10,1.4671353e-09
2006-02-17,60,47.91,7.91,1.7039189e-07,1.584739e-11,4.5851882e-09,6.840822e-11,1.0741265e-09
2006-02-18,60,47.91,7.91,1.9175947e-07,1.9569946e-11,7.924443e-09,2.4341845e-10,1.8043014e-09
2006-02-19,60,47.91,7.91,2.70381e-07,5.6228005e-11,1.6681797e-08,1.098134e-09,2.5053513e-09
2006-02-20,60,47.91,7.91,3.783615e-07,9.3675685e-11,2.2633769e-08,7.3694673e-09,3.547165e-09
2006-02-21,60,47.91,7.91,3.6733616e-07,1.0065924e-10,2.3073214e-08,9.111142e-09,3.505827e-09
2006-02-22,60,47.91,7.91,2.9884282e-07,3.4356552e-11,1.9365679e-08,1.4097521e-09,2.7946674e-09
2006-02-23,60,47.91,7.91,2.8337442e-07,3.0810257e-11,1.5410722e-08,1.2735993e-09,2.3479796e-09
2006-02-24,60,47.91,7.91,2.77985e-07,2.6398824e-11,1.583212e-08,5.9492705e-10,2.338222e-09
2006-02-25,60,47.91,7.91,2.7951253e-07,2.779232e-11,1.3408572e-08,7.3734724e-10,2.482044e-09
2006-02-26,60,47.91,7.91,2.658317e-07,2.3714065e-11,1.3274946e-08,7.181865e-10,1.4536702e-09
2006-02-27,60,47.91,7.91,2.0898239e-07,1.6409393e-11,8.120958e-09,3.5486786e-10,1.3993927e-09
2006-02-28,60,47.91,7.91,2.2587764e-07,2.6424057e-11,1.0955039e-08,2.1520843e-10,1.994163e-09
2006-03-01,60,47.91,7.91,1.8998489e-07,1.6200097e-11,5.7947585e-09,3.4423844e-10,1.0892539e-09
2006-03-02,60,47.91,7.91,1.9838134e-07,1.9960263e-11,7.0925403e-09,1.9816432e-10,1.3979558e-09
2006-03-03,60,47.91,7.91,2.0258766e-07,2.187302e-11,8.73614e-09,3.031479e-10,1.6275634e-09
2006-03-04,60,47.91,7.91,2.44849e-07,4.8825586e-11,1.4391842e-08,9.345428e-10,1.0110811e-09
2006-03-05,60,47.91,7.91,2.2004693e-07,2.4427661e-11,1.0304328e-08,3.7137388e-10,1.698639e-09
2006-03-06,60,47.91,7.91,2.5373782e-07,4.1241326e-11,1.37676555e-08,6.6295364e-10,1.9837705e-09
2006-03-07,60,47.91,7.91,2.5058446e-07,4.6350004e-11,1.5081941e-08,5.560483e-10,2.2007256e-09
2006-03-08,60,47.91,7.91,3.3311508e-07,9.080751e-11,2.4343397e-08,7.0004957e-09,2.5838767e-09
2006-03-09,60,47.91,7.91,1.5655971e-07,1.7631178e-11,5.0218563e-09,1.7621801e-10,7.5593043e-10
2006-03-10,60,47.91,7.91,1.6800507e-07,1.5373836e-11,4.7353668e-09,1.265488e-10,9.591201e-10
