date,step,hybrid,latitude,longitude,valid_time,co,c5h8,no2,no,so2
2018-02-01 00:00:00,0 days,60.0,25.23,55.98,2018-02-01 00:00:00,3.4945404e-07,3.169444e-11,6.136722e-08,1.837166e-10,2.0372058e-08
2018-02-01 03:00:00,0 days,60.0,25.23,55.98,2018-02-01 03:00:00,4.0699905e-07,7.8378457e-11,6.5157096e-08,2.3794208e-10,1.6362456e-08
2018-02-01 06:00:00,0 days,60.0,25.23,55.98,2018-02-01 06:00:00,2.0227786e-07,4.823579e-12,5.8509015e-09,5.676618e-10,5.1088707e-09
2018-02-01 09:00:00,0 days,60.0,25.23,55.98,2018-02-01 09:00:00,1.7150295e-07,3.1304607e-12,1.9102007e-09,2.1535679e-10,3.5447247e-09
2018-02-01 12:00:00,0 days,60.0,25.23,55.98,2018-02-01 12:00:00,1.6080311e-07,4.05897e-12,2.3827444e-09,2.0144997e-10,3.1838714e-09
2018-02-01 15:00:00,0 days,60.0,25.23,55.98,2018-02-01 15:00:00,1.8017226e-07,1.5417612e-11,8.487151e-09,4.0571733e-11,5.630898e-09
2018-02-01 18:00:00,0 days,60.0,25.23,55.98,2018-02-01 18:00:00,2.1484223e-07,1.542863e-11,1.654735e-08,7.6899445e-11,9.759843e-09
2018-02-01 21:00:00,0 days,60.0,25.23,55.98,2018-02-01 21:00:00,2.767244e-07,1.6232784e-11,2.9759804e-08,1.3062768e-10,1.672848e-08
2018-02-02 00:00:00,0 days,60.0,25.23,55.98,2018-02-02 00:00:00,3.2622262e-07,2.9192683e-11,4.69016e-08,1.5913676e-10,1.9671873e-08
2018-02-02 03:00:00,0 days,60.0,25.23,55.98,2018-02-02 03:00:00,3.534927e-07,6.429095e-11,4.9108692e-08,1.8816915e-10,1.616377e-08
2018-02-02 06:00:00,0 days,60.0,25.23,55.98,2018-02-02 06:00:00,1.9672157e-07,4.985834e-12,5.1819056e-09,4.437934e-10,4.9832143e-09
2018-02-02 09:00:00,0 days,60.0,25.23,55.98,2018-02-02 09:00:00,1.6086327e-07,3.121167e-12,2.3351863e-09,2.1655827e-10,3.2980325e-09
2018-02-02 12:00:00,0 days,60.0,25.23,55.98,2018-02-02 12:00:00,1.4551625e-07,4.062022e-12,1.9417918e-09,2.0110452e-10,2.8440361e-09
2018-02-02 15:00:00,0 days,60.0,25.23,55.98,2018-02-02 15:00:00,1.7163141e-07,1.7199703e-11,8.868102e-09,4.625261e-11,5.8535568e-09
2018-02-02 18:00:00,0 days,60.0,25.23,55.98,2018-02-02 18:00:00,2.2669258e-07,2.0440417e-11,2.1148834e-08,1.0124428e-10,1.1821513e-08
2018-02-02 21:00:00,0 days,60.0,25.23,55.98,2018-02-02 21:00:00,2.9886314e-07,1.9724852e-11,3.577852e-08,1.5724663e-10,1.935319e-08
2018-02-03 00:00:00,0 days,60.0,25.23,55.98,2018-02-03 00:00:00,3.6848832e-07,3.4473188e-11,5.882592e-08,2.0050675e-10,2.2114367e-08
2018-02-03 03:00:00,0 days,60.0,25.23,55.98,2018-02-03 03:00:00,4.306753e-07,9.307252e-11,6.5745084e-08,3.002351e-10,1.7254576e-08
2018-02-03 06:00:00,0 days,60.0,25.23,55.98,2018-02-03 06:00:00,2.3656494e-07,6.9992363e-12,7.627598e-09,5.5059923e-10,6.5468266e-09
2018-02-03 09:00:00,0 days,60.0,25.23,55.98,2018-02-03 09:00:00,1.6755241e-07,3.2450754e-12,2.192057e-09,2.0501673e-10,3.6488939e-09
2018-02-03 12:00:00,0 days,60.0,25.23,55.98,2018-02-03 12:00:00,1.5345121e-07,4.222164e-12,2.0881297e-09,1.8189936e-10,3.136849e-09
2018-02-03 15:00:00,0 days,60.0,25.23,55.98,2018-02-03 15:00:00,1.8568477e-07,2.2779549e-11,1.1562106e-08,5.3292773e-11,7.115501e-09
2018-02-03 18:00:00,0 days,60.0,25.23,55.98,2018-02-03 18:00:00,2.5636945e-07,2.6901717e-11,2.773038e-08,9.4334054e-11,1.4719314e-08
2018-02-03 21:00:00,0 days,60.0,25.23,55.98,2018-02-03 21:00:00,3.106207e-07,2.1652014e-11,4.0120597e-08,1.3387406e-10,2.1446947e-08
2018-02-04 00:00:00,0 days,60.0,25.23,55.98,2018-02-04 00:00:00,3.8988333e-07,4.5981226e-11,9.233918e-08,2.128471e-10,2.5564283e-08
2018-02-04 03:00:00,0 days,60.0,25.23,55.98,2018-02-04 03:00:00,4.3447395e-07,1.1751972e-10,8.8596806e-08,3.4481362e-10,1.9807448e-08
2018-02-04 06:00:00,0 days,60.0,25.23,55.98,2018-02-04 06:00:00,2.3917403e-07,7.0022625e-12,1.1219464e-08,7.8902895e-10,7.3962205e-09
2018-02-04 09:00:00,0 days,60.0,25.23,55.98,2018-02-04 09:00:00,1.5821146e-07,3.1535681e-12,2.7487257e-09,2.3352692e-10,3.3246415e-09
