date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2003-01-01,60,67.76,29.61,1.536579e-07,9.999992e-26,5.2363935e-10,3.2659975e-12,4.3299087e-10
2003-01-02,60,67.76,29.61,1.6054908e-07,9.9999946e-26,7.376212e-10,6.411866e-12,4.574136e-10
2003-01-03,60,67.76,29.61,1.5793272e-07,9.999995e-26,1.3164452e-09,1.9356875e-11,2.2277229e-10
2003-01-04,60,67.76,29.61,1.5823522e-07,9.99999e-26,1.6548345e-09,2.7582617e-11,1.04292325e-10
2003-01-05,60,67.76,29.61,1.5951821e-07,9.9999946e-26,2.1610032e-09,3.724071e-11,1.1757642e-10
2003-01-06,60,67.76,29.61,1.7135301e-07,9.9999946e-26,3.976729e-09,2.1271851e-10,8.997752e-11
2003-01-07,60,67.76,29.61,1.7872618e-07,9.99999e-26,5.48901e-09,9.687565e-11,1.4770363e-10
2003-01-08,60,67.76,29.61,1.9146675e-07,9.99999e-26,7.787993e-09,1.510736e-10,1.346439e-10
2003-01-09,60,67.76,29.61,1.7427449e-07,9.9999946e-26,3.1354954e-09,2.6591498e-11,2.2306577e-10
2003-01-10,60,67.76,29.61,1.5868378e-07,9.999996e-26,1.485978e-09,2.4738798e-11,1.4185216e-10
2003-01-11,60,67.76,29.61,1.5716793e-07,9.99999e-26,1.5439879e-09,4.69003e-12,2.1455371e-10
2003-01-12,60,67.76,29.61,1.44324e-07,9.99999e-26,8.611359e-10,7.503078e-12,1.742626e-10
2003-01-13,60,67.76,29.61,1.4343138e-07,9.9999946e-26,9.330203e-10,3.051566e-12,2.1469516e-10
2003-01-14,60,67.76,29.61,1.4565262e-07,9.9999946e-26,1.2260668e-09,1.029803e-11,1.8495624e-10
2003-01-15,60,67.76,29.61,1.6304548e-07,9.9999946e-26,3.5903387e-09,3.204305e-11,1.6437465e-10
2003-01-16,60,67.76,29.61,1.643655e-07,9.9999946e-26,3.241306e-09,4.379747e-11,2.9580796e-10
2003-01-17,60,67.76,29.61,1.5473788e-07,9.999992e-26,1.4866991e-09,2.0250822e-11,1.566571e-10
2003-01-18,60,67.76,29.61,1.558529e-07,9.9999946e-26,1.8728556e-09,1.2422311e-11,2.1836535e-10
2003-01-19,60,67.76,29.61,1.5236274e-07,9.9999946e-26,1.0076189e-09,4.7222087e-12,3.7778589e-10
2003-01-20,60,67.76,29.61,1.5620516e-07,9.99999e-26,1.0127466e-09,1.6610005e-11,1.8747773e-10
2003-01-21,60,67.76,29.61,1.6423022e-07,1.6601131e-14,1.159896e-09,4.4295505e-12,3.5981904e-10
2003-01-22,60,67.76,29.61,2.175255e-07,1.13211605e-13,5.0097775e-09,8.107101e-12,4.1633005e-10
2003-01-23,60,67.76,29.61,2.0999701e-07,3.771424e-14,4.4928608e-09,1.9394587e-11,2.3573074e-10
2003-01-24,60,67.76,29.61,1.4879689e-07,9.9999946e-26,7.458537e-10,2.3205027e-12,2.4227456e-10
2003-01-25,60,67.76,29.61,1.513163e-07,9.999992e-26,9.0307517e-10,3.1805082e-12,2.4077487e-10
2003-01-26,60,67.76,29.61,1.5796238e-07,9.9999946e-26,1.7509665e-09,1.7971754e-11,1.849311e-10
2003-01-27,60,67.76,29.61,1.5680766e-07,9.999992e-26,9.984183e-10,9.943881e-12,2.2694269e-10
2003-01-28,60,67.76,29.61,1.6119199e-07,9.999992e-26,1.9061326e-09,1.8358835e-11,1.2948172e-10
2003-01-29,60,67.76,29.61,1.6518379e-07,9.9999946e-26,1.8491965e-09,3.32616e-11,1.1598118e-10
2003-01-30,60,67.76,29.61,1.7378352e-07,9.9999946e-26,2.2782582e-09,3.8047406e-11,1.3655502e-10
2003-01-31,60,67.76,29.61,1.678089e-07,9.9999946e-26,2.0426612e-09,4.7785706e-11,1.3868255e-10
2003-02-01,60,67.76,29.61,1.7372474e-07,9.999992e-26,3.4229397e-09,8.33594e-11,1.2643735e-10
2003-02-02,60,67.76,29.61,1.7732137e-07,9.999992e-26,5.7672094e-09,2.3316266e-11,2.1955494e-10
2003-02-03,60,67.76,29.61,1.9062671e-07,6.661118e-14,4.498203e-09,1.0704672e-11,3.2464315e-10
2003-02-04,60,67.76,29.61,1.7218852e-07,9.99999e-26,2.5586784e-09,2.4980459e-11,4.35378e-10
2003-02-05,60,67.76,29.61,1.7574956e-07,9.9999946e-26,3.062084e-09,2.0038582e-11,3.0035516e-10
2003-02-06,60,67.76,29.61,1.672522e-07,9.9999946e-26,1.7041836e-09,2.5831845e-11,2.1597121e-10
2003-02-07,60,67.76,29.61,1.9191363e-07,1.4210855e-14,5.314825e-09,3.5652006e-10,2.9019048e-10
2003-02-08,60,67.76,29.61,1.9789132e-07,4.2632564e-14,7.270368e-09,7.2502594e-11,5.943396e-10
2003-02-09,60,67.76,29.61,1.9535916e-07,2.665277e-13,4.3229105e-09,5.1559076e-11,2.1314406e-10
2003-02-10,60,67.76,29.61,2.0473357e-07,5.3933057e-13,7.1105157e-09,1.9730638e-10,1.9503676e-10
2003-02-11,60,67.76,29.61,1.6235637e-07,4.16821e-14,2.1586017e-09,3.118946e-11,1.4170043e-10
2003-02-12,60,67.76,29.61,1.874434e-07,9.9999946e-26,2.261066e-09,7.728758e-11,1.9704086e-10
2003-02-13,60,67.76,29.61,1.561496e-07,9.9999946e-26,1.1632517e-09,4.6363087e-11,1.5809744e-10
2003-02-14,60,67.76,29.61,1.5592343e-07,9.99999e-26,8.92064e-10,1.3802629e-11,1.6448563e-10
2003-02-15,60,67.76,29.61,1.6079609e-07,9.999992e-26,1.5893782e-09,4.1808237e-11,1.1932932e-10
