date,hybrid,latitude,longitude,co,c5h8,no2,no,so2
2008-01-01,60,56.04,13.52,1.883329e-07,9.742285e-13,3.4851864e-09,1.3652456e-10,4.1948323e-10
2008-01-02,60,56.04,13.52,2.1401085e-07,9.138995e-13,4.2759285e-09,1.2976524e-10,1.2184767e-09
2008-01-03,60,56.04,13.52,1.5732698e-07,1.332932e-13,2.0167026e-09,2.6250632e-11,1.3579552e-09
2008-01-04,60,56.04,13.52,1.6177968e-07,6.963896e-14,2.6083862e-09,3.565373e-11,2.0539814e-09
2008-01-05,60,56.04,13.52,2.0186641e-07,1.3396757e-12,5.5673794e-09,6.704192e-11,3.9416395e-09
2008-01-06,60,56.04,13.52,2.5803877e-07,1.9123793e-12,1.1673245e-08,4.356566e-10,1.093738e-09
2008-01-07,60,56.04,13.52,2.0335231e-07,5.8309873e-13,9.189007e-09,1.2186026e-10,5.971156e-10
2008-01-08,60,56.04,13.52,1.6330016e-07,2.1431186e-13,4.8626654e-09,6.9537244e-11,9.600578e-10
2008-01-09,60,56.04,13.52,1.9717788e-07,5.600487e-13,6.711331e-09,1.6282824e-10,1.2450664e-09
2008-01-10,60,56.04,13.52,1.7528141e-07,3.9916096e-13,5.904715e-09,2.975881e-11,1.3564649e-09
2008-01-11,60,56.04,13.52,1.9443102e-07,6.2295573e-13,6.8508244e-09,1.5201367e-10,8.702365e-10
2008-01-12,60,56.04,13.52,2.2187182e-07,4.2588808e-13,9.540195e-09,4.2930115e-10,1.0435733e-09
2008-01-13,60,56.04,13.52,1.8602961e-07,1.5367539e-13,7.8237e-09,2.9061484e-10,1.0489876e-09
2008-01-14,60,56.04,13.52,2.5039756e-07,1.271372e-12,1.2272702e-08,3.873789e-10,1.5306044e-09
2008-01-15,60,56.04,13.52,2.2203821e-07,4.896861e-13,7.3703186e-09,1.2990631e-10,1.1191381e-09
2008-01-16,60,56.04,13.52,1.8443473e-07,1.1286959e-13,4.8124185e-09,4.0301075e-11,9.617365e-10
2008-01-17,60,56.04,13.52,2.0670008e-07,2.3035426e-13,1.0267735e-08,4.3780457e-10,1.0411083e-09
