date,hybrid,latitude,longitude,nh3,crwc,c10h16
2012-01-01,60,50.57,12.99,4.8471466e-10,1.1135918e-06,6.8277356e-11
2012-01-02,60,50.57,12.99,4.1877032e-10,8.4937865e-06,2.6341589e-11
2012-01-03,60,50.57,12.99,4.5216078e-10,6.854975e-08,2.4806086e-11
2012-01-04,60,50.57,12.99,4.735772e-10,8.62826e-06,1.7585655e-11
2012-01-05,60,50.57,12.99,3.1192965e-10,2.453389e-05,1.6005267e-11
2012-01-06,60,50.57,12.99,4.348095e-10,3.7488235e-11,1.9508476e-11
2012-01-07,60,50.57,12.99,3.2260727e-10,5.493049e-06,3.0741448e-11
2012-01-08,60,50.57,12.99,3.4156336e-10,4.831679e-06,2.9217413e-11
2012-01-09,60,50.57,12.99,3.8231074e-10,6.299003e-06,4.525948e-11
2012-01-10,60,50.57,12.99,3.761712e-10,4.5994575e-06,3.3790214e-11
2012-01-11,60,50.57,12.99,3.7061804e-10,1.614677e-06,3.5040602e-11
2012-01-12,60,50.57,12.99,2.9121303e-10,5.1716956e-06,3.2536335e-11
2012-01-13,60,50.57,12.99,3.6661502e-10,6.3114715e-07,1.9807236e-11
2012-01-14,60,50.57,12.99,5.2812277e-10,0.0,2.1267522e-11
2012-01-15,60,50.57,12.99,6.77453e-10,0.0,3.518653e-11
2012-01-16,60,50.57,12.99,7.6986134e-10,0.0,9.3092686e-11
2012-01-17,60,50.57,12.99,4.799763e-10,0.0,5.225952e-11
2012-01-18,60,50.57,12.99,5.3498067e-10,0.0,9.025748e-11
2012-01-19,60,50.57,12.99,3.4208436e-10,2.030127e-05,3.706534e-11
2012-01-20,60,50.57,12.99,4.5816517e-10,8.452309e-08,2.306715e-11
2012-01-21,60,50.57,12.99,5.4833654e-10,9.410926e-06,4.190919e-11
2012-01-22,60,50.57,12.99,4.648666e-10,2.2300042e-06,1.6987887e-11
2012-01-23,60,50.57,12.99,5.354519e-10,5.6591234e-06,2.3305897e-11
2012-01-24,60,50.57,12.99,9.797294e-10,7.4942363e-10,7.609471e-11
2012-01-25,60,50.57,12.99,1.3371567e-09,0.0,3.264742e-10
2012-01-26,60,50.57,12.99,8.4481006e-10,0.0,2.1139167e-10
2012-01-27,60,50.57,12.99,1.0087341e-09,0.0,2.4991453e-10
2012-01-28,60,50.57,12.99,1.4073706e-09,0.0,4.513248e-10
2012-01-29,60,50.57,12.99,1.4663946e-09,0.0,1.1508623e-10
2012-01-30,60,50.57,12.99,1.4770798e-09,0.0,4.4467124e-11
2012-01-31,60,50.57,12.99,1.6470036e-09,0.0,4.9051985e-11
2012-02-01,60,50.57,12.99,1.4421349e-09,0.0,4.5876754e-11
2012-02-02,60,50.57,12.99,1.3681599e-09,0.0,4.9498405e-11
2012-02-03,60,50.57,12.99,1.6388275e-09,0.0,1.687018e-10
2012-02-04,60,50.57,12.99,1.8434615e-09,0.0,2.2526371e-10
2012-02-05,60,50.57,12.99,1.7522148e-09,0.0,3.3180267e-10
2012-02-06,60,50.57,12.99,1.797916e-09,0.0,1.4044847e-10
2012-02-07,60,50.57,12.99,2.0745357e-09,0.0,8.1559925e-11
2012-02-08,60,50.57,12.99,1.7195351e-09,0.0,6.502518e-11
2012-02-09,60,50.57,12.99,2.20144e-09,0.0,1.6795272e-10
2012-02-10,60,50.57,12.99,1.5479112e-09,0.0,4.3352773e-11
2012-02-11,60,50.57,12.99,2.1171616e-09,0.0,8.963453e-11
2012-02-12,60,50.57,12.99,2.1002842e-09,0.0,3.2810257e-10
2012-02-13,60,50.57,12.99,1.4280275e-09,0.0,9.133999e-11
2012-02-14,60,50.57,12.99,1.4733401e-09,0.0,1.4393901e-10
2012-02-15,60,50.57,12.99,1.1147606e-09,4.3655746e-10,1.0509202e-11
2012-02-16,60,50.57,12.99,1.9523045e-09,0.0,2.5116915e-11
2012-02-17,60,50.57,12.99,1.0670685e-09,5.449242e-06,3.3918753e-11
2012-02-18,60,50.57,12.99,1.4791692e-09,1.4991938e-06,7.154062e-11
2012-02-19,60,50.57,12.99,1.1368955e-09,1.1259695e-05,2.9875262e-11
2012-02-20,60,50.57,12.99,1.8448233e-09,0.0,1.9670768e-10
2012-02-21,60,50.57,12.99,1.3838993e-09,1.7008279e-07,1.4765228e-10
2012-02-22,60,50.57,12.99,1.4424246e-09,1.6977431e-08,6.727632e-11
2012-02-23,60,50.57,12.99,1.6401008e-09,4.114657e-06,5.3498456e-11
2012-02-24,60,50.57,12.99,1.658581e-09,2.988825e-07,7.920121e-11
2012-02-25,60,50.57,12.99,1.4574905e-09,6.6001786e-07,4.3561477e-11
2012-02-26,60,50.57,12.99,2.0142306e-09,2.0759028e-06,4.8817127e-11
2012-02-27,60,50.57,12.99,2.53215e-09,3.6160532e-07,2.3176859e-10
2012-02-28,60,50.57,12.99,1.9114066e-09,8.618496e-06,1.06797515e-10
2012-02-29,60,50.57,12.99,1.993531e-09,3.399685e-06,2.05988e-10
2012-03-01,60,50.57,12.99,2.484163e-09,3.164713e-06,4.887472e-10
2012-03-02,60,50.57,12.99,2.2430457e-09,4.083431e-07,2.2705632e-10
2012-03-03,60,50.57,12.99,2.7370524e-09,5.8860774e-08,1.4447911e-10
2012-03-04,60,50.57,12.99,2.814489e-09,1.7340874e-07,7.844721e-10
2012-03-05,60,50.57,12.99,3.235493e-09,5.9370905e-08,3.41494e-10
2012-03-06,60,50.57,12.99,3.2455258e-09,6.172513e-09,7.0165895e-10
2012-03-07,60,50.57,12.99,2.7115317e-09,0.0,4.898126e-10
2012-03-08,60,50.57,12.99,2.5618743e-09,5.5836626e-06,1.381412e-10
2012-03-09,60,50.57,12.99,2.5294706e-09,4.075673e-09,2.9606395e-10
2012-03-10,60,50.57,12.99,2.0509023e-09,9.244287e-08,1.100646e-10
2012-03-11,60,50.57,12.99,2.478978e-09,3.852742e-06,7.277497e-11
2012-03-12,60,50.57,12.99,2.7068867e-09,6.935116e-06,9.62562e-11
2012-03-13,60,50.57,12.99,2.958771e-09,1.3298808e-06,1.2107348e-10
2012-03-14,60,50.57,12.99,2.9735643e-09,7.145601e-07,1.3662169e-10
2012-03-15,60,50.57,12.99,3.0902052e-09,1.5329837e-07,8.995615e-10
2012-03-16,60,50.57,12.99,2.7019316e-09,0.0,3.4517034e-10
2012-03-17,60,50.57,12.99,2.5031537e-09,0.0,2.793901e-10
2012-03-18,60,50.57,12.99,2.7001383e-09,1.5829573e-07,1.7674652e-10
2012-03-19,60,50.57,12.99,2.551008e-09,8.378681e-07,1.3517426e-10
2012-03-20,60,50.57,12.99,2.8603844e-09,0.0,1.1730384e-09
2012-03-21,60,50.57,12.99,2.8254483e-09,0.0,6.822669e-10
2012-03-22,60,50.57,12.99,3.8917474e-09,1.9657087e-08,9.48849e-10
2012-03-23,60,50.57,12.99,3.9764005e-09,1.4332873e-07,7.9487117e-10
2012-03-24,60,50.57,12.99,3.875352e-09,0.0,1.3934546e-09
2012-03-25,60,50.57,12.99,3.804586e-09,0.0,1.4863525e-09
2012-03-26,60,50.57,12.99,3.988137e-09,0.0,9.455632e-10
2012-03-27,60,50.57,12.99,3.561189e-09,0.0,1.2878446e-09
2012-03-28,60,50.57,12.99,3.4719565e-09,0.0,7.572798e-10
2012-03-29,60,50.57,12.99,1.8393855e-09,1.1183429e-06,7.7216185e-11
2012-03-30,60,50.57,12.99,1.8222213e-09,8.373604e-06,1.03096004e-10
2012-03-31,60,50.57,12.99,1.8881878e-09,5.158847e-06,9.689675e-11
2012-04-01,60,50.57,12.99,2.4135152e-09,7.450197e-08,1.3427823e-10
2012-04-02,60,50.57,12.99,1.9247144e-09,1.2967226e-07,1.7994557e-10
2012-04-03,60,50.57,12.99,3.2402896e-09,5.6351416e-07,2.6542721e-09
2012-04-04,60,50.57,12.99,3.153077e-09,4.9778475e-07,5.7974053e-10
2012-04-05,60,50.57,12.99,3.4995118e-09,1.4198689e-07,1.9140081e-10
2012-04-06,60,50.57,12.99,2.5355933e-09,8.0049396e-08,1.4732009e-10
2012-04-07,60,50.57,12.99,1.8558889e-09,1.8659291e-06,1.3692396e-10
2012-04-08,60,50.57,12.99,3.158791e-09,0.0,1.1726681e-10
2012-04-09,60,50.57,12.99,1.665454e-09,6.599805e-09,2.841072e-10
2012-04-10,60,50.57,12.99,1.4610854e-09,1.3078593e-07,2.7138602e-10
2012-04-11,60,50.57,12.99,2.6075127e-09,1.5540734e-05,1.7730689e-09
2012-04-12,60,50.57,12.99,2.7709046e-09,6.926996e-06,7.1982703e-10
2012-04-13,60,50.57,12.99,2.1380797e-09,1.274041e-07,4.7991316e-10
2012-04-14,60,50.57,12.99,3.2296523e-09,0.0,1.2557746e-09
2012-04-15,60,50.57,12.99,2.8694978e-09,8.765253e-06,2.0889396e-10
2012-04-16,60,50.57,12.99,3.2539829e-09,2.1989815e-06,1.5646637e-10
2012-04-17,60,50.57,12.99,2.2371154e-09,2.2008862e-08,6.639419e-10
2012-04-18,60,50.57,12.99,1.4522352e-09,3.7412065e-08,5.5484767e-10
2012-04-19,60,50.57,12.99,2.4417537e-09,0.0,3.081666e-09
2012-04-20,60,50.57,12.99,2.2602877e-09,6.602545e-08,2.6772025e-09
2012-04-21,60,50.57,12.99,1.694822e-09,0.0,3.2053127e-10
2012-04-22,60,50.57,12.99,1.6986708e-09,4.0102168e-07,3.072686e-10
2012-04-23,60,50.57,12.99,1.6420901e-09,4.905205e-07,3.8063527e-10
2012-04-24,60,50.57,12.99,2.2069817e-09,1.3645864e-05,2.3004145e-09
2012-04-25,60,50.57,12.99,1.7761542e-09,1.5578006e-08,3.8657436e-10
2012-04-26,60,50.57,12.99,1.8262559e-09,0.0,1.5445382e-09
2012-04-27,60,50.57,12.99,2.673767e-09,0.0,9.302005e-09
2012-04-28,60,50.57,12.99,3.1410965e-09,0.0,4.8850426e-09
2012-04-29,60,50.57,12.99,2.122385e-09,0.0,1.0896238e-09
2012-04-30,60,50.57,12.99,3.2349352e-09,0.0,5.0376076e-10
2012-05-01,60,50.57,12.99,3.165162e-09,0.0,8.7489604e-10
2012-05-02,60,50.57,12.99,3.14057e-09,1.1812062e-09,2.039717e-09
2012-05-03,60,50.57,12.99,2.4468811e-09,2.952047e-06,2.0457038e-09
2012-05-04,60,50.57,12.99,1.9186321e-09,9.958923e-08,1.2354281e-09
2012-05-05,60,50.57,12.99,2.03113e-09,1.0346346e-06,3.5087486e-09
2012-05-06,60,50.57,12.99,2.0768596e-09,3.0511699e-06,4.941637e-10
2012-05-07,60,50.57,12.99,1.3796995e-09,5.8675937e-07,9.04516e-10
2012-05-08,60,50.57,12.99,1.8856618e-09,1.1215767e-07,4.017192e-09
2012-05-09,60,50.57,12.99,1.441578e-09,6.8332156e-08,2.5348588e-09
2012-05-10,60,50.57,12.99,1.4151689e-09,0.0,8.7463725e-10
2012-05-11,60,50.57,12.99,1.1851946e-09,0.0,7.613781e-10
2012-05-12,60,50.57,12.99,1.2669555e-09,4.3160417e-06,3.47759e-10
2012-05-13,60,50.57,12.99,1.2704494e-09,5.51641e-07,3.0822972e-10
2012-05-14,60,50.57,12.99,1.5665448e-09,0.0,1.8371298e-09
2012-05-15,60,50.57,12.99,1.1075281e-09,8.0070106e-07,1.9153366e-09
2012-05-16,60,50.57,12.99,9.659222e-10,7.9047663e-07,4.1540987e-10
2012-05-17,60,50.57,12.99,9.608039e-10,4.4079307e-08,4.0124015e-10
2012-05-18,60,50.57,12.99,1.5929973e-09,0.0,9.208002e-10
2012-05-19,60,50.57,12.99,1.5119109e-09,0.0,3.2756184e-09
2012-05-20,60,50.57,12.99,2.1714417e-09,0.0,1.4062574e-09
2012-05-21,60,50.57,12.99,1.811034e-09,0.0,8.203448e-10
2012-05-22,60,50.57,12.99,1.8017149e-09,0.0,5.478007e-10
2012-05-23,60,50.57,12.99,2.34146e-09,0.0,1.3517236e-09
2012-05-24,60,50.57,12.99,1.8874893e-09,0.0,3.902792e-10
2012-05-25,60,50.57,12.99,1.6932857e-09,0.0,3.5538103e-10
2012-05-26,60,50.57,12.99,2.0391095e-09,0.0,7.142634e-10
2012-05-27,60,50.57,12.99,2.0329851e-09,1.09295655e-07,1.0117067e-09
2012-05-28,60,50.57,12.99,1.9328494e-09,9.74087e-08,3.0443752e-09
2012-05-29,60,50.57,12.99,1.6882016e-09,0.0,3.1269587e-09
2012-05-30,60,50.57,12.99,1.5687343e-09,2.2124595e-09,6.4087785e-10
2012-05-31,60,50.57,12.99,1.6296835e-09,4.8806187e-06,1.394601e-09
