date,hybrid,latitude,longitude,nh3,crwc,c10h16
2005-01-01,60,58.8,17.38,1.13894e-10,4.031437e-08,4.4346596e-11
2005-01-02,60,58.8,17.38,9.354069e-11,8.880521e-06,2.006544e-11
2005-01-03,60,58.8,17.38,1.5076264e-10,0.0,1.7288188e-11
2005-01-04,60,58.8,17.38,1.5153753e-10,5.326676e-06,5.0643628e-11
2005-01-05,60,58.8,17.38,1.7841927e-10,5.256974e-07,1.8039138e-11
2005-01-06,60,58.8,17.38,1.4682625e-10,1.521802e-06,2.0483035e-11
2005-01-07,60,58.8,17.38,1.4844598e-10,3.8978615e-06,1.5361516e-11
2005-01-08,60,58.8,17.38,2.0803358e-10,7.819464e-06,1.652395e-11
2005-01-09,60,58.8,17.38,1.3992126e-10,2.446316e-06,1.4338369e-11
2005-01-10,60,58.8,17.38,1.6986956e-10,2.206544e-05,2.4871338e-11
2005-01-11,60,58.8,17.38,1.905586e-10,0.0,1.5766766e-11
2005-01-12,60,58.8,17.38,1.5757959e-10,1.1005393e-06,2.0587114e-11
2005-01-13,60,58.8,17.38,1.6832427e-10,1.4340764e-09,1.911509e-11
2005-01-14,60,58.8,17.38,5.688805e-11,0.0,3.233065e-11
2005-01-15,60,58.8,17.38,6.974341e-11,0.0,4.237869e-11
2005-01-16,60,58.8,17.38,1.954757e-10,2.6691941e-08,3.9744527e-11
2005-01-17,60,58.8,17.38,2.756815e-10,6.018056e-08,5.5232794e-11
2005-01-18,60,58.8,17.38,1.5477995e-10,9.015515e-06,3.199198e-11
2005-01-19,60,58.8,17.38,1.4685964e-10,2.5509817e-07,1.5163308e-10
2005-01-20,60,58.8,17.38,1.1745267e-10,9.383425e-08,3.2640755e-11
2005-01-21,60,58.8,17.38,5.840951e-11,0.0,2.627857e-11
2005-01-22,60,58.8,17.38,4.429406e-11,0.0,2.5591192e-11
2005-01-23,60,58.8,17.38,6.606424e-11,0.0,3.061068e-11
2005-01-24,60,58.8,17.38,4.0011886e-11,0.0,2.3823265e-11
2005-01-25,60,58.8,17.38,3.6697374e-11,0.0,2.8161863e-11
2005-01-26,60,58.8,17.38,1.6600807e-10,0.0,5.5550137e-11
2005-01-27,60,58.8,17.38,9.43319e-11,0.0,6.9892404e-11
2005-01-28,60,58.8,17.38,2.8956039e-11,0.0,2.5043285e-11
2005-01-29,60,58.8,17.38,6.338725e-11,0.0,2.3782675e-11
2005-01-30,60,58.8,17.38,2.5012267e-10,2.5106687e-08,5.236353e-11
2005-01-31,60,58.8,17.38,1.7638663e-10,0.0,2.4208656e-11
2005-02-01,60,58.8,17.38,8.0508475e-11,0.0,3.299696e-11
2005-02-02,60,58.8,17.38,9.814701e-11,5.8667524e-09,5.112862e-11
2005-02-03,60,58.8,17.38,1.2176292e-10,3.7334758e-09,1.3546246e-10
2005-02-04,60,58.8,17.38,1.8398258e-10,4.6536135e-07,3.5178853e-11
2005-02-05,60,58.8,17.38,3.2902261e-10,1.5285561e-06,4.4109036e-11
2005-02-06,60,58.8,17.38,3.2058178e-10,6.700966e-08,4.553401e-11
2005-02-07,60,58.8,17.38,1.441188e-10,0.0,4.623895e-11
2005-02-08,60,58.8,17.38,9.500013e-11,0.0,3.669729e-11
2005-02-09,60,58.8,17.38,2.5169716e-10,0.0,3.8564537e-11
2005-02-10,60,58.8,17.38,2.974913e-10,7.6035603e-06,2.8740278e-11
2005-02-11,60,58.8,17.38,3.7981643e-10,0.0,2.5242943e-11
2005-02-12,60,58.8,17.38,4.2204684e-10,0.0,3.2759934e-11
2005-02-13,60,58.8,17.38,1.6514594e-10,0.0,1.3812937e-11
2005-02-14,60,58.8,17.38,9.643976e-11,0.0,1.760725e-11
2005-02-15,60,58.8,17.38,3.9478722e-11,0.0,1.6878195e-11
2005-02-16,60,58.8,17.38,5.8039268e-11,0.0,2.6185193e-11
2005-02-17,60,58.8,17.38,2.1218419e-10,0.0,1.4411772e-10
2005-02-18,60,58.8,17.38,4.8601895e-10,8.818017e-08,3.936365e-11
2005-02-19,60,58.8,17.38,3.5529524e-10,4.9878565e-07,5.1704623e-11
2005-02-20,60,58.8,17.38,2.5914937e-10,2.498869e-07,2.0275921e-10
2005-02-21,60,58.8,17.38,1.7389937e-10,5.3842086e-08,8.552718e-11
2005-02-22,60,58.8,17.38,4.7846276e-11,0.0,1.5455146e-11
2005-02-23,60,58.8,17.38,3.9003762e-11,0.0,1.3162948e-11
2005-02-24,60,58.8,17.38,5.9522144e-11,0.0,2.2455274e-11
