date,hybrid,latitude,longitude,nh3,crwc,c10h16
2006-07-01,60,-25.5,25.8,5.251616e-10,3.7146674e-07,3.8741355e-10
2006-07-02,60,-25.5,25.8,6.4010164e-10,0.0,8.685215e-10
2006-07-03,60,-25.5,25.8,9.91476e-10,0.0,1.9339383e-09
2006-07-04,60,-25.5,25.8,8.998877e-10,0.0,1.6007045e-09
2006-07-05,60,-25.5,25.8,9.706307e-10,0.0,1.390179e-09
2006-07-06,60,-25.5,25.8,8.542804e-10,0.0,1.0483177e-09
2006-07-07,60,-25.5,25.8,8.007091e-10,0.0,7.889314e-10
2006-07-08,60,-25.5,25.8,6.0082606e-10,0.0,4.2419918e-10
2006-07-09,60,-25.5,25.8,7.4156437e-10,0.0,8.876622e-10
2006-07-10,60,-25.5,25.8,9.317986e-10,0.0,2.2237776e-09
2006-07-11,60,-25.5,25.8,8.422793e-10,0.0,1.1064664e-09
2006-07-12,60,-25.5,25.8,9.828081e-10,0.0,6.734597e-10
2006-07-13,60,-25.5,25.8,7.0280104e-10,0.0,3.9362e-10
2006-07-14,60,-25.5,25.8,6.487008e-10,0.0,1.5560474e-10
2006-07-15,60,-25.5,25.8,5.248963e-10,0.0,1.0788248e-10
2006-07-16,60,-25.5,25.8,5.395739e-10,0.0,1.2952026e-10
2006-07-17,60,-25.5,25.8,6.3228445e-10,0.0,2.800612e-10
2006-07-18,60,-25.5,25.8,9.901349e-10,0.0,1.0322013e-09
2006-07-19,60,-25.5,25.8,1.1878757e-09,0.0,7.0275885e-10
2006-07-20,60,-25.5,25.8,8.937528e-10,0.0,2.6626792e-10
2006-07-21,60,-25.5,25.8,8.7598945e-10,0.0,3.7911876e-10
2006-07-22,60,-25.5,25.8,1.2954853e-09,0.0,9.133088e-10
2006-07-23,60,-25.5,25.8,8.884211e-10,0.0,4.4404233e-10
2006-07-24,60,-25.5,25.8,1.3871364e-09,0.0,1.9348736e-09
2006-07-25,60,-25.5,25.8,1.2731401e-09,0.0,6.588592e-10
2006-07-26,60,-25.5,25.8,1.1570405e-09,0.0,4.0386788e-10
2006-07-27,60,-25.5,25.8,1.0561179e-09,0.0,3.0096273e-10
2006-07-28,60,-25.5,25.8,2.0952302e-09,0.0,7.512804e-10
2006-07-29,60,-25.5,25.8,1.9658448e-09,0.0,9.423147e-10
2006-07-30,60,-25.5,25.8,1.5324068e-09,0.0,8.6628227e-10
2006-07-31,60,-25.5,25.8,1.2542526e-09,0.0,4.076374e-10
2006-08-01,60,-25.5,25.8,9.877463e-10,3.1576483e-06,2.1870679e-10
2006-08-02,60,-25.5,25.8,4.677955e-10,3.2207026e-08,6.890247e-11
2006-08-03,60,-25.5,25.8,5.5940125e-10,0.0,8.121736e-11
2006-08-04,60,-25.5,25.8,8.277799e-10,0.0,1.0451817e-10
2006-08-05,60,-25.5,25.8,1.3126733e-09,0.0,3.1778763e-10
2006-08-06,60,-25.5,25.8,1.913477e-09,0.0,1.0781053e-09
2006-08-07,60,-25.5,25.8,1.898505e-09,0.0,1.0473347e-09
2006-08-08,60,-25.5,25.8,1.7542261e-09,0.0,8.607744e-10
2006-08-09,60,-25.5,25.8,2.2431774e-09,0.0,1.3919622e-09
2006-08-10,60,-25.5,25.8,1.5003809e-09,0.0,3.08821e-10
2006-08-11,60,-25.5,25.8,1.2622148e-09,0.0,2.811222e-10
2006-08-12,60,-25.5,25.8,1.7787325e-09,0.0,4.4884063e-10
2006-08-13,60,-25.5,25.8,2.2133175e-09,0.0,1.50771e-09
2006-08-14,60,-25.5,25.8,1.3880878e-09,0.0,2.2243148e-10
2006-08-15,60,-25.5,25.8,1.2470427e-09,0.0,1.02144286e-10
2006-08-16,60,-25.5,25.8,1.1014785e-09,0.0,1.0850204e-10
2006-08-17,60,-25.5,25.8,1.4053976e-09,0.0,1.799648e-10
2006-08-18,60,-25.5,25.8,1.8101999e-09,0.0,4.2241594e-10
2006-08-19,60,-25.5,25.8,2.687513e-09,0.0,1.4759628e-09
2006-08-20,60,-25.5,25.8,4.3329917e-09,0.0,1.7359547e-09
2006-08-21,60,-25.5,25.8,1.0892027e-09,0.0,7.221344e-11
2006-08-22,60,-25.5,25.8,1.0327599e-09,0.0,8.1534765e-11
2006-08-23,60,-25.5,25.8,1.1698086e-09,3.1952277e-07,1.0165865e-10
2006-08-24,60,-25.5,25.8,1.1933174e-09,4.2274183e-07,1.2480705e-10
2006-08-25,60,-25.5,25.8,1.8645168e-09,0.0,2.5709626e-10
2006-08-26,60,-25.5,25.8,1.4132165e-09,0.0,1.5816344e-10
2006-08-27,60,-25.5,25.8,1.8447196e-09,1.717126e-09,3.97007e-10
2006-08-28,60,-25.5,25.8,2.7883513e-09,0.0,1.6315134e-09
2006-08-29,60,-25.5,25.8,2.2459083e-09,0.0,5.157132e-10
2006-08-30,60,-25.5,25.8,1.0489724e-09,0.0,7.781748e-11
2006-08-31,60,-25.5,25.8,1.6138771e-09,0.0,2.388812e-10
2006-09-01,60,-25.5,25.8,2.4025126e-09,0.0,5.4780874e-10
2006-09-02,60,-25.5,25.8,3.029354e-09,0.0,1.5932756e-09
2006-09-03,60,-25.5,25.8,3.1546847e-09,0.0,2.2938584e-09
2006-09-04,60,-25.5,25.8,1.8607296e-09,0.0,1.6508298e-10
2006-09-05,60,-25.5,25.8,1.9570656e-09,0.0,2.8715177e-10
2006-09-06,60,-25.5,25.8,2.4070377e-09,0.0,4.385213e-10
2006-09-07,60,-25.5,25.8,1.6213473e-09,0.0,1.5024275e-10
2006-09-08,60,-25.5,25.8,1.8773834e-09,0.0,2.3437036e-10
2006-09-09,60,-25.5,25.8,2.3929105e-09,0.0,4.8535465e-10
2006-09-10,60,-25.5,25.8,3.2974523e-09,0.0,1.3675007e-09
2006-09-11,60,-25.5,25.8,3.647244e-09,0.0,2.706886e-09
2006-09-12,60,-25.5,25.8,3.1189507e-09,0.0,6.7679834e-10
2006-09-13,60,-25.5,25.8,2.8501175e-09,0.0,4.7054177e-10
2006-09-14,60,-25.5,25.8,2.6209563e-09,0.0,4.5848386e-10
2006-09-15,60,-25.5,25.8,2.5035634e-09,0.0,4.873709e-10
2006-09-16,60,-25.5,25.8,3.384666e-09,0.0,8.73742e-10
2006-09-17,60,-25.5,25.8,2.1481135e-09,0.0,2.7723565e-10
2006-09-18,60,-25.5,25.8,1.6362893e-09,0.0,3.4936784e-10
2006-09-19,60,-25.5,25.8,2.9161948e-09,0.0,1.0722763e-09
2006-09-20,60,-25.5,25.8,3.4896974e-09,0.0,3.294281e-09
2006-09-21,60,-25.5,25.8,2.9867724e-09,0.0,1.350215e-09
2006-09-22,60,-25.5,25.8,2.3321762e-09,0.0,8.8036534e-10
2006-09-23,60,-25.5,25.8,3.1319471e-09,0.0,1.8073513e-09
2006-09-24,60,-25.5,25.8,3.3438314e-09,0.0,3.448575e-09
2006-09-25,60,-25.5,25.8,3.0303693e-09,0.0,1.6763338e-09
2006-09-26,60,-25.5,25.8,1.3624156e-09,0.0,4.0247805e-10
2006-09-27,60,-25.5,25.8,2.3657083e-09,0.0,1.2505913e-09
2006-09-28,60,-25.5,25.8,2.6694424e-09,0.0,1.853342e-09
2006-09-29,60,-25.5,25.8,3.1757939e-09,0.0,4.936664e-09
2006-09-30,60,-25.5,25.8,2.885171e-09,0.0,3.814454e-09
2006-10-01,60,-25.5,25.8,2.0952229e-09,0.0,1.6040043e-09
2006-10-02,60,-25.5,25.8,2.1799742e-09,0.0,1.0007402e-09
2006-10-03,60,-25.5,25.8,1.4891826e-09,0.0,6.1898775e-10
2006-10-04,60,-25.5,25.8,1.5809865e-09,0.0,1.070854e-09
2006-10-05,60,-25.5,25.8,2.358867e-09,0.0,2.7688023e-09
2006-10-06,60,-25.5,25.8,1.681993e-09,0.0,1.6210758e-09
2006-10-07,60,-25.5,25.8,2.2616469e-09,0.0,2.0186406e-09
2006-10-08,60,-25.5,25.8,2.1314304e-09,2.515808e-07,2.5381368e-09
2006-10-09,60,-25.5,25.8,2.353532e-09,0.0,3.45799e-09
2006-10-10,60,-25.5,25.8,1.5363903e-09,0.0,1.2296486e-09
2006-10-11,60,-25.5,25.8,1.4421028e-09,0.0,1.2882123e-09
2006-10-12,60,-25.5,25.8,1.7785489e-09,0.0,1.8899067e-09
2006-10-13,60,-25.5,25.8,1.7628224e-09,0.0,2.112053e-09
2006-10-14,60,-25.5,25.8,1.612366e-09,0.0,1.8070013e-09
2006-10-15,60,-25.5,25.8,1.8219212e-09,0.0,2.630533e-09
2006-10-16,60,-25.5,25.8,2.2439768e-09,0.0,5.7844827e-09
2006-10-17,60,-25.5,25.8,2.1987612e-09,0.0,6.4020993e-09
2006-10-18,60,-25.5,25.8,1.8135743e-09,0.0,3.2139054e-09
2006-10-19,60,-25.5,25.8,9.574062e-10,0.0,9.1879043e-10
2006-10-20,60,-25.5,25.8,1.3008085e-09,0.0,2.2130648e-09
2006-10-21,60,-25.5,25.8,1.9243946e-09,0.0,6.4134404e-09
2006-10-22,60,-25.5,25.8,1.9114648e-09,0.0,6.460645e-09
2006-10-23,60,-25.5,25.8,1.766373e-09,0.0,4.6565583e-09
2006-10-24,60,-25.5,25.8,1.8917197e-09,0.0,7.584628e-09
2006-10-25,60,-25.5,25.8,1.5302214e-09,0.0,4.4965343e-09
2006-10-26,60,-25.5,25.8,1.423221e-09,0.0,2.5359121e-09
2006-10-27,60,-25.5,25.8,9.1023056e-10,1.4989199e-07,1.0681855e-09
2006-10-28,60,-25.5,25.8,9.956342e-10,1.4958613e-06,2.2114182e-09
2006-10-29,60,-25.5,25.8,1.5460079e-09,0.0,5.7413208e-09
2006-10-30,60,-25.5,25.8,1.5945298e-09,8.299594e-09,5.0881015e-09
2006-10-31,60,-25.5,25.8,1.405027e-09,0.0,7.154915e-09
2006-11-01,60,-25.5,25.8,9.558804e-10,4.203209e-06,2.027137e-09
2006-11-02,60,-25.5,25.8,1.0044958e-09,4.5768265e-06,2.029136e-09
2006-11-03,60,-25.5,25.8,1.3676561e-09,0.0,5.7152256e-09
2006-11-04,60,-25.5,25.8,1.142267e-09,0.0,3.373431e-09
2006-11-05,60,-25.5,25.8,1.0193546e-09,0.0,2.9771294e-09
2006-11-06,60,-25.5,25.8,6.8133543e-10,0.0,1.2324246e-09
2006-11-07,60,-25.5,25.8,7.1591494e-10,0.0,1.7368491e-09
2006-11-08,60,-25.5,25.8,8.9296376e-10,0.0,2.8613942e-09
2006-11-09,60,-25.5,25.8,1.1397141e-09,0.0,4.792045e-09
2006-11-10,60,-25.5,25.8,1.2050998e-09,0.0,9.885022e-09
2006-11-11,60,-25.5,25.8,1.1974508e-09,0.0,8.881399e-09
2006-11-12,60,-25.5,25.8,1.0196646e-09,4.985703e-06,3.4363663e-09
2006-11-13,60,-25.5,25.8,6.519542e-10,4.384212e-06,1.7979569e-09
2006-11-14,60,-25.5,25.8,8.957379e-10,0.0,4.476237e-09
2006-11-15,60,-25.5,25.8,8.966895e-10,0.0,5.30821e-09
2006-11-16,60,-25.5,25.8,7.7016843e-10,0.0,2.6840825e-09
