date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2010-01-01 00:00:00,0 days,60.0,53.0,7.95,2010-01-01 00:00:00,9.970904e-10,0.0,7.1487274e-12
2010-01-01 03:00:00,0 days,60.0,53.0,7.95,2010-01-01 03:00:00,1.077578e-09,0.0,7.943768e-12
2010-01-01 06:00:00,0 days,60.0,53.0,7.95,2010-01-01 06:00:00,8.8284313e-10,0.0,8.373269e-12
2010-01-01 09:00:00,0 days,60.0,53.0,7.95,2010-01-01 09:00:00,8.5683144e-10,0.0,1.2390987e-11
2010-01-01 12:00:00,0 days,60.0,53.0,7.95,2010-01-01 12:00:00,6.592373e-10,0.0,1.2478837e-11
2010-01-01 15:00:00,0 days,60.0,53.0,7.95,2010-01-01 15:00:00,7.7900264e-10,0.0,2.033182e-11
2010-01-01 18:00:00,0 days,60.0,53.0,7.95,2010-01-01 18:00:00,7.910407e-10,0.0,1.7620799e-11
2010-01-01 21:00:00,0 days,60.0,53.0,7.95,2010-01-01 21:00:00,1.1591104e-09,0.0,3.0331e-11
2010-01-02 00:00:00,0 days,60.0,53.0,7.95,2010-01-02 00:00:00,1.3443151e-09,0.0,2.2941933e-11
2010-01-02 03:00:00,0 days,60.0,53.0,7.95,2010-01-02 03:00:00,1.4144566e-09,0.0,5.1421194e-11
2010-01-02 06:00:00,0 days,60.0,53.0,7.95,2010-01-02 06:00:00,9.468031e-10,0.0,8.4510766e-11
2010-01-02 09:00:00,0 days,60.0,53.0,7.95,2010-01-02 09:00:00,8.8092744e-10,0.0,1.3828179e-10
2010-01-02 12:00:00,0 days,60.0,53.0,7.95,2010-01-02 12:00:00,4.0430725e-10,0.0,2.8058427e-11
2010-01-02 15:00:00,0 days,60.0,53.0,7.95,2010-01-02 15:00:00,7.998353e-10,0.0,3.290566e-11
2010-01-02 18:00:00,0 days,60.0,53.0,7.95,2010-01-02 18:00:00,8.184324e-10,0.0,1.03257666e-10
2010-01-02 21:00:00,0 days,60.0,53.0,7.95,2010-01-02 21:00:00,1.1756478e-09,0.0,1.2752659e-10
2010-01-03 00:00:00,0 days,60.0,53.0,7.95,2010-01-03 00:00:00,1.2906891e-09,0.0,9.5716955e-11
2010-01-03 03:00:00,0 days,60.0,53.0,7.95,2010-01-03 03:00:00,7.684131e-10,0.0,8.2319554e-11
2010-01-03 06:00:00,0 days,60.0,53.0,7.95,2010-01-03 06:00:00,5.540905e-10,0.0,6.477348e-11
2010-01-03 09:00:00,0 days,60.0,53.0,7.95,2010-01-03 09:00:00,6.5082084e-10,0.0,6.177597e-11
2010-01-03 12:00:00,0 days,60.0,53.0,7.95,2010-01-03 12:00:00,3.1332492e-10,0.0,2.7466932e-11
2010-01-03 15:00:00,0 days,60.0,53.0,7.95,2010-01-03 15:00:00,7.4652806e-10,0.0,3.9764476e-11
2010-01-03 18:00:00,0 days,60.0,53.0,7.95,2010-01-03 18:00:00,8.973692e-10,0.0,1.8549824e-10
2010-01-03 21:00:00,0 days,60.0,53.0,7.95,2010-01-03 21:00:00,1.5411767e-09,0.0,4.2494067e-10
2010-01-04 00:00:00,0 days,60.0,53.0,7.95,2010-01-04 00:00:00,1.4912662e-09,0.0,2.4674598e-10
2010-01-04 03:00:00,0 days,60.0,53.0,7.95,2010-01-04 03:00:00,9.446479e-10,0.0,1.707369e-10
2010-01-04 06:00:00,0 days,60.0,53.0,7.95,2010-01-04 06:00:00,6.191617e-10,0.0,1.2954862e-10
2010-01-04 09:00:00,0 days,60.0,53.0,7.95,2010-01-04 09:00:00,5.972038e-10,0.0,1.1181149e-10
2010-01-04 12:00:00,0 days,60.0,53.0,7.95,2010-01-04 12:00:00,3.6025521e-10,0.0,7.7559584e-11
2010-01-04 15:00:00,0 days,60.0,53.0,7.95,2010-01-04 15:00:00,6.6139194e-10,1.4144462e-07,6.554422e-11
2010-01-04 18:00:00,0 days,60.0,53.0,7.95,2010-01-04 18:00:00,8.2054696e-10,3.5324774e-09,8.360232e-11
2010-01-04 21:00:00,0 days,60.0,53.0,7.95,2010-01-04 21:00:00,1.0504745e-09,2.044544e-09,9.770966e-11
2010-01-05 00:00:00,0 days,60.0,53.0,7.95,2010-01-05 00:00:00,1.153013e-09,7.435119e-10,1.02860984e-10
2010-01-05 03:00:00,0 days,60.0,53.0,7.95,2010-01-05 03:00:00,9.481002e-10,0.0,1.0044708e-10
2010-01-05 06:00:00,0 days,60.0,53.0,7.95,2010-01-05 06:00:00,9.483214e-10,0.0,1.0272076e-10
2010-01-05 09:00:00,0 days,60.0,53.0,7.95,2010-01-05 09:00:00,7.817502e-10,0.0,1.0510817e-10
2010-01-05 12:00:00,0 days,60.0,53.0,7.95,2010-01-05 12:00:00,4.4989046e-10,5.1077222e-09,9.09375e-11
2010-01-05 15:00:00,0 days,60.0,53.0,7.95,2010-01-05 15:00:00,5.53411e-10,6.967457e-08,8.2575044e-11
2010-01-05 18:00:00,0 days,60.0,53.0,7.95,2010-01-05 18:00:00,7.647336e-10,9.237556e-08,1.066695e-10
