date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2008-06-01 00:00:00,0 days,60.0,35.2,25.4,2008-06-01 00:00:00,3.5186027e-09,9.260702e-09,3.5506806e-10
2008-06-01 03:00:00,0 days,60.0,35.2,25.4,2008-06-01 03:00:00,1.8666302e-09,2.867182e-08,2.0519327e-10
2008-06-01 06:00:00,0 days,60.0,35.2,25.4,2008-06-01 06:00:00,1.130125e-09,1.12991984e-07,1.6830934e-10
2008-06-01 09:00:00,0 days,60.0,35.2,25.4,2008-06-01 09:00:00,9.31974e-10,1.1196789e-08,6.100927e-11
2008-06-01 12:00:00,0 days,60.0,35.2,25.4,2008-06-01 12:00:00,9.409402e-10,3.519108e-08,6.837911e-11
2008-06-01 15:00:00,0 days,60.0,35.2,25.4,2008-06-01 15:00:00,1.0152637e-09,1.9411345e-08,1.04116535e-10
2008-06-01 18:00:00,0 days,60.0,35.2,25.4,2008-06-01 18:00:00,1.3471679e-09,6.6567736e-08,1.1931743e-10
2008-06-01 21:00:00,0 days,60.0,35.2,25.4,2008-06-01 21:00:00,1.8521042e-09,5.556444e-09,1.0175293e-10
2008-06-02 00:00:00,0 days,60.0,35.2,25.4,2008-06-02 00:00:00,2.231e-09,0.0,1.436e-10
2008-06-02 03:00:00,0 days,60.0,35.2,25.4,2008-06-02 03:00:00,1.6417676e-09,0.0,1.2649017e-10
2008-06-02 06:00:00,0 days,60.0,35.2,25.4,2008-06-02 06:00:00,1.1594261e-09,0.0,1.355339e-10
2008-06-02 09:00:00,0 days,60.0,35.2,25.4,2008-06-02 09:00:00,1.0673775e-09,0.0,7.319468e-11
2008-06-02 12:00:00,0 days,60.0,35.2,25.4,2008-06-02 12:00:00,9.948491e-10,0.0,6.381093e-11
2008-06-02 15:00:00,0 days,60.0,35.2,25.4,2008-06-02 15:00:00,9.785841e-10,0.0,8.8665485e-11
2008-06-02 18:00:00,0 days,60.0,35.2,25.4,2008-06-02 18:00:00,1.2306759e-09,0.0,8.404163e-11
2008-06-02 21:00:00,0 days,60.0,35.2,25.4,2008-06-02 21:00:00,1.6284125e-09,0.0,6.776911e-11
2008-06-03 00:00:00,0 days,60.0,35.2,25.4,2008-06-03 00:00:00,2.2386515e-09,0.0,9.8893234e-11
2008-06-03 03:00:00,0 days,60.0,35.2,25.4,2008-06-03 03:00:00,1.785717e-09,0.0,8.802926e-11
2008-06-03 06:00:00,0 days,60.0,35.2,25.4,2008-06-03 06:00:00,1.2242627e-09,0.0,8.39689e-11
2008-06-03 09:00:00,0 days,60.0,35.2,25.4,2008-06-03 09:00:00,9.541531e-10,0.0,3.988354e-11
2008-06-03 12:00:00,0 days,60.0,35.2,25.4,2008-06-03 12:00:00,8.93622e-10,0.0,4.0198345e-11
2008-06-03 15:00:00,0 days,60.0,35.2,25.4,2008-06-03 15:00:00,9.42723e-10,0.0,5.635293e-11
2008-06-03 18:00:00,0 days,60.0,35.2,25.4,2008-06-03 18:00:00,1.1909355e-09,0.0,6.0632104e-11
2008-06-03 21:00:00,0 days,60.0,35.2,25.4,2008-06-03 21:00:00,1.6325772e-09,0.0,5.8720084e-11
2008-06-04 00:00:00,0 days,60.0,35.2,25.4,2008-06-04 00:00:00,2.1244726e-09,0.0,8.001078e-11
2008-06-04 03:00:00,0 days,60.0,35.2,25.4,2008-06-04 03:00:00,1.9482902e-09,0.0,8.630327e-11
2008-06-04 06:00:00,0 days,60.0,35.2,25.4,2008-06-04 06:00:00,1.4299754e-09,0.0,1.0682558e-10
2008-06-04 09:00:00,0 days,60.0,35.2,25.4,2008-06-04 09:00:00,1.1809159e-09,0.0,5.8597384e-11
2008-06-04 12:00:00,0 days,60.0,35.2,25.4,2008-06-04 12:00:00,1.061794e-09,0.0,6.759093e-11
2008-06-04 15:00:00,0 days,60.0,35.2,25.4,2008-06-04 15:00:00,1.0067673e-09,6.9273938e-09,1.03979166e-10
2008-06-04 18:00:00,0 days,60.0,35.2,25.4,2008-06-04 18:00:00,1.2995607e-09,1.755916e-08,1.15850225e-10
2008-06-04 21:00:00,0 days,60.0,35.2,25.4,2008-06-04 21:00:00,1.6441348e-09,5.541915e-08,7.6506676e-11
2008-06-05 00:00:00,0 days,60.0,35.2,25.4,2008-06-05 00:00:00,2.360915e-09,1.7312777e-07,1.1118283e-10
2008-06-05 03:00:00,0 days,60.0,35.2,25.4,2008-06-05 03:00:00,1.733367e-09,2.2080712e-08,9.731013e-11
2008-06-05 06:00:00,0 days,60.0,35.2,25.4,2008-06-05 06:00:00,1.1415034e-09,0.0,9.5010014e-11
2008-06-05 09:00:00,0 days,60.0,35.2,25.4,2008-06-05 09:00:00,8.934035e-10,0.0,4.0003396e-11
2008-06-05 12:00:00,0 days,60.0,35.2,25.4,2008-06-05 12:00:00,9.1094565e-10,0.0,5.917608e-11
2008-06-05 15:00:00,0 days,60.0,35.2,25.4,2008-06-05 15:00:00,9.307895e-10,0.0,9.199511e-11
2008-06-05 18:00:00,0 days,60.0,35.2,25.4,2008-06-05 18:00:00,1.2008413e-09,0.0,1.1663404e-10
2008-06-05 21:00:00,0 days,60.0,35.2,25.4,2008-06-05 21:00:00,1.4739061e-09,0.0,9.483029e-11
2008-06-06 00:00:00,0 days,60.0,35.2,25.4,2008-06-06 00:00:00,1.9749749e-09,0.0,1.3940094e-10
2008-06-06 03:00:00,0 days,60.0,35.2,25.4,2008-06-06 03:00:00,1.4381678e-09,0.0,1.15181226e-10
2008-06-06 06:00:00,0 days,60.0,35.2,25.4,2008-06-06 06:00:00,1.0455004e-09,0.0,1.4303081e-10
2008-06-06 09:00:00,0 days,60.0,35.2,25.4,2008-06-06 09:00:00,7.7121465e-10,0.0,4.7433786e-11
2008-06-06 12:00:00,0 days,60.0,35.2,25.4,2008-06-06 12:00:00,8.074553e-10,0.0,5.838942e-11
2008-06-06 15:00:00,0 days,60.0,35.2,25.4,2008-06-06 15:00:00,7.796954e-10,0.0,7.7787624e-11
2008-06-06 18:00:00,0 days,60.0,35.2,25.4,2008-06-06 18:00:00,1.0023139e-09,0.0,9.4507784e-11
2008-06-06 21:00:00,0 days,60.0,35.2,25.4,2008-06-06 21:00:00,1.3473234e-09,0.0,8.639004e-11
2008-06-07 00:00:00,0 days,60.0,35.2,25.4,2008-06-07 00:00:00,1.618574e-09,0.0,8.6815985e-11
2008-06-07 03:00:00,0 days,60.0,35.2,25.4,2008-06-07 03:00:00,1.3379302e-09,0.0,8.860585e-11
2008-06-07 06:00:00,0 days,60.0,35.2,25.4,2008-06-07 06:00:00,9.956971e-10,0.0,1.2425107e-10
2008-06-07 09:00:00,0 days,60.0,35.2,25.4,2008-06-07 09:00:00,8.955352e-10,0.0,6.624038e-11
2008-06-07 12:00:00,0 days,60.0,35.2,25.4,2008-06-07 12:00:00,9.768247e-10,0.0,9.9383446e-11
2008-06-07 15:00:00,0 days,60.0,35.2,25.4,2008-06-07 15:00:00,1.0489061e-09,0.0,1.5062986e-10
2008-06-07 18:00:00,0 days,60.0,35.2,25.4,2008-06-07 18:00:00,1.5973438e-09,0.0,2.487595e-10
2008-06-07 21:00:00,0 days,60.0,35.2,25.4,2008-06-07 21:00:00,2.4884936e-09,0.0,2.4683686e-10
2008-06-08 00:00:00,0 days,60.0,35.2,25.4,2008-06-08 00:00:00,2.6079774e-09,0.0,1.9159753e-10
2008-06-08 03:00:00,0 days,60.0,35.2,25.4,2008-06-08 03:00:00,1.9560291e-09,0.0,2.1519012e-10
2008-06-08 06:00:00,0 days,60.0,35.2,25.4,2008-06-08 06:00:00,1.2230372e-09,0.0,2.8373145e-10
2008-06-08 09:00:00,0 days,60.0,35.2,25.4,2008-06-08 09:00:00,9.861388e-10,0.0,7.956388e-11
2008-06-08 12:00:00,0 days,60.0,35.2,25.4,2008-06-08 12:00:00,9.318912e-10,0.0,7.1646876e-11
2008-06-08 15:00:00,0 days,60.0,35.2,25.4,2008-06-08 15:00:00,1.0024932e-09,0.0,1.216808e-10
2008-06-08 18:00:00,0 days,60.0,35.2,25.4,2008-06-08 18:00:00,1.2393845e-09,0.0,1.3783513e-10
