date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2013-02-01 00:00:00,0 days,60.0,21.802,39.729,2013-02-01 00:00:00,6.442067e-10,0.0,5.534834e-11
2013-02-01 03:00:00,0 days,60.0,21.802,39.729,2013-02-01 03:00:00,5.020585e-10,0.0,1.1823265e-10
2013-02-01 06:00:00,0 days,60.0,21.802,39.729,2013-02-01 06:00:00,1.6251848e-10,0.0,4.9869858e-11
2013-02-01 09:00:00,0 days,60.0,21.802,39.729,2013-02-01 09:00:00,6.7743207e-12,0.0,2.7545787e-12
2013-02-01 12:00:00,0 days,60.0,21.802,39.729,2013-02-01 12:00:00,9.9999854e-26,0.0,2.8338048e-12
2013-02-01 15:00:00,0 days,60.0,21.802,39.729,2013-02-01 15:00:00,5.0172626e-12,0.0,5.7396128e-12
2013-02-01 18:00:00,0 days,60.0,21.802,39.729,2013-02-01 18:00:00,1.4825552e-10,0.0,1.485238e-11
2013-02-01 21:00:00,0 days,60.0,21.802,39.729,2013-02-01 21:00:00,5.5509747e-10,0.0,4.7845436e-11
2013-02-02 00:00:00,0 days,60.0,21.802,39.729,2013-02-02 00:00:00,6.801859e-10,0.0,7.048478e-11
2013-02-02 03:00:00,0 days,60.0,21.802,39.729,2013-02-02 03:00:00,4.548303e-10,0.0,9.097783e-11
2013-02-02 06:00:00,0 days,60.0,21.802,39.729,2013-02-02 06:00:00,1.1489876e-10,0.0,2.8984487e-11
2013-02-02 09:00:00,0 days,60.0,21.802,39.729,2013-02-02 09:00:00,5.553013e-12,0.0,2.6078e-12
2013-02-02 12:00:00,0 days,60.0,21.802,39.729,2013-02-02 12:00:00,5.9414956e-12,0.0,2.8826485e-12
2013-02-02 15:00:00,0 days,60.0,21.802,39.729,2013-02-02 15:00:00,1.8769031e-11,0.0,6.20424e-12
2013-02-02 18:00:00,0 days,60.0,21.802,39.729,2013-02-02 18:00:00,2.0876892e-10,0.0,1.529209e-11
2013-02-02 21:00:00,0 days,60.0,21.802,39.729,2013-02-02 21:00:00,5.851283e-10,0.0,3.0136903e-11
2013-02-03 00:00:00,0 days,60.0,21.802,39.729,2013-02-03 00:00:00,9.834784e-10,0.0,2.7023113e-11
2013-02-03 03:00:00,0 days,60.0,21.802,39.729,2013-02-03 03:00:00,6.987086e-10,0.0,2.7864823e-11
2013-02-03 06:00:00,0 days,60.0,21.802,39.729,2013-02-03 06:00:00,3.0095043e-10,0.0,2.4157735e-11
2013-02-03 09:00:00,0 days,60.0,21.802,39.729,2013-02-03 09:00:00,1.6145973e-11,0.0,3.4958308e-12
2013-02-03 12:00:00,0 days,60.0,21.802,39.729,2013-02-03 12:00:00,9.999995e-26,0.0,3.4130565e-12
2013-02-03 15:00:00,0 days,60.0,21.802,39.729,2013-02-03 15:00:00,4.8908783e-11,0.0,8.992712e-12
2013-02-03 18:00:00,0 days,60.0,21.802,39.729,2013-02-03 18:00:00,3.9501102e-10,0.0,4.481262e-11
2013-02-03 21:00:00,0 days,60.0,21.802,39.729,2013-02-03 21:00:00,5.5775085e-10,0.0,2.740392e-11
2013-02-04 00:00:00,0 days,60.0,21.802,39.729,2013-02-04 00:00:00,6.9236783e-10,0.0,2.251636e-11
2013-02-04 03:00:00,0 days,60.0,21.802,39.729,2013-02-04 03:00:00,5.6775007e-10,0.0,2.970046e-11
2013-02-04 06:00:00,0 days,60.0,21.802,39.729,2013-02-04 06:00:00,3.6598105e-10,0.0,3.1732478e-11
