date,hybrid,latitude,longitude,nh3,crwc,c10h16
2010-01-01,60,47.8,11.0,1.5503339e-09,5.368703e-07,4.5456977e-10
2010-01-02,60,47.8,11.0,8.2479257e-10,0.0,9.962419e-11
2010-01-03,60,47.8,11.0,1.1600159e-09,0.0,8.3770796e-11
2010-01-04,60,47.8,11.0,1.3373377e-09,0.0,1.7319719e-10
2010-01-05,60,47.8,11.0,1.5193307e-09,0.0,3.812486e-10
2010-01-06,60,47.8,11.0,1.3889614e-09,0.0,3.4960262e-10
2010-01-07,60,47.8,11.0,1.4094267e-09,0.0,2.3455235e-10
2010-01-08,60,47.8,11.0,1.168304e-09,0.0,1.8172444e-10
2010-01-09,60,47.8,11.0,9.673113e-10,0.0,1.6069512e-10
2010-01-10,60,47.8,11.0,1.2873019e-09,0.0,2.2466329e-10
2010-01-11,60,47.8,11.0,1.356117e-09,0.0,1.7100588e-10
2010-01-12,60,47.8,11.0,1.585524e-09,0.0,4.1992915e-10
2010-01-13,60,47.8,11.0,1.5659466e-09,0.0,3.8401474e-10
2010-01-14,60,47.8,11.0,1.4190015e-09,0.0,2.8703345e-10
2010-01-15,60,47.8,11.0,1.5564119e-09,0.0,4.4232304e-10
2010-01-16,60,47.8,11.0,1.7042492e-09,0.0,4.9685406e-10
2010-01-17,60,47.8,11.0,1.2060393e-09,3.9065744e-06,7.2883456e-11
2010-01-18,60,47.8,11.0,1.5585782e-09,1.0555711e-07,1.2573356e-10
2010-01-19,60,47.8,11.0,1.9320836e-09,0.0,3.1791159e-10
2010-01-20,60,47.8,11.0,1.9850788e-09,0.0,3.4574313e-10
2010-01-21,60,47.8,11.0,2.0589028e-09,4.8916732e-08,2.9587652e-10
2010-01-22,60,47.8,11.0,1.9973525e-09,0.0,1.8411613e-10
2010-01-23,60,47.8,11.0,1.9506659e-09,0.0,2.019638e-10
2010-01-24,60,47.8,11.0,2.1275417e-09,0.0,3.260386e-10
2010-01-25,60,47.8,11.0,2.3252673e-09,0.0,4.301115e-10
2010-01-26,60,47.8,11.0,2.136047e-09,0.0,2.5543778e-10
2010-01-27,60,47.8,11.0,1.8414834e-09,0.0,1.9092875e-10
2010-01-28,60,47.8,11.0,1.5975651e-09,0.0,5.4000016e-11
2010-01-29,60,47.8,11.0,1.6601696e-09,0.0,4.5609377e-11
2010-01-30,60,47.8,11.0,1.7847868e-09,0.0,4.2093676e-11
2010-01-31,60,47.8,11.0,2.4138533e-09,0.0,1.04361485e-10
2010-02-01,60,47.8,11.0,2.2517168e-09,0.0,1.5173089e-10
2010-02-02,60,47.8,11.0,1.6875807e-09,0.0,4.1039575e-11
2010-02-03,60,47.8,11.0,1.8518469e-09,3.0060423e-06,3.404629e-11
2010-02-04,60,47.8,11.0,2.8575968e-09,6.165848e-07,2.0197408e-10
2010-02-05,60,47.8,11.0,3.3278411e-09,1.2814985e-06,3.2028924e-10
2010-02-06,60,47.8,11.0,2.8375813e-09,4.223855e-06,1.31946e-10
