date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2006-01-01 00:00:00,0 days,60.0,51.6,-1.3,2006-01-01 00:00:00,1.50413e-09,5.3077183e-06,6.732803e-11
2006-01-01 03:00:00,0 days,60.0,51.6,-1.3,2006-01-01 03:00:00,1.3759505e-09,3.894097e-06,7.2411965e-11
2006-01-01 06:00:00,0 days,60.0,51.6,-1.3,2006-01-01 06:00:00,9.685512e-10,1.1188401e-06,5.988146e-11
2006-01-01 09:00:00,0 days,60.0,51.6,-1.3,2006-01-01 09:00:00,7.49333e-10,3.715397e-06,4.8338812e-11
2006-01-01 12:00:00,0 days,60.0,51.6,-1.3,2006-01-01 12:00:00,7.710769e-10,2.4295766e-06,6.3403005e-11
2006-01-01 15:00:00,0 days,60.0,51.6,-1.3,2006-01-01 15:00:00,8.665855e-10,4.6878876e-07,7.781756e-11
2006-01-01 18:00:00,0 days,60.0,51.6,-1.3,2006-01-01 18:00:00,1.0312934e-09,3.737705e-08,8.817137e-11
2006-01-01 21:00:00,0 days,60.0,51.6,-1.3,2006-01-01 21:00:00,1.1830514e-09,2.1398137e-08,1.165911e-10
2006-01-02 00:00:00,0 days,60.0,51.6,-1.3,2006-01-02 00:00:00,1.4559758e-09,2.4896582e-07,1.1999468e-10
2006-01-02 03:00:00,0 days,60.0,51.6,-1.3,2006-01-02 03:00:00,1.7256886e-09,0.0,1.9643615e-10
2006-01-02 06:00:00,0 days,60.0,51.6,-1.3,2006-01-02 06:00:00,1.5460196e-09,0.0,3.2818032e-10
2006-01-02 09:00:00,0 days,60.0,51.6,-1.3,2006-01-02 09:00:00,1.7004844e-09,0.0,5.843853e-10
2006-01-02 12:00:00,0 days,60.0,51.6,-1.3,2006-01-02 12:00:00,1.0332895e-09,0.0,4.4006937e-10
2006-01-02 15:00:00,0 days,60.0,51.6,-1.3,2006-01-02 15:00:00,1.611467e-09,6.0661023e-09,3.634884e-10
2006-01-02 18:00:00,0 days,60.0,51.6,-1.3,2006-01-02 18:00:00,1.848714e-09,0.0,1.1218344e-09
2006-01-02 21:00:00,0 days,60.0,51.6,-1.3,2006-01-02 21:00:00,2.1661128e-09,0.0,1.1262757e-09
2006-01-03 00:00:00,0 days,60.0,51.6,-1.3,2006-01-03 00:00:00,2.5381337e-09,0.0,7.264477e-10
