date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2009-01-01 00:00:00,0 days,60.0,49.56,15.08,2009-01-01 00:00:00,5.016385e-10,0.0,6.634962e-11
2009-01-01 03:00:00,0 days,60.0,49.56,15.08,2009-01-01 03:00:00,6.6386147e-10,0.0,7.142823e-11
2009-01-01 06:00:00,0 days,60.0,49.56,15.08,2009-01-01 06:00:00,1.1022702e-09,0.0,8.33192e-11
2009-01-01 09:00:00,0 days,60.0,49.56,15.08,2009-01-01 09:00:00,1.0558687e-09,0.0,1.0630134e-10
2009-01-01 12:00:00,0 days,60.0,49.56,15.08,2009-01-01 12:00:00,1.8931907e-10,0.0,8.440435e-11
2009-01-01 15:00:00,0 days,60.0,49.56,15.08,2009-01-01 15:00:00,4.3975404e-10,0.0,9.879785e-11
2009-01-01 18:00:00,0 days,60.0,49.56,15.08,2009-01-01 18:00:00,4.750466e-10,0.0,9.5610436e-11
2009-01-01 21:00:00,0 days,60.0,49.56,15.08,2009-01-01 21:00:00,7.084064e-10,0.0,9.471883e-11
2009-01-02 00:00:00,0 days,60.0,49.56,15.08,2009-01-02 00:00:00,9.298007e-10,0.0,8.5858216e-11
2009-01-02 03:00:00,0 days,60.0,49.56,15.08,2009-01-02 03:00:00,1.3422312e-09,0.0,1.00303814e-10
2009-01-02 06:00:00,0 days,60.0,49.56,15.08,2009-01-02 06:00:00,1.1982616e-09,0.0,1.04140405e-10
2009-01-02 09:00:00,0 days,60.0,49.56,15.08,2009-01-02 09:00:00,1.1654406e-09,0.0,1.12720853e-10
2009-01-02 12:00:00,0 days,60.0,49.56,15.08,2009-01-02 12:00:00,5.884466e-10,0.0,5.4421526e-11
2009-01-02 15:00:00,0 days,60.0,49.56,15.08,2009-01-02 15:00:00,9.566781e-10,0.0,6.4864863e-11
2009-01-02 18:00:00,0 days,60.0,49.56,15.08,2009-01-02 18:00:00,1.5507218e-09,0.0,1.1123167e-10
2009-01-02 21:00:00,0 days,60.0,49.56,15.08,2009-01-02 21:00:00,2.1870643e-09,0.0,1.4268003e-10
2009-01-03 00:00:00,0 days,60.0,49.56,15.08,2009-01-03 00:00:00,1.1713701e-09,0.0,5.628305e-11
2009-01-03 03:00:00,0 days,60.0,49.56,15.08,2009-01-03 03:00:00,2.0704358e-09,0.0,1.1911384e-10
2009-01-03 06:00:00,0 days,60.0,49.56,15.08,2009-01-03 06:00:00,1.9869184e-09,0.0,3.6036996e-10
2009-01-03 09:00:00,0 days,60.0,49.56,15.08,2009-01-03 09:00:00,7.2401213e-10,0.0,1.8617906e-10
2009-01-03 12:00:00,0 days,60.0,49.56,15.08,2009-01-03 12:00:00,6.2781125e-10,0.0,3.8656706e-11
2009-01-03 15:00:00,0 days,60.0,49.56,15.08,2009-01-03 15:00:00,1.1740848e-09,0.0,4.8400773e-11
2009-01-03 18:00:00,0 days,60.0,49.56,15.08,2009-01-03 18:00:00,1.406239e-09,0.0,8.303042e-11
2009-01-03 21:00:00,0 days,60.0,49.56,15.08,2009-01-03 21:00:00,1.453735e-09,0.0,7.349599e-11
2009-01-04 00:00:00,0 days,60.0,49.56,15.08,2009-01-04 00:00:00,1.5394673e-09,0.0,6.5063066e-11
2009-01-04 03:00:00,0 days,60.0,49.56,15.08,2009-01-04 03:00:00,8.559088e-10,0.0,4.7778302e-11
2009-01-04 06:00:00,0 days,60.0,49.56,15.08,2009-01-04 06:00:00,7.183238e-10,0.0,4.085378e-11
2009-01-04 09:00:00,0 days,60.0,49.56,15.08,2009-01-04 09:00:00,7.699065e-10,0.0,5.4161044e-11
2009-01-04 12:00:00,0 days,60.0,49.56,15.08,2009-01-04 12:00:00,5.765821e-10,0.0,4.2866953e-11
2009-01-04 15:00:00,0 days,60.0,49.56,15.08,2009-01-04 15:00:00,7.564914e-10,0.0,4.933149e-11
2009-01-04 18:00:00,0 days,60.0,49.56,15.08,2009-01-04 18:00:00,7.1070605e-10,0.0,2.8936326e-11
2009-01-04 21:00:00,0 days,60.0,49.56,15.08,2009-01-04 21:00:00,7.0710854e-10,0.0,2.3360074e-11
2009-01-05 00:00:00,0 days,60.0,49.56,15.08,2009-01-05 00:00:00,8.996973e-10,0.0,2.4926434e-11
2009-01-05 03:00:00,0 days,60.0,49.56,15.08,2009-01-05 03:00:00,7.795515e-10,0.0,3.157883e-11
2009-01-05 06:00:00,0 days,60.0,49.56,15.08,2009-01-05 06:00:00,7.4015266e-10,0.0,3.303954e-11
2009-01-05 09:00:00,0 days,60.0,49.56,15.08,2009-01-05 09:00:00,8.804709e-10,0.0,5.1992948e-11
2009-01-05 12:00:00,0 days,60.0,49.56,15.08,2009-01-05 12:00:00,6.038015e-10,0.0,4.9926903e-11
2009-01-05 15:00:00,0 days,60.0,49.56,15.08,2009-01-05 15:00:00,1.6900794e-09,0.0,1.2038187e-10
2009-01-05 18:00:00,0 days,60.0,49.56,15.08,2009-01-05 18:00:00,1.7248105e-09,0.0,1.6689401e-10
2009-01-05 21:00:00,0 days,60.0,49.56,15.08,2009-01-05 21:00:00,2.3457214e-09,0.0,1.9308777e-10
2009-01-06 00:00:00,0 days,60.0,49.56,15.08,2009-01-06 00:00:00,2.872525e-09,0.0,2.080152e-10
2009-01-06 03:00:00,0 days,60.0,49.56,15.08,2009-01-06 03:00:00,2.4759044e-09,0.0,2.2115858e-10
2009-01-06 06:00:00,0 days,60.0,49.56,15.08,2009-01-06 06:00:00,1.8954096e-09,0.0,2.2819296e-10
2009-01-06 09:00:00,0 days,60.0,49.56,15.08,2009-01-06 09:00:00,1.2328011e-09,0.0,1.8570669e-10
2009-01-06 12:00:00,0 days,60.0,49.56,15.08,2009-01-06 12:00:00,1.1169159e-09,0.0,9.0094446e-11
2009-01-06 15:00:00,0 days,60.0,49.56,15.08,2009-01-06 15:00:00,9.566433e-10,0.0,8.330665e-11
2009-01-06 18:00:00,0 days,60.0,49.56,15.08,2009-01-06 18:00:00,1.7752689e-09,0.0,1.3982769e-10
2009-01-06 21:00:00,0 days,60.0,49.56,15.08,2009-01-06 21:00:00,2.5832376e-09,0.0,1.8682415e-10
2009-01-07 00:00:00,0 days,60.0,49.56,15.08,2009-01-07 00:00:00,3.0304113e-09,0.0,2.2745504e-10
2009-01-07 03:00:00,0 days,60.0,49.56,15.08,2009-01-07 03:00:00,2.0399922e-09,0.0,2.9350522e-10
2009-01-07 06:00:00,0 days,60.0,49.56,15.08,2009-01-07 06:00:00,1.8605825e-09,0.0,3.5727243e-10
2009-01-07 09:00:00,0 days,60.0,49.56,15.08,2009-01-07 09:00:00,1.0789084e-09,0.0,2.361218e-10
2009-01-07 12:00:00,0 days,60.0,49.56,15.08,2009-01-07 12:00:00,3.8010137e-10,0.0,6.230788e-11
2009-01-07 15:00:00,0 days,60.0,49.56,15.08,2009-01-07 15:00:00,9.319177e-10,0.0,5.698507e-11
2009-01-07 18:00:00,0 days,60.0,49.56,15.08,2009-01-07 18:00:00,9.697696e-10,0.0,5.731019e-11
2009-01-07 21:00:00,0 days,60.0,49.56,15.08,2009-01-07 21:00:00,9.582257e-10,0.0,4.5114284e-11
2009-01-08 00:00:00,0 days,60.0,49.56,15.08,2009-01-08 00:00:00,9.911005e-10,0.0,4.9850107e-11
2009-01-08 03:00:00,0 days,60.0,49.56,15.08,2009-01-08 03:00:00,1.061065e-09,0.0,6.414533e-11
