date,hybrid,latitude,longitude,nh3,crwc,c10h16
2008-02-01,60,-25.7,27.5,9.448662e-10,0.0,9.100905e-09
2008-02-02,60,-25.7,27.5,7.9538104e-10,0.0,7.655182e-09
2008-02-03,60,-25.7,27.5,7.948455e-10,0.0,6.9869364e-09
2008-02-04,60,-25.7,27.5,5.467432e-10,1.2857435e-06,3.835147e-09
2008-02-05,60,-25.7,27.5,5.8107724e-10,5.167625e-06,3.168458e-09
2008-02-06,60,-25.7,27.5,6.366234e-10,9.7463385e-08,3.0885008e-09
2008-02-07,60,-25.7,27.5,8.844576e-10,0.0,7.458085e-09
2008-02-08,60,-25.7,27.5,6.685815e-10,0.0,3.454019e-09
2008-02-09,60,-25.7,27.5,4.764851e-10,7.497192e-09,1.6484051e-09
2008-02-10,60,-25.7,27.5,4.839796e-10,0.0,2.00465e-09
2008-02-11,60,-25.7,27.5,7.404995e-10,0.0,3.4329855e-09
2008-02-12,60,-25.7,27.5,7.7899814e-10,0.0,4.483657e-09
2008-02-13,60,-25.7,27.5,8.3691054e-10,1.3984936e-07,8.095739e-09
2008-02-14,60,-25.7,27.5,6.45474e-10,7.932e-09,3.0210974e-09
2008-02-15,60,-25.7,27.5,7.7247514e-10,1.6297463e-08,6.7165127e-09
2008-02-16,60,-25.7,27.5,6.2980143e-10,0.0,1.8736293e-09
2008-02-17,60,-25.7,27.5,6.950323e-10,0.0,1.985609e-09
2008-02-18,60,-25.7,27.5,9.512622e-10,0.0,7.0269466e-09
2008-02-19,60,-25.7,27.5,7.287905e-10,0.0,4.3187853e-09
2008-02-20,60,-25.7,27.5,3.9398856e-10,0.0,9.379151e-10
2008-02-21,60,-25.7,27.5,6.146097e-10,0.0,2.0156132e-09
2008-02-22,60,-25.7,27.5,6.5371675e-10,0.0,3.1914285e-09
2008-02-23,60,-25.7,27.5,4.8447113e-10,0.0,1.4374705e-09
2008-02-24,60,-25.7,27.5,7.6206164e-10,0.0,2.089374e-09
2008-02-25,60,-25.7,27.5,5.599411e-10,1.881736e-07,1.2790288e-09
2008-02-26,60,-25.7,27.5,6.079985e-10,1.15771e-06,1.5699484e-09
2008-02-27,60,-25.7,27.5,1.02556e-09,2.7944134e-07,6.001945e-09
2008-02-28,60,-25.7,27.5,8.956156e-10,0.0,5.2148175e-09
2008-02-29,60,-25.7,27.5,7.2813183e-10,2.537902e-07,2.2588909e-09
2008-03-01,60,-25.7,27.5,7.2683126e-10,1.5240472e-06,2.3396467e-09
2008-03-02,60,-25.7,27.5,8.8797436e-10,0.0,7.531016e-09
2008-03-03,60,-25.7,27.5,6.259182e-10,0.0,2.3812035e-09
2008-03-04,60,-25.7,27.5,6.642752e-10,2.1695996e-08,2.7438323e-09
2008-03-05,60,-25.7,27.5,6.16698e-10,0.0,2.6896962e-09
2008-03-06,60,-25.7,27.5,6.5428907e-10,5.475158e-08,1.7458484e-09
2008-03-07,60,-25.7,27.5,8.0151974e-10,0.0,3.068523e-09
2008-03-08,60,-25.7,27.5,5.645601e-10,2.0187235e-07,1.5035028e-09
2008-03-09,60,-25.7,27.5,7.900305e-10,0.0,3.2405665e-09
2008-03-10,60,-25.7,27.5,8.8757046e-10,0.0,6.229236e-09
2008-03-11,60,-25.7,27.5,9.967318e-10,6.291884e-08,3.5721777e-09
2008-03-12,60,-25.7,27.5,7.1047523e-10,3.6703443e-07,3.228443e-09
2008-03-13,60,-25.7,27.5,6.6636396e-10,1.4504698e-06,1.5403633e-09
2008-03-14,60,-25.7,27.5,5.143724e-10,9.901824e-06,1.2355716e-09
2008-03-15,60,-25.7,27.5,6.9362127e-10,2.9926005e-05,1.6742631e-09
2008-03-16,60,-25.7,27.5,5.087591e-10,7.982629e-05,7.71405e-10
2008-03-17,60,-25.7,27.5,4.854511e-10,4.1373583e-05,8.8765556e-10
2008-03-18,60,-25.7,27.5,6.181494e-10,1.5319221e-05,1.8296318e-09
2008-03-19,60,-25.7,27.5,8.056692e-10,7.2441814e-08,6.551396e-09
2008-03-20,60,-25.7,27.5,9.798475e-10,0.0,9.147458e-09
2008-03-21,60,-25.7,27.5,6.6083317e-10,4.526356e-09,2.7804374e-09
2008-03-22,60,-25.7,27.5,8.769237e-10,5.344893e-08,3.859345e-09
2008-03-23,60,-25.7,27.5,8.040445e-10,2.5115014e-07,5.9804477e-09
2008-03-24,60,-25.7,27.5,6.072644e-10,4.96299e-09,2.3672624e-09
2008-03-25,60,-25.7,27.5,1.1338819e-09,0.0,1.08179545e-08
2008-03-26,60,-25.7,27.5,1.0466888e-09,0.0,6.898394e-09
2008-03-27,60,-25.7,27.5,7.9690987e-10,3.9459246e-07,3.5883105e-09
2008-03-28,60,-25.7,27.5,8.6360025e-10,0.0,5.2713993e-09
2008-03-29,60,-25.7,27.5,1.0167445e-09,0.0,8.305517e-09
2008-03-30,60,-25.7,27.5,6.160478e-10,8.636237e-08,2.460516e-09
2008-03-31,60,-25.7,27.5,8.364481e-10,0.0,7.1884414e-09
2008-04-01,60,-25.7,27.5,5.6214433e-10,3.288256e-08,4.066093e-09
2008-04-02,60,-25.7,27.5,7.137198e-10,4.8283255e-08,6.3504215e-09
2008-04-03,60,-25.7,27.5,3.7665648e-10,6.1472374e-09,1.31994e-09
2008-04-04,60,-25.7,27.5,9.116683e-10,0.0,2.9276872e-09
2008-04-05,60,-25.7,27.5,9.2957403e-10,0.0,5.116543e-09
2008-04-06,60,-25.7,27.5,9.1119556e-10,0.0,4.4713744e-09
2008-04-07,60,-25.7,27.5,9.825526e-10,0.0,6.90667e-09
2008-04-08,60,-25.7,27.5,1.0164893e-09,0.0,7.4247595e-09
