date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2005-01-01 00:00:00,0 days,60.0,53.32,-9.88,2005-01-01 00:00:00,4.8236512e-11,3.0177034e-07,3.954624e-11
2005-01-01 03:00:00,0 days,60.0,53.32,-9.88,2005-01-01 03:00:00,6.4239156e-11,6.802583e-08,3.780848e-11
2005-01-01 06:00:00,0 days,60.0,53.32,-9.88,2005-01-01 06:00:00,4.2486247e-11,5.3029958e-06,1.880416e-11
2005-01-01 09:00:00,0 days,60.0,53.32,-9.88,2005-01-01 09:00:00,3.1576207e-11,6.0383376e-05,1.5282234e-11
2005-01-01 12:00:00,0 days,60.0,53.32,-9.88,2005-01-01 12:00:00,1.3788132e-11,7.385418e-06,1.4649334e-11
2005-01-01 15:00:00,0 days,60.0,53.32,-9.88,2005-01-01 15:00:00,1.5935663e-11,3.5805954e-08,1.2002743e-11
2005-01-01 18:00:00,0 days,60.0,53.32,-9.88,2005-01-01 18:00:00,1.36857565e-11,6.507488e-07,1.0592045e-11
2005-01-01 21:00:00,0 days,60.0,53.32,-9.88,2005-01-01 21:00:00,1.533025e-11,1.6854756e-08,1.0732408e-11
2005-01-02 00:00:00,0 days,60.0,53.32,-9.88,2005-01-02 00:00:00,1.9756245e-11,5.322363e-08,1.1944715e-11
2005-01-02 03:00:00,0 days,60.0,53.32,-9.88,2005-01-02 03:00:00,2.0379793e-11,0.0,1.26671364e-11
2005-01-02 06:00:00,0 days,60.0,53.32,-9.88,2005-01-02 06:00:00,1.906363e-11,5.266525e-07,1.2396054e-11
2005-01-02 09:00:00,0 days,60.0,53.32,-9.88,2005-01-02 09:00:00,1.8846938e-11,1.1469873e-06,1.3251865e-11
2005-01-02 12:00:00,0 days,60.0,53.32,-9.88,2005-01-02 12:00:00,2.1725125e-11,7.4513245e-08,1.8773037e-11
2005-01-02 15:00:00,0 days,60.0,53.32,-9.88,2005-01-02 15:00:00,2.2123395e-11,1.7741771e-09,2.2541205e-11
2005-01-02 18:00:00,0 days,60.0,53.32,-9.88,2005-01-02 18:00:00,2.802288e-11,9.0463084e-07,2.5125178e-11
2005-01-02 21:00:00,0 days,60.0,53.32,-9.88,2005-01-02 21:00:00,2.5234294e-11,7.7976915e-07,2.4881278e-11
