date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2011-12-01 00:00:00,0 days,60.0,32.2,118.9,2011-12-01 00:00:00,2.1536198e-10,0.0,1.9505772e-11
2011-12-01 03:00:00,0 days,60.0,32.2,118.9,2011-12-01 03:00:00,1.4040108e-10,0.0,1.0054251e-11
2011-12-01 06:00:00,0 days,60.0,32.2,118.9,2011-12-01 06:00:00,1.1761181e-10,0.0,9.265591e-12
2011-12-01 09:00:00,0 days,60.0,32.2,118.9,2011-12-01 09:00:00,1.6318795e-10,0.0,1.6206743e-11
2011-12-01 12:00:00,0 days,60.0,32.2,118.9,2011-12-01 12:00:00,1.3499854e-10,0.0,2.3036434e-11
2011-12-01 15:00:00,0 days,60.0,32.2,118.9,2011-12-01 15:00:00,6.0203016e-11,0.0,2.3161396e-11
2011-12-01 18:00:00,0 days,60.0,32.2,118.9,2011-12-01 18:00:00,1.6665878e-10,0.0,5.5525765e-11
2011-12-01 21:00:00,0 days,60.0,32.2,118.9,2011-12-01 21:00:00,6.725023e-10,0.0,1.0664067e-10
2011-12-02 00:00:00,0 days,60.0,32.2,118.9,2011-12-02 00:00:00,3.8063538e-10,0.0,1.1322655e-10
2011-12-02 03:00:00,0 days,60.0,32.2,118.9,2011-12-02 03:00:00,3.4159554e-11,0.0,1.1526983e-11
2011-12-02 06:00:00,0 days,60.0,32.2,118.9,2011-12-02 06:00:00,4.2305645e-11,0.0,7.1106467e-12
2011-12-02 09:00:00,0 days,60.0,32.2,118.9,2011-12-02 09:00:00,8.4118884e-10,0.0,6.575192e-11
2011-12-02 12:00:00,0 days,60.0,32.2,118.9,2011-12-02 12:00:00,1.2716566e-09,0.0,2.6691754e-10
2011-12-02 15:00:00,0 days,60.0,32.2,118.9,2011-12-02 15:00:00,1.8560359e-09,0.0,3.956749e-10
2011-12-02 18:00:00,0 days,60.0,32.2,118.9,2011-12-02 18:00:00,1.5486803e-09,0.0,4.104816e-10
2011-12-02 21:00:00,0 days,60.0,32.2,118.9,2011-12-02 21:00:00,1.2834049e-09,0.0,4.1542803e-10
2011-12-03 00:00:00,0 days,60.0,32.2,118.9,2011-12-03 00:00:00,5.675572e-10,0.0,3.4325193e-10
2011-12-03 03:00:00,0 days,60.0,32.2,118.9,2011-12-03 03:00:00,1.2344756e-11,0.0,2.6532446e-11
2011-12-03 06:00:00,0 days,60.0,32.2,118.9,2011-12-03 06:00:00,2.1620048e-11,0.0,9.335975e-12
2011-12-03 09:00:00,0 days,60.0,32.2,118.9,2011-12-03 09:00:00,5.8957794e-10,0.0,7.64529e-11
2011-12-03 12:00:00,0 days,60.0,32.2,118.9,2011-12-03 12:00:00,5.5593313e-10,0.0,1.7915162e-10
2011-12-03 15:00:00,0 days,60.0,32.2,118.9,2011-12-03 15:00:00,4.090667e-10,0.0,2.0033242e-10
2011-12-03 18:00:00,0 days,60.0,32.2,118.9,2011-12-03 18:00:00,7.4432455e-10,0.0,2.4018496e-10
2011-12-03 21:00:00,0 days,60.0,32.2,118.9,2011-12-03 21:00:00,1.8522022e-09,0.0,3.3957998e-10
2011-12-04 00:00:00,0 days,60.0,32.2,118.9,2011-12-04 00:00:00,3.451425e-10,0.0,2.8564354e-10
2011-12-04 03:00:00,0 days,60.0,32.2,118.9,2011-12-04 03:00:00,3.67002e-11,0.0,4.570254e-11
2011-12-04 06:00:00,0 days,60.0,32.2,118.9,2011-12-04 06:00:00,6.886857e-11,0.0,1.2213986e-11
2011-12-04 09:00:00,0 days,60.0,32.2,118.9,2011-12-04 09:00:00,3.2059122e-10,0.0,5.0241283e-11
2011-12-04 12:00:00,0 days,60.0,32.2,118.9,2011-12-04 12:00:00,4.451185e-10,0.0,1.033975e-10
2011-12-04 15:00:00,0 days,60.0,32.2,118.9,2011-12-04 15:00:00,5.482594e-10,0.0,1.1361169e-10
2011-12-04 18:00:00,0 days,60.0,32.2,118.9,2011-12-04 18:00:00,6.440601e-10,0.0,1.0219329e-10
2011-12-04 21:00:00,0 days,60.0,32.2,118.9,2011-12-04 21:00:00,7.8500856e-10,0.0,8.882733e-11
2011-12-05 00:00:00,0 days,60.0,32.2,118.9,2011-12-05 00:00:00,5.891638e-10,0.0,5.992036e-11
2011-12-05 03:00:00,0 days,60.0,32.2,118.9,2011-12-05 03:00:00,5.321191e-10,0.0,2.5977928e-11
2011-12-05 06:00:00,0 days,60.0,32.2,118.9,2011-12-05 06:00:00,4.1045753e-10,0.0,1.6763256e-11
2011-12-05 09:00:00,0 days,60.0,32.2,118.9,2011-12-05 09:00:00,5.576065e-10,0.0,3.0204762e-11
2011-12-05 12:00:00,0 days,60.0,32.2,118.9,2011-12-05 12:00:00,5.492066e-10,0.0,4.019701e-11
2011-12-05 15:00:00,0 days,60.0,32.2,118.9,2011-12-05 15:00:00,4.438694e-10,6.548362e-09,3.907574e-11
2011-12-05 18:00:00,0 days,60.0,32.2,118.9,2011-12-05 18:00:00,6.0540956e-10,2.4158364e-08,5.9962244e-11
2011-12-05 21:00:00,0 days,60.0,32.2,118.9,2011-12-05 21:00:00,1.1612449e-09,3.412209e-08,1.1955929e-10
2011-12-06 00:00:00,0 days,60.0,32.2,118.9,2011-12-06 00:00:00,8.9234486e-10,1.4901161e-08,1.1466013e-10
2011-12-06 03:00:00,0 days,60.0,32.2,118.9,2011-12-06 03:00:00,5.709077e-10,4.4851586e-08,5.1540792e-11
2011-12-06 06:00:00,0 days,60.0,32.2,118.9,2011-12-06 06:00:00,7.08846e-10,1.887558e-06,4.452846e-11
2011-12-06 09:00:00,0 days,60.0,32.2,118.9,2011-12-06 09:00:00,9.871396e-10,9.576673e-06,9.74513e-11
2011-12-06 12:00:00,0 days,60.0,32.2,118.9,2011-12-06 12:00:00,1.0246388e-09,1.0265568e-05,9.2615464e-11
2011-12-06 15:00:00,0 days,60.0,32.2,118.9,2011-12-06 15:00:00,1.1457335e-09,1.3657655e-05,9.8456084e-11
2011-12-06 18:00:00,0 days,60.0,32.2,118.9,2011-12-06 18:00:00,1.126754e-09,8.6102555e-06,9.531158e-11
2011-12-06 21:00:00,0 days,60.0,32.2,118.9,2011-12-06 21:00:00,1.0956722e-09,2.0674195e-05,1.0183006e-10
2011-12-07 00:00:00,0 days,60.0,32.2,118.9,2011-12-07 00:00:00,9.364177e-10,4.621959e-05,1.0217188e-10
2011-12-07 03:00:00,0 days,60.0,32.2,118.9,2011-12-07 03:00:00,8.8409635e-10,2.865764e-05,1.2626317e-10
2011-12-07 06:00:00,0 days,60.0,32.2,118.9,2011-12-07 06:00:00,7.259382e-10,2.6069094e-05,1.3831605e-10
2011-12-07 09:00:00,0 days,60.0,32.2,118.9,2011-12-07 09:00:00,6.475886e-10,2.882951e-05,1.5024731e-10
2011-12-07 12:00:00,0 days,60.0,32.2,118.9,2011-12-07 12:00:00,5.982098e-10,4.9765214e-05,1.2694884e-10
2011-12-07 15:00:00,0 days,60.0,32.2,118.9,2011-12-07 15:00:00,7.7451673e-10,2.7673264e-05,1.1473972e-10
2011-12-07 18:00:00,0 days,60.0,32.2,118.9,2011-12-07 18:00:00,6.971888e-10,1.5355348e-05,8.654878e-11
2011-12-07 21:00:00,0 days,60.0,32.2,118.9,2011-12-07 21:00:00,3.0825958e-10,5.898042e-06,4.0499385e-11
2011-12-08 00:00:00,0 days,60.0,32.2,118.9,2011-12-08 00:00:00,9.7734536e-11,1.7800849e-06,1.5297895e-11
2011-12-08 03:00:00,0 days,60.0,32.2,118.9,2011-12-08 03:00:00,9.661797e-11,0.0,8.1517935e-12
2011-12-08 06:00:00,0 days,60.0,32.2,118.9,2011-12-08 06:00:00,8.046859e-11,0.0,5.2800334e-12
2011-12-08 09:00:00,0 days,60.0,32.2,118.9,2011-12-08 09:00:00,1.272226e-10,0.0,1.19090154e-11
2011-12-08 12:00:00,0 days,60.0,32.2,118.9,2011-12-08 12:00:00,9.71559e-11,0.0,1.8184895e-11
2011-12-08 15:00:00,0 days,60.0,32.2,118.9,2011-12-08 15:00:00,8.314313e-11,0.0,2.3512681e-11
2011-12-08 18:00:00,0 days,60.0,32.2,118.9,2011-12-08 18:00:00,4.9643158e-11,0.0,2.102654e-11
2011-12-08 21:00:00,0 days,60.0,32.2,118.9,2011-12-08 21:00:00,8.873224e-11,0.0,2.1521292e-11
2011-12-09 00:00:00,0 days,60.0,32.2,118.9,2011-12-09 00:00:00,1.3376442e-10,0.0,2.549128e-11
2011-12-09 03:00:00,0 days,60.0,32.2,118.9,2011-12-09 03:00:00,4.629896e-11,0.0,8.027652e-12
2011-12-09 06:00:00,0 days,60.0,32.2,118.9,2011-12-09 06:00:00,5.0497717e-11,0.0,4.794756e-12
2011-12-09 09:00:00,0 days,60.0,32.2,118.9,2011-12-09 09:00:00,1.6397651e-10,0.0,1.5016518e-11
2011-12-09 12:00:00,0 days,60.0,32.2,118.9,2011-12-09 12:00:00,7.019495e-10,0.0,5.1554788e-11
2011-12-09 15:00:00,0 days,60.0,32.2,118.9,2011-12-09 15:00:00,1.0454082e-09,0.0,7.350135e-11
2011-12-09 18:00:00,0 days,60.0,32.2,118.9,2011-12-09 18:00:00,1.1849668e-09,0.0,9.2277325e-11
2011-12-09 21:00:00,0 days,60.0,32.2,118.9,2011-12-09 21:00:00,1.2776936e-09,0.0,1.3794352e-10
2011-12-10 00:00:00,0 days,60.0,32.2,118.9,2011-12-10 00:00:00,5.674475e-10,0.0,1.4429986e-10
2011-12-10 03:00:00,0 days,60.0,32.2,118.9,2011-12-10 03:00:00,6.0677826e-12,0.0,1.7082152e-11
2011-12-10 06:00:00,0 days,60.0,32.2,118.9,2011-12-10 06:00:00,1.028947e-11,0.0,6.4003663e-12
2011-12-10 09:00:00,0 days,60.0,32.2,118.9,2011-12-10 09:00:00,3.5611673e-11,0.0,2.5571533e-11
2011-12-10 12:00:00,0 days,60.0,32.2,118.9,2011-12-10 12:00:00,8.207949e-10,0.0,9.6399166e-11
2011-12-10 15:00:00,0 days,60.0,32.2,118.9,2011-12-10 15:00:00,1.7227618e-09,0.0,1.7041407e-10
2011-12-10 18:00:00,0 days,60.0,32.2,118.9,2011-12-10 18:00:00,2.2329023e-09,0.0,2.4543667e-10
2011-12-10 21:00:00,0 days,60.0,32.2,118.9,2011-12-10 21:00:00,1.6466825e-09,0.0,3.0063263e-10
2011-12-11 00:00:00,0 days,60.0,32.2,118.9,2011-12-11 00:00:00,7.7638757e-10,0.0,2.5665456e-10
