date,hybrid,latitude,longitude,nh3,crwc,c10h16
2006-01-01,60,47.91,7.91,2.5647037e-10,4.4229923e-06,2.0646088e-10
2006-01-02,60,47.91,7.91,3.4256695e-10,1.0507142e-06,8.9096114e-10
2006-01-03,60,47.91,7.91,2.5247907e-10,1.2559758e-06,3.7401485e-10
2006-01-04,60,47.91,7.91,3.6475645e-10,0.0,3.142379e-10
2006-01-05,60,47.91,7.91,2.868617e-10,0.0,2.3049306e-10
2006-01-06,60,47.91,7.91,3.1990016e-10,0.0,5.295859e-10
2006-01-07,60,47.91,7.91,2.8930547e-10,0.0,5.498343e-10
2006-01-08,60,47.91,7.91,3.140085e-10,0.0,6.876553e-10
2006-01-09,60,47.91,7.91,3.2827507e-10,0.0,8.8450347e-10
2006-01-10,60,47.91,7.91,2.503418e-10,0.0,8.8542645e-10
2006-01-11,60,47.91,7.91,2.1128341e-10,0.0,6.1871863e-10
2006-01-12,60,47.91,7.91,2.6316985e-10,0.0,3.8926182e-10
2006-01-13,60,47.91,7.91,2.6052754e-10,0.0,5.648684e-10
2006-01-14,60,47.91,7.91,3.2398642e-10,0.0,8.49664e-10
2006-01-15,60,47.91,7.91,2.3648478e-10,0.0,5.456548e-10
2006-01-16,60,47.91,7.91,2.753038e-10,0.0,5.9621125e-10
2006-01-17,60,47.91,7.91,1.5688098e-10,1.788559e-05,7.602033e-11
2006-01-18,60,47.91,7.91,2.8297775e-10,1.5128473e-05,1.2800598e-10
2006-01-19,60,47.91,7.91,3.770331e-10,3.2059415e-07,7.8524753e-10
2006-01-20,60,47.91,7.91,2.8348698e-10,1.3778408e-06,3.8727646e-10
2006-01-21,60,47.91,7.91,3.475016e-10,5.9699196e-06,1.427901e-10
2006-01-22,60,47.91,7.91,4.8177023e-10,3.5026878e-07,2.661451e-10
2006-01-23,60,47.91,7.91,1.8677924e-10,0.0,4.1388684e-11
2006-01-24,60,47.91,7.91,2.8505373e-10,0.0,1.6605449e-10
2006-01-25,60,47.91,7.91,3.261804e-10,0.0,3.552356e-10
2006-01-26,60,47.91,7.91,4.0214276e-10,0.0,1.5445217e-10
2006-01-27,60,47.91,7.91,4.6356108e-10,0.0,1.2150174e-10
2006-01-28,60,47.91,7.91,6.122554e-10,0.0,2.632946e-10
2006-01-29,60,47.91,7.91,6.3314326e-10,0.0,4.0018183e-10
2006-01-30,60,47.91,7.91,6.032796e-10,0.0,2.9912053e-10
2006-01-31,60,47.91,7.91,5.7331384e-10,0.0,3.3488798e-10
2006-02-01,60,47.91,7.91,4.982729e-10,0.0,5.3346666e-10
2006-02-02,60,47.91,7.91,5.1474186e-10,2.8415457e-09,6.821656e-10
2006-02-03,60,47.91,7.91,5.9986616e-10,0.0,3.797263e-10
2006-02-04,60,47.91,7.91,6.433875e-10,0.0,2.6892288e-10
2006-02-05,60,47.91,7.91,3.981875e-10,0.0,2.2516006e-10
2006-02-06,60,47.91,7.91,3.692189e-10,0.0,2.4458816e-10
2006-02-07,60,47.91,7.91,5.126093e-10,0.0,2.6806676e-10
2006-02-08,60,47.91,7.91,5.7986854e-10,2.8376235e-09,6.926109e-11
2006-02-09,60,47.91,7.91,6.193114e-10,0.0,7.7117576e-11
2006-02-10,60,47.91,7.91,7.398444e-10,0.0,6.8232496e-11
2006-02-11,60,47.91,7.91,6.67563e-10,0.0,1.7683544e-10
2006-02-12,60,47.91,7.91,5.882863e-10,0.0,2.0360416e-10
2006-02-13,60,47.91,7.91,5.3103333e-10,0.0,4.888887e-10
2006-02-14,60,47.91,7.91,5.90151e-10,2.0827004e-08,2.466013e-10
2006-02-15,60,47.91,7.91,5.736427e-10,2.0429774e-05,9.282358e-11
2006-02-16,60,47.91,7.91,7.3939577e-10,1.7424645e-05,5.315813e-11
2006-02-17,60,47.91,7.91,6.447168e-10,4.6044306e-06,3.4809534e-11
2006-02-18,60,47.91,7.91,5.593315e-10,2.226872e-06,4.1092095e-11
2006-02-19,60,47.91,7.91,6.061155e-10,5.3199255e-07,1.3872137e-10
2006-02-20,60,47.91,7.91,6.264985e-10,1.9785466e-06,3.5443787e-10
2006-02-21,60,47.91,7.91,6.5479283e-10,0.0,3.939052e-10
2006-02-22,60,47.91,7.91,9.341489e-10,5.0626124e-07,1.280979e-10
2006-02-23,60,47.91,7.91,9.793604e-10,0.0,1.096518e-10
2006-02-24,60,47.91,7.91,1.0095239e-09,1.281855e-08,7.3217224e-11
2006-02-25,60,47.91,7.91,8.52707e-10,0.0,7.977778e-11
2006-02-26,60,47.91,7.91,9.915269e-10,0.0,4.5705915e-11
2006-02-27,60,47.91,7.91,9.696453e-10,0.0,3.82338e-11
2006-02-28,60,47.91,7.91,7.7064727e-10,0.0,7.596761e-11
2006-03-01,60,47.91,7.91,8.580031e-10,0.0,3.346078e-11
2006-03-02,60,47.91,7.91,1.0593715e-09,0.0,5.3578232e-11
2006-03-03,60,47.91,7.91,6.889199e-10,1.1794532e-05,4.8298386e-11
2006-03-04,60,47.91,7.91,7.797769e-10,7.018115e-06,1.171417e-10
2006-03-05,60,47.91,7.91,7.971246e-10,0.0,5.7808376e-11
2006-03-06,60,47.91,7.91,7.9821105e-10,0.0,1.2899658e-10
2006-03-07,60,47.91,7.91,8.7515595e-10,0.0,1.5142619e-10
2006-03-08,60,47.91,7.91,8.7187824e-10,1.0163652e-05,3.4170494e-10
2006-03-09,60,47.91,7.91,1.4214316e-09,1.4333928e-05,3.074771e-11
2006-03-10,60,47.91,7.91,1.3025251e-09,3.1798027e-06,3.1558436e-11
2006-03-11,60,47.91,7.91,1.1974479e-09,3.26836e-08,5.4262393e-11
2006-03-12,60,47.91,7.91,1.5795787e-09,0.0,2.2659744e-11
2006-03-13,60,47.91,7.91,1.6969347e-09,0.0,3.440501e-11
2006-03-14,60,47.91,7.91,9.153261e-10,0.0,4.2193183e-11
2006-03-15,60,47.91,7.91,1.0398001e-09,0.0,8.61806e-11
2006-03-16,60,47.91,7.91,1.3291152e-09,0.0,1.1335489e-10
2006-03-17,60,47.91,7.91,1.3493272e-09,0.0,1.1076799e-10
2006-03-18,60,47.91,7.91,1.3421741e-09,0.0,1.15576014e-10
2006-03-19,60,47.91,7.91,1.0657228e-09,0.0,2.3213237e-10
2006-03-20,60,47.91,7.91,7.7143325e-10,0.0,1.0889282e-09
2006-03-21,60,47.91,7.91,8.1137613e-10,1.250446e-06,8.0809054e-10
2006-03-22,60,47.91,7.91,8.872113e-10,1.7415206e-06,6.6172423e-10
2006-03-23,60,47.91,7.91,9.301462e-10,9.1773614e-07,3.2370942e-10
2006-03-24,60,47.91,7.91,7.646116e-10,7.831842e-06,5.229192e-10
2006-03-25,60,47.91,7.91,9.742902e-10,2.0934583e-06,5.8136846e-11
2006-03-26,60,47.91,7.91,8.845037e-10,9.64404e-06,1.1521447e-10
2006-03-27,60,47.91,7.91,1.0973946e-09,2.1407266e-06,1.9430606e-10
2006-03-28,60,47.91,7.91,1.0650234e-09,1.0899767e-05,1.9111979e-10
2006-03-29,60,47.91,7.91,1.0276586e-09,1.7082123e-06,7.281345e-11
2006-03-30,60,47.91,7.91,9.1480684e-10,1.1280105e-05,1.0888856e-10
2006-03-31,60,47.91,7.91,9.366798e-10,5.6801896e-06,7.4186816e-11
2006-04-01,60,47.91,7.91,9.707227e-10,1.800295e-07,2.4603594e-10
2006-04-02,60,47.91,7.91,8.3254376e-10,1.3891096e-06,1.7069186e-10
2006-04-03,60,47.91,7.91,1.3466444e-09,1.3232266e-06,1.3281848e-10
2006-04-04,60,47.91,7.91,8.457871e-10,1.9578692e-08,3.3659017e-10
2006-04-05,60,47.91,7.91,1.5105968e-09,1.6380645e-05,3.8659106e-10
