date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2011-01-01 00:00:00,0 days,60.0,36.6,-97.5,2011-01-01 00:00:00,2.91997e-10,0.0,3.7786827e-12
2011-01-01 03:00:00,0 days,60.0,36.6,-97.5,2011-01-01 03:00:00,3.6403092e-10,0.0,3.2264781e-12
2011-01-01 06:00:00,0 days,60.0,36.6,-97.5,2011-01-01 06:00:00,4.5941104e-10,0.0,2.883867e-12
2011-01-01 09:00:00,0 days,60.0,36.6,-97.5,2011-01-01 09:00:00,5.5197175e-10,0.0,2.9245053e-12
2011-01-01 12:00:00,0 days,60.0,36.6,-97.5,2011-01-01 12:00:00,5.1765614e-10,0.0,3.3339108e-12
2011-01-01 15:00:00,0 days,60.0,36.6,-97.5,2011-01-01 15:00:00,4.3603976e-10,0.0,4.196167e-12
2011-01-01 18:00:00,0 days,60.0,36.6,-97.5,2011-01-01 18:00:00,3.2370273e-10,0.0,2.2965913e-12
2011-01-01 21:00:00,0 days,60.0,36.6,-97.5,2011-01-01 21:00:00,2.7155078e-10,0.0,1.9234271e-12
2011-01-02 00:00:00,0 days,60.0,36.6,-97.5,2011-01-02 00:00:00,4.2301368e-10,0.0,1.8332384e-11
2011-01-02 03:00:00,0 days,60.0,36.6,-97.5,2011-01-02 03:00:00,6.714853e-10,0.0,5.3228602e-11
2011-01-02 06:00:00,0 days,60.0,36.6,-97.5,2011-01-02 06:00:00,1.1945882e-09,0.0,7.104483e-11
2011-01-02 09:00:00,0 days,60.0,36.6,-97.5,2011-01-02 09:00:00,1.075524e-09,0.0,1.19276e-10
2011-01-02 12:00:00,0 days,60.0,36.6,-97.5,2011-01-02 12:00:00,4.9016735e-10,0.0,9.3999364e-11
2011-01-02 15:00:00,0 days,60.0,36.6,-97.5,2011-01-02 15:00:00,2.999367e-10,0.0,3.2353224e-11
2011-01-02 18:00:00,0 days,60.0,36.6,-97.5,2011-01-02 18:00:00,2.1993e-10,0.0,5.535532e-12
2011-01-02 21:00:00,0 days,60.0,36.6,-97.5,2011-01-02 21:00:00,2.775788e-10,0.0,3.300673e-12
2011-01-03 00:00:00,0 days,60.0,36.6,-97.5,2011-01-03 00:00:00,3.6528286e-10,0.0,1.2682035e-11
2011-01-03 03:00:00,0 days,60.0,36.6,-97.5,2011-01-03 03:00:00,4.1433132e-10,0.0,7.835987e-12
2011-01-03 06:00:00,0 days,60.0,36.6,-97.5,2011-01-03 06:00:00,4.3790518e-10,0.0,6.5897197e-12
2011-01-03 09:00:00,0 days,60.0,36.6,-97.5,2011-01-03 09:00:00,2.8921082e-10,0.0,5.514006e-12
2011-01-03 12:00:00,0 days,60.0,36.6,-97.5,2011-01-03 12:00:00,2.942744e-10,0.0,4.590696e-12
2011-01-03 15:00:00,0 days,60.0,36.6,-97.5,2011-01-03 15:00:00,4.3279122e-10,0.0,7.358882e-12
2011-01-03 18:00:00,0 days,60.0,36.6,-97.5,2011-01-03 18:00:00,5.4515537e-10,0.0,4.4079003e-12
2011-01-03 21:00:00,0 days,60.0,36.6,-97.5,2011-01-03 21:00:00,5.754092e-10,0.0,3.5131093e-12
2011-01-04 00:00:00,0 days,60.0,36.6,-97.5,2011-01-04 00:00:00,4.8856613e-10,0.0,2.4836397e-11
2011-01-04 03:00:00,0 days,60.0,36.6,-97.5,2011-01-04 03:00:00,6.1662564e-10,0.0,1.0357049e-11
2011-01-04 06:00:00,0 days,60.0,36.6,-97.5,2011-01-04 06:00:00,6.995092e-10,0.0,9.878265e-12
2011-01-04 09:00:00,0 days,60.0,36.6,-97.5,2011-01-04 09:00:00,5.821061e-10,0.0,8.27591e-12
2011-01-04 12:00:00,0 days,60.0,36.6,-97.5,2011-01-04 12:00:00,5.512752e-10,0.0,6.5142323e-12
2011-01-04 15:00:00,0 days,60.0,36.6,-97.5,2011-01-04 15:00:00,4.3621623e-10,0.0,8.307646e-12
2011-01-04 18:00:00,0 days,60.0,36.6,-97.5,2011-01-04 18:00:00,3.196025e-10,0.0,3.722368e-12
2011-01-04 21:00:00,0 days,60.0,36.6,-97.5,2011-01-04 21:00:00,3.1768876e-10,0.0,2.857464e-12
2011-01-05 00:00:00,0 days,60.0,36.6,-97.5,2011-01-05 00:00:00,4.5807844e-10,0.0,2.0450164e-11
2011-01-05 03:00:00,0 days,60.0,36.6,-97.5,2011-01-05 03:00:00,5.6581373e-10,0.0,1.5965236e-11
2011-01-05 06:00:00,0 days,60.0,36.6,-97.5,2011-01-05 06:00:00,1.2103245e-09,0.0,4.571414e-11
2011-01-05 09:00:00,0 days,60.0,36.6,-97.5,2011-01-05 09:00:00,1.2273522e-09,0.0,7.9147494e-11
2011-01-05 12:00:00,0 days,60.0,36.6,-97.5,2011-01-05 12:00:00,5.6573835e-10,0.0,1.2479479e-10
2011-01-05 15:00:00,0 days,60.0,36.6,-97.5,2011-01-05 15:00:00,3.5095749e-10,0.0,7.611646e-11
2011-01-05 18:00:00,0 days,60.0,36.6,-97.5,2011-01-05 18:00:00,3.082552e-10,0.0,9.081456e-12
2011-01-05 21:00:00,0 days,60.0,36.6,-97.5,2011-01-05 21:00:00,4.0844284e-10,0.0,3.139255e-12
2011-01-06 00:00:00,0 days,60.0,36.6,-97.5,2011-01-06 00:00:00,4.6414425e-10,0.0,1.1714785e-11
