date,hybrid,latitude,longitude,nh3,crwc,c10h16
2018-02-01,60,25.23,55.98,1.09935595e-10,0.0,9.606516e-13
2018-02-02,60,25.23,55.98,1.1921127e-10,0.0,8.5118886e-13
2018-02-03,60,25.23,55.98,1.0333773e-10,0.0,1.168121e-12
2018-02-04,60,25.23,55.98,9.414282e-11,0.0,9.0255803e-13
2018-02-05,60,25.23,55.98,1.9331138e-10,0.0,9.312012e-13
2018-02-06,60,25.23,55.98,1.0094637e-10,0.0,1.125144e-12
2018-02-07,60,25.23,55.98,7.3224087e-11,0.0,1.1854425e-12
2018-02-08,60,25.23,55.98,4.287941e-11,0.0,1.12321e-12
2018-02-09,60,25.23,55.98,8.1139144e-11,0.0,8.5238256e-13
2018-02-10,60,25.23,55.98,9.978843e-11,0.0,8.013518e-13
2018-02-11,60,25.23,55.98,1.7202828e-10,0.0,1.4342517e-12
2018-02-12,60,25.23,55.98,1.9810742e-10,0.0,2.4450442e-12
2018-02-13,60,25.23,55.98,1.04395555e-10,0.0,1.5630123e-12
2018-02-14,60,25.23,55.98,6.039211e-11,6.593147e-08,9.108867e-13
2018-02-15,60,25.23,55.98,1.707323e-10,3.3695209e-09,1.2288573e-12
2018-02-16,60,25.23,55.98,1.4402333e-10,0.0,3.3350198e-12
2018-02-17,60,25.23,55.98,1.8646414e-10,0.0,1.5079266e-12
2018-02-18,60,25.23,55.98,1.6670196e-10,0.0,1.936217e-12
2018-02-19,60,25.23,55.98,1.5542677e-10,0.0,2.2333988e-12
2018-02-20,60,25.23,55.98,1.336395e-10,0.0,1.097901e-12
2018-02-21,60,25.23,55.98,1.08903185e-10,0.0,1.5351631e-12
2018-02-22,60,25.23,55.98,8.309924e-11,0.0,1.9864032e-12
2018-02-23,60,25.23,55.98,2.1217521e-10,0.0,9.073265e-13
2018-02-24,60,25.23,55.98,1.3442035e-10,0.0,1.7985366e-12
2018-02-25,60,25.23,55.98,9.054108e-11,2.5584134e-06,1.581068e-12
2018-02-26,60,25.23,55.98,6.058515e-11,0.0,1.4888452e-12
2018-02-27,60,25.23,55.98,7.411197e-11,4.1899284e-10,1.9116694e-12
2018-02-28,60,25.23,55.98,5.6712118e-11,0.0,9.796918e-13
2018-03-01,60,25.23,55.98,1.351538e-10,0.0,2.0697786e-12
2018-03-02,60,25.23,55.98,1.4462152e-10,1.835142e-07,8.403441e-12
2018-03-03,60,25.23,55.98,1.2662084e-10,0.0,2.030295e-12
2018-03-04,60,25.23,55.98,1.426201e-10,0.0,9.386931e-13
2018-03-05,60,25.23,55.98,1.1470304e-10,0.0,1.7407405e-12
2018-03-06,60,25.23,55.98,1.4341513e-10,0.0,2.4242555e-12
2018-03-07,60,25.23,55.98,1.3838361e-10,0.0,2.5292908e-12
2018-03-08,60,25.23,55.98,2.7162975e-10,0.0,1.9640047e-12
2018-03-09,60,25.23,55.98,2.382775e-10,0.0,2.007354e-12
2018-03-10,60,25.23,55.98,1.976242e-10,0.0,3.2040809e-12
2018-03-11,60,25.23,55.98,1.6816276e-10,0.0,2.568063e-12
2018-03-12,60,25.23,55.98,1.5240752e-10,0.0,1.563011e-12
2018-03-13,60,25.23,55.98,3.1819425e-10,0.0,2.470959e-12
2018-03-14,60,25.23,55.98,4.2297899e-10,0.0,1.2452063e-12
2018-03-15,60,25.23,55.98,2.161842e-10,0.0,1.6546144e-12
2018-03-16,60,25.23,55.98,9.137126e-11,0.0,4.5093096e-12
2018-03-17,60,25.23,55.98,1.2655488e-10,0.0,2.310724e-12
2018-03-18,60,25.23,55.98,1.6816794e-10,0.0,1.2621845e-12
2018-03-19,60,25.23,55.98,3.114799e-10,0.0,7.518338e-13
2018-03-20,60,25.23,55.98,2.9990993e-10,0.0,2.737378e-12
2018-03-21,60,25.23,55.98,2.466034e-10,0.0,2.8859447e-12
2018-03-22,60,25.23,55.98,1.7032228e-10,0.0,3.1896235e-12
2018-03-23,60,25.23,55.98,8.211497e-11,0.0,4.687653e-12
2018-03-24,60,25.23,55.98,1.3613947e-10,0.0,2.8491493e-12
2018-03-25,60,25.23,55.98,1.2329723e-10,0.0,3.344489e-12
2018-03-26,60,25.23,55.98,1.5126504e-10,0.0,5.421819e-12
2018-03-27,60,25.23,55.98,1.551119e-10,0.0,1.3968743e-12
2018-03-28,60,25.23,55.98,2.0182826e-10,0.0,1.8238512e-12
2018-03-29,60,25.23,55.98,2.0655264e-10,0.0,3.4902576e-12
2018-03-30,60,25.23,55.98,3.8459616e-10,0.0,3.182832e-12
2018-03-31,60,25.23,55.98,2.385667e-10,0.0,2.9551164e-12
2018-04-01,60,25.23,55.98,2.2492906e-10,0.0,1.3740621e-12
2018-04-02,60,25.23,55.98,2.3735877e-10,0.0,1.0992471e-12
2018-04-03,60,25.23,55.98,2.043105e-10,0.0,1.4783506e-12
2018-04-04,60,25.23,55.98,1.6359761e-10,0.0,1.8614355e-12
2018-04-05,60,25.23,55.98,1.6619624e-10,0.0,2.7387313e-12
2018-04-06,60,25.23,55.98,2.9191535e-10,0.0,4.0449345e-12
2018-04-07,60,25.23,55.98,2.8532224e-10,0.0,2.1646456e-12
2018-04-08,60,25.23,55.98,1.807921e-10,0.0,3.1242832e-12
2018-04-09,60,25.23,55.98,1.564169e-10,0.0,4.701631e-12
2018-04-10,60,25.23,55.98,1.5513281e-10,0.0,4.9590514e-12
2018-04-11,60,25.23,55.98,1.8439125e-10,0.0,3.9439485e-12
2018-04-12,60,25.23,55.98,1.9371851e-10,0.0,2.2737736e-12
2018-04-13,60,25.23,55.98,1.6482371e-10,0.0,3.714948e-12
2018-04-14,60,25.23,55.98,1.5083398e-10,0.0,2.2848516e-12
2018-04-15,60,25.23,55.98,1.6645219e-10,0.0,1.2161305e-12
2018-04-16,60,25.23,55.98,1.949063e-10,0.0,4.356752e-12
2018-04-17,60,25.23,55.98,1.4604438e-10,0.0,2.2845922e-12
2018-04-18,60,25.23,55.98,1.3988691e-10,0.0,3.786315e-12
2018-04-19,60,25.23,55.98,2.5988645e-10,0.0,9.90264e-13
2018-04-20,60,25.23,55.98,2.9708438e-10,0.0,1.8663422e-12
2018-04-21,60,25.23,55.98,2.6334804e-10,0.0,4.8030234e-12
2018-04-22,60,25.23,55.98,3.610367e-10,0.0,5.740316e-12
2018-04-23,60,25.23,55.98,2.0767997e-10,0.0,2.3429112e-12
2018-04-24,60,25.23,55.98,1.3577413e-10,0.0,1.4040492e-12
2018-04-25,60,25.23,55.98,1.6727941e-10,0.0,4.014328e-12
2018-04-26,60,25.23,55.98,1.4358573e-10,0.0,4.778165e-12
2018-04-27,60,25.23,55.98,1.0740166e-10,0.0,4.451543e-12
2018-04-28,60,25.23,55.98,1.3895558e-10,0.0,6.6429982e-12
2018-04-29,60,25.23,55.98,1.6715453e-10,0.0,8.493931e-12
2018-04-30,60,25.23,55.98,1.2018882e-10,0.0,6.5068753e-12
2018-05-01,60,25.23,55.98,8.6802884e-11,0.0,2.2871958e-12
2018-05-02,60,25.23,55.98,1.07379786e-10,0.0,2.1978326e-12
2018-05-03,60,25.23,55.98,7.7496655e-11,0.0,2.3532792e-12
2018-05-04,60,25.23,55.98,4.7916927e-11,0.0,2.0366029e-12
2018-05-05,60,25.23,55.98,3.2928764e-11,0.0,1.9070216e-12
2018-05-06,60,25.23,55.98,7.0757955e-11,0.0,1.6580411e-12
2018-05-07,60,25.23,55.98,1.276601e-10,0.0,2.3720258e-12
2018-05-08,60,25.23,55.98,1.5057287e-10,0.0,8.90087e-12
2018-05-09,60,25.23,55.98,1.12949775e-10,0.0,7.708939e-12
2018-05-10,60,25.23,55.98,1.8503446e-10,0.0,5.0649402e-12
2018-05-11,60,25.23,55.98,7.134833e-11,0.0,2.8608988e-12
2018-05-12,60,25.23,55.98,1.02866965e-10,0.0,1.053394e-11
2018-05-13,60,25.23,55.98,8.63697e-11,0.0,3.3843093e-12
2018-05-14,60,25.23,55.98,6.8817584e-11,0.0,2.2778016e-12
2018-05-15,60,25.23,55.98,7.9272665e-11,0.0,5.931593e-12
2018-05-16,60,25.23,55.98,5.4483997e-11,0.0,2.8941426e-12
2018-05-17,60,25.23,55.98,1.15374585e-10,0.0,1.7338714e-12
2018-05-18,60,25.23,55.98,8.151278e-11,0.0,1.5560998e-12
2018-05-19,60,25.23,55.98,1.1506101e-10,0.0,2.6066616e-12
2018-05-20,60,25.23,55.98,8.183743e-11,0.0,3.6695655e-12
2018-05-21,60,25.23,55.98,9.898228e-11,0.0,9.22078e-12
2018-05-22,60,25.23,55.98,1.8781435e-10,0.0,5.408311e-12
2018-05-23,60,25.23,55.98,1.4828212e-10,0.0,6.771039e-12
2018-05-24,60,25.23,55.98,1.10122925e-10,0.0,2.931522e-12
2018-05-25,60,25.23,55.98,1.00712466e-10,0.0,8.1340785e-12
2018-05-26,60,25.23,55.98,9.183716e-11,0.0,6.0517927e-12
2018-05-27,60,25.23,55.98,8.222709e-11,0.0,9.136156e-12
2018-05-28,60,25.23,55.98,8.815422e-11,0.0,9.6772165e-12
2018-05-29,60,25.23,55.98,9.617559e-11,0.0,4.57848e-12
2018-05-30,60,25.23,55.98,1.0406441e-10,0.0,4.257658e-12
2018-05-31,60,25.23,55.98,1.0541292e-10,0.0,2.7201767e-12
2018-06-01,60,25.23,55.98,3.595551e-11,0.0,2.5626038e-12
2018-06-02,60,25.23,55.98,3.944843e-11,0.0,3.239498e-12
2018-06-03,60,25.23,55.98,4.001826e-11,0.0,7.1072124e-12
2018-06-04,60,25.23,55.98,4.7667842e-11,0.0,8.032429e-12
2018-06-05,60,25.23,55.98,5.5526042e-11,0.0,7.2022015e-12
2018-06-06,60,25.23,55.98,8.325134e-11,0.0,1.2166919e-11
2018-06-07,60,25.23,55.98,8.820799e-11,0.0,6.6912808e-12
2018-06-08,60,25.23,55.98,9.485361e-11,0.0,5.8751433e-12
2018-06-09,60,25.23,55.98,1.6964678e-10,0.0,6.787829e-12
2018-06-10,60,25.23,55.98,1.1722134e-10,0.0,2.3288832e-12
2018-06-11,60,25.23,55.98,1.1852017e-10,0.0,1.8013132e-12
2018-06-12,60,25.23,55.98,1.1593732e-10,0.0,1.3800632e-12
2018-06-13,60,25.23,55.98,8.738847e-11,0.0,2.308651e-12
2018-06-14,60,25.23,55.98,7.487127e-11,0.0,4.027623e-12
2018-06-15,60,25.23,55.98,8.476168e-11,0.0,3.6833358e-12
2018-06-16,60,25.23,55.98,8.7382275e-11,0.0,2.556861e-12
2018-06-17,60,25.23,55.98,6.447882e-11,0.0,1.665194e-12
2018-06-18,60,25.23,55.98,1.9675075e-10,0.0,4.9555572e-12
2018-06-19,60,25.23,55.98,1.0424778e-10,8.421921e-10,1.4167593e-11
2018-06-20,60,25.23,55.98,8.301598e-11,0.0,1.1966264e-11
2018-06-21,60,25.23,55.98,1.0470436e-10,0.0,9.884864e-12
2018-06-22,60,25.23,55.98,1.0825267e-10,0.0,3.5869857e-12
2018-06-23,60,25.23,55.98,9.276543e-11,0.0,2.5921231e-12
2018-06-24,60,25.23,55.98,7.35942e-11,0.0,2.3914807e-12
2018-06-25,60,25.23,55.98,4.7735323e-11,0.0,2.3868529e-12
2018-06-26,60,25.23,55.98,8.776791e-10,0.0,2.6951757e-12
2018-06-27,60,25.23,55.98,2.0846379e-10,0.0,5.753613e-12
2018-06-28,60,25.23,55.98,1.1403717e-10,0.0,1.6464918e-11
2018-06-29,60,25.23,55.98,4.0675806e-11,0.0,1.0694247e-11
2018-06-30,60,25.23,55.98,1.9032009e-10,0.0,9.691793e-12
2018-07-01,60,25.23,55.98,1.3697495e-10,0.0,1.6273522e-11
2018-07-02,60,25.23,55.98,9.021359e-11,0.0,5.5768064e-12
2018-07-03,60,25.23,55.98,2.3928834e-10,0.0,1.0721423e-11
2018-07-04,60,25.23,55.98,1.6278727e-10,5.586571e-10,1.37509665e-11
2018-07-05,60,25.23,55.98,1.1472459e-10,0.0,1.7556987e-11
2018-07-06,60,25.23,55.98,1.7905118e-11,0.0,7.2684528e-12
2018-07-07,60,25.23,55.98,4.5680144e-11,0.0,7.334331e-12
2018-07-08,60,25.23,55.98,9.395679e-11,0.0,1.0284255e-11
2018-07-09,60,25.23,55.98,9.829714e-11,0.0,9.912256e-12
2018-07-10,60,25.23,55.98,6.053802e-11,0.0,1.4309536e-11
2018-07-11,60,25.23,55.98,3.418645e-11,0.0,1.4644041e-11
2018-07-12,60,25.23,55.98,4.462907e-11,0.0,5.7498667e-12
2018-07-13,60,25.23,55.98,1.0588445e-10,0.0,7.837316e-12
2018-07-14,60,25.23,55.98,9.5225265e-11,0.0,1.6187844e-11
2018-07-15,60,25.23,55.98,6.038437e-11,2.222805e-09,1.2781282e-11
2018-07-16,60,25.23,55.98,1.298394e-11,0.0,2.0069692e-12
2018-07-17,60,25.23,55.98,5.4153526e-12,0.0,1.9853108e-12
2018-07-18,60,25.23,55.98,9.5098714e-11,0.0,1.9235453e-12
2018-07-19,60,25.23,55.98,1.948898e-11,0.0,1.8470672e-12
2018-07-20,60,25.23,55.98,1.0193492e-10,0.0,3.2003462e-12
2018-07-21,60,25.23,55.98,1.2729098e-10,0.0,2.0712519e-11
2018-07-22,60,25.23,55.98,5.864853e-11,2.1486812e-08,1.3158542e-11
2018-07-23,60,25.23,55.98,2.7809305e-11,0.0,4.7892636e-12
2018-07-24,60,25.23,55.98,8.688296e-11,0.0,1.9915207e-12
2018-07-25,60,25.23,55.98,1.9673832e-10,0.0,2.5158035e-12
2018-07-26,60,25.23,55.98,2.9271887e-11,0.0,1.4863725e-12
2018-07-27,60,25.23,55.98,1.673552e-11,0.0,2.463016e-12
2018-07-28,60,25.23,55.98,9.9863805e-11,0.0,3.3805445e-11
2018-07-29,60,25.23,55.98,5.917017e-11,0.0,1.8034645e-11
2018-07-30,60,25.23,55.98,7.211395e-12,0.0,1.7055767e-11
2018-07-31,60,25.23,55.98,5.038614e-11,2.9637328e-09,9.205981e-12
2018-08-01,60,25.23,55.98,7.958147e-11,0.0,8.456811e-12
2018-08-02,60,25.23,55.98,7.059272e-11,0.0,3.491588e-12
2018-08-03,60,25.23,55.98,6.6390185e-11,0.0,5.437393e-12
2018-08-04,60,25.23,55.98,3.9445752e-11,0.0,4.3609443e-12
2018-08-05,60,25.23,55.98,3.999686e-11,0.0,3.4007818e-12
2018-08-06,60,25.23,55.98,3.5520732e-11,0.0,5.268029e-12
2018-08-07,60,25.23,55.98,1.5904354e-11,0.0,4.3244032e-12
2018-08-08,60,25.23,55.98,2.4643928e-11,0.0,1.239879e-11
2018-08-09,60,25.23,55.98,9.999993e-26,0.0,4.0447905e-12
2018-08-10,60,25.23,55.98,9.9999903e-26,0.0,3.2219327e-12
2018-08-11,60,25.23,55.98,1.8439668e-11,0.0,4.613074e-12
2018-08-12,60,25.23,55.98,4.5081655e-12,0.0,2.596266e-12
2018-08-13,60,25.23,55.98,7.8219764e-11,0.0,1.0221613e-11
2018-08-14,60,25.23,55.98,6.270364e-11,1.4818664e-09,5.2654417e-12
2018-08-15,60,25.23,55.98,9.1348335e-12,2.0746484e-08,9.367518e-12
2018-08-16,60,25.23,55.98,5.012943e-13,0.0,6.1369998e-12
2018-08-17,60,25.23,55.98,9.999993e-26,2.222805e-09,9.548163e-12
2018-08-18,60,25.23,55.98,4.4194155e-11,0.0,1.2500417e-11
2018-08-19,60,25.23,55.98,1.3363389e-11,0.0,6.632658e-12
2018-08-20,60,25.23,55.98,5.714206e-11,0.0,8.7054365e-12
2018-08-21,60,25.23,55.98,5.5104376e-11,0.0,8.102173e-12
2018-08-22,60,25.23,55.98,2.5278316e-11,0.0,9.7606975e-12
2018-08-23,60,25.23,55.98,4.5897217e-11,0.0,1.4734566e-11
2018-08-24,60,25.23,55.98,3.077141e-11,0.0,8.836446e-12
2018-08-25,60,25.23,55.98,2.222992e-11,0.0,4.9228256e-12
2018-08-26,60,25.23,55.98,5.563698e-11,0.0,9.9503366e-12
2018-08-27,60,25.23,55.98,3.1234494e-12,0.0,4.932589e-12
2018-08-28,60,25.23,55.98,3.2574686e-11,0.0,6.925571e-12
2018-08-29,60,25.23,55.98,1.0380793e-11,0.0,4.100604e-12
2018-08-30,60,25.23,55.98,6.137841e-11,0.0,5.160239e-12
2018-08-31,60,25.23,55.98,1.8748603e-10,0.0,4.196197e-12
2018-09-01,60,25.23,55.98,1.1847985e-10,0.0,4.5836273e-12
2018-09-02,60,25.23,55.98,9.999995e-26,0.0,5.7928766e-12
2018-09-03,60,25.23,55.98,5.5026834e-11,0.0,1.0506833e-11
2018-09-04,60,25.23,55.98,7.5163174e-11,0.0,6.42499e-12
2018-09-05,60,25.23,55.98,1.077872e-10,0.0,5.577406e-12
2018-09-06,60,25.23,55.98,5.7660928e-11,0.0,8.275894e-12
2018-09-07,60,25.23,55.98,2.7655381e-11,0.0,3.6242292e-12
2018-09-08,60,25.23,55.98,6.651968e-11,0.0,1.2169625e-11
2018-09-09,60,25.23,55.98,7.138553e-11,0.0,1.2741626e-11
2018-09-10,60,25.23,55.98,9.425458e-12,0.0,3.629388e-12
2018-09-11,60,25.23,55.98,1.0032273e-10,0.0,3.0619905e-12
2018-09-12,60,25.23,55.98,2.0006692e-10,0.0,6.71366e-12
2018-09-13,60,25.23,55.98,2.5325836e-10,0.0,3.4537345e-12
2018-09-14,60,25.23,55.98,1.0580355e-10,0.0,9.3272725e-12
2018-09-15,60,25.23,55.98,5.5955227e-11,0.0,6.934925e-12
2018-09-16,60,25.23,55.98,6.2082665e-11,0.0,5.476933e-12
2018-09-17,60,25.23,55.98,6.11722e-11,0.0,5.3497276e-12
2018-09-18,60,25.23,55.98,4.0201814e-11,0.0,3.569729e-12
2018-09-19,60,25.23,55.98,1.1695843e-10,0.0,6.8034267e-12
2018-09-20,60,25.23,55.98,1.2712041e-10,0.0,6.4188863e-12
2018-09-21,60,25.23,55.98,5.7728648e-11,0.0,6.0436448e-12
2018-09-22,60,25.23,55.98,4.6307694e-11,1.4817942e-09,3.704539e-12
2018-09-23,60,25.23,55.98,4.931593e-11,0.0,5.8048883e-12
2018-09-24,60,25.23,55.98,1.857078e-10,0.0,1.22657075e-11
2018-09-25,60,25.23,55.98,1.514828e-10,0.0,4.0562783e-12
2018-09-26,60,25.23,55.98,1.2145224e-10,0.0,1.8311069e-12
2018-09-27,60,25.23,55.98,1.03261e-10,0.0,6.9108248e-12
2018-09-28,60,25.23,55.98,8.408583e-11,0.0,7.2200813e-12
2018-09-29,60,25.23,55.98,6.185938e-11,0.0,2.554742e-12
2018-09-30,60,25.23,55.98,2.8956967e-10,0.0,6.5679667e-12
2018-10-01,60,25.23,55.98,1.859348e-10,0.0,3.0505902e-12
