date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2008-01-01 00:00:00,0 days,60.0,56.04,13.52,2008-01-01 00:00:00,1.513062e-09,1.1845259e-08,4.4356088e-11
2008-01-01 03:00:00,0 days,60.0,56.04,13.52,2008-01-01 03:00:00,1.3332309e-09,2.6833732e-08,4.1116714e-11
2008-01-01 06:00:00,0 days,60.0,56.04,13.52,2008-01-01 06:00:00,1.3883997e-09,2.8137583e-07,4.976242e-11
2008-01-01 09:00:00,0 days,60.0,56.04,13.52,2008-01-01 09:00:00,1.3905912e-09,1.0211661e-06,5.938422e-11
2008-01-01 12:00:00,0 days,60.0,56.04,13.52,2008-01-01 12:00:00,1.0689669e-09,1.3247904e-06,7.815694e-11
2008-01-01 15:00:00,0 days,60.0,56.04,13.52,2008-01-01 15:00:00,1.7992027e-09,2.883171e-07,1.1377938e-10
2008-01-01 18:00:00,0 days,60.0,56.04,13.52,2008-01-01 18:00:00,1.6657034e-09,2.559973e-07,1.03742605e-10
2008-01-01 21:00:00,0 days,60.0,56.04,13.52,2008-01-01 21:00:00,1.6262098e-09,3.06507e-07,6.1604485e-11
2008-01-02 00:00:00,0 days,60.0,56.04,13.52,2008-01-02 00:00:00,2.5268323e-09,1.8512219e-07,6.944556e-11
2008-01-02 03:00:00,0 days,60.0,56.04,13.52,2008-01-02 03:00:00,1.9471964e-09,3.378227e-07,8.040725e-11
2008-01-02 06:00:00,0 days,60.0,56.04,13.52,2008-01-02 06:00:00,1.4910695e-09,5.21075e-07,7.4481234e-11
2008-01-02 09:00:00,0 days,60.0,56.04,13.52,2008-01-02 09:00:00,1.2644403e-09,1.5003025e-08,5.0536113e-11
2008-01-02 12:00:00,0 days,60.0,56.04,13.52,2008-01-02 12:00:00,1.4854388e-09,1.5267578e-06,6.6581456e-11
2008-01-02 15:00:00,0 days,60.0,56.04,13.52,2008-01-02 15:00:00,1.203045e-09,0.0,4.2004622e-11
2008-01-02 18:00:00,0 days,60.0,56.04,13.52,2008-01-02 18:00:00,9.2579977e-10,0.0,2.4916406e-11
2008-01-02 21:00:00,0 days,60.0,56.04,13.52,2008-01-02 21:00:00,8.08714e-10,0.0,1.9348806e-11
2008-01-03 00:00:00,0 days,60.0,56.04,13.52,2008-01-03 00:00:00,7.355757e-10,0.0,1.443651e-11
2008-01-03 03:00:00,0 days,60.0,56.04,13.52,2008-01-03 03:00:00,5.74836e-10,0.0,1.41572665e-11
2008-01-03 06:00:00,0 days,60.0,56.04,13.52,2008-01-03 06:00:00,4.8927995e-10,0.0,1.3675375e-11
2008-01-03 09:00:00,0 days,60.0,56.04,13.52,2008-01-03 09:00:00,4.1878667e-10,0.0,1.2946581e-11
2008-01-03 12:00:00,0 days,60.0,56.04,13.52,2008-01-03 12:00:00,4.0717368e-10,0.0,1.5962927e-11
2008-01-03 15:00:00,0 days,60.0,56.04,13.52,2008-01-03 15:00:00,4.8346516e-10,0.0,1.5689203e-11
2008-01-03 18:00:00,0 days,60.0,56.04,13.52,2008-01-03 18:00:00,3.3767183e-10,0.0,1.3799563e-11
2008-01-03 21:00:00,0 days,60.0,56.04,13.52,2008-01-03 21:00:00,2.664041e-10,0.0,1.2594464e-11
2008-01-04 00:00:00,0 days,60.0,56.04,13.52,2008-01-04 00:00:00,4.2551523e-10,0.0,1.39280185e-11
2008-01-04 03:00:00,0 days,60.0,56.04,13.52,2008-01-04 03:00:00,5.198885e-10,0.0,1.4937709e-11
2008-01-04 06:00:00,0 days,60.0,56.04,13.52,2008-01-04 06:00:00,4.4889484e-10,0.0,1.4368216e-11
2008-01-04 09:00:00,0 days,60.0,56.04,13.52,2008-01-04 09:00:00,4.1480097e-10,0.0,1.4431314e-11
2008-01-04 12:00:00,0 days,60.0,56.04,13.52,2008-01-04 12:00:00,4.8386867e-10,0.0,1.8275464e-11
2008-01-04 15:00:00,0 days,60.0,56.04,13.52,2008-01-04 15:00:00,5.5361343e-10,0.0,1.8321965e-11
2008-01-04 18:00:00,0 days,60.0,56.04,13.52,2008-01-04 18:00:00,4.1668108e-10,0.0,1.49986e-11
2008-01-04 21:00:00,0 days,60.0,56.04,13.52,2008-01-04 21:00:00,4.1617976e-10,0.0,1.4784443e-11
2008-01-05 00:00:00,0 days,60.0,56.04,13.52,2008-01-05 00:00:00,4.0365766e-10,0.0,1.6295503e-11
2008-01-05 03:00:00,0 days,60.0,56.04,13.52,2008-01-05 03:00:00,2.5866626e-10,0.0,1.5248944e-11
2008-01-05 06:00:00,0 days,60.0,56.04,13.52,2008-01-05 06:00:00,5.542656e-10,0.0,1.6973777e-11
2008-01-05 09:00:00,0 days,60.0,56.04,13.52,2008-01-05 09:00:00,5.5529886e-10,0.0,1.9084598e-11
2008-01-05 12:00:00,0 days,60.0,56.04,13.52,2008-01-05 12:00:00,4.915231e-10,9.528095e-06,2.8866716e-11
2008-01-05 15:00:00,0 days,60.0,56.04,13.52,2008-01-05 15:00:00,9.500979e-10,1.4117964e-05,3.3453226e-11
2008-01-05 18:00:00,0 days,60.0,56.04,13.52,2008-01-05 18:00:00,9.510971e-10,4.1924977e-08,2.6270852e-11
2008-01-05 21:00:00,0 days,60.0,56.04,13.52,2008-01-05 21:00:00,1.0957872e-09,0.0,2.4214386e-11
2008-01-06 00:00:00,0 days,60.0,56.04,13.52,2008-01-06 00:00:00,1.5406008e-09,2.3291705e-08,3.2851305e-11
2008-01-06 03:00:00,0 days,60.0,56.04,13.52,2008-01-06 03:00:00,1.7910551e-09,9.627547e-08,4.1059118e-11
2008-01-06 06:00:00,0 days,60.0,56.04,13.52,2008-01-06 06:00:00,2.2216442e-09,1.2527744e-07,5.643553e-11
2008-01-06 09:00:00,0 days,60.0,56.04,13.52,2008-01-06 09:00:00,2.3840365e-09,7.261214e-08,7.248453e-11
2008-01-06 12:00:00,0 days,60.0,56.04,13.52,2008-01-06 12:00:00,1.876695e-09,7.896428e-10,6.214432e-11
2008-01-06 15:00:00,0 days,60.0,56.04,13.52,2008-01-06 15:00:00,2.6847953e-09,9.344107e-09,1.6381807e-10
2008-01-06 18:00:00,0 days,60.0,56.04,13.52,2008-01-06 18:00:00,2.4066575e-09,1.3264887e-08,1.9487807e-10
2008-01-06 21:00:00,0 days,60.0,56.04,13.52,2008-01-06 21:00:00,1.8416031e-09,2.7648724e-07,1.1325169e-10
2008-01-07 00:00:00,0 days,60.0,56.04,13.52,2008-01-07 00:00:00,2.1884325e-09,1.4066124e-07,9.618586e-11
2008-01-07 03:00:00,0 days,60.0,56.04,13.52,2008-01-07 03:00:00,1.8866593e-09,3.4103013e-07,8.7647396e-11
2008-01-07 06:00:00,0 days,60.0,56.04,13.52,2008-01-07 06:00:00,2.0657813e-09,1.3004215e-07,8.907514e-11
2008-01-07 09:00:00,0 days,60.0,56.04,13.52,2008-01-07 09:00:00,1.7802324e-09,2.5641307e-07,7.343534e-11
2008-01-07 12:00:00,0 days,60.0,56.04,13.52,2008-01-07 12:00:00,1.3358014e-09,2.3399467e-07,4.097209e-11
2008-01-07 15:00:00,0 days,60.0,56.04,13.52,2008-01-07 15:00:00,1.4261037e-09,1.1793301e-05,3.1443775e-11
2008-01-07 18:00:00,0 days,60.0,56.04,13.52,2008-01-07 18:00:00,1.3637566e-09,9.855478e-06,3.9152195e-11
2008-01-07 21:00:00,0 days,60.0,56.04,13.52,2008-01-07 21:00:00,1.5045236e-09,5.801724e-06,3.8798215e-11
2008-01-08 00:00:00,0 days,60.0,56.04,13.52,2008-01-08 00:00:00,1.3667487e-09,2.9494352e-06,2.62127e-11
2008-01-08 03:00:00,0 days,60.0,56.04,13.52,2008-01-08 03:00:00,1.2800732e-09,1.05485e-05,3.127805e-11
2008-01-08 06:00:00,0 days,60.0,56.04,13.52,2008-01-08 06:00:00,8.817798e-10,1.8052775e-06,2.8039644e-11
2008-01-08 09:00:00,0 days,60.0,56.04,13.52,2008-01-08 09:00:00,8.0728285e-10,6.518268e-07,2.3484907e-11
2008-01-08 12:00:00,0 days,60.0,56.04,13.52,2008-01-08 12:00:00,8.2890594e-10,1.3698522e-06,2.3019052e-11
2008-01-08 15:00:00,0 days,60.0,56.04,13.52,2008-01-08 15:00:00,1.0823354e-09,6.7300766e-07,1.9561472e-11
2008-01-08 18:00:00,0 days,60.0,56.04,13.52,2008-01-08 18:00:00,1.3926675e-09,7.369839e-08,2.1227435e-11
2008-01-08 21:00:00,0 days,60.0,56.04,13.52,2008-01-08 21:00:00,1.3994066e-09,9.232179e-09,2.510688e-11
2008-01-09 00:00:00,0 days,60.0,56.04,13.52,2008-01-09 00:00:00,1.7698495e-09,2.059368e-07,3.2010512e-11
2008-01-09 03:00:00,0 days,60.0,56.04,13.52,2008-01-09 03:00:00,1.5921284e-09,4.714776e-06,2.9815483e-11
2008-01-09 06:00:00,0 days,60.0,56.04,13.52,2008-01-09 06:00:00,1.6651114e-09,6.594033e-08,2.6894006e-11
2008-01-09 09:00:00,0 days,60.0,56.04,13.52,2008-01-09 09:00:00,1.56592e-09,1.5498188e-07,2.8256057e-11
2008-01-09 12:00:00,0 days,60.0,56.04,13.52,2008-01-09 12:00:00,1.5932887e-09,2.6908199e-06,2.8576183e-11
2008-01-09 15:00:00,0 days,60.0,56.04,13.52,2008-01-09 15:00:00,1.5713408e-09,1.0689178e-05,2.7370207e-11
2008-01-09 18:00:00,0 days,60.0,56.04,13.52,2008-01-09 18:00:00,1.4459688e-09,2.2562033e-06,2.685236e-11
2008-01-09 21:00:00,0 days,60.0,56.04,13.52,2008-01-09 21:00:00,1.3529033e-09,5.3210747e-09,1.5843975e-11
2008-01-10 00:00:00,0 days,60.0,56.04,13.52,2008-01-10 00:00:00,1.1999657e-09,2.195759e-08,1.5016023e-11
