date,hybrid,latitude,longitude,nh3,crwc,c10h16
2012-01-01,60,50.3,6.0,5.5983057e-10,5.358531e-06,5.867795e-11
2012-01-02,60,50.3,6.0,5.2132715e-10,2.8805081e-05,4.3788757e-11
2012-01-03,60,50.3,6.0,5.772022e-10,7.487005e-06,3.6303516e-11
2012-01-04,60,50.3,6.0,4.799496e-10,3.4097907e-06,3.274403e-11
2012-01-05,60,50.3,6.0,3.8562675e-10,2.4552695e-05,2.7174308e-11
2012-01-06,60,50.3,6.0,4.5640758e-10,1.861148e-06,4.6453123e-11
2012-01-07,60,50.3,6.0,3.6630532e-10,5.125301e-06,5.257187e-11
2012-01-08,60,50.3,6.0,4.2265058e-10,4.181309e-06,5.0415033e-11
2012-01-09,60,50.3,6.0,5.1656496e-10,5.6774784e-06,1.122788e-10
2012-01-10,60,50.3,6.0,5.4084626e-10,1.06778e-06,2.4495117e-10
2012-01-11,60,50.3,6.0,5.6304483e-10,1.5438721e-06,1.2648521e-10
2012-01-12,60,50.3,6.0,3.7146053e-10,4.7374806e-06,6.514351e-11
2012-01-13,60,50.3,6.0,4.5278634e-10,1.1944525e-07,9.1874314e-11
2012-01-14,60,50.3,6.0,7.2566386e-10,1.2414861e-07,2.3182269e-10
2012-01-15,60,50.3,6.0,1.0024347e-09,1.6548736e-09,4.4247803e-10
2012-01-16,60,50.3,6.0,9.182391e-10,0.0,2.6620656e-10
2012-01-17,60,50.3,6.0,1.0048417e-09,0.0,1.2575265e-09
2012-01-18,60,50.3,6.0,7.185084e-10,6.4912564e-07,3.587084e-10
2012-01-19,60,50.3,6.0,5.3642735e-10,2.6021702e-05,7.6497766e-11
2012-01-20,60,50.3,6.0,5.1483917e-10,6.8319387e-06,5.481999e-11
2012-01-21,60,50.3,6.0,5.2621485e-10,1.0430845e-05,8.7973684e-11
2012-01-22,60,50.3,6.0,5.808748e-10,5.099455e-06,2.9533355e-11
2012-01-23,60,50.3,6.0,7.632913e-10,1.0936429e-06,8.0666494e-11
2012-01-24,60,50.3,6.0,7.7387086e-10,1.2486835e-06,1.5543201e-10
2012-01-25,60,50.3,6.0,1.0515667e-09,9.2799104e-07,2.7143549e-10
2012-01-26,60,50.3,6.0,7.772071e-10,4.7936446e-06,1.11207495e-10
2012-01-27,60,50.3,6.0,9.623587e-10,2.3682641e-07,2.3061363e-10
2012-01-28,60,50.3,6.0,1.250023e-09,1.0273848e-07,2.1031987e-10
2012-01-29,60,50.3,6.0,1.7172324e-09,7.943029e-09,7.781953e-11
2012-01-30,60,50.3,6.0,1.6892054e-09,0.0,1.8697513e-10
2012-01-31,60,50.3,6.0,2.0557869e-09,0.0,3.942295e-10
2012-02-01,60,50.3,6.0,1.8514662e-09,0.0,6.690094e-11
2012-02-02,60,50.3,6.0,2.0344821e-09,0.0,5.36325e-11
2012-02-03,60,50.3,6.0,1.9661945e-09,0.0,7.013316e-11
2012-02-04,60,50.3,6.0,2.0477429e-09,0.0,1.05074636e-10
2012-02-05,60,50.3,6.0,1.6377604e-09,0.0,1.5621515e-10
2012-02-06,60,50.3,6.0,1.9689814e-09,0.0,2.8334343e-10
2012-02-07,60,50.3,6.0,2.4934765e-09,0.0,1.7400024e-10
2012-02-08,60,50.3,6.0,2.0118502e-09,0.0,6.8056706e-11
2012-02-09,60,50.3,6.0,2.9147187e-09,0.0,2.9108513e-10
2012-02-10,60,50.3,6.0,2.7376847e-09,0.0,1.2425161e-10
2012-02-11,60,50.3,6.0,2.6769933e-09,0.0,9.20726e-11
2012-02-12,60,50.3,6.0,2.7832285e-09,0.0,3.459118e-10
2012-02-13,60,50.3,6.0,2.0443989e-09,2.058611e-07,2.8369165e-10
2012-02-14,60,50.3,6.0,1.88875e-09,3.452792e-07,1.7385049e-10
2012-02-15,60,50.3,6.0,1.0374909e-09,7.254253e-06,2.3238883e-11
2012-02-16,60,50.3,6.0,1.7385926e-09,4.333896e-06,8.5543836e-11
2012-02-17,60,50.3,6.0,2.049858e-09,6.2956105e-06,1.0703036e-10
2012-02-18,60,50.3,6.0,2.4397953e-09,4.240459e-06,1.3201878e-10
2012-02-19,60,50.3,6.0,1.8229812e-09,9.473303e-06,5.5275447e-11
2012-02-20,60,50.3,6.0,1.8259849e-09,3.574727e-08,1.5755439e-10
2012-02-21,60,50.3,6.0,1.9807802e-09,0.0,1.2701037e-10
2012-02-22,60,50.3,6.0,2.1756723e-09,0.0,2.2939162e-10
2012-02-23,60,50.3,6.0,2.7762317e-09,8.1352226e-07,1.563206e-10
2012-02-24,60,50.3,6.0,2.3975772e-09,6.427818e-07,2.103234e-10
2012-02-25,60,50.3,6.0,2.3059685e-09,2.9203477e-07,3.8180079e-10
2012-02-26,60,50.3,6.0,2.6217648e-09,9.790353e-07,1.1003097e-10
2012-02-27,60,50.3,6.0,2.5349516e-09,5.7949634e-08,5.889256e-10
2012-02-28,60,50.3,6.0,2.7131735e-09,4.056208e-09,2.0922908e-10
2012-02-29,60,50.3,6.0,2.7764036e-09,4.161223e-07,9.585766e-10
2012-03-01,60,50.3,6.0,4.1472648e-09,1.7590212e-07,1.4957517e-09
2012-03-02,60,50.3,6.0,4.013623e-09,1.8475689e-07,8.068837e-10
2012-03-03,60,50.3,6.0,2.7323241e-09,4.5636662e-07,4.726477e-10
2012-03-04,60,50.3,6.0,2.8806353e-09,1.2710662e-05,3.4521289e-10
2012-03-05,60,50.3,6.0,2.2739266e-09,9.468741e-06,1.0106578e-10
2012-03-06,60,50.3,6.0,2.6894513e-09,2.2096232e-07,4.5850215e-10
2012-03-07,60,50.3,6.0,2.953148e-09,5.4493257e-06,7.88888e-10
2012-03-08,60,50.3,6.0,2.4436846e-09,2.3099929e-06,1.598999e-10
2012-03-09,60,50.3,6.0,2.850836e-09,0.0,1.3768682e-09
2012-03-10,60,50.3,6.0,3.1692842e-09,4.2053486e-07,2.919815e-10
2012-03-11,60,50.3,6.0,3.4819814e-09,9.6196686e-08,4.1163636e-10
2012-03-12,60,50.3,6.0,3.8561265e-09,6.3730656e-09,5.660793e-10
2012-03-13,60,50.3,6.0,4.9234385e-09,1.2702942e-07,1.0926822e-09
2012-03-14,60,50.3,6.0,4.663741e-09,5.2102006e-08,1.066559e-09
2012-03-15,60,50.3,6.0,4.1730366e-09,0.0,1.8572881e-09
2012-03-16,60,50.3,6.0,3.9090247e-09,0.0,6.699006e-10
2012-03-17,60,50.3,6.0,4.170939e-09,2.3151364e-07,5.3218074e-10
2012-03-18,60,50.3,6.0,3.1777243e-09,2.94184e-06,1.3136717e-10
2012-03-19,60,50.3,6.0,4.0642543e-09,2.5177988e-07,4.4256435e-10
2012-03-20,60,50.3,6.0,3.536866e-09,0.0,2.504078e-09
2012-03-21,60,50.3,6.0,4.013312e-09,0.0,3.4711913e-09
2012-03-22,60,50.3,6.0,4.378174e-09,0.0,1.3792859e-09
2012-03-23,60,50.3,6.0,4.229684e-09,0.0,1.7536497e-09
2012-03-24,60,50.3,6.0,4.765873e-09,0.0,2.5234903e-09
2012-03-25,60,50.3,6.0,5.3631255e-09,0.0,1.0595214e-09
2012-03-26,60,50.3,6.0,4.7734177e-09,0.0,8.356541e-10
2012-03-27,60,50.3,6.0,4.791236e-09,0.0,9.555996e-10
2012-03-28,60,50.3,6.0,4.708009e-09,0.0,9.933976e-10
2012-03-29,60,50.3,6.0,3.83179e-09,0.0,1.2857578e-09
2012-03-30,60,50.3,6.0,2.283802e-09,2.2805846e-08,1.3484186e-10
2012-03-31,60,50.3,6.0,1.8955217e-09,1.053999e-06,1.4177527e-10
2012-04-01,60,50.3,6.0,3.659034e-09,0.0,3.3681635e-10
2012-04-02,60,50.3,6.0,3.6282775e-09,0.0,2.1287567e-09
2012-04-03,60,50.3,6.0,4.2026493e-09,0.0,2.5980962e-09
2012-04-04,60,50.3,6.0,3.7449213e-09,5.913051e-06,9.823605e-10
2012-04-05,60,50.3,6.0,4.86165e-09,3.9347928e-08,1.1760681e-09
2012-04-06,60,50.3,6.0,4.765184e-09,3.6787918e-07,3.5798012e-10
2012-04-07,60,50.3,6.0,2.9218303e-09,2.2523104e-06,2.6826447e-10
2012-04-08,60,50.3,6.0,3.4761722e-09,2.9102011e-08,6.945152e-10
2012-04-09,60,50.3,6.0,2.7696028e-09,1.8724002e-05,2.1575185e-10
2012-04-10,60,50.3,6.0,2.6644267e-09,1.4183468e-05,1.4766352e-10
2012-04-11,60,50.3,6.0,2.707062e-09,4.0572927e-06,2.458692e-10
2012-04-12,60,50.3,6.0,2.8645513e-09,1.4013999e-06,4.4800144e-10
2012-04-13,60,50.3,6.0,2.6721052e-09,9.421786e-07,1.4205452e-09
2012-04-14,60,50.3,6.0,3.4699108e-09,1.0861313e-06,3.0354854e-09
2012-04-15,60,50.3,6.0,3.912612e-09,1.7871796e-06,2.066626e-10
2012-04-16,60,50.3,6.0,3.0306975e-09,2.619181e-07,1.516468e-10
2012-04-17,60,50.3,6.0,3.2112788e-09,4.018181e-06,1.5578158e-09
2012-04-18,60,50.3,6.0,2.3561753e-09,5.952421e-07,1.9628324e-10
2012-04-19,60,50.3,6.0,2.1379025e-09,1.6130859e-06,2.1002498e-10
2012-04-20,60,50.3,6.0,2.641946e-09,9.4144286e-07,4.9613885e-10
2012-04-21,60,50.3,6.0,2.655642e-09,3.2168407e-06,2.6773306e-10
2012-04-22,60,50.3,6.0,2.3851243e-09,8.0931494e-07,2.7063368e-10
2012-04-23,60,50.3,6.0,2.1221043e-09,1.4343869e-05,2.2757692e-10
2012-04-24,60,50.3,6.0,2.1165527e-09,3.5767098e-06,3.1161984e-10
2012-04-25,60,50.3,6.0,1.8184975e-09,1.06881635e-05,2.1898691e-10
2012-04-26,60,50.3,6.0,1.5937593e-09,1.813194e-05,1.6086177e-10
2012-04-27,60,50.3,6.0,1.8719384e-09,5.389543e-06,4.59496e-10
2012-04-28,60,50.3,6.0,2.7993081e-09,1.7370695e-06,1.1742112e-09
2012-04-29,60,50.3,6.0,3.0519307e-09,2.3464608e-07,8.997306e-10
2012-04-30,60,50.3,6.0,2.1484734e-09,0.0,1.1387646e-09
2012-05-01,60,50.3,6.0,2.2129243e-09,3.1863843e-07,8.052789e-10
2012-05-02,60,50.3,6.0,3.1732914e-09,2.3119117e-06,5.7829236e-10
2012-05-03,60,50.3,6.0,1.9535258e-09,2.571032e-07,6.631304e-10
2012-05-04,60,50.3,6.0,2.0868438e-09,2.258694e-06,1.4051972e-09
2012-05-05,60,50.3,6.0,2.6881015e-09,1.0475899e-05,9.864902e-10
2012-05-06,60,50.3,6.0,2.4561004e-09,1.0563688e-05,1.0701474e-09
2012-05-07,60,50.3,6.0,2.2923266e-09,1.0828119e-06,1.006932e-09
2012-05-08,60,50.3,6.0,1.7934279e-09,2.7110946e-07,1.7920423e-09
2012-05-09,60,50.3,6.0,1.6684683e-09,3.403793e-06,5.0521937e-10
2012-05-10,60,50.3,6.0,1.8200157e-09,0.0,4.350276e-10
2012-05-11,60,50.3,6.0,1.8684343e-09,7.543109e-06,4.1151194e-10
2012-05-12,60,50.3,6.0,1.3246825e-09,1.3442819e-07,3.4281078e-10
2012-05-13,60,50.3,6.0,2.0575774e-09,0.0,3.9337053e-10
2012-05-14,60,50.3,6.0,1.9011888e-09,0.0,4.5546806e-09
2012-05-15,60,50.3,6.0,1.285824e-09,2.2504694e-06,7.0947626e-10
2012-05-16,60,50.3,6.0,7.8159673e-10,2.1085325e-06,3.520873e-10
2012-05-17,60,50.3,6.0,1.7944178e-09,0.0,4.379033e-09
2012-05-18,60,50.3,6.0,1.4667845e-09,4.747922e-07,4.307355e-10
2012-05-19,60,50.3,6.0,1.5889554e-09,2.3587774e-07,8.50444e-10
2012-05-20,60,50.3,6.0,2.1149407e-09,1.0582569e-06,3.240512e-09
2012-05-21,60,50.3,6.0,3.050146e-09,3.640631e-09,8.061667e-10
2012-05-22,60,50.3,6.0,2.1178759e-09,1.5791447e-06,8.4014273e-10
2012-05-23,60,50.3,6.0,1.61324e-09,0.0,1.1299272e-09
2012-05-24,60,50.3,6.0,2.7134182e-09,0.0,1.8396636e-09
2012-05-25,60,50.3,6.0,1.9114021e-09,0.0,3.6436e-10
2012-05-26,60,50.3,6.0,2.0176985e-09,0.0,6.299745e-10
2012-05-27,60,50.3,6.0,2.1769309e-09,0.0,1.3760637e-09
2012-05-28,60,50.3,6.0,2.0935882e-09,0.0,5.7452323e-09
2012-05-29,60,50.3,6.0,1.822377e-09,2.9102011e-08,1.115521e-09
2012-05-30,60,50.3,6.0,2.0093012e-09,1.6017186e-08,2.8251248e-09
2012-05-31,60,50.3,6.0,1.7547477e-09,5.1800413e-07,2.7423999e-09
2012-06-01,60,50.3,6.0,1.0609117e-09,1.5099208e-07,3.2251202e-10
2012-06-02,60,50.3,6.0,1.7609229e-09,4.1133035e-08,1.3734589e-09
2012-06-03,60,50.3,6.0,1.8016405e-09,6.630926e-06,8.556298e-10
2012-06-04,60,50.3,6.0,1.3889219e-09,5.1361444e-06,8.2956686e-10
2012-06-05,60,50.3,6.0,8.6003493e-10,1.885168e-07,3.145307e-10
2012-06-06,60,50.3,6.0,1.4203546e-09,6.306768e-06,5.2913895e-10
2012-06-07,60,50.3,6.0,1.4200094e-09,2.216609e-06,5.7784166e-10
2012-06-08,60,50.3,6.0,1.473149e-09,5.843294e-07,3.5650907e-10
2012-06-09,60,50.3,6.0,1.2551598e-09,1.2100367e-07,2.6994332e-10
2012-06-10,60,50.3,6.0,1.4199082e-09,0.0,8.107656e-10
2012-06-11,60,50.3,6.0,2.1081663e-09,1.7329647e-05,6.284058e-09
2012-06-12,60,50.3,6.0,1.3718106e-09,5.9223765e-07,2.033307e-09
2012-06-13,60,50.3,6.0,1.6078209e-09,9.36947e-06,1.2114563e-09
2012-06-14,60,50.3,6.0,1.6919415e-09,6.143108e-07,1.9840152e-09
2012-06-15,60,50.3,6.0,1.5680336e-09,4.293018e-06,6.0981875e-10
2012-06-16,60,50.3,6.0,1.3868642e-09,1.4670886e-05,4.521098e-10
2012-06-17,60,50.3,6.0,1.4382475e-09,4.2888132e-08,4.0816503e-10
2012-06-18,60,50.3,6.0,1.7838946e-09,9.773074e-07,1.3296582e-09
2012-06-19,60,50.3,6.0,2.0436866e-09,1.531589e-08,1.4372965e-09
2012-06-20,60,50.3,6.0,2.615197e-09,8.557743e-06,9.820683e-10
2012-06-21,60,50.3,6.0,2.0692268e-09,6.123733e-06,3.2076282e-09
2012-06-22,60,50.3,6.0,1.3465057e-09,9.189989e-09,2.865472e-10
2012-06-23,60,50.3,6.0,1.5021389e-09,0.0,5.739148e-10
2012-06-24,60,50.3,6.0,1.5505606e-09,9.8069195e-06,7.5555795e-10
2012-06-25,60,50.3,6.0,9.163349e-10,1.6888894e-06,5.539822e-10
2012-06-26,60,50.3,6.0,1.4267709e-09,0.0,1.918646e-09
2012-06-27,60,50.3,6.0,1.5156956e-09,3.1753757e-06,1.1804938e-09
2012-06-28,60,50.3,6.0,1.7527981e-09,0.0,6.7292625e-09
2012-06-29,60,50.3,6.0,1.6720038e-09,1.6786582e-06,9.886616e-10
2012-06-30,60,50.3,6.0,1.4590067e-09,0.0,6.9287037e-10
2012-07-01,60,50.3,6.0,1.4238365e-09,2.6592902e-06,4.7373283e-10
2012-07-02,60,50.3,6.0,1.5465473e-09,0.0,4.0017323e-09
2012-07-03,60,50.3,6.0,1.8281956e-09,0.0,4.0389376e-09
2012-07-04,60,50.3,6.0,1.9033766e-09,0.0,7.3299833e-09
2012-07-05,60,50.3,6.0,1.9260198e-09,4.0030814e-06,5.633772e-09
2012-07-06,60,50.3,6.0,1.8315798e-09,2.4009787e-06,8.2969714e-10
2012-07-07,60,50.3,6.0,1.3675892e-09,0.0,1.0115769e-09
2012-07-08,60,50.3,6.0,1.4858618e-09,3.0355128e-05,8.176353e-10
2012-07-09,60,50.3,6.0,1.4508135e-09,1.0657601e-07,4.8098603e-10
2012-07-10,60,50.3,6.0,1.4945322e-09,1.8820137e-06,1.0820869e-09
2012-07-11,60,50.3,6.0,1.4653612e-09,2.643078e-06,4.086283e-10
2012-07-12,60,50.3,6.0,1.2273735e-09,3.685912e-07,5.142299e-10
2012-07-13,60,50.3,6.0,1.4962355e-09,2.2412933e-05,6.836284e-10
