date,hybrid,latitude,longitude,nh3,crwc,c10h16
2009-01-01,60,52.8,10.76,9.545784e-10,0.0,2.2069516e-10
2009-01-02,60,52.8,10.76,1.3009832e-09,0.0,4.4559875e-10
2009-01-03,60,52.8,10.76,8.74068e-10,0.0,1.8058725e-10
2009-01-04,60,52.8,10.76,4.0549927e-10,8.331983e-06,5.884283e-11
2009-01-05,60,52.8,10.76,1.0982524e-09,0.0,4.1814538e-11
2009-01-06,60,52.8,10.76,1.353546e-09,0.0,3.24872e-10
2009-01-07,60,52.8,10.76,7.093468e-10,0.0,1.08079164e-10
2009-01-08,60,52.8,10.76,1.086875e-09,0.0,1.8358681e-10
2009-01-09,60,52.8,10.76,8.103183e-10,1.7759439e-07,1.4037825e-10
2009-01-10,60,52.8,10.76,1.1850728e-09,2.7534073e-08,3.3002928e-10
2009-01-11,60,52.8,10.76,7.99357e-10,0.0,1.5066165e-10
2009-01-12,60,52.8,10.76,1.8709548e-10,0.0,8.127957e-11
2009-01-13,60,52.8,10.76,5.5294974e-10,9.98501e-07,3.8073468e-11
2009-01-14,60,52.8,10.76,1.2239105e-09,3.729287e-06,1.6154698e-10
2009-01-15,60,52.8,10.76,1.0160797e-09,7.2345364e-07,2.84458e-10
2009-01-16,60,52.8,10.76,9.788986e-10,1.2281394e-07,1.5653723e-10
2009-01-17,60,52.8,10.76,1.2835497e-09,7.4390937e-07,1.002343e-10
2009-01-18,60,52.8,10.76,8.3997465e-10,6.6722773e-06,2.8592404e-11
2009-01-19,60,52.8,10.76,9.273577e-10,7.449005e-07,2.0309279e-11
2009-01-20,60,52.8,10.76,1.2186877e-09,2.1633656e-07,3.158895e-11
2009-01-21,60,52.8,10.76,1.8346482e-09,0.0,1.9498156e-10
2009-01-22,60,52.8,10.76,1.5818079e-09,2.3766601e-08,9.5078986e-11
2009-01-23,60,52.8,10.76,1.4560995e-09,1.4706792e-06,2.0523217e-11
2009-01-24,60,52.8,10.76,1.0484655e-09,1.050442e-05,3.476274e-11
2009-01-25,60,52.8,10.76,1.6266969e-09,1.0854801e-07,5.2708983e-11
2009-01-26,60,52.8,10.76,2.2115048e-09,3.724909e-09,9.2083306e-11
2009-01-27,60,52.8,10.76,1.6473017e-09,0.0,6.434624e-11
2009-01-28,60,52.8,10.76,1.8709045e-09,0.0,7.550453e-11
2009-01-29,60,52.8,10.76,2.3290951e-09,0.0,3.310761e-11
2009-01-30,60,52.8,10.76,2.1408446e-09,8.835741e-10,3.938963e-11
2009-01-31,60,52.8,10.76,2.4360145e-09,0.0,5.332794e-11
2009-02-01,60,52.8,10.76,1.6034912e-09,0.0,2.0560562e-11
2009-02-02,60,52.8,10.76,1.6591347e-09,7.987865e-09,2.1995772e-11
2009-02-03,60,52.8,10.76,2.5593525e-09,2.2247983e-08,5.0622735e-11
2009-02-04,60,52.8,10.76,3.4383494e-09,4.1503623e-07,2.6734773e-10
2009-02-05,60,52.8,10.76,3.2738043e-09,8.557568e-08,1.936162e-10
2009-02-06,60,52.8,10.76,3.1340597e-09,0.0,8.396224e-11
2009-02-07,60,52.8,10.76,4.1308406e-09,6.760982e-06,2.5675356e-10
2009-02-08,60,52.8,10.76,1.5753114e-09,1.1864022e-06,4.228156e-11
2009-02-09,60,52.8,10.76,2.681814e-09,1.398133e-06,4.8456468e-11
2009-02-10,60,52.8,10.76,3.1857845e-09,4.8377956e-06,7.883585e-11
2009-02-11,60,52.8,10.76,1.7543792e-09,2.6265099e-07,2.9085127e-11
2009-02-12,60,52.8,10.76,2.4297524e-09,0.0,3.0680264e-11
2009-02-13,60,52.8,10.76,2.8388305e-09,5.6548743e-08,7.5935425e-11
2009-02-14,60,52.8,10.76,2.6715343e-09,0.0,4.64149e-11
2009-02-15,60,52.8,10.76,2.780459e-09,5.5067964e-09,4.3771438e-11
2009-02-16,60,52.8,10.76,2.2782736e-09,6.7752276e-06,7.416371e-11
2009-02-17,60,52.8,10.76,3.6575478e-09,2.7352944e-06,6.6673445e-11
2009-02-18,60,52.8,10.76,3.5794039e-09,0.0,7.641465e-11
2009-02-19,60,52.8,10.76,3.5551377e-09,0.0,8.779323e-11
2009-02-20,60,52.8,10.76,2.8566212e-09,2.0929967e-06,1.194378e-10
2009-02-21,60,52.8,10.76,3.4122514e-09,5.149304e-06,2.5345473e-10
2009-02-22,60,52.8,10.76,2.1167168e-09,3.377516e-06,4.7290897e-11
2009-02-23,60,52.8,10.76,1.9587973e-09,5.7221423e-06,2.4638937e-11
2009-02-24,60,52.8,10.76,3.6965693e-09,1.8364881e-07,9.392532e-11
2009-02-25,60,52.8,10.76,3.6425316e-09,2.5821e-06,5.4460665e-11
2009-02-26,60,52.8,10.76,1.969207e-09,9.433908e-06,3.8299905e-11
2009-02-27,60,52.8,10.76,2.2010749e-09,2.3587145e-06,3.3801656e-11
2009-02-28,60,52.8,10.76,3.995973e-09,9.301825e-06,2.834542e-10
2009-03-01,60,52.8,10.76,6.2813874e-09,7.579681e-07,5.250305e-10
2009-03-02,60,52.8,10.76,4.7693565e-09,3.8820335e-06,1.15616614e-10
2009-03-03,60,52.8,10.76,3.6708143e-09,4.0821354e-07,5.4757626e-11
2009-03-04,60,52.8,10.76,4.855994e-09,9.9246094e-08,4.5453454e-11
2009-03-05,60,52.8,10.76,6.4842043e-09,3.515433e-07,8.14415e-11
2009-03-06,60,52.8,10.76,6.1987424e-09,9.773633e-06,8.82069e-11
2009-03-07,60,52.8,10.76,3.8884425e-09,1.2743777e-06,6.694047e-11
2009-03-08,60,52.8,10.76,4.868559e-09,7.5395606e-06,6.12584e-11
2009-03-09,60,52.8,10.76,4.323242e-09,6.984265e-07,6.242272e-11
2009-03-10,60,52.8,10.76,3.4241727e-09,5.475075e-06,6.720676e-11
2009-03-11,60,52.8,10.76,3.267503e-09,8.511725e-07,5.0509544e-11
2009-03-12,60,52.8,10.76,4.146468e-09,1.2901707e-05,8.186798e-11
2009-03-13,60,52.8,10.76,3.332209e-09,2.793431e-07,4.4409677e-11
2009-03-14,60,52.8,10.76,5.892728e-09,1.1584925e-06,1.9337232e-10
2009-03-15,60,52.8,10.76,3.5464576e-09,5.7675884e-06,5.954189e-11
2009-03-16,60,52.8,10.76,5.320819e-09,4.8097706e-07,2.3736824e-10
2009-03-17,60,52.8,10.76,3.6108485e-09,6.4971784e-09,4.5129768e-11
2009-03-18,60,52.8,10.76,4.0664814e-09,0.0,4.6866323e-11
2009-03-19,60,52.8,10.76,4.895644e-09,6.9947514e-09,9.556401e-11
2009-03-20,60,52.8,10.76,6.069376e-09,0.0,2.0919762e-10
2009-03-21,60,52.8,10.76,5.452165e-09,0.0,1.939995e-10
2009-03-22,60,52.8,10.76,2.5385618e-09,4.2914232e-07,5.44764e-11
2009-03-23,60,52.8,10.76,2.291026e-09,1.8358343e-05,3.5212826e-11
2009-03-24,60,52.8,10.76,2.554998e-09,6.905304e-07,4.6370623e-11
2009-03-25,60,52.8,10.76,5.001638e-09,2.085473e-06,1.2886062e-10
2009-03-26,60,52.8,10.76,5.6657097e-09,5.058554e-06,3.5553502e-10
2009-03-27,60,52.8,10.76,3.7112668e-09,4.4297085e-06,7.535575e-11
2009-03-28,60,52.8,10.76,4.3297885e-09,3.4211591e-06,7.77466e-11
2009-03-29,60,52.8,10.76,3.7967425e-09,1.0446612e-06,1.1424519e-10
2009-03-30,60,52.8,10.76,4.3798445e-09,4.9561166e-08,2.3206477e-10
2009-03-31,60,52.8,10.76,5.36264e-09,0.0,4.9888715e-10
2009-04-01,60,52.8,10.76,5.8895258e-09,0.0,1.9400261e-09
2009-04-02,60,52.8,10.76,5.744082e-09,0.0,1.2253276e-10
2009-04-03,60,52.8,10.76,6.646826e-09,0.0,2.3161596e-10
2009-04-04,60,52.8,10.76,5.9931713e-09,0.0,4.854638e-10
2009-04-05,60,52.8,10.76,3.788559e-09,2.345553e-08,2.3015963e-10
2009-04-06,60,52.8,10.76,6.408848e-09,0.0,1.9203872e-10
2009-04-07,60,52.8,10.76,6.2195817e-09,0.0,2.2129035e-10
2009-04-08,60,52.8,10.76,4.2736246e-09,3.507504e-07,3.5239775e-10
2009-04-09,60,52.8,10.76,4.4473e-09,6.0797646e-07,3.562645e-10
2009-04-10,60,52.8,10.76,5.9672782e-09,0.0,1.3208659e-10
2009-04-11,60,52.8,10.76,5.726396e-09,0.0,1.0553509e-10
2009-04-12,60,52.8,10.76,5.821005e-09,0.0,1.2788558e-10
2009-04-13,60,52.8,10.76,5.9974004e-09,0.0,2.2701593e-10
2009-04-14,60,52.8,10.76,6.722516e-09,0.0,7.380283e-10
2009-04-15,60,52.8,10.76,6.5868324e-09,0.0,4.1046722e-10
2009-04-16,60,52.8,10.76,5.1020934e-09,0.0,9.024002e-11
2009-04-17,60,52.8,10.76,4.267749e-09,0.0,8.549216e-11
2009-04-18,60,52.8,10.76,4.3985846e-09,0.0,1.2009618e-10
2009-04-19,60,52.8,10.76,4.597686e-09,5.301075e-10,1.4919917e-10
2009-04-20,60,52.8,10.76,5.852321e-09,0.0,2.7558614e-10
2009-04-21,60,52.8,10.76,5.7953433e-09,0.0,3.8991396e-10
2009-04-22,60,52.8,10.76,4.4540625e-09,9.562701e-07,8.942455e-10
2009-04-23,60,52.8,10.76,3.8935406e-09,7.502847e-07,2.7671923e-10
2009-04-24,60,52.8,10.76,5.4870664e-09,0.0,5.9641586e-10
2009-04-25,60,52.8,10.76,4.3744084e-09,0.0,2.2109956e-10
2009-04-26,60,52.8,10.76,5.9000724e-09,0.0,9.692914e-10
2009-04-27,60,52.8,10.76,4.2651833e-09,5.644506e-08,3.4544734e-10
2009-04-28,60,52.8,10.76,4.7573545e-09,1.4410689e-06,3.0072264e-10
2009-04-29,60,52.8,10.76,3.689887e-09,5.298438e-06,3.925394e-10
2009-04-30,60,52.8,10.76,4.3860173e-09,5.5502477e-07,1.1839096e-09
2009-05-01,60,52.8,10.76,5.281211e-09,0.0,3.7406217e-10
2009-05-02,60,52.8,10.76,5.449115e-09,0.0,1.4633773e-09
2009-05-03,60,52.8,10.76,3.4142493e-09,4.2918307e-07,7.255731e-10
