date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2006-10-01 00:00:00,0 days,60.0,60.8,89.35,2006-10-01 00:00:00,1.07996416e-11,1.448688e-05,4.2302956e-10
2006-10-01 03:00:00,0 days,60.0,60.8,89.35,2006-10-01 03:00:00,1.9133497e-11,7.0752867e-06,3.952348e-10
2006-10-01 06:00:00,0 days,60.0,60.8,89.35,2006-10-01 06:00:00,1.5455488e-11,1.5955617e-06,2.4812497e-10
2006-10-01 09:00:00,0 days,60.0,60.8,89.35,2006-10-01 09:00:00,1.282605e-11,2.3359826e-07,1.7757307e-10
2006-10-01 12:00:00,0 days,60.0,60.8,89.35,2006-10-01 12:00:00,1.2671294e-11,0.0,1.916348e-10
2006-10-01 15:00:00,0 days,60.0,60.8,89.35,2006-10-01 15:00:00,1.5167463e-11,0.0,2.405719e-10
2006-10-01 18:00:00,0 days,60.0,60.8,89.35,2006-10-01 18:00:00,1.942099e-11,0.0,2.983772e-10
2006-10-01 21:00:00,0 days,60.0,60.8,89.35,2006-10-01 21:00:00,2.0753363e-11,0.0,3.4962655e-10
2006-10-02 00:00:00,0 days,60.0,60.8,89.35,2006-10-02 00:00:00,1.9402912e-11,0.0,3.6976017e-10
2006-10-02 03:00:00,0 days,60.0,60.8,89.35,2006-10-02 03:00:00,1.8163596e-11,0.0,2.780688e-10
2006-10-02 06:00:00,0 days,60.0,60.8,89.35,2006-10-02 06:00:00,1.1602463e-11,0.0,1.6948437e-10
2006-10-02 09:00:00,0 days,60.0,60.8,89.35,2006-10-02 09:00:00,1.1157801e-11,0.0,1.9763878e-10
2006-10-02 12:00:00,0 days,60.0,60.8,89.35,2006-10-02 12:00:00,1.681612e-11,0.0,4.1401552e-10
2006-10-02 15:00:00,0 days,60.0,60.8,89.35,2006-10-02 15:00:00,2.1950483e-11,0.0,7.087203e-10
2006-10-02 18:00:00,0 days,60.0,60.8,89.35,2006-10-02 18:00:00,3.3389375e-11,0.0,9.443573e-10
2006-10-02 21:00:00,0 days,60.0,60.8,89.35,2006-10-02 21:00:00,2.9641546e-11,0.0,1.0994246e-09
2006-10-03 00:00:00,0 days,60.0,60.8,89.35,2006-10-03 00:00:00,2.3294503e-11,0.0,1.3057512e-09
2006-10-03 03:00:00,0 days,60.0,60.8,89.35,2006-10-03 03:00:00,2.0134627e-11,0.0,7.3972084e-10
2006-10-03 06:00:00,0 days,60.0,60.8,89.35,2006-10-03 06:00:00,6.9443574e-12,0.0,1.3547781e-10
2006-10-03 09:00:00,0 days,60.0,60.8,89.35,2006-10-03 09:00:00,7.323242e-12,0.0,1.4042717e-10
2006-10-03 12:00:00,0 days,60.0,60.8,89.35,2006-10-03 12:00:00,2.1503474e-11,0.0,1.2822186e-09
2006-10-03 15:00:00,0 days,60.0,60.8,89.35,2006-10-03 15:00:00,2.3531382e-11,0.0,1.2810021e-09
2006-10-03 18:00:00,0 days,60.0,60.8,89.35,2006-10-03 18:00:00,2.8084531e-11,0.0,8.741518e-10
2006-10-03 21:00:00,0 days,60.0,60.8,89.35,2006-10-03 21:00:00,2.1714885e-11,0.0,5.7683586e-10
2006-10-04 00:00:00,0 days,60.0,60.8,89.35,2006-10-04 00:00:00,1.7607605e-11,0.0,4.5450924e-10
2006-10-04 03:00:00,0 days,60.0,60.8,89.35,2006-10-04 03:00:00,1.6898921e-11,0.0,3.5329725e-10
2006-10-04 06:00:00,0 days,60.0,60.8,89.35,2006-10-04 06:00:00,1.1687349e-11,0.0,1.3324185e-10
2006-10-04 09:00:00,0 days,60.0,60.8,89.35,2006-10-04 09:00:00,1.1520431e-11,0.0,1.4337545e-10
2006-10-04 12:00:00,0 days,60.0,60.8,89.35,2006-10-04 12:00:00,1.6182144e-11,0.0,3.1021657e-10
2006-10-04 15:00:00,0 days,60.0,60.8,89.35,2006-10-04 15:00:00,1.7847453e-11,0.0,3.5162145e-10
2006-10-04 18:00:00,0 days,60.0,60.8,89.35,2006-10-04 18:00:00,2.2776357e-11,0.0,4.0623238e-10
