date,hybrid,latitude,longitude,u,v
2012-01-01,60,50.57,12.99,1.5997676,1.3564118
2012-01-02,60,50.57,12.99,1.8964444,1.4766945
2012-01-03,60,50.57,12.99,2.0618906,2.2395582
2012-01-04,60,50.57,12.99,3.4185023,1.0437152
2012-01-05,60,50.57,12.99,3.914662,1.8127491
2012-01-06,60,50.57,12.99,3.1537921,-1.8667772
2012-01-07,60,50.57,12.99,2.7791684,0.70734143
2012-01-08,60,50.57,12.99,2.4043772,-0.2789276
2012-01-09,60,50.57,12.99,1.9769068,-0.4427547
2012-01-10,60,50.57,12.99,2.2440958,-0.71290237
2012-01-11,60,50.57,12.99,2.2261362,0.24479781
2012-01-12,60,50.57,12.99,3.1971316,1.3904434
2012-01-13,60,50.57,12.99,3.1500106,-1.042331
2012-01-14,60,50.57,12.99,2.5200858,-1.9047644
2012-01-15,60,50.57,12.99,1.0705923,-1.4179316
2012-01-16,60,50.57,12.99,0.907712,-0.36824206
2012-01-17,60,50.57,12.99,1.6575036,-0.39898953
2012-01-18,60,50.57,12.99,1.5895591,1.0982679
2012-01-19,60,50.57,12.99,2.8820329,1.0097932
2012-01-20,60,50.57,12.99,2.7517574,-0.1610797
2012-01-21,60,50.57,12.99,2.0385191,1.1753862
2012-01-22,60,50.57,12.99,3.6695576,0.4975661
2012-01-23,60,50.57,12.99,2.940747,-0.44407555
2012-01-24,60,50.57,12.99,1.341364,-0.45207682
2012-01-25,60,50.57,12.99,0.061227404,-0.39211276
2012-01-26,60,50.57,12.99,-1.094859,0.55807924
2012-01-27,60,50.57,12.99,-0.5677263,0.77747095
2012-01-28,60,50.57,12.99,-0.7856655,-0.017019637
2012-01-29,60,50.57,12.99,-1.7393366,-0.1811446
2012-01-30,60,50.57,12.99,-2.0435815,0.31961977
2012-01-31,60,50.57,12.99,-2.321164,-0.1868944
2012-02-01,60,50.57,12.99,-1.9363289,-1.132071
2012-02-02,60,50.57,12.99,-1.5471431,-1.0881246
2012-02-03,60,50.57,12.99,-0.30754378,-0.49013358
2012-02-04,60,50.57,12.99,-0.03462355,-0.8987212
2012-02-05,60,50.57,12.99,-0.6001804,-0.31755728
2012-02-06,60,50.57,12.99,-0.39180416,-0.9720049
2012-02-07,60,50.57,12.99,-0.45634255,-1.4379029
2012-02-08,60,50.57,12.99,-0.8185473,-1.021135
2012-02-09,60,50.57,12.99,0.33448303,-1.1578315
2012-02-10,60,50.57,12.99,-0.9137323,-1.2100792
2012-02-11,60,50.57,12.99,-0.8639738,-0.8513186
2012-02-12,60,50.57,12.99,0.5734231,0.2715166
2012-02-13,60,50.57,12.99,1.2391082,0.45878947
2012-02-14,60,50.57,12.99,1.061518,0.8088843
2012-02-15,60,50.57,12.99,3.786393,-1.4898622
2012-02-16,60,50.57,12.99,1.7894994,-1.2428415
2012-02-17,60,50.57,12.99,2.7541907,-0.084279425
2012-02-18,60,50.57,12.99,1.7584709,1.1892711
2012-02-19,60,50.57,12.99,1.9702028,0.8276192
2012-02-20,60,50.57,12.99,1.3084713,-0.10035005
2012-02-21,60,50.57,12.99,1.5938923,1.2556416
2012-02-22,60,50.57,12.99,1.6844685,0.9578291
2012-02-23,60,50.57,12.99,2.6432595,1.1400049
2012-02-24,60,50.57,12.99,2.9663694,0.69078887
2012-02-25,60,50.57,12.99,2.8182673,-0.7558787
2012-02-26,60,50.57,12.99,1.5929307,-1.46282
2012-02-27,60,50.57,12.99,1.4543021,-0.118298694
2012-02-28,60,50.57,12.99,2.2151916,0.14090538
