date,step,hybrid,latitude,longitude,valid_time,u,v
2006-07-01 00:00:00,0 days,60.0,-25.5,25.8,2006-07-01 00:00:00,-2.0633788,-0.890436
2006-07-01 03:00:00,0 days,60.0,-25.5,25.8,2006-07-01 03:00:00,-1.8155512,-0.96535194
2006-07-01 06:00:00,0 days,60.0,-25.5,25.8,2006-07-01 06:00:00,-1.3299679,-0.8406276
2006-07-01 09:00:00,0 days,60.0,-25.5,25.8,2006-07-01 09:00:00,-2.2710457,-4.5301476
2006-07-01 12:00:00,0 days,60.0,-25.5,25.8,2006-07-01 12:00:00,-0.80010307,-3.103279
2006-07-01 15:00:00,0 days,60.0,-25.5,25.8,2006-07-01 15:00:00,-1.0285673,-2.3429708
2006-07-01 18:00:00,0 days,60.0,-25.5,25.8,2006-07-01 18:00:00,-1.6247153,-1.4219222
2006-07-01 21:00:00,0 days,60.0,-25.5,25.8,2006-07-01 21:00:00,-1.5146668,-1.6205479
2006-07-02 00:00:00,0 days,60.0,-25.5,25.8,2006-07-02 00:00:00,-1.0349258,-1.7682106
2006-07-02 03:00:00,0 days,60.0,-25.5,25.8,2006-07-02 03:00:00,-0.6681193,-1.4718914
2006-07-02 06:00:00,0 days,60.0,-25.5,25.8,2006-07-02 06:00:00,-0.11550936,-1.1018126
2006-07-02 09:00:00,0 days,60.0,-25.5,25.8,2006-07-02 09:00:00,0.45662016,-2.351485
2006-07-02 12:00:00,0 days,60.0,-25.5,25.8,2006-07-02 12:00:00,2.1759033,-0.49831957
2006-07-02 15:00:00,0 days,60.0,-25.5,25.8,2006-07-02 15:00:00,1.3309004,-0.15387852
2006-07-02 18:00:00,0 days,60.0,-25.5,25.8,2006-07-02 18:00:00,1.6475956,0.28218496
2006-07-02 21:00:00,0 days,60.0,-25.5,25.8,2006-07-02 21:00:00,1.2308978,1.2474858
2006-07-03 00:00:00,0 days,60.0,-25.5,25.8,2006-07-03 00:00:00,0.51142055,1.5534782
2006-07-03 03:00:00,0 days,60.0,-25.5,25.8,2006-07-03 03:00:00,-0.09428776,1.8703487
2006-07-03 06:00:00,0 days,60.0,-25.5,25.8,2006-07-03 06:00:00,-0.5677094,1.1000328
2006-07-03 09:00:00,0 days,60.0,-25.5,25.8,2006-07-03 09:00:00,1.2162336,1.0806812
2006-07-03 12:00:00,0 days,60.0,-25.5,25.8,2006-07-03 12:00:00,2.349995,0.89208406
2006-07-03 15:00:00,0 days,60.0,-25.5,25.8,2006-07-03 15:00:00,1.6284124,0.7080817
2006-07-03 18:00:00,0 days,60.0,-25.5,25.8,2006-07-03 18:00:00,1.3650775,1.236077
2006-07-03 21:00:00,0 days,60.0,-25.5,25.8,2006-07-03 21:00:00,0.44452882,1.9752076
2006-07-04 00:00:00,0 days,60.0,-25.5,25.8,2006-07-04 00:00:00,-0.4064464,2.124848
2006-07-04 03:00:00,0 days,60.0,-25.5,25.8,2006-07-04 03:00:00,-0.70043486,1.8255082
2006-07-04 06:00:00,0 days,60.0,-25.5,25.8,2006-07-04 06:00:00,-0.833129,1.1325775
2006-07-04 09:00:00,0 days,60.0,-25.5,25.8,2006-07-04 09:00:00,-1.6824918,0.19538209
2006-07-04 12:00:00,0 days,60.0,-25.5,25.8,2006-07-04 12:00:00,-0.78288156,-0.37710264
2006-07-04 15:00:00,0 days,60.0,-25.5,25.8,2006-07-04 15:00:00,-0.2843017,-0.78251046
2006-07-04 18:00:00,0 days,60.0,-25.5,25.8,2006-07-04 18:00:00,-0.553656,-0.5470465
2006-07-04 21:00:00,0 days,60.0,-25.5,25.8,2006-07-04 21:00:00,-1.1491579,-0.06427687
2006-07-05 00:00:00,0 days,60.0,-25.5,25.8,2006-07-05 00:00:00,-0.7485164,-0.01597163
2006-07-05 03:00:00,0 days,60.0,-25.5,25.8,2006-07-05 03:00:00,-1.0328813,0.29356912
2006-07-05 06:00:00,0 days,60.0,-25.5,25.8,2006-07-05 06:00:00,-1.3612218,0.34904
2006-07-05 09:00:00,0 days,60.0,-25.5,25.8,2006-07-05 09:00:00,-0.11200595,-1.7200345
2006-07-05 12:00:00,0 days,60.0,-25.5,25.8,2006-07-05 12:00:00,1.8817194,-1.8554893
2006-07-05 15:00:00,0 days,60.0,-25.5,25.8,2006-07-05 15:00:00,0.6823491,-1.6174341
2006-07-05 18:00:00,0 days,60.0,-25.5,25.8,2006-07-05 18:00:00,-0.36389506,-2.1702769
2006-07-05 21:00:00,0 days,60.0,-25.5,25.8,2006-07-05 21:00:00,-0.49383736,-1.6442302
2006-07-06 00:00:00,0 days,60.0,-25.5,25.8,2006-07-06 00:00:00,-0.58731914,-0.66778684
2006-07-06 03:00:00,0 days,60.0,-25.5,25.8,2006-07-06 03:00:00,-0.6354578,-0.22718625
2006-07-06 06:00:00,0 days,60.0,-25.5,25.8,2006-07-06 06:00:00,-0.7188504,-0.60797065
2006-07-06 09:00:00,0 days,60.0,-25.5,25.8,2006-07-06 09:00:00,0.6516336,-2.560539
2006-07-06 12:00:00,0 days,60.0,-25.5,25.8,2006-07-06 12:00:00,2.5560842,-2.2419398
2006-07-06 15:00:00,0 days,60.0,-25.5,25.8,2006-07-06 15:00:00,1.7706171,-1.3670799
2006-07-06 18:00:00,0 days,60.0,-25.5,25.8,2006-07-06 18:00:00,1.6463138,-0.8860906
2006-07-06 21:00:00,0 days,60.0,-25.5,25.8,2006-07-06 21:00:00,1.6938657,-0.03514578
2006-07-07 00:00:00,0 days,60.0,-25.5,25.8,2006-07-07 00:00:00,1.2999588,1.5450277
2006-07-07 03:00:00,0 days,60.0,-25.5,25.8,2006-07-07 03:00:00,0.3232407,2.731332
2006-07-07 06:00:00,0 days,60.0,-25.5,25.8,2006-07-07 06:00:00,-0.5995696,2.772966
2006-07-07 09:00:00,0 days,60.0,-25.5,25.8,2006-07-07 09:00:00,-1.2586447,3.3669457
2006-07-07 12:00:00,0 days,60.0,-25.5,25.8,2006-07-07 12:00:00,-0.06009928,3.1903732
2006-07-07 15:00:00,0 days,60.0,-25.5,25.8,2006-07-07 15:00:00,-0.00218178,2.2893274
2006-07-07 18:00:00,0 days,60.0,-25.5,25.8,2006-07-07 18:00:00,-0.54825705,2.832678
2006-07-07 21:00:00,0 days,60.0,-25.5,25.8,2006-07-07 21:00:00,-1.1898645,2.7266638
2006-07-08 00:00:00,0 days,60.0,-25.5,25.8,2006-07-08 00:00:00,-1.5952653,2.520396
2006-07-08 03:00:00,0 days,60.0,-25.5,25.8,2006-07-08 03:00:00,-2.063123,1.7847823
