date,step,hybrid,latitude,longitude,valid_time,u,v
2017-01-01 00:00:00,0 days,60.0,28.55,77.19,2017-01-01 00:00:00,-1.9142389,1.1368577
2017-01-01 03:00:00,0 days,60.0,28.55,77.19,2017-01-01 03:00:00,-2.1305118,0.8270108
2017-01-01 06:00:00,0 days,60.0,28.55,77.19,2017-01-01 06:00:00,-3.7495675,1.0932547
2017-01-01 09:00:00,0 days,60.0,28.55,77.19,2017-01-01 09:00:00,-3.0799088,0.44997895
2017-01-01 12:00:00,0 days,60.0,28.55,77.19,2017-01-01 12:00:00,-0.610132,1.2022389
2017-01-01 15:00:00,0 days,60.0,28.55,77.19,2017-01-01 15:00:00,-1.6812015,-1.6229267
2017-01-01 18:00:00,0 days,60.0,28.55,77.19,2017-01-01 18:00:00,-1.7044852,-1.2799612
2017-01-01 21:00:00,0 days,60.0,28.55,77.19,2017-01-01 21:00:00,-0.90178466,-1.1543683
2017-01-02 00:00:00,0 days,60.0,28.55,77.19,2017-01-02 00:00:00,0.5826482,-1.3363218
2017-01-02 03:00:00,0 days,60.0,28.55,77.19,2017-01-02 03:00:00,0.53879666,-1.2679396
2017-01-02 06:00:00,0 days,60.0,28.55,77.19,2017-01-02 06:00:00,-0.35873246,-1.2143193
2017-01-02 09:00:00,0 days,60.0,28.55,77.19,2017-01-02 09:00:00,-1.037067,-1.868659
2017-01-02 12:00:00,0 days,60.0,28.55,77.19,2017-01-02 12:00:00,2.0392022,-0.3165723
2017-01-02 15:00:00,0 days,60.0,28.55,77.19,2017-01-02 15:00:00,1.3549608,-2.1527972
2017-01-02 18:00:00,0 days,60.0,28.55,77.19,2017-01-02 18:00:00,1.3333571,-1.9089396
2017-01-02 21:00:00,0 days,60.0,28.55,77.19,2017-01-02 21:00:00,1.7381768,-1.4081105
2017-01-03 00:00:00,0 days,60.0,28.55,77.19,2017-01-03 00:00:00,1.9139856,-0.93360937
2017-01-03 03:00:00,0 days,60.0,28.55,77.19,2017-01-03 03:00:00,1.2516081,-0.7519454
2017-01-03 06:00:00,0 days,60.0,28.55,77.19,2017-01-03 06:00:00,0.825647,-0.38729104
2017-01-03 09:00:00,0 days,60.0,28.55,77.19,2017-01-03 09:00:00,0.8275616,-0.731952
2017-01-03 12:00:00,0 days,60.0,28.55,77.19,2017-01-03 12:00:00,1.3018459,-0.17316037
2017-01-03 15:00:00,0 days,60.0,28.55,77.19,2017-01-03 15:00:00,1.1971195,-0.5203601
2017-01-03 18:00:00,0 days,60.0,28.55,77.19,2017-01-03 18:00:00,0.6665794,-0.89108837
2017-01-03 21:00:00,0 days,60.0,28.55,77.19,2017-01-03 21:00:00,1.1479905,-0.2646804
2017-01-04 00:00:00,0 days,60.0,28.55,77.19,2017-01-04 00:00:00,1.3640617,1.0132493
2017-01-04 03:00:00,0 days,60.0,28.55,77.19,2017-01-04 03:00:00,0.84559894,0.9549644
2017-01-04 06:00:00,0 days,60.0,28.55,77.19,2017-01-04 06:00:00,0.4006579,1.6414278
2017-01-04 09:00:00,0 days,60.0,28.55,77.19,2017-01-04 09:00:00,0.73751384,1.8352377
2017-01-04 12:00:00,0 days,60.0,28.55,77.19,2017-01-04 12:00:00,-0.26993504,1.9153837
2017-01-04 15:00:00,0 days,60.0,28.55,77.19,2017-01-04 15:00:00,-0.57032907,2.2369812
