date,step,hybrid,latitude,longitude,valid_time,u,v
2007-05-01 00:00:00,0 days,60.0,44.2,-79.8,2007-05-01 00:00:00,2.4452941,-1.5114902
2007-05-01 03:00:00,0 days,60.0,44.2,-79.8,2007-05-01 03:00:00,1.5700321,-1.0062505
2007-05-01 06:00:00,0 days,60.0,44.2,-79.8,2007-05-01 06:00:00,0.7274865,-0.7372203
2007-05-01 09:00:00,0 days,60.0,44.2,-79.8,2007-05-01 09:00:00,0.4979157,-0.39976823
2007-05-01 12:00:00,0 days,60.0,44.2,-79.8,2007-05-01 12:00:00,-1.503237,0.046143204
2007-05-01 15:00:00,0 days,60.0,44.2,-79.8,2007-05-01 15:00:00,-2.4364762,1.4487402
2007-05-01 18:00:00,0 days,60.0,44.2,-79.8,2007-05-01 18:00:00,-2.3201427,1.1762066
2007-05-01 21:00:00,0 days,60.0,44.2,-79.8,2007-05-01 21:00:00,-2.619681,1.028631
2007-05-02 00:00:00,0 days,60.0,44.2,-79.8,2007-05-02 00:00:00,-1.7593625,-0.04297179
2007-05-02 03:00:00,0 days,60.0,44.2,-79.8,2007-05-02 03:00:00,-0.5150765,-1.7233404
2007-05-02 06:00:00,0 days,60.0,44.2,-79.8,2007-05-02 06:00:00,0.5090806,-2.0809813
2007-05-02 09:00:00,0 days,60.0,44.2,-79.8,2007-05-02 09:00:00,0.6065503,-2.0639963
2007-05-02 12:00:00,0 days,60.0,44.2,-79.8,2007-05-02 12:00:00,0.6410905,-1.2459134
2007-05-02 15:00:00,0 days,60.0,44.2,-79.8,2007-05-02 15:00:00,-0.5220799,-2.0447981
2007-05-02 18:00:00,0 days,60.0,44.2,-79.8,2007-05-02 18:00:00,-0.43506846,-2.3167975
2007-05-02 21:00:00,0 days,60.0,44.2,-79.8,2007-05-02 21:00:00,0.544219,-3.1730223
2007-05-03 00:00:00,0 days,60.0,44.2,-79.8,2007-05-03 00:00:00,1.2811441,-2.180261
2007-05-03 03:00:00,0 days,60.0,44.2,-79.8,2007-05-03 03:00:00,0.16903406,-2.6051261
2007-05-03 06:00:00,0 days,60.0,44.2,-79.8,2007-05-03 06:00:00,-1.2319813,-2.1992047
2007-05-03 09:00:00,0 days,60.0,44.2,-79.8,2007-05-03 09:00:00,-1.5562916,-1.7554955
2007-05-03 12:00:00,0 days,60.0,44.2,-79.8,2007-05-03 12:00:00,-1.3904941,-1.1531098
2007-05-03 15:00:00,0 days,60.0,44.2,-79.8,2007-05-03 15:00:00,-1.9504677,-0.82451594
2007-05-03 18:00:00,0 days,60.0,44.2,-79.8,2007-05-03 18:00:00,-0.7831211,-1.2929822
2007-05-03 21:00:00,0 days,60.0,44.2,-79.8,2007-05-03 21:00:00,-0.34709886,-2.225048
2007-05-04 00:00:00,0 days,60.0,44.2,-79.8,2007-05-04 00:00:00,0.33433926,-1.004094
2007-05-04 03:00:00,0 days,60.0,44.2,-79.8,2007-05-04 03:00:00,0.41618162,-1.8317301
2007-05-04 06:00:00,0 days,60.0,44.2,-79.8,2007-05-04 06:00:00,-0.073473334,-1.7711809
2007-05-04 09:00:00,0 days,60.0,44.2,-79.8,2007-05-04 09:00:00,-1.034709,-1.5184854
2007-05-04 12:00:00,0 days,60.0,44.2,-79.8,2007-05-04 12:00:00,-0.7108586,-0.6439329
2007-05-04 15:00:00,0 days,60.0,44.2,-79.8,2007-05-04 15:00:00,-1.422665,0.021258712
2007-05-04 18:00:00,0 days,60.0,44.2,-79.8,2007-05-04 18:00:00,-1.3347933,-0.33515894
2007-05-04 21:00:00,0 days,60.0,44.2,-79.8,2007-05-04 21:00:00,-0.3318103,-1.2254128
2007-05-05 00:00:00,0 days,60.0,44.2,-79.8,2007-05-05 00:00:00,-0.10825739,-0.2940464
2007-05-05 03:00:00,0 days,60.0,44.2,-79.8,2007-05-05 03:00:00,0.52780986,-1.3302357
2007-05-05 06:00:00,0 days,60.0,44.2,-79.8,2007-05-05 06:00:00,0.07375932,-1.8988338
2007-05-05 09:00:00,0 days,60.0,44.2,-79.8,2007-05-05 09:00:00,-0.7112999,-2.0742493
2007-05-05 12:00:00,0 days,60.0,44.2,-79.8,2007-05-05 12:00:00,-0.66603625,-1.8749866
2007-05-05 15:00:00,0 days,60.0,44.2,-79.8,2007-05-05 15:00:00,-2.087863,-3.282209
2007-05-05 18:00:00,0 days,60.0,44.2,-79.8,2007-05-05 18:00:00,-2.35552,-4.411463
2007-05-05 21:00:00,0 days,60.0,44.2,-79.8,2007-05-05 21:00:00,-2.299341,-4.2384377
2007-05-06 00:00:00,0 days,60.0,44.2,-79.8,2007-05-06 00:00:00,-1.190416,-3.787589
2007-05-06 03:00:00,0 days,60.0,44.2,-79.8,2007-05-06 03:00:00,-2.0742722,-3.49471
2007-05-06 06:00:00,0 days,60.0,44.2,-79.8,2007-05-06 06:00:00,-2.1047227,-2.3865345
2007-05-06 09:00:00,0 days,60.0,44.2,-79.8,2007-05-06 09:00:00,-1.7365932,-1.9679177
2007-05-06 12:00:00,0 days,60.0,44.2,-79.8,2007-05-06 12:00:00,-1.9371817,-1.2111748
2007-05-06 15:00:00,0 days,60.0,44.2,-79.8,2007-05-06 15:00:00,-3.457627,0.84819645
2007-05-06 18:00:00,0 days,60.0,44.2,-79.8,2007-05-06 18:00:00,-0.8238117,-0.15912169
2007-05-06 21:00:00,0 days,60.0,44.2,-79.8,2007-05-06 21:00:00,-1.4441425,-0.60881513
2007-05-07 00:00:00,0 days,60.0,44.2,-79.8,2007-05-07 00:00:00,-1.097215,0.9091726
2007-05-07 03:00:00,0 days,60.0,44.2,-79.8,2007-05-07 03:00:00,0.2452936,1.0893507
2007-05-07 06:00:00,0 days,60.0,44.2,-79.8,2007-05-07 06:00:00,-0.07165058,1.1684812
2007-05-07 09:00:00,0 days,60.0,44.2,-79.8,2007-05-07 09:00:00,-0.085006766,2.1639652
2007-05-07 12:00:00,0 days,60.0,44.2,-79.8,2007-05-07 12:00:00,0.023608401,1.3934686
2007-05-07 15:00:00,0 days,60.0,44.2,-79.8,2007-05-07 15:00:00,0.5015383,2.2652092
2007-05-07 18:00:00,0 days,60.0,44.2,-79.8,2007-05-07 18:00:00,0.9565428,3.198073
2007-05-07 21:00:00,0 days,60.0,44.2,-79.8,2007-05-07 21:00:00,1.1513801,3.4711604
2007-05-08 00:00:00,0 days,60.0,44.2,-79.8,2007-05-08 00:00:00,0.0414958,3.1957982
2007-05-08 03:00:00,0 days,60.0,44.2,-79.8,2007-05-08 03:00:00,0.44384554,3.4098127
2007-05-08 06:00:00,0 days,60.0,44.2,-79.8,2007-05-08 06:00:00,1.680551,3.192715
2007-05-08 09:00:00,0 days,60.0,44.2,-79.8,2007-05-08 09:00:00,2.186501,3.3548975
2007-05-08 12:00:00,0 days,60.0,44.2,-79.8,2007-05-08 12:00:00,1.5086274,2.6850972
2007-05-08 15:00:00,0 days,60.0,44.2,-79.8,2007-05-08 15:00:00,2.4679852,3.0623531
2007-05-08 18:00:00,0 days,60.0,44.2,-79.8,2007-05-08 18:00:00,3.2021427,2.251987
2007-05-08 21:00:00,0 days,60.0,44.2,-79.8,2007-05-08 21:00:00,3.3335602,1.1894623
2007-05-09 00:00:00,0 days,60.0,44.2,-79.8,2007-05-09 00:00:00,2.1675766,-0.3105657
2007-05-09 03:00:00,0 days,60.0,44.2,-79.8,2007-05-09 03:00:00,2.0591006,-0.029850125
2007-05-09 06:00:00,0 days,60.0,44.2,-79.8,2007-05-09 06:00:00,1.5885847,0.13440627
2007-05-09 09:00:00,0 days,60.0,44.2,-79.8,2007-05-09 09:00:00,0.9691181,-0.13820207
2007-05-09 12:00:00,0 days,60.0,44.2,-79.8,2007-05-09 12:00:00,-0.7637354,0.55796826
2007-05-09 15:00:00,0 days,60.0,44.2,-79.8,2007-05-09 15:00:00,-0.6209948,1.1412208
2007-05-09 18:00:00,0 days,60.0,44.2,-79.8,2007-05-09 18:00:00,-0.8035028,1.7349787
2007-05-09 21:00:00,0 days,60.0,44.2,-79.8,2007-05-09 21:00:00,-0.7437942,1.5074035
2007-05-10 00:00:00,0 days,60.0,44.2,-79.8,2007-05-10 00:00:00,-0.6952524,0.19328088
2007-05-10 03:00:00,0 days,60.0,44.2,-79.8,2007-05-10 03:00:00,-0.80174625,0.28280032
2007-05-10 06:00:00,0 days,60.0,44.2,-79.8,2007-05-10 06:00:00,-0.6728717,-0.16143757
2007-05-10 09:00:00,0 days,60.0,44.2,-79.8,2007-05-10 09:00:00,0.8363459,0.59485936
2007-05-10 12:00:00,0 days,60.0,44.2,-79.8,2007-05-10 12:00:00,0.754827,1.1566131
2007-05-10 15:00:00,0 days,60.0,44.2,-79.8,2007-05-10 15:00:00,1.88365,0.26308364
2007-05-10 18:00:00,0 days,60.0,44.2,-79.8,2007-05-10 18:00:00,2.6381407,0.7056766
2007-05-10 21:00:00,0 days,60.0,44.2,-79.8,2007-05-10 21:00:00,4.069517,-0.062174264
2007-05-11 00:00:00,0 days,60.0,44.2,-79.8,2007-05-11 00:00:00,2.0036006,-0.43695307
2007-05-11 03:00:00,0 days,60.0,44.2,-79.8,2007-05-11 03:00:00,1.3099508,-0.5539364
2007-05-11 06:00:00,0 days,60.0,44.2,-79.8,2007-05-11 06:00:00,1.6777519,0.05496806
2007-05-11 09:00:00,0 days,60.0,44.2,-79.8,2007-05-11 09:00:00,2.143039,-0.19321471
2007-05-11 12:00:00,0 days,60.0,44.2,-79.8,2007-05-11 12:00:00,1.9376808,-1.487788
2007-05-11 15:00:00,0 days,60.0,44.2,-79.8,2007-05-11 15:00:00,0.9359268,-3.673291
2007-05-11 18:00:00,0 days,60.0,44.2,-79.8,2007-05-11 18:00:00,0.4786861,-3.9868724
2007-05-11 21:00:00,0 days,60.0,44.2,-79.8,2007-05-11 21:00:00,0.6592669,-4.3686485
2007-05-12 00:00:00,0 days,60.0,44.2,-79.8,2007-05-12 00:00:00,0.5561158,-3.5335248
2007-05-12 03:00:00,0 days,60.0,44.2,-79.8,2007-05-12 03:00:00,-0.7787311,-3.562684
2007-05-12 06:00:00,0 days,60.0,44.2,-79.8,2007-05-12 06:00:00,-1.8870701,-2.780424
2007-05-12 09:00:00,0 days,60.0,44.2,-79.8,2007-05-12 09:00:00,-2.1085336,-2.1203887
2007-05-12 12:00:00,0 days,60.0,44.2,-79.8,2007-05-12 12:00:00,-1.8680421,-1.8853216
