date,step,hybrid,latitude,longitude,valid_time,u,v
2008-06-01 00:00:00,0 days,60.0,35.2,25.4,2008-06-01 00:00:00,2.9015737,-1.338321
2008-06-01 03:00:00,0 days,60.0,35.2,25.4,2008-06-01 03:00:00,3.8193421,-2.1210756
2008-06-01 06:00:00,0 days,60.0,35.2,25.4,2008-06-01 06:00:00,3.3914642,-2.5570493
2008-06-01 09:00:00,0 days,60.0,35.2,25.4,2008-06-01 09:00:00,3.6305854,-2.7390745
2008-06-01 12:00:00,0 days,60.0,35.2,25.4,2008-06-01 12:00:00,4.4297795,-2.324058
2008-06-01 15:00:00,0 days,60.0,35.2,25.4,2008-06-01 15:00:00,4.477832,-3.0065672
2008-06-01 18:00:00,0 days,60.0,35.2,25.4,2008-06-01 18:00:00,4.2202797,-3.876844
2008-06-01 21:00:00,0 days,60.0,35.2,25.4,2008-06-01 21:00:00,3.9030383,-4.3621554
2008-06-02 00:00:00,0 days,60.0,35.2,25.4,2008-06-02 00:00:00,3.6685538,-4.246157
2008-06-02 03:00:00,0 days,60.0,35.2,25.4,2008-06-02 03:00:00,3.575725,-4.5756545
2008-06-02 06:00:00,0 days,60.0,35.2,25.4,2008-06-02 06:00:00,2.9226167,-5.4508085
2008-06-02 09:00:00,0 days,60.0,35.2,25.4,2008-06-02 09:00:00,2.6970205,-5.538677
2008-06-02 12:00:00,0 days,60.0,35.2,25.4,2008-06-02 12:00:00,2.9255462,-5.2648973
2008-06-02 15:00:00,0 days,60.0,35.2,25.4,2008-06-02 15:00:00,3.0965436,-6.196025
2008-06-02 18:00:00,0 days,60.0,35.2,25.4,2008-06-02 18:00:00,2.731137,-6.968461
2008-06-02 21:00:00,0 days,60.0,35.2,25.4,2008-06-02 21:00:00,2.2507465,-7.3468885
2008-06-03 00:00:00,0 days,60.0,35.2,25.4,2008-06-03 00:00:00,1.5723314,-6.107231
