date,step,hybrid,latitude,longitude,valid_time,u,v
2013-02-01 00:00:00,0 days,60.0,21.802,39.729,2013-02-01 00:00:00,-0.58157027,-2.233448
2013-02-01 03:00:00,0 days,60.0,21.802,39.729,2013-02-01 03:00:00,-2.1465652,-1.805844
2013-02-01 06:00:00,0 days,60.0,21.802,39.729,2013-02-01 06:00:00,-1.9231106,-1.774828
2013-02-01 09:00:00,0 days,60.0,21.802,39.729,2013-02-01 09:00:00,1.2189121,-2.8972526
2013-02-01 12:00:00,0 days,60.0,21.802,39.729,2013-02-01 12:00:00,3.7759848,-2.9061906
2013-02-01 15:00:00,0 days,60.0,21.802,39.729,2013-02-01 15:00:00,4.271849,-3.1810942
2013-02-01 18:00:00,0 days,60.0,21.802,39.729,2013-02-01 18:00:00,1.9806751,-2.4486585
2013-02-01 21:00:00,0 days,60.0,21.802,39.729,2013-02-01 21:00:00,0.87347394,-1.8466649
2013-02-02 00:00:00,0 days,60.0,21.802,39.729,2013-02-02 00:00:00,-0.015720997,-2.1660876
2013-02-02 03:00:00,0 days,60.0,21.802,39.729,2013-02-02 03:00:00,-1.2795178,-2.3058565
2013-02-02 06:00:00,0 days,60.0,21.802,39.729,2013-02-02 06:00:00,-1.6174734,-2.8715656
2013-02-02 09:00:00,0 days,60.0,21.802,39.729,2013-02-02 09:00:00,-0.2281509,-4.6887045
2013-02-02 12:00:00,0 days,60.0,21.802,39.729,2013-02-02 12:00:00,1.9394693,-3.9646688
2013-02-02 15:00:00,0 days,60.0,21.802,39.729,2013-02-02 15:00:00,3.4411163,-4.3624578
2013-02-02 18:00:00,0 days,60.0,21.802,39.729,2013-02-02 18:00:00,1.7302449,-4.2353888
2013-02-02 21:00:00,0 days,60.0,21.802,39.729,2013-02-02 21:00:00,-0.8591957,-3.0056012
2013-02-03 00:00:00,0 days,60.0,21.802,39.729,2013-02-03 00:00:00,-3.4314976,-2.6307926
2013-02-03 03:00:00,0 days,60.0,21.802,39.729,2013-02-03 03:00:00,-5.573266,-2.0095437
2013-02-03 06:00:00,0 days,60.0,21.802,39.729,2013-02-03 06:00:00,-6.685087,-1.3586513
2013-02-03 09:00:00,0 days,60.0,21.802,39.729,2013-02-03 09:00:00,-7.537038,0.26171738
2013-02-03 12:00:00,0 days,60.0,21.802,39.729,2013-02-03 12:00:00,-5.4807653,0.31570062
2013-02-03 15:00:00,0 days,60.0,21.802,39.729,2013-02-03 15:00:00,-3.8983855,-0.14811943
2013-02-03 18:00:00,0 days,60.0,21.802,39.729,2013-02-03 18:00:00,-5.2837944,-1.2885057
2013-02-03 21:00:00,0 days,60.0,21.802,39.729,2013-02-03 21:00:00,-6.535548,-0.7248288
2013-02-04 00:00:00,0 days,60.0,21.802,39.729,2013-02-04 00:00:00,-6.2885466,-0.8238275
2013-02-04 03:00:00,0 days,60.0,21.802,39.729,2013-02-04 03:00:00,-6.2041993,-0.60666347
2013-02-04 06:00:00,0 days,60.0,21.802,39.729,2013-02-04 06:00:00,-5.9564815,-0.5921693
2013-02-04 09:00:00,0 days,60.0,21.802,39.729,2013-02-04 09:00:00,-5.232729,1.5379117
2013-02-04 12:00:00,0 days,60.0,21.802,39.729,2013-02-04 12:00:00,-0.9952483,1.4882282
