date,step,hybrid,latitude,longitude,valid_time,u,v
2006-01-01 00:00:00,0 days,60.0,51.6,-1.3,2006-01-01 00:00:00,2.4385748,2.246044
2006-01-01 03:00:00,0 days,60.0,51.6,-1.3,2006-01-01 03:00:00,3.52457,-0.40323988
2006-01-01 06:00:00,0 days,60.0,51.6,-1.3,2006-01-01 06:00:00,3.4871979,-2.5546863
2006-01-01 09:00:00,0 days,60.0,51.6,-1.3,2006-01-01 09:00:00,2.990742,-3.9704404
2006-01-01 12:00:00,0 days,60.0,51.6,-1.3,2006-01-01 12:00:00,2.8305573,-4.77478
2006-01-01 15:00:00,0 days,60.0,51.6,-1.3,2006-01-01 15:00:00,2.1200871,-4.038882
2006-01-01 18:00:00,0 days,60.0,51.6,-1.3,2006-01-01 18:00:00,1.6617863,-3.302707
2006-01-01 21:00:00,0 days,60.0,51.6,-1.3,2006-01-01 21:00:00,1.4596806,-2.9791613
2006-01-02 00:00:00,0 days,60.0,51.6,-1.3,2006-01-02 00:00:00,1.5468409,-2.7639961
2006-01-02 03:00:00,0 days,60.0,51.6,-1.3,2006-01-02 03:00:00,1.1168497,-2.3579936
2006-01-02 06:00:00,0 days,60.0,51.6,-1.3,2006-01-02 06:00:00,0.81007427,-2.0026972
2006-01-02 09:00:00,0 days,60.0,51.6,-1.3,2006-01-02 09:00:00,0.45714802,-1.2394351
2006-01-02 12:00:00,0 days,60.0,51.6,-1.3,2006-01-02 12:00:00,0.5222066,-0.90742373
2006-01-02 15:00:00,0 days,60.0,51.6,-1.3,2006-01-02 15:00:00,0.77845246,-0.026715636
2006-01-02 18:00:00,0 days,60.0,51.6,-1.3,2006-01-02 18:00:00,0.8736809,1.1791244
2006-01-02 21:00:00,0 days,60.0,51.6,-1.3,2006-01-02 21:00:00,0.8366401,1.5087785
2006-01-03 00:00:00,0 days,60.0,51.6,-1.3,2006-01-03 00:00:00,1.0249876,1.8053939
2006-01-03 03:00:00,0 days,60.0,51.6,-1.3,2006-01-03 03:00:00,1.3347182,2.0213032
2006-01-03 06:00:00,0 days,60.0,51.6,-1.3,2006-01-03 06:00:00,1.1722374,2.4065516
2006-01-03 09:00:00,0 days,60.0,51.6,-1.3,2006-01-03 09:00:00,1.3069319,2.5896292
2006-01-03 12:00:00,0 days,60.0,51.6,-1.3,2006-01-03 12:00:00,1.6620206,1.996382
2006-01-03 15:00:00,0 days,60.0,51.6,-1.3,2006-01-03 15:00:00,1.8261551,0.34651196
2006-01-03 18:00:00,0 days,60.0,51.6,-1.3,2006-01-03 18:00:00,0.8589921,-1.9790926
