date,hybrid,latitude,longitude,u,v
2003-01-01,60,61.85,24.29,0.78661007,-0.093256615
2003-01-02,60,61.85,24.29,0.35420525,0.27393013
2003-01-03,60,61.85,24.29,-0.38849682,-0.4962477
2003-01-04,60,61.85,24.29,-0.33612084,-0.73771185
2003-01-05,60,61.85,24.29,-0.10920402,-0.90042776
2003-01-06,60,61.85,24.29,0.043397862,-0.5247343
2003-01-07,60,61.85,24.29,0.3418199,0.48255047
2003-01-08,60,61.85,24.29,0.7539091,0.24040064
2003-01-09,60,61.85,24.29,0.1669025,-0.6981888
2003-01-10,60,61.85,24.29,0.21345179,-0.75679517
2003-01-11,60,61.85,24.29,0.9751001,0.90110743
2003-01-12,60,61.85,24.29,0.3634001,-0.030658964
2003-01-13,60,61.85,24.29,1.0486803,-0.33405674
2003-01-14,60,61.85,24.29,-0.37546563,1.1696013
2003-01-15,60,61.85,24.29,0.03096493,0.2909786
2003-01-16,60,61.85,24.29,1.5036274,0.20594914
2003-01-17,60,61.85,24.29,0.8889574,0.6703886
2003-01-18,60,61.85,24.29,1.5367724,1.4109199
2003-01-19,60,61.85,24.29,1.5508571,0.13533817
2003-01-20,60,61.85,24.29,-0.823289,0.10930273
2003-01-21,60,61.85,24.29,-0.05473723,1.6122414
2003-01-22,60,61.85,24.29,0.12000226,1.5209686
2003-01-23,60,61.85,24.29,0.23507063,0.819336
2003-01-24,60,61.85,24.29,0.30296654,0.43730652
2003-01-25,60,61.85,24.29,0.9761848,0.56299293
2003-01-26,60,61.85,24.29,0.4449322,1.387013
2003-01-27,60,61.85,24.29,0.4296995,-0.46653867
2003-01-28,60,61.85,24.29,-0.8906851,-0.21346405
2003-01-29,60,61.85,24.29,-0.8241136,-1.0071223
2003-01-30,60,61.85,24.29,-0.11316301,-1.1356391
2003-01-31,60,61.85,24.29,0.1089567,-0.95023966
2003-02-01,60,61.85,24.29,0.020911882,0.650851
2003-02-02,60,61.85,24.29,0.7980226,1.6084664
