date,hybrid,latitude,longitude,u,v
2009-01-01,60,49.56,15.08,1.0973914,-0.10994205
2009-01-02,60,49.56,15.08,0.8520477,-0.75182265
2009-01-03,60,49.56,15.08,0.5873324,0.11089285
2009-01-04,60,49.56,15.08,2.471579,0.56360155
2009-01-05,60,49.56,15.08,1.3098413,-0.36213195
2009-01-06,60,49.56,15.08,-1.2782584,-0.35481283
2009-01-07,60,49.56,15.08,0.8410171,0.33520758
2009-01-08,60,49.56,15.08,0.22065157,-0.054648973
2009-01-09,60,49.56,15.08,-0.50504535,0.7219945
2009-01-10,60,49.56,15.08,-0.38175696,0.6462331
2009-01-11,60,49.56,15.08,-0.41648042,1.0675745
2009-01-12,60,49.56,15.08,-0.726776,1.3542625
2009-01-13,60,49.56,15.08,-0.6404606,1.3979216
2009-01-14,60,49.56,15.08,-0.019761711,0.80140996
2009-01-15,60,49.56,15.08,0.73871577,0.15350989
2009-01-16,60,49.56,15.08,0.062077895,-0.27627975
2009-01-17,60,49.56,15.08,-0.07386631,1.1021575
2009-01-18,60,49.56,15.08,0.030066773,1.4669855
2009-01-19,60,49.56,15.08,0.82267976,1.5038606
2009-01-20,60,49.56,15.08,-0.12293016,0.7056513
2009-01-21,60,49.56,15.08,0.28711528,-0.14175496
2009-01-22,60,49.56,15.08,0.6248153,0.008204401
2009-01-23,60,49.56,15.08,-1.0746293,2.1913717
2009-01-24,60,49.56,15.08,1.5623946,0.4156828
2009-01-25,60,49.56,15.08,0.053014256,-0.15966126
2009-01-26,60,49.56,15.08,-1.3252223,0.33915755
2009-01-27,60,49.56,15.08,-0.5310135,-0.62017095
2009-01-28,60,49.56,15.08,-0.23695835,-2.0257318
2009-01-29,60,49.56,15.08,-0.8279989,-2.0326872
2009-01-30,60,49.56,15.08,-0.5916522,-1.3915946
2009-01-31,60,49.56,15.08,-0.32262254,-1.396146
2009-02-01,60,49.56,15.08,-2.1562123,0.52711225
2009-02-02,60,49.56,15.08,-2.956421,2.3513541
2009-02-03,60,49.56,15.08,-2.1344247,2.2843592
2009-02-04,60,49.56,15.08,0.057984304,0.58358115
2009-02-05,60,49.56,15.08,-0.110565074,0.9229345
2009-02-06,60,49.56,15.08,-0.743103,1.0207542
2009-02-07,60,49.56,15.08,-0.8443644,1.7750899
2009-02-08,60,49.56,15.08,1.3861659,-1.5551963
2009-02-09,60,49.56,15.08,1.4049158,0.09715353
2009-02-10,60,49.56,15.08,-0.104473114,2.1348593
2009-02-11,60,49.56,15.08,3.7305384,-0.5913801
2009-02-12,60,49.56,15.08,1.7435145,-1.2988641
2009-02-13,60,49.56,15.08,2.0125556,-1.4713925
2009-02-14,60,49.56,15.08,1.7014186,-1.7996665
2009-02-15,60,49.56,15.08,2.1323235,-1.0805593
2009-02-16,60,49.56,15.08,2.4141836,0.13291183
2009-02-17,60,49.56,15.08,0.7818114,-1.5961854
2009-02-18,60,49.56,15.08,1.3263738,-1.8952167
2009-02-19,60,49.56,15.08,1.7478818,-0.723045
2009-02-20,60,49.56,15.08,2.5798059,0.062964596
2009-02-21,60,49.56,15.08,0.39193562,-0.9280827
2009-02-22,60,49.56,15.08,1.262392,0.68260264
2009-02-23,60,49.56,15.08,2.9933739,-0.7019087
2009-02-24,60,49.56,15.08,0.60438734,-1.8338641
2009-02-25,60,49.56,15.08,1.3018944,-0.059164125
2009-02-26,60,49.56,15.08,2.9209697,0.68726206
2009-02-27,60,49.56,15.08,3.086286,-0.84413016
2009-02-28,60,49.56,15.08,1.8720008,0.053433917
2009-03-01,60,49.56,15.08,-0.74041075,0.92494845
2009-03-02,60,49.56,15.08,0.44114187,0.76357377
2009-03-03,60,49.56,15.08,0.37090832,0.31525782
2009-03-04,60,49.56,15.08,-1.6086831,2.118983
2009-03-05,60,49.56,15.08,-2.8213491,1.9774495
