date,step,hybrid,latitude,longitude,valid_time,u,v
2008-02-01 00:00:00,0 days,60.0,-25.7,27.5,2008-02-01 00:00:00,-1.5553578,0.0059046745
2008-02-01 03:00:00,0 days,60.0,-25.7,27.5,2008-02-01 03:00:00,-1.6095464,-0.37012368
2008-02-01 06:00:00,0 days,60.0,-25.7,27.5,2008-02-01 06:00:00,-0.46398944,-1.0564628
2008-02-01 09:00:00,0 days,60.0,-25.7,27.5,2008-02-01 09:00:00,0.55168974,-1.9544104
2008-02-01 12:00:00,0 days,60.0,-25.7,27.5,2008-02-01 12:00:00,0.3301028,-1.3467517
2008-02-01 15:00:00,0 days,60.0,-25.7,27.5,2008-02-01 15:00:00,0.67729855,-0.5036975
2008-02-01 18:00:00,0 days,60.0,-25.7,27.5,2008-02-01 18:00:00,1.2043785,0.1406933
2008-02-01 21:00:00,0 days,60.0,-25.7,27.5,2008-02-01 21:00:00,1.0549029,0.95000696
2008-02-02 00:00:00,0 days,60.0,-25.7,27.5,2008-02-02 00:00:00,-0.5037056,1.0232067
2008-02-02 03:00:00,0 days,60.0,-25.7,27.5,2008-02-02 03:00:00,-1.0842944,0.1859684
2008-02-02 06:00:00,0 days,60.0,-25.7,27.5,2008-02-02 06:00:00,-0.22396249,-0.904832
2008-02-02 09:00:00,0 days,60.0,-25.7,27.5,2008-02-02 09:00:00,2.154378,-1.5001056
2008-02-02 12:00:00,0 days,60.0,-25.7,27.5,2008-02-02 12:00:00,2.4792109,-0.091421634
2008-02-02 15:00:00,0 days,60.0,-25.7,27.5,2008-02-02 15:00:00,1.864186,-0.44588402
2008-02-02 18:00:00,0 days,60.0,-25.7,27.5,2008-02-02 18:00:00,0.34199667,-0.083887175
2008-02-02 21:00:00,0 days,60.0,-25.7,27.5,2008-02-02 21:00:00,-1.1108022,0.06788013
2008-02-03 00:00:00,0 days,60.0,-25.7,27.5,2008-02-03 00:00:00,-0.71464455,-0.6789719
2008-02-03 03:00:00,0 days,60.0,-25.7,27.5,2008-02-03 03:00:00,-0.42009604,-1.0107894
2008-02-03 06:00:00,0 days,60.0,-25.7,27.5,2008-02-03 06:00:00,0.70467323,-1.9251354
2008-02-03 09:00:00,0 days,60.0,-25.7,27.5,2008-02-03 09:00:00,2.8104365,-1.8365705
2008-02-03 12:00:00,0 days,60.0,-25.7,27.5,2008-02-03 12:00:00,1.8425708,0.43101832
2008-02-03 15:00:00,0 days,60.0,-25.7,27.5,2008-02-03 15:00:00,1.4579164,0.24640279
2008-02-03 18:00:00,0 days,60.0,-25.7,27.5,2008-02-03 18:00:00,0.49242806,0.72095627
2008-02-03 21:00:00,0 days,60.0,-25.7,27.5,2008-02-03 21:00:00,0.021485776,0.99135077
2008-02-04 00:00:00,0 days,60.0,-25.7,27.5,2008-02-04 00:00:00,0.0016247183,1.5223312
2008-02-04 03:00:00,0 days,60.0,-25.7,27.5,2008-02-04 03:00:00,-0.55309,1.3015181
2008-02-04 06:00:00,0 days,60.0,-25.7,27.5,2008-02-04 06:00:00,-1.9792163,0.9386219
2008-02-04 09:00:00,0 days,60.0,-25.7,27.5,2008-02-04 09:00:00,-3.7700768,-1.050082
2008-02-04 12:00:00,0 days,60.0,-25.7,27.5,2008-02-04 12:00:00,-2.4418807,-1.0800519
2008-02-04 15:00:00,0 days,60.0,-25.7,27.5,2008-02-04 15:00:00,-1.7465994,0.021288723
2008-02-04 18:00:00,0 days,60.0,-25.7,27.5,2008-02-04 18:00:00,-2.5278559,0.45010418
2008-02-04 21:00:00,0 days,60.0,-25.7,27.5,2008-02-04 21:00:00,-1.1734236,-0.45506305
2008-02-05 00:00:00,0 days,60.0,-25.7,27.5,2008-02-05 00:00:00,-0.45352685,0.34396207
