date,hybrid,latitude,longitude,u,v
2008-01-01,60,51.53,12.9,1.1052479,-0.32116717
2008-01-02,60,51.53,12.9,-1.5842153,0.088042215
2008-01-03,60,51.53,12.9,-2.6556108,0.5315355
2008-01-04,60,51.53,12.9,-2.0420384,0.8688341
2008-01-05,60,51.53,12.9,-0.6895544,2.0084975
2008-01-06,60,51.53,12.9,1.0062525,1.0551915
2008-01-07,60,51.53,12.9,0.9950236,1.6752911
2008-01-08,60,51.53,12.9,2.0202234,1.4321042
2008-01-09,60,51.53,12.9,0.6257826,1.8122302
2008-01-10,60,51.53,12.9,0.98036015,1.7483023
2008-01-11,60,51.53,12.9,0.5004842,2.3718061
2008-01-12,60,51.53,12.9,0.82175124,1.7354181
2008-01-13,60,51.53,12.9,0.31821072,0.99804133
2008-01-14,60,51.53,12.9,-0.23398617,1.7723007
2008-01-15,60,51.53,12.9,0.29207823,2.52285
2008-01-16,60,51.53,12.9,0.48523223,2.4557183
2008-01-17,60,51.53,12.9,0.5862563,1.7264296
2008-01-18,60,51.53,12.9,1.7486979,1.7763778
2008-01-19,60,51.53,12.9,3.0208015,1.3590604
2008-01-20,60,51.53,12.9,2.3034668,0.89832664
2008-01-21,60,51.53,12.9,3.4423628,1.4058415
2008-01-22,60,51.53,12.9,2.746935,-1.0974982
2008-01-23,60,51.53,12.9,1.5082576,0.8372282
2008-01-24,60,51.53,12.9,2.004772,1.4653002
2008-01-25,60,51.53,12.9,2.7407002,0.7689714
2008-01-26,60,51.53,12.9,3.6713896,0.9307622
2008-01-27,60,51.53,12.9,3.2104244,-0.83692133
2008-01-28,60,51.53,12.9,1.0995734,-0.13053077
2008-01-29,60,51.53,12.9,0.9066336,0.49903855
2008-01-30,60,51.53,12.9,1.2716471,0.54093146
2008-01-31,60,51.53,12.9,1.6710839,1.7636937
2008-02-01,60,51.53,12.9,2.6217027,3.2921731
2008-02-02,60,51.53,12.9,2.2573574,1.0664314
2008-02-03,60,51.53,12.9,-0.073430054,1.4932319
2008-02-04,60,51.53,12.9,-0.3378539,1.4942499
2008-02-05,60,51.53,12.9,1.062547,1.9837317
2008-02-06,60,51.53,12.9,2.354396,1.2472465
2008-02-07,60,51.53,12.9,2.6010327,-0.6338886
2008-02-08,60,51.53,12.9,0.70717806,0.909453
2008-02-09,60,51.53,12.9,-0.15610053,0.7849496
2008-02-10,60,51.53,12.9,0.123260766,0.5313454
2008-02-11,60,51.53,12.9,0.62114424,-0.1163643
2008-02-12,60,51.53,12.9,-0.66885483,-0.50791395
2008-02-13,60,51.53,12.9,0.030996218,-0.13251665
2008-02-14,60,51.53,12.9,0.418268,-0.73109686
2008-02-15,60,51.53,12.9,-0.040891547,-1.4050051
2008-02-16,60,51.53,12.9,-0.16410676,-0.6842783
2008-02-17,60,51.53,12.9,1.4379164,0.807981
2008-02-18,60,51.53,12.9,2.3178506,-0.06145671
2008-02-19,60,51.53,12.9,1.4568319,-0.10223083
2008-02-20,60,51.53,12.9,0.33503675,1.1120268
2008-02-21,60,51.53,12.9,1.8996391,0.98543894
2008-02-22,60,51.53,12.9,3.2987833,1.4302187
2008-02-23,60,51.53,12.9,3.2503126,0.07454365
2008-02-24,60,51.53,12.9,1.4057844,1.0729656
2008-02-25,60,51.53,12.9,1.5266633,0.64644885
2008-02-26,60,51.53,12.9,1.9705428,2.1790307
2008-02-27,60,51.53,12.9,2.987158,0.54259783
2008-02-28,60,51.53,12.9,1.8616037,0.4861751
2008-02-29,60,51.53,12.9,0.9598611,1.0548565
2008-03-01,60,51.53,12.9,4.715669,0.8797968
2008-03-02,60,51.53,12.9,3.911823,-0.24310997
2008-03-03,60,51.53,12.9,2.852411,0.14049219
2008-03-04,60,51.53,12.9,2.3325644,-0.3566114
2008-03-05,60,51.53,12.9,1.6592666,-1.0228024
