date,step,hybrid,latitude,longitude,valid_time,u,v
2005-12-01 00:00:00,0 days,60.0,29.47,79.65,2005-12-01 00:00:00,-0.50932354,-1.6323438
2005-12-01 03:00:00,0 days,60.0,29.47,79.65,2005-12-01 03:00:00,-0.4379164,-1.2299603
2005-12-01 06:00:00,0 days,60.0,29.47,79.65,2005-12-01 06:00:00,0.19720846,0.7115749
2005-12-01 09:00:00,0 days,60.0,29.47,79.65,2005-12-01 09:00:00,0.5229867,0.97423005
2005-12-01 12:00:00,0 days,60.0,29.47,79.65,2005-12-01 12:00:00,0.5167121,0.43416902
2005-12-01 15:00:00,0 days,60.0,29.47,79.65,2005-12-01 15:00:00,0.23614186,-0.6036287
2005-12-01 18:00:00,0 days,60.0,29.47,79.65,2005-12-01 18:00:00,-0.24037617,-1.4244893
2005-12-01 21:00:00,0 days,60.0,29.47,79.65,2005-12-01 21:00:00,-0.4695704,-1.7105852
2005-12-02 00:00:00,0 days,60.0,29.47,79.65,2005-12-02 00:00:00,-0.4643889,-1.8032812
2005-12-02 03:00:00,0 days,60.0,29.47,79.65,2005-12-02 03:00:00,-0.5008036,-1.2231404
2005-12-02 06:00:00,0 days,60.0,29.47,79.65,2005-12-02 06:00:00,0.4181199,0.4217025
2005-12-02 09:00:00,0 days,60.0,29.47,79.65,2005-12-02 09:00:00,0.9397643,0.92170507
2005-12-02 12:00:00,0 days,60.0,29.47,79.65,2005-12-02 12:00:00,0.7048565,0.40994522
2005-12-02 15:00:00,0 days,60.0,29.47,79.65,2005-12-02 15:00:00,0.04667437,-0.8534929
2005-12-02 18:00:00,0 days,60.0,29.47,79.65,2005-12-02 18:00:00,-0.32289207,-1.5459447
2005-12-02 21:00:00,0 days,60.0,29.47,79.65,2005-12-02 21:00:00,-0.44564444,-1.746357
2005-12-03 00:00:00,0 days,60.0,29.47,79.65,2005-12-03 00:00:00,-0.4057485,-1.7593302
2005-12-03 03:00:00,0 days,60.0,29.47,79.65,2005-12-03 03:00:00,-0.42782915,-1.3017492
2005-12-03 06:00:00,0 days,60.0,29.47,79.65,2005-12-03 06:00:00,0.64735425,0.48886526
2005-12-03 09:00:00,0 days,60.0,29.47,79.65,2005-12-03 09:00:00,0.9118657,1.016743
2005-12-03 12:00:00,0 days,60.0,29.47,79.65,2005-12-03 12:00:00,0.6864165,0.800284
2005-12-03 15:00:00,0 days,60.0,29.47,79.65,2005-12-03 15:00:00,0.46055567,-0.46767876
2005-12-03 18:00:00,0 days,60.0,29.47,79.65,2005-12-03 18:00:00,-0.025869787,-1.2855448
2005-12-03 21:00:00,0 days,60.0,29.47,79.65,2005-12-03 21:00:00,-0.22704154,-1.6819
2005-12-04 00:00:00,0 days,60.0,29.47,79.65,2005-12-04 00:00:00,-0.2909261,-1.7759844
