date,hybrid,latitude,longitude,u,v
2011-04-01,60,53.14,13.03,2.7117906,0.16824296
2011-04-02,60,53.14,13.03,0.29880136,0.9732996
2011-04-03,60,53.14,13.03,0.048715293,0.4799792
2011-04-04,60,53.14,13.03,1.2077329,-0.8529678
2011-04-05,60,53.14,13.03,1.7027571,1.0479511
2011-04-06,60,53.14,13.03,2.3998888,0.7675469
2011-04-07,60,53.14,13.03,3.1398988,-0.3566806
2011-04-08,60,53.14,13.03,3.978341,-1.166716
2011-04-09,60,53.14,13.03,1.7284372,-1.5974159
2011-04-10,60,53.14,13.03,1.0158603,-1.2193925
2011-04-11,60,53.14,13.03,1.2572917,0.027741186
2011-04-12,60,53.14,13.03,3.0718994,-1.01127
2011-04-13,60,53.14,13.03,2.540502,-1.5809802
2011-04-14,60,53.14,13.03,0.83987886,-1.5630276
2011-04-15,60,53.14,13.03,-0.025981188,-0.97694176
2011-04-16,60,53.14,13.03,0.6394952,0.2968259
2011-04-17,60,53.14,13.03,1.0734522,-0.2536692
2011-04-18,60,53.14,13.03,0.36403647,-0.36559758
2011-04-19,60,53.14,13.03,-1.1816899,0.5159523
2011-04-20,60,53.14,13.03,-1.068486,0.41181675
2011-04-21,60,53.14,13.03,-1.0857694,-0.21153411
2011-04-22,60,53.14,13.03,-1.5794728,-0.23431909
2011-04-23,60,53.14,13.03,-2.212926,-0.2624842
2011-04-24,60,53.14,13.03,-1.4221585,-0.77473366
2011-04-25,60,53.14,13.03,-0.91900986,-1.3587328
2011-04-26,60,53.14,13.03,-0.6723745,-1.0124583
2011-04-27,60,53.14,13.03,-0.5300721,-0.7794062
2011-04-28,60,53.14,13.03,-1.7281537,-1.008114
2011-04-29,60,53.14,13.03,-2.135565,-1.4899416
2011-04-30,60,53.14,13.03,-1.8899384,-1.838695
2011-05-01,60,53.14,13.03,-1.31597,-1.8483831
2011-05-02,60,53.14,13.03,-1.717491,-1.62058
2011-05-03,60,53.14,13.03,-0.73362267,-1.2625777
2011-05-04,60,53.14,13.03,0.6401947,-0.8159503
2011-05-05,60,53.14,13.03,0.8796425,-0.15608467
2011-05-06,60,53.14,13.03,-0.20633855,1.0679101
2011-05-07,60,53.14,13.03,-1.6172268,0.5097193
2011-05-08,60,53.14,13.03,-1.902137,0.10280551
2011-05-09,60,53.14,13.03,-1.3855647,1.0815618
2011-05-10,60,53.14,13.03,-0.66258645,1.033027
2011-05-11,60,53.14,13.03,0.13303302,0.4319964
2011-05-12,60,53.14,13.03,0.5393348,-0.39904085
2011-05-13,60,53.14,13.03,2.570903,-0.5314039
2011-05-14,60,53.14,13.03,0.25963032,0.51032877
2011-05-15,60,53.14,13.03,1.9119627,-0.11627112
2011-05-16,60,53.14,13.03,2.0837789,0.9621294
2011-05-17,60,53.14,13.03,2.2724228,1.0174328
2011-05-18,60,53.14,13.03,0.62361413,0.92715764
2011-05-19,60,53.14,13.03,0.62304676,-0.07183202
2011-05-20,60,53.14,13.03,-0.049604617,-0.27828017
2011-05-21,60,53.14,13.03,-0.21618941,-0.59657395
2011-05-22,60,53.14,13.03,-0.2232067,1.3996797
2011-05-23,60,53.14,13.03,1.3585144,0.74322134
2011-05-24,60,53.14,13.03,1.538986,0.35569704
2011-05-25,60,53.14,13.03,2.0894408,0.21549907
2011-05-26,60,53.14,13.03,-0.73118526,1.7052686
2011-05-27,60,53.14,13.03,1.8840348,1.0266166
2011-05-28,60,53.14,13.03,1.469509,0.7481602
2011-05-29,60,53.14,13.03,2.0034938,1.1919773
2011-05-30,60,53.14,13.03,-0.158791,1.317379
2011-05-31,60,53.14,13.03,0.03718245,0.4911644
2011-06-01,60,53.14,13.03,0.70672524,-2.3307893
2011-06-02,60,53.14,13.03,0.24174203,-1.4514654
2011-06-03,60,53.14,13.03,-0.22178733,-1.1891553
2011-06-04,60,53.14,13.03,-0.84757644,-0.84133005
2011-06-05,60,53.14,13.03,-1.5052953,0.15217586
2011-06-06,60,53.14,13.03,-0.6824496,1.3090805
2011-06-07,60,53.14,13.03,0.5872089,0.7724084
2011-06-08,60,53.14,13.03,-0.4745119,0.12248777
2011-06-09,60,53.14,13.03,2.426072,-0.33490238
2011-06-10,60,53.14,13.03,1.1702459,-0.82139933
2011-06-11,60,53.14,13.03,0.22146621,0.14793059
2011-06-12,60,53.14,13.03,0.4962358,-0.3494988
2011-06-13,60,53.14,13.03,0.007333815,0.6513892
2011-06-14,60,53.14,13.03,1.3126165,-0.21429719
2011-06-15,60,53.14,13.03,0.68565387,-0.18335602
2011-06-16,60,53.14,13.03,-0.10232702,0.98903054
2011-06-17,60,53.14,13.03,1.7608398,0.80001116
2011-06-18,60,53.14,13.03,0.46459076,1.196794
2011-06-19,60,53.14,13.03,2.1581562,1.753928
2011-06-20,60,53.14,13.03,2.4836004,0.21193679
2011-06-21,60,53.14,13.03,1.247426,0.8701371
2011-06-22,60,53.14,13.03,0.7728059,1.4250603
2011-06-23,60,53.14,13.03,1.9771805,1.0090309
2011-06-24,60,53.14,13.03,2.17036,-0.07437127
2011-06-25,60,53.14,13.03,2.040883,-0.09528287
2011-06-26,60,53.14,13.03,0.995898,-0.32697123
2011-06-27,60,53.14,13.03,-0.4815935,-0.28888693
2011-06-28,60,53.14,13.03,-1.4494727,0.103130564
2011-06-29,60,53.14,13.03,-0.95295656,0.003806185
2011-06-30,60,53.14,13.03,1.9828651,-1.1799526
2011-07-01,60,53.14,13.03,2.0903144,-0.9418084
2011-07-02,60,53.14,13.03,3.314783,-0.68546927
2011-07-03,60,53.14,13.03,1.4508318,-1.9082743
2011-07-04,60,53.14,13.03,1.167124,-0.9647691
2011-07-05,60,53.14,13.03,-0.45522884,-0.6025333
2011-07-06,60,53.14,13.03,-0.7924409,0.20622489
2011-07-07,60,53.14,13.03,0.113182925,-0.10067564
2011-07-08,60,53.14,13.03,0.26199764,0.73101044
2011-07-09,60,53.14,13.03,-0.08039024,1.3035576
2011-07-10,60,53.14,13.03,0.23726624,-0.91397166
2011-07-11,60,53.14,13.03,-0.02572018,-0.64826715
2011-07-12,60,53.14,13.03,-0.37745607,-0.09398895
2011-07-13,60,53.14,13.03,-1.9215109,0.21590349
2011-07-14,60,53.14,13.03,1.0316377,1.2934396
2011-07-15,60,53.14,13.03,2.0227346,2.2385733
