date,step,hybrid,latitude,longitude,valid_time,u,v
2009-04-01 00:00:00,0 days,60.0,55.55,22.0,2009-04-01 00:00:00,3.7394783,1.7699379
2009-04-01 03:00:00,0 days,60.0,55.55,22.0,2009-04-01 03:00:00,4.2152586,1.127289
2009-04-01 06:00:00,0 days,60.0,55.55,22.0,2009-04-01 06:00:00,4.365473,0.037374914
2009-04-01 09:00:00,0 days,60.0,55.55,22.0,2009-04-01 09:00:00,3.425843,-2.3948357
2009-04-01 12:00:00,0 days,60.0,55.55,22.0,2009-04-01 12:00:00,2.8275228,-2.6985226
2009-04-01 15:00:00,0 days,60.0,55.55,22.0,2009-04-01 15:00:00,2.4206605,-3.5007625
2009-04-01 18:00:00,0 days,60.0,55.55,22.0,2009-04-01 18:00:00,1.2321992,-3.2263777
2009-04-01 21:00:00,0 days,60.0,55.55,22.0,2009-04-01 21:00:00,0.5618995,-2.5985749
2009-04-02 00:00:00,0 days,60.0,55.55,22.0,2009-04-02 00:00:00,0.9262081,-2.0898373
2009-04-02 03:00:00,0 days,60.0,55.55,22.0,2009-04-02 03:00:00,1.037371,-1.7359421
2009-04-02 06:00:00,0 days,60.0,55.55,22.0,2009-04-02 06:00:00,0.6567126,-0.8073138
2009-04-02 09:00:00,0 days,60.0,55.55,22.0,2009-04-02 09:00:00,1.4705439,-0.64834344
2009-04-02 12:00:00,0 days,60.0,55.55,22.0,2009-04-02 12:00:00,2.6616163,-0.57503676
2009-04-02 15:00:00,0 days,60.0,55.55,22.0,2009-04-02 15:00:00,2.9614556,-0.19121242
2009-04-02 18:00:00,0 days,60.0,55.55,22.0,2009-04-02 18:00:00,2.3377993,0.53167707
2009-04-02 21:00:00,0 days,60.0,55.55,22.0,2009-04-02 21:00:00,2.2382965,1.146699
2009-04-03 00:00:00,0 days,60.0,55.55,22.0,2009-04-03 00:00:00,2.5705721,1.4599595
2009-04-03 03:00:00,0 days,60.0,55.55,22.0,2009-04-03 03:00:00,2.765555,1.2304316
2009-04-03 06:00:00,0 days,60.0,55.55,22.0,2009-04-03 06:00:00,2.441023,0.9318176
2009-04-03 09:00:00,0 days,60.0,55.55,22.0,2009-04-03 09:00:00,3.5267763,0.7155018
2009-04-03 12:00:00,0 days,60.0,55.55,22.0,2009-04-03 12:00:00,4.001259,-0.0393617
2009-04-03 15:00:00,0 days,60.0,55.55,22.0,2009-04-03 15:00:00,3.1517575,-0.07767731
2009-04-03 18:00:00,0 days,60.0,55.55,22.0,2009-04-03 18:00:00,2.3070416,-0.31356212
2009-04-03 21:00:00,0 days,60.0,55.55,22.0,2009-04-03 21:00:00,1.7916038,-0.29500103
2009-04-04 00:00:00,0 days,60.0,55.55,22.0,2009-04-04 00:00:00,1.5096657,-0.8227254
2009-04-04 03:00:00,0 days,60.0,55.55,22.0,2009-04-04 03:00:00,0.7964797,-0.8385161
2009-04-04 06:00:00,0 days,60.0,55.55,22.0,2009-04-04 06:00:00,-0.28828874,-0.17167735
