date,step,hybrid,latitude,longitude,valid_time,u,v
2008-01-01 00:00:00,0 days,60.0,56.04,13.52,2008-01-01 00:00:00,-1.0387821,-4.2837696
2008-01-01 03:00:00,0 days,60.0,56.04,13.52,2008-01-01 03:00:00,-1.7235,-4.0537295
2008-01-01 06:00:00,0 days,60.0,56.04,13.52,2008-01-01 06:00:00,-2.0383053,-3.5153122
2008-01-01 09:00:00,0 days,60.0,56.04,13.52,2008-01-01 09:00:00,-2.4142826,-3.115533
2008-01-01 12:00:00,0 days,60.0,56.04,13.52,2008-01-01 12:00:00,-4.3369594,-2.9626462
2008-01-01 15:00:00,0 days,60.0,56.04,13.52,2008-01-01 15:00:00,-2.9025137,-1.0105723
2008-01-01 18:00:00,0 days,60.0,56.04,13.52,2008-01-01 18:00:00,-3.5559087,-0.28329813
2008-01-01 21:00:00,0 days,60.0,56.04,13.52,2008-01-01 21:00:00,-3.9512663,0.6025241
2008-01-02 00:00:00,0 days,60.0,56.04,13.52,2008-01-02 00:00:00,-3.430151,-0.022469372
2008-01-02 03:00:00,0 days,60.0,56.04,13.52,2008-01-02 03:00:00,-3.4971566,-0.5615623
2008-01-02 06:00:00,0 days,60.0,56.04,13.52,2008-01-02 06:00:00,-3.9673076,-0.6275439
2008-01-02 09:00:00,0 days,60.0,56.04,13.52,2008-01-02 09:00:00,-4.526482,0.1734213
2008-01-02 12:00:00,0 days,60.0,56.04,13.52,2008-01-02 12:00:00,-4.4906974,0.92914057
2008-01-02 15:00:00,0 days,60.0,56.04,13.52,2008-01-02 15:00:00,-5.010999,1.302386
2008-01-02 18:00:00,0 days,60.0,56.04,13.52,2008-01-02 18:00:00,-5.8690343,0.51090723
2008-01-02 21:00:00,0 days,60.0,56.04,13.52,2008-01-02 21:00:00,-6.2451673,0.43398666
2008-01-03 00:00:00,0 days,60.0,56.04,13.52,2008-01-03 00:00:00,-6.8343954,0.87388295
2008-01-03 03:00:00,0 days,60.0,56.04,13.52,2008-01-03 03:00:00,-7.141362,1.3578856
2008-01-03 06:00:00,0 days,60.0,56.04,13.52,2008-01-03 06:00:00,-7.580019,1.6120746
2008-01-03 09:00:00,0 days,60.0,56.04,13.52,2008-01-03 09:00:00,-8.090765,2.5227485
2008-01-03 12:00:00,0 days,60.0,56.04,13.52,2008-01-03 12:00:00,-8.265375,2.986356
2008-01-03 15:00:00,0 days,60.0,56.04,13.52,2008-01-03 15:00:00,-7.695772,3.1164603
2008-01-03 18:00:00,0 days,60.0,56.04,13.52,2008-01-03 18:00:00,-8.058706,3.946699
2008-01-03 21:00:00,0 days,60.0,56.04,13.52,2008-01-03 21:00:00,-7.646331,3.9250662
2008-01-04 00:00:00,0 days,60.0,56.04,13.52,2008-01-04 00:00:00,-7.4997396,3.4608426
2008-01-04 03:00:00,0 days,60.0,56.04,13.52,2008-01-04 03:00:00,-7.6831083,3.0030167
2008-01-04 06:00:00,0 days,60.0,56.04,13.52,2008-01-04 06:00:00,-7.98701,3.5365028
2008-01-04 09:00:00,0 days,60.0,56.04,13.52,2008-01-04 09:00:00,-8.0385,3.9725244
2008-01-04 12:00:00,0 days,60.0,56.04,13.52,2008-01-04 12:00:00,-7.9496202,3.1365395
2008-01-04 15:00:00,0 days,60.0,56.04,13.52,2008-01-04 15:00:00,-7.6375895,3.0626292
2008-01-04 18:00:00,0 days,60.0,56.04,13.52,2008-01-04 18:00:00,-7.6121526,4.5986214
2008-01-04 21:00:00,0 days,60.0,56.04,13.52,2008-01-04 21:00:00,-6.8155155,4.5667715
2008-01-05 00:00:00,0 days,60.0,56.04,13.52,2008-01-05 00:00:00,-6.33918,4.902445
2008-01-05 03:00:00,0 days,60.0,56.04,13.52,2008-01-05 03:00:00,-6.325218,5.151795
2008-01-05 06:00:00,0 days,60.0,56.04,13.52,2008-01-05 06:00:00,-6.6499033,5.6630845
2008-01-05 09:00:00,0 days,60.0,56.04,13.52,2008-01-05 09:00:00,-6.0670323,6.09818
2008-01-05 12:00:00,0 days,60.0,56.04,13.52,2008-01-05 12:00:00,-5.8525243,4.780939
2008-01-05 15:00:00,0 days,60.0,56.04,13.52,2008-01-05 15:00:00,-5.1577187,4.587434
2008-01-05 18:00:00,0 days,60.0,56.04,13.52,2008-01-05 18:00:00,-4.6264677,4.767595
2008-01-05 21:00:00,0 days,60.0,56.04,13.52,2008-01-05 21:00:00,-3.198813,4.935333
2008-01-06 00:00:00,0 days,60.0,56.04,13.52,2008-01-06 00:00:00,-2.738586,4.2710285
2008-01-06 03:00:00,0 days,60.0,56.04,13.52,2008-01-06 03:00:00,-1.5173316,3.494714
2008-01-06 06:00:00,0 days,60.0,56.04,13.52,2008-01-06 06:00:00,-0.79147816,3.432162
2008-01-06 09:00:00,0 days,60.0,56.04,13.52,2008-01-06 09:00:00,-0.58075136,3.4056406
2008-01-06 12:00:00,0 days,60.0,56.04,13.52,2008-01-06 12:00:00,1.0793526,4.028292
2008-01-06 15:00:00,0 days,60.0,56.04,13.52,2008-01-06 15:00:00,-0.12579954,1.442582
2008-01-06 18:00:00,0 days,60.0,56.04,13.52,2008-01-06 18:00:00,0.41437843,1.6443669
2008-01-06 21:00:00,0 days,60.0,56.04,13.52,2008-01-06 21:00:00,1.1952198,1.8172976
2008-01-07 00:00:00,0 days,60.0,56.04,13.52,2008-01-07 00:00:00,0.78110635,2.244128
2008-01-07 03:00:00,0 days,60.0,56.04,13.52,2008-01-07 03:00:00,0.77310765,2.5582433
2008-01-07 06:00:00,0 days,60.0,56.04,13.52,2008-01-07 06:00:00,-0.096753,2.83462
2008-01-07 09:00:00,0 days,60.0,56.04,13.52,2008-01-07 09:00:00,-1.3168175,3.5864782
2008-01-07 12:00:00,0 days,60.0,56.04,13.52,2008-01-07 12:00:00,-2.939094,4.84173
2008-01-07 15:00:00,0 days,60.0,56.04,13.52,2008-01-07 15:00:00,-2.9194992,4.9362626
2008-01-07 18:00:00,0 days,60.0,56.04,13.52,2008-01-07 18:00:00,-1.7072871,4.521005
2008-01-07 21:00:00,0 days,60.0,56.04,13.52,2008-01-07 21:00:00,0.46740913,4.64928
2008-01-08 00:00:00,0 days,60.0,56.04,13.52,2008-01-08 00:00:00,1.805362,4.806661
2008-01-08 03:00:00,0 days,60.0,56.04,13.52,2008-01-08 03:00:00,3.6386755,3.8218474
2008-01-08 06:00:00,0 days,60.0,56.04,13.52,2008-01-08 06:00:00,5.9362993,1.2910153
2008-01-08 09:00:00,0 days,60.0,56.04,13.52,2008-01-08 09:00:00,6.5062656,0.73188937
2008-01-08 12:00:00,0 days,60.0,56.04,13.52,2008-01-08 12:00:00,6.918337,0.7178863
2008-01-08 15:00:00,0 days,60.0,56.04,13.52,2008-01-08 15:00:00,5.333626,1.5176986
2008-01-08 18:00:00,0 days,60.0,56.04,13.52,2008-01-08 18:00:00,4.2932534,1.8874317
2008-01-08 21:00:00,0 days,60.0,56.04,13.52,2008-01-08 21:00:00,3.52867,2.2418888
2008-01-09 00:00:00,0 days,60.0,56.04,13.52,2008-01-09 00:00:00,2.196197,3.2111943
2008-01-09 03:00:00,0 days,60.0,56.04,13.52,2008-01-09 03:00:00,0.9594875,4.347068
2008-01-09 06:00:00,0 days,60.0,56.04,13.52,2008-01-09 06:00:00,0.6472103,5.0647936
2008-01-09 09:00:00,0 days,60.0,56.04,13.52,2008-01-09 09:00:00,0.2988165,5.549325
2008-01-09 12:00:00,0 days,60.0,56.04,13.52,2008-01-09 12:00:00,1.8420222,5.653893
2008-01-09 15:00:00,0 days,60.0,56.04,13.52,2008-01-09 15:00:00,2.4542365,4.223171
2008-01-09 18:00:00,0 days,60.0,56.04,13.52,2008-01-09 18:00:00,2.86486,3.673327
2008-01-09 21:00:00,0 days,60.0,56.04,13.52,2008-01-09 21:00:00,4.0549574,3.3923986
2008-01-10 00:00:00,0 days,60.0,56.04,13.52,2008-01-10 00:00:00,4.2536798,3.502965
2008-01-10 03:00:00,0 days,60.0,56.04,13.52,2008-01-10 03:00:00,4.175968,3.6891196
2008-01-10 06:00:00,0 days,60.0,56.04,13.52,2008-01-10 06:00:00,3.158761,4.09371
2008-01-10 09:00:00,0 days,60.0,56.04,13.52,2008-01-10 09:00:00,2.2513304,6.1097984
2008-01-10 12:00:00,0 days,60.0,56.04,13.52,2008-01-10 12:00:00,4.891264,7.204651
2008-01-10 15:00:00,0 days,60.0,56.04,13.52,2008-01-10 15:00:00,5.0569687,5.6376915
2008-01-10 18:00:00,0 days,60.0,56.04,13.52,2008-01-10 18:00:00,3.4953377,5.617279
2008-01-10 21:00:00,0 days,60.0,56.04,13.52,2008-01-10 21:00:00,3.0663078,6.1842937
2008-01-11 00:00:00,0 days,60.0,56.04,13.52,2008-01-11 00:00:00,3.7052372,6.5188255
2008-01-11 03:00:00,0 days,60.0,56.04,13.52,2008-01-11 03:00:00,4.6265917,5.99505
2008-01-11 06:00:00,0 days,60.0,56.04,13.52,2008-01-11 06:00:00,4.3910885,4.3673067
2008-01-11 09:00:00,0 days,60.0,56.04,13.52,2008-01-11 09:00:00,3.5080192,3.4465122
2008-01-11 12:00:00,0 days,60.0,56.04,13.52,2008-01-11 12:00:00,2.7701678,2.6036255
2008-01-11 15:00:00,0 days,60.0,56.04,13.52,2008-01-11 15:00:00,1.2306287,2.6227202
2008-01-11 18:00:00,0 days,60.0,56.04,13.52,2008-01-11 18:00:00,0.37824935,2.7934446
2008-01-11 21:00:00,0 days,60.0,56.04,13.52,2008-01-11 21:00:00,0.16337448,3.871667
