date,hybrid,latitude,longitude,u,v
2012-01-01,60,50.3,6.0,2.2187417,2.4566596
2012-01-02,60,50.3,6.0,2.7213047,1.5076448
2012-01-03,60,50.3,6.0,2.7054079,3.7769156
2012-01-04,60,50.3,6.0,4.18567,0.94153434
2012-01-05,60,50.3,6.0,5.024165,0.2804602
2012-01-06,60,50.3,6.0,2.9838104,-1.6409231
2012-01-07,60,50.3,6.0,3.0714087,0.3480972
2012-01-08,60,50.3,6.0,2.799343,-1.1469389
2012-01-09,60,50.3,6.0,1.8626063,0.22939184
2012-01-10,60,50.3,6.0,1.5262913,-0.04859726
2012-01-11,60,50.3,6.0,1.7709522,0.6369754
2012-01-12,60,50.3,6.0,2.4730031,1.0045798
2012-01-13,60,50.3,6.0,1.963057,-1.2056518
2012-01-14,60,50.3,6.0,0.52348727,-1.1548072
2012-01-15,60,50.3,6.0,-1.1994289,-0.53572583
2012-01-16,60,50.3,6.0,-1.5086699,0.17508896
2012-01-17,60,50.3,6.0,-0.017531604,0.75488865
2012-01-18,60,50.3,6.0,1.2955413,2.073655
2012-01-19,60,50.3,6.0,3.2074308,1.276265
2012-01-20,60,50.3,6.0,3.7860084,-0.3498778
2012-01-21,60,50.3,6.0,3.2969673,0.7718226
2012-01-22,60,50.3,6.0,4.660918,-0.245923
2012-01-23,60,50.3,6.0,2.26261,0.15699826
2012-01-24,60,50.3,6.0,1.5066069,0.26229033
2012-01-25,60,50.3,6.0,-0.831187,1.4991683
2012-01-26,60,50.3,6.0,-0.83956563,2.1237526
2012-01-27,60,50.3,6.0,1.0851345,1.1864072
2012-01-28,60,50.3,6.0,-0.5635682,0.5182952
2012-01-29,60,50.3,6.0,-1.0501434,-1.6792524
2012-01-30,60,50.3,6.0,0.021808743,-0.3523464
2012-01-31,60,50.3,6.0,-1.0866287,-1.0148883
2012-02-01,60,50.3,6.0,-2.289569,-1.8106394
2012-02-02,60,50.3,6.0,-2.2014182,-1.9715793
2012-02-03,60,50.3,6.0,-1.0585828,-1.2168169
2012-02-04,60,50.3,6.0,-0.93541044,-0.88497615
2012-02-05,60,50.3,6.0,-1.0361903,0.92316216
2012-02-06,60,50.3,6.0,-0.78040504,0.1002838
2012-02-07,60,50.3,6.0,-1.5556312,-1.7074094
2012-02-08,60,50.3,6.0,-1.9503282,-1.5270662
2012-02-09,60,50.3,6.0,-0.45769402,-1.5830773
2012-02-10,60,50.3,6.0,-1.501523,-1.1114048
2012-02-11,60,50.3,6.0,-1.5070375,-1.1117448
2012-02-12,60,50.3,6.0,-0.019484002,-0.54874885
2012-02-13,60,50.3,6.0,1.1281286,0.17962487
2012-02-14,60,50.3,6.0,1.2436883,-0.86798793
2012-02-15,60,50.3,6.0,2.831627,-2.326364
2012-02-16,60,50.3,6.0,1.3227952,-0.7556466
2012-02-17,60,50.3,6.0,1.7454633,0.7613661
2012-02-18,60,50.3,6.0,1.5428686,1.9886965
2012-02-19,60,50.3,6.0,2.3953717,-0.3127402
2012-02-20,60,50.3,6.0,0.7693192,0.15094663
2012-02-21,60,50.3,6.0,1.3395865,1.2394742
2012-02-22,60,50.3,6.0,1.0870614,1.4979463
2012-02-23,60,50.3,6.0,1.7461452,1.5989068
2012-02-24,60,50.3,6.0,1.8137958,1.0083169
2012-02-25,60,50.3,6.0,1.5013766,-0.48522386
2012-02-26,60,50.3,6.0,1.269022,-1.2136128
2012-02-27,60,50.3,6.0,1.1171738,0.7356908
2012-02-28,60,50.3,6.0,1.4111187,0.72457165
2012-02-29,60,50.3,6.0,0.3122739,-0.0473868
2012-03-01,60,50.3,6.0,-0.82701296,-0.44380006
2012-03-02,60,50.3,6.0,-0.76585937,0.012548596
2012-03-03,60,50.3,6.0,0.39939767,0.9526611
2012-03-04,60,50.3,6.0,-0.20591128,1.5252438
2012-03-05,60,50.3,6.0,2.2655427,3.0435069
2012-03-06,60,50.3,6.0,-0.30014685,1.2640518
2012-03-07,60,50.3,6.0,1.1342556,2.2243862
2012-03-08,60,50.3,6.0,1.8769076,-1.3325189
2012-03-09,60,50.3,6.0,0.93080485,0.6607199
2012-03-10,60,50.3,6.0,1.4221728,0.26498067
2012-03-11,60,50.3,6.0,0.51919794,-1.2983141
2012-03-12,60,50.3,6.0,0.48638707,-0.81592256
2012-03-13,60,50.3,6.0,-0.712674,-0.9584761
2012-03-14,60,50.3,6.0,-0.8083711,-0.48820305
2012-03-15,60,50.3,6.0,-0.5117578,1.1077107
2012-03-16,60,50.3,6.0,0.27423176,1.643862
2012-03-17,60,50.3,6.0,1.1093159,1.6612775
2012-03-18,60,50.3,6.0,1.6781138,1.2466087
2012-03-19,60,50.3,6.0,0.26746216,-1.2739321
2012-03-20,60,50.3,6.0,0.31800357,0.094874136
2012-03-21,60,50.3,6.0,-1.10971,-0.109127276
2012-03-22,60,50.3,6.0,-1.7138295,-0.30064705
2012-03-23,60,50.3,6.0,-0.81448853,-0.43713874
2012-03-24,60,50.3,6.0,-0.6751829,-0.80322796
2012-03-25,60,50.3,6.0,-0.90641797,-1.35238
2012-03-26,60,50.3,6.0,-1.0115061,-1.3434068
2012-03-27,60,50.3,6.0,-0.73712444,-1.3471391
2012-03-28,60,50.3,6.0,-0.5172301,-1.2862074
2012-03-29,60,50.3,6.0,1.3024148,-1.3642156
2012-03-30,60,50.3,6.0,1.745215,-1.5302627
2012-03-31,60,50.3,6.0,1.686986,-1.3143635
2012-04-01,60,50.3,6.0,0.11522983,-1.0655696
2012-04-02,60,50.3,6.0,-0.35738325,-0.14559568
2012-04-03,60,50.3,6.0,-0.087277114,0.43487066
2012-04-04,60,50.3,6.0,0.8402829,0.3523958
2012-04-05,60,50.3,6.0,-1.2972246,-1.3609958
2012-04-06,60,50.3,6.0,0.04051294,-1.0816408
2012-04-07,60,50.3,6.0,0.7442263,-1.4010891
2012-04-08,60,50.3,6.0,0.8832717,-0.27547136
2012-04-09,60,50.3,6.0,1.9808238,2.598453
2012-04-10,60,50.3,6.0,1.5601118,3.32294
2012-04-11,60,50.3,6.0,1.5018728,1.0711386
2012-04-12,60,50.3,6.0,0.97280884,0.54967695
2012-04-13,60,50.3,6.0,0.38189313,0.26841882
2012-04-14,60,50.3,6.0,-0.45716387,-0.8313881
2012-04-15,60,50.3,6.0,-0.19477382,-3.0412562
2012-04-16,60,50.3,6.0,0.11859229,-2.6070898
2012-04-17,60,50.3,6.0,0.620628,1.839955
2012-04-18,60,50.3,6.0,0.8252776,3.230824
2012-04-19,60,50.3,6.0,0.67314965,2.5144527
2012-04-20,60,50.3,6.0,1.32127,1.7278025
2012-04-21,60,50.3,6.0,1.5491467,1.9067794
2012-04-22,60,50.3,6.0,2.3103135,1.8899097
2012-04-23,60,50.3,6.0,0.5783087,2.9920902
2012-04-24,60,50.3,6.0,0.7253032,1.5248259
2012-04-25,60,50.3,6.0,0.67059445,3.663549
2012-04-26,60,50.3,6.0,1.1238234,3.8527434
2012-04-27,60,50.3,6.0,0.5817077,1.9135386
2012-04-28,60,50.3,6.0,-0.47586596,0.23105584
2012-04-29,60,50.3,6.0,0.20778951,0.28077814
2012-04-30,60,50.3,6.0,-1.1266642,-0.16216266
2012-05-01,60,50.3,6.0,0.34255472,0.3756945
2012-05-02,60,50.3,6.0,0.36757687,-1.6602693
2012-05-03,60,50.3,6.0,0.93712986,1.5454731
2012-05-04,60,50.3,6.0,0.70068496,0.7463778
2012-05-05,60,50.3,6.0,-0.10239717,-0.95987236
2012-05-06,60,50.3,6.0,-0.34264117,-1.0485055
2012-05-07,60,50.3,6.0,0.0992206,-0.13861662
2012-05-08,60,50.3,6.0,0.05472505,2.2936077
2012-05-09,60,50.3,6.0,1.3575444,1.998043
2012-05-10,60,50.3,6.0,0.90388715,2.7526033
2012-05-11,60,50.3,6.0,1.9523787,0.60015285
2012-05-12,60,50.3,6.0,0.7345577,-2.0514657
2012-05-13,60,50.3,6.0,-0.51922524,-1.0022271
2012-05-14,60,50.3,6.0,0.511357,0.9755126
2012-05-15,60,50.3,6.0,2.2033386,0.022696204
2012-05-16,60,50.3,6.0,2.1829398,-1.9355462
2012-05-17,60,50.3,6.0,-0.98561835,0.8103472
2012-05-18,60,50.3,6.0,-0.11301312,2.067597
2012-05-19,60,50.3,6.0,-0.33269837,0.85004705
2012-05-20,60,50.3,6.0,-0.3311555,-0.11079691
2012-05-21,60,50.3,6.0,0.0657638,-2.1537464
2012-05-22,60,50.3,6.0,0.7168057,-1.3874896
2012-05-23,60,50.3,6.0,0.8929828,-0.7668586
2012-05-24,60,50.3,6.0,-0.5800165,-1.2067541
2012-05-25,60,50.3,6.0,-2.4913173,-0.87026846
2012-05-26,60,50.3,6.0,-1.9738021,-0.48515233
2012-05-27,60,50.3,6.0,-1.0337129,-0.53387856
2012-05-28,60,50.3,6.0,0.7375045,-0.80604035
2012-05-29,60,50.3,6.0,0.95780617,-0.7422024
2012-05-30,60,50.3,6.0,0.60414326,-0.7256254
2012-05-31,60,50.3,6.0,1.8180851,0.39312005
2012-06-01,60,50.3,6.0,1.9815538,-1.1207039
2012-06-02,60,50.3,6.0,-0.17238922,-0.7182609
2012-06-03,60,50.3,6.0,0.5559168,-0.11069955
2012-06-04,60,50.3,6.0,1.4764032,0.2968704
2012-06-05,60,50.3,6.0,0.44220316,0.26783228
2012-06-06,60,50.3,6.0,0.8484925,1.6213622
2012-06-07,60,50.3,6.0,0.4027632,1.948315
2012-06-08,60,50.3,6.0,1.9396034,2.2425826
2012-06-09,60,50.3,6.0,2.8551538,1.8907313
2012-06-10,60,50.3,6.0,0.33620968,0.94065034
2012-06-11,60,50.3,6.0,0.3374208,1.1059827
2012-06-12,60,50.3,6.0,0.9019978,-0.017904066
2012-06-13,60,50.3,6.0,0.46420386,-1.2715292
2012-06-14,60,50.3,6.0,-0.27470925,-0.29225746
2012-06-15,60,50.3,6.0,0.6453545,1.8210403
2012-06-16,60,50.3,6.0,1.3500975,2.4339685
2012-06-17,60,50.3,6.0,1.4311804,1.6560061
2012-06-18,60,50.3,6.0,0.63678813,-0.03725107
2012-06-19,60,50.3,6.0,-0.2519762,-1.0176733
2012-06-20,60,50.3,6.0,-0.10627957,-1.7325726
2012-06-21,60,50.3,6.0,-0.33825344,1.2217447
2012-06-22,60,50.3,6.0,2.4376738,2.2693992
2012-06-23,60,50.3,6.0,1.5386331,0.9880727
2012-06-24,60,50.3,6.0,2.070385,2.1254077
2012-06-25,60,50.3,6.0,2.7490168,0.31914163
2012-06-26,60,50.3,6.0,0.5281711,-0.033437636
2012-06-27,60,50.3,6.0,1.5121417,0.7170249
2012-06-28,60,50.3,6.0,-0.6319158,1.3996035
2012-06-29,60,50.3,6.0,0.95792425,1.0588893
2012-06-30,60,50.3,6.0,0.8057715,1.2744988
2012-07-01,60,50.3,6.0,1.7639148,0.58543164
2012-07-02,60,50.3,6.0,0.30187386,0.2221997
2012-07-03,60,50.3,6.0,0.37458867,0.6606191
2012-07-04,60,50.3,6.0,-0.53464764,0.7559397
2012-07-05,60,50.3,6.0,0.0980573,0.8333474
2012-07-06,60,50.3,6.0,1.1080886,1.9592164
2012-07-07,60,50.3,6.0,0.2214872,1.6309037
2012-07-08,60,50.3,6.0,1.1182669,2.1175876
2012-07-09,60,50.3,6.0,2.3637621,1.4804009
2012-07-10,60,50.3,6.0,1.2055113,0.9963874
2012-07-11,60,50.3,6.0,2.7297032,1.5518436
2012-07-12,60,50.3,6.0,2.7138019,1.3633813
2012-07-13,60,50.3,6.0,1.6885968,2.124652
2012-07-14,60,50.3,6.0,2.3882954,1.4412438
2012-07-15,60,50.3,6.0,2.3654306,0.6399801
2012-07-16,60,50.3,6.0,2.3018007,1.3798722
2012-07-17,60,50.3,6.0,3.432115,0.53549653
2012-07-18,60,50.3,6.0,2.7594714,1.5067854
2012-07-19,60,50.3,6.0,3.0281239,1.0956168
2012-07-20,60,50.3,6.0,1.4277946,0.16159043
2012-07-21,60,50.3,6.0,0.13742954,-1.3854035
2012-07-22,60,50.3,6.0,-0.48279697,-0.58691335
2012-07-23,60,50.3,6.0,-1.1155332,0.17424357
2012-07-24,60,50.3,6.0,-1.0583808,-0.37340248
2012-07-25,60,50.3,6.0,0.40426373,-0.6822627
2012-07-26,60,50.3,6.0,-0.25337216,-0.82308346
2012-07-27,60,50.3,6.0,0.059464276,0.14722109
2012-07-28,60,50.3,6.0,1.0209068,0.38011128
2012-07-29,60,50.3,6.0,2.1900816,0.60421705
2012-07-30,60,50.3,6.0,2.1286914,1.3620989
2012-07-31,60,50.3,6.0,1.0188618,0.9504529
2012-08-01,60,50.3,6.0,-0.7876205,1.0757098
2012-08-02,60,50.3,6.0,1.5854897,1.0466306
2012-08-03,60,50.3,6.0,0.98109204,1.0427986
2012-08-04,60,50.3,6.0,0.60855603,1.0480186
2012-08-05,60,50.3,6.0,0.18689868,0.8876801
2012-08-06,60,50.3,6.0,1.9844567,1.8520246
2012-08-07,60,50.3,6.0,2.0452347,0.7877441
2012-08-08,60,50.3,6.0,1.0031538,0.3494444
2012-08-09,60,50.3,6.0,0.39344925,-1.00657
2012-08-10,60,50.3,6.0,-0.652088,-1.2959324
2012-08-11,60,50.3,6.0,-1.541007,-0.40601456
2012-08-12,60,50.3,6.0,-1.6097956,0.5715638
2012-08-13,60,50.3,6.0,0.06541425,0.3197188
2012-08-14,60,50.3,6.0,0.13027763,0.32526782
2012-08-15,60,50.3,6.0,-0.53325605,0.95494914
2012-08-16,60,50.3,6.0,1.0710198,0.40392068
2012-08-17,60,50.3,6.0,-0.30727318,0.94422686
2012-08-18,60,50.3,6.0,-0.7998116,1.2702289
2012-08-19,60,50.3,6.0,-0.21045682,1.4084665
2012-08-20,60,50.3,6.0,1.1221656,0.029763931
2012-08-21,60,50.3,6.0,0.3833303,-0.47992808
2012-08-22,60,50.3,6.0,1.6400896,-0.19949555
2012-08-23,60,50.3,6.0,0.1149263,0.08277048
2012-08-24,60,50.3,6.0,0.7315355,0.53634053
2012-08-25,60,50.3,6.0,2.0689225,2.3571353
2012-08-26,60,50.3,6.0,3.3345995,1.3355672
2012-08-27,60,50.3,6.0,0.06691461,1.2561831
2012-08-28,60,50.3,6.0,0.8854481,1.2560788
2012-08-29,60,50.3,6.0,0.40781122,1.2471797
2012-08-30,60,50.3,6.0,1.5700601,0.83598125
2012-08-31,60,50.3,6.0,2.2942412,-1.7608318
2012-09-01,60,50.3,6.0,0.1279633,-1.3930813
2012-09-02,60,50.3,6.0,0.28215358,-0.08765809
2012-09-03,60,50.3,6.0,-0.24734415,-1.1780856
2012-09-04,60,50.3,6.0,-0.38091907,-1.0953233
2012-09-05,60,50.3,6.0,0.0756868,-1.7448131
2012-09-06,60,50.3,6.0,-0.19909011,-0.94314176
2012-09-07,60,50.3,6.0,0.8621939,0.4103936
2012-09-08,60,50.3,6.0,0.012667343,0.048452277
2012-09-09,60,50.3,6.0,-0.11423446,1.224083
2012-09-10,60,50.3,6.0,0.65604675,1.516644
2012-09-11,60,50.3,6.0,1.4768379,1.0458776
2012-09-12,60,50.3,6.0,1.4389379,0.16726646
2012-09-13,60,50.3,6.0,0.3969882,0.2315402
2012-09-14,60,50.3,6.0,1.9863685,1.4296865
2012-09-15,60,50.3,6.0,0.9483391,0.30893537
2012-09-16,60,50.3,6.0,0.23987661,1.1269153
2012-09-17,60,50.3,6.0,1.0476165,0.8526766
2012-09-18,60,50.3,6.0,1.3889331,0.3359521
2012-09-19,60,50.3,6.0,1.6917839,-0.32146317
2012-09-20,60,50.3,6.0,0.73293805,0.9001807
2012-09-21,60,50.3,6.0,-0.31785733,0.8751806
2012-09-22,60,50.3,6.0,0.9149275,-0.64322793
2012-09-23,60,50.3,6.0,-1.9524062,0.35718545
2012-09-24,60,50.3,6.0,0.8825937,3.636932
2012-09-25,60,50.3,6.0,1.1762662,3.5758786
2012-09-26,60,50.3,6.0,0.3665531,2.9254494
2012-09-27,60,50.3,6.0,1.3526942,2.293864
2012-09-28,60,50.3,6.0,1.3404766,1.555255
2012-09-29,60,50.3,6.0,1.3826357,0.4959995
2012-09-30,60,50.3,6.0,0.48499355,0.6887872
2012-10-01,60,50.3,6.0,0.6696626,1.4905994
2012-10-02,60,50.3,6.0,0.9318622,2.074577
2012-10-03,60,50.3,6.0,2.022192,2.976684
2012-10-04,60,50.3,6.0,2.2638965,1.6083182
2012-10-05,60,50.3,6.0,2.106989,2.8947783
2012-10-06,60,50.3,6.0,1.9208698,1.4667318
2012-10-07,60,50.3,6.0,-0.029298497,-1.2890939
2012-10-08,60,50.3,6.0,-0.6602712,1.1955535
2012-10-09,60,50.3,6.0,-0.13693506,-0.6577557
2012-10-10,60,50.3,6.0,-1.1275896,-0.31941214
2012-10-11,60,50.3,6.0,-1.2413323,1.0903649
2012-10-12,60,50.3,6.0,1.8657111,1.5011528
2012-10-13,60,50.3,6.0,1.4420724,2.5502112
2012-10-14,60,50.3,6.0,0.84260356,1.4623207
2012-10-15,60,50.3,6.0,1.9142828,0.8299174
2012-10-16,60,50.3,6.0,1.13042,3.040515
2012-10-17,60,50.3,6.0,-0.09002876,2.92338
2012-10-18,60,50.3,6.0,-0.1658784,3.1071723
2012-10-19,60,50.3,6.0,-0.3824095,2.308148
2012-10-20,60,50.3,6.0,0.037914194,1.4067212
2012-10-21,60,50.3,6.0,-0.89985394,0.5944483
2012-10-22,60,50.3,6.0,-0.91147774,0.4696311
2012-10-23,60,50.3,6.0,-1.1278902,0.2904068
2012-10-24,60,50.3,6.0,-1.0124629,0.15289126
2012-10-25,60,50.3,6.0,-0.6146289,-0.22435242
2012-10-26,60,50.3,6.0,-1.8020322,-1.1285586
2012-10-27,60,50.3,6.0,-0.57572955,-2.8984208
2012-10-28,60,50.3,6.0,0.12750769,-0.63891876
2012-10-29,60,50.3,6.0,0.9070338,2.3172693
2012-10-30,60,50.3,6.0,1.8154821,1.5372936
2012-10-31,60,50.3,6.0,-0.20291018,2.0320945
2012-11-01,60,50.3,6.0,0.5003092,3.3048992
2012-11-02,60,50.3,6.0,2.1057513,2.8811567
2012-11-03,60,50.3,6.0,2.0190887,2.0445452
2012-11-04,60,50.3,6.0,0.5388922,2.3154178
2012-11-05,60,50.3,6.0,2.0731947,1.1952271
2012-11-06,60,50.3,6.0,1.6044093,0.38778684
2012-11-07,60,50.3,6.0,2.587307,1.3281662
2012-11-08,60,50.3,6.0,2.0540342,1.3814654
2012-11-09,60,50.3,6.0,0.0027237982,1.4188662
2012-11-10,60,50.3,6.0,0.08313028,2.184439
2012-11-11,60,50.3,6.0,1.4884264,0.70543027
2012-11-12,60,50.3,6.0,1.2088135,1.1498055
2012-11-13,60,50.3,6.0,0.18807852,1.4510279
2012-11-14,60,50.3,6.0,-1.3246979,0.52782667
2012-11-15,60,50.3,6.0,-0.39813352,0.5403848
2012-11-16,60,50.3,6.0,0.06900757,1.2546244
2012-11-17,60,50.3,6.0,0.08543855,1.8094883
2012-11-18,60,50.3,6.0,0.21823844,-0.13593523
2012-11-19,60,50.3,6.0,-0.6506922,1.0990081
2012-11-20,60,50.3,6.0,-0.3028518,1.5950286
2012-11-21,60,50.3,6.0,0.2560715,2.5364952
2012-11-22,60,50.3,6.0,0.87538904,2.132347
2012-11-23,60,50.3,6.0,0.60562515,2.9274285
2012-11-24,60,50.3,6.0,-0.2846165,1.411552
2012-11-25,60,50.3,6.0,2.3226361,3.3303185
2012-11-26,60,50.3,6.0,0.4979729,2.624142
2012-11-27,60,50.3,6.0,0.9980253,2.2540221
2012-11-28,60,50.3,6.0,0.15714648,-1.394159
2012-11-29,60,50.3,6.0,0.8366326,-2.2428555
2012-11-30,60,50.3,6.0,0.7419249,-0.34446552
2012-12-01,60,50.3,6.0,1.4496758,1.3539371
2012-12-02,60,50.3,6.0,2.6107428,-0.12813686
2012-12-03,60,50.3,6.0,1.3412817,1.9344187
2012-12-04,60,50.3,6.0,2.592515,0.7538334
2012-12-05,60,50.3,6.0,1.662515,0.33253515
2012-12-06,60,50.3,6.0,1.9842341,-0.19179246
2012-12-07,60,50.3,6.0,0.051050216,3.232098
2012-12-08,60,50.3,6.0,0.015041426,-0.37959865
2012-12-09,60,50.3,6.0,3.0255477,1.757148
2012-12-10,60,50.3,6.0,2.9132223,-1.8453053
2012-12-11,60,50.3,6.0,0.55528694,-2.0724452
2012-12-12,60,50.3,6.0,0.8391067,1.0891035
2012-12-13,60,50.3,6.0,-0.6850792,1.6526991
2012-12-14,60,50.3,6.0,-0.38325152,3.4832015
2012-12-15,60,50.3,6.0,1.9350863,2.7446625
2012-12-16,60,50.3,6.0,1.9318314,2.1999743
2012-12-17,60,50.3,6.0,1.2882758,1.5175625
2012-12-18,60,50.3,6.0,1.3958049,0.82160765
2012-12-19,60,50.3,6.0,-0.09903559,0.9609331
2012-12-20,60,50.3,6.0,-1.8353767,1.9407382
2012-12-21,60,50.3,6.0,1.2838076,0.85352343
2012-12-22,60,50.3,6.0,0.89393985,2.3646948
2012-12-23,60,50.3,6.0,3.5307288,2.1407661
2012-12-24,60,50.3,6.0,1.7052891,2.4913201
2012-12-25,60,50.3,6.0,2.786873,3.4727845
2012-12-26,60,50.3,6.0,3.3963137,2.3151696
2012-12-27,60,50.3,6.0,3.0810869,2.075946
2012-12-28,60,50.3,6.0,1.7942667,1.466935
2012-12-29,60,50.3,6.0,0.93363047,3.2134614
2012-12-30,60,50.3,6.0,3.738951,3.0583413
