date,hybrid,latitude,longitude,u,v
2009-01-01,60,52.8,10.76,1.0465356,-0.1609151
2009-01-02,60,52.8,10.76,-0.058725584,-0.55377513
2009-01-03,60,52.8,10.76,1.9592586,0.71679735
2009-01-04,60,52.8,10.76,2.3519564,0.0016711177
2009-01-05,60,52.8,10.76,-0.9910151,-1.3788774
2009-01-06,60,52.8,10.76,0.103260376,0.27927938
2009-01-07,60,52.8,10.76,1.8325727,0.19051862
2009-01-08,60,52.8,10.76,0.93000615,0.818956
2009-01-09,60,52.8,10.76,1.3273941,0.6829546
2009-01-10,60,52.8,10.76,0.106582336,0.84977794
2009-01-11,60,52.8,10.76,1.022533,1.5331888
2009-01-12,60,52.8,10.76,0.96902364,2.289619
2009-01-13,60,52.8,10.76,1.1591195,1.8997169
2009-01-14,60,52.8,10.76,0.80312437,0.76892793
2009-01-15,60,52.8,10.76,0.7654807,0.06854439
2009-01-16,60,52.8,10.76,-1.2324742,1.1283197
2009-01-17,60,52.8,10.76,-0.22867903,1.3785741
2009-01-18,60,52.8,10.76,0.4718062,2.1518936
2009-01-19,60,52.8,10.76,0.40775907,1.9162194
2009-01-20,60,52.8,10.76,0.96898526,1.699971
2009-01-21,60,52.8,10.76,0.07961745,0.8500217
2009-01-22,60,52.8,10.76,0.021429988,2.270236
2009-01-23,60,52.8,10.76,-1.292231,1.9205867
2009-01-24,60,52.8,10.76,2.2885273,0.96447515
2009-01-25,60,52.8,10.76,0.36639297,0.9790093
2009-01-26,60,52.8,10.76,-1.3472477,0.17765364
2009-01-27,60,52.8,10.76,-0.67606574,-0.58129656
2009-01-28,60,52.8,10.76,-0.6644724,0.2978896
2009-01-29,60,52.8,10.76,-1.2501578,0.5010303
2009-01-30,60,52.8,10.76,-1.4128909,0.3031767
2009-01-31,60,52.8,10.76,-1.4548934,-0.51028943
2009-02-01,60,52.8,10.76,-2.4881296,-0.83509815
2009-02-02,60,52.8,10.76,-3.2272284,0.2719575
2009-02-03,60,52.8,10.76,-1.8153741,0.5289212
2009-02-04,60,52.8,10.76,-0.20122394,0.6478739
2009-02-05,60,52.8,10.76,-0.3613809,1.2852037
2009-02-06,60,52.8,10.76,-0.13222781,1.1909342
2009-02-07,60,52.8,10.76,-0.12818585,0.09769462
2009-02-08,60,52.8,10.76,2.1126573,0.06877269
2009-02-09,60,52.8,10.76,0.75390786,1.5971395
2009-02-10,60,52.8,10.76,-0.6702736,0.84549683
2009-02-11,60,52.8,10.76,2.1568763,-1.6965533
2009-02-12,60,52.8,10.76,1.5442028,-1.2487961
2009-02-13,60,52.8,10.76,0.84106874,-0.18058375
2009-02-14,60,52.8,10.76,0.6568255,-1.4785105
2009-02-15,60,52.8,10.76,1.7937984,0.64326185
2009-02-16,60,52.8,10.76,1.9029173,-0.38654995
2009-02-17,60,52.8,10.76,-1.1503246,-0.94954485
2009-02-18,60,52.8,10.76,0.48413002,-0.60335994
2009-02-19,60,52.8,10.76,1.5896583,0.3418929
2009-02-20,60,52.8,10.76,1.556471,-0.53076535
2009-02-21,60,52.8,10.76,0.74444467,-0.24099073
2009-02-22,60,52.8,10.76,2.3505116,0.24813554
2009-02-23,60,52.8,10.76,2.2034352,-1.5173242
2009-02-24,60,52.8,10.76,0.59530103,-0.75419635
2009-02-25,60,52.8,10.76,2.0548258,0.9628444
2009-02-26,60,52.8,10.76,3.2482054,0.51290184
2009-02-27,60,52.8,10.76,2.5104287,-0.5102062
2009-02-28,60,52.8,10.76,0.63902456,0.4845466
2009-03-01,60,52.8,10.76,-0.7179373,0.8117016
2009-03-02,60,52.8,10.76,0.992771,0.44954264
2009-03-03,60,52.8,10.76,0.7438425,1.0729141
2009-03-04,60,52.8,10.76,-1.4976085,2.0278082
2009-03-05,60,52.8,10.76,-1.3523793,-0.4689166
2009-03-06,60,52.8,10.76,-0.6240639,-1.0961967
2009-03-07,60,52.8,10.76,1.4894941,-0.7358948
2009-03-08,60,52.8,10.76,1.232514,1.4948102
2009-03-09,60,52.8,10.76,2.0374923,1.1606537
2009-03-10,60,52.8,10.76,1.6897534,0.74832016
2009-03-11,60,52.8,10.76,1.7626866,-0.76760125
2009-03-12,60,52.8,10.76,1.4671924,0.70033264
2009-03-13,60,52.8,10.76,2.2307987,-0.55887234
2009-03-14,60,52.8,10.76,0.32512698,1.2649567
2009-03-15,60,52.8,10.76,2.016502,-0.37294084
2009-03-16,60,52.8,10.76,0.77486503,-0.20835629
2009-03-17,60,52.8,10.76,2.2496297,-0.79708767
2009-03-18,60,52.8,10.76,1.8087095,-1.1455979
2009-03-19,60,52.8,10.76,-0.051405787,-1.3147408
2009-03-20,60,52.8,10.76,-0.6820506,-0.4016944
2009-03-21,60,52.8,10.76,1.3079267,0.4065202
2009-03-22,60,52.8,10.76,3.054864,-1.0695221
2009-03-23,60,52.8,10.76,3.5858288,-0.12614217
2009-03-24,60,52.8,10.76,1.6531878,-1.7401726
2009-03-25,60,52.8,10.76,-0.12792909,1.5067677
2009-03-26,60,52.8,10.76,0.5737622,1.3958086
2009-03-27,60,52.8,10.76,1.8696967,1.2767382
2009-03-28,60,52.8,10.76,0.42174715,1.7603451
2009-03-29,60,52.8,10.76,1.317627,-0.094825715
2009-03-30,60,52.8,10.76,0.9248148,-0.123006515
2009-03-31,60,52.8,10.76,0.5676802,0.4275484
2009-04-01,60,52.8,10.76,-0.61998826,-0.6986568
2009-04-02,60,52.8,10.76,-1.8334426,-0.19294347
2009-04-03,60,52.8,10.76,-1.3858889,0.37636116
2009-04-04,60,52.8,10.76,0.9329548,0.37913126
2009-04-05,60,52.8,10.76,0.95061696,-0.5561546
2009-04-06,60,52.8,10.76,-1.2786534,0.66021764
2009-04-07,60,52.8,10.76,-0.7217419,1.1353722
2009-04-08,60,52.8,10.76,1.0703384,0.80339015
2009-04-09,60,52.8,10.76,0.40528727,0.5972274
2009-04-10,60,52.8,10.76,-1.7201223,0.7026645
2009-04-11,60,52.8,10.76,-1.9033166,0.39081535
2009-04-12,60,52.8,10.76,-1.5720115,0.1100422
2009-04-13,60,52.8,10.76,-1.224108,0.33967146
2009-04-14,60,52.8,10.76,-0.8574055,0.052388705
2009-04-15,60,52.8,10.76,-1.4797437,-0.08092629
2009-04-16,60,52.8,10.76,-2.4169085,0.09651245
2009-04-17,60,52.8,10.76,-1.7372843,-1.6321504
2009-04-18,60,52.8,10.76,-1.2057283,-1.4124056
2009-04-19,60,52.8,10.76,-1.5869517,-0.32013053
2009-04-20,60,52.8,10.76,-0.9465176,-0.43688223
2009-04-21,60,52.8,10.76,-0.97929794,-0.054615956
2009-04-22,60,52.8,10.76,1.5614394,-0.59397936
2009-04-23,60,52.8,10.76,-0.1502079,-1.3266579
2009-04-24,60,52.8,10.76,-1.362531,0.04484044
2009-04-25,60,52.8,10.76,-1.4999299,1.3122282
2009-04-26,60,52.8,10.76,-0.9319035,0.95485556
2009-04-27,60,52.8,10.76,0.35756478,1.2384849
2009-04-28,60,52.8,10.76,-0.16885045,0.3001147
2009-04-29,60,52.8,10.76,0.40397888,-0.7118747
2009-04-30,60,52.8,10.76,0.59435433,-0.85558426
2009-05-01,60,52.8,10.76,-0.6735443,-0.97917664
2009-05-02,60,52.8,10.76,0.30832458,-0.51656014
2009-05-03,60,52.8,10.76,1.0884703,-0.053198785
2009-05-04,60,52.8,10.76,2.114071,-0.47205383
2009-05-05,60,52.8,10.76,1.8971281,1.0556815
2009-05-06,60,52.8,10.76,2.6736348,0.38181907
2009-05-07,60,52.8,10.76,1.7414616,0.80025375
2009-05-08,60,52.8,10.76,0.7318253,1.2553363
2009-05-09,60,52.8,10.76,0.59898424,1.007637
2009-05-10,60,52.8,10.76,0.9070209,-0.54018384
2009-05-11,60,52.8,10.76,-0.9720143,-1.2012913
2009-05-12,60,52.8,10.76,-1.2861098,-0.8995819
2009-05-13,60,52.8,10.76,-1.7248422,-0.31426257
2009-05-14,60,52.8,10.76,-2.2200675,0.2566614
2009-05-15,60,52.8,10.76,-2.3369565,0.41508883
2009-05-16,60,52.8,10.76,1.1826427,0.4296473
2009-05-17,60,52.8,10.76,-0.8153699,1.1229211
2009-05-18,60,52.8,10.76,1.1336544,0.5259937
2009-05-19,60,52.8,10.76,0.27543342,0.398732
2009-05-20,60,52.8,10.76,0.53351426,0.13401109
2009-05-21,60,52.8,10.76,-0.07592027,0.19995718
2009-05-22,60,52.8,10.76,1.7690679,-0.27817133
2009-05-23,60,52.8,10.76,1.4771092,-0.09659181
2009-05-24,60,52.8,10.76,0.9172239,0.10692824
2009-05-25,60,52.8,10.76,-0.27361965,-0.31937757
2009-05-26,60,52.8,10.76,0.7473944,1.0884731
2009-05-27,60,52.8,10.76,2.9473948,0.2526457
2009-05-28,60,52.8,10.76,3.011898,-0.6252541
2009-05-29,60,52.8,10.76,0.2014578,-1.9660952
2009-05-30,60,52.8,10.76,-0.96550906,-1.6830024
2009-05-31,60,52.8,10.76,-1.4540191,-1.0981252
2009-06-01,60,52.8,10.76,-0.53287745,-1.4405944
2009-06-02,60,52.8,10.76,1.6959947,-1.1035632
2009-06-03,60,52.8,10.76,2.786951,-1.6318545
2009-06-04,60,52.8,10.76,2.849329,-0.7185946
2009-06-05,60,52.8,10.76,2.1893978,-0.42708004
2009-06-06,60,52.8,10.76,-1.4230328,-0.26271123
2009-06-07,60,52.8,10.76,-0.811612,-0.92617035
2009-06-08,60,52.8,10.76,1.0409902,0.8032011
2009-06-09,60,52.8,10.76,-0.513237,0.857397
2009-06-10,60,52.8,10.76,1.4407896,1.3314211
2009-06-11,60,52.8,10.76,0.8702483,0.24380457
2009-06-12,60,52.8,10.76,3.6270227,-0.37496564
2009-06-13,60,52.8,10.76,2.662706,-0.55208445
2009-06-14,60,52.8,10.76,1.3808177,0.31563076
2009-06-15,60,52.8,10.76,0.91769177,-0.41823646
2009-06-16,60,52.8,10.76,1.2735764,-0.81159985
2009-06-17,60,52.8,10.76,0.6426064,0.31035084
2009-06-18,60,52.8,10.76,1.2031326,0.4954479
2009-06-19,60,52.8,10.76,1.645162,0.012686737
2009-06-20,60,52.8,10.76,1.9193507,0.3307263
2009-06-21,60,52.8,10.76,0.77339715,-0.29191568
2009-06-22,60,52.8,10.76,-0.07903323,-1.4412313
2009-06-23,60,52.8,10.76,-0.6133212,-2.143662
2009-06-24,60,52.8,10.76,-0.9830818,-2.073567
2009-06-25,60,52.8,10.76,-1.3654151,-1.5074403
2009-06-26,60,52.8,10.76,-1.8105967,-0.73974055
2009-06-27,60,52.8,10.76,-1.7467369,-0.80769527
2009-06-28,60,52.8,10.76,-1.1451938,-0.59863615
2009-06-29,60,52.8,10.76,-0.5023092,-0.27226835
2009-06-30,60,52.8,10.76,-0.46705276,-0.54058284
2009-07-01,60,52.8,10.76,-0.35408098,-0.8589141
2009-07-02,60,52.8,10.76,-0.74835145,-0.84808075
2009-07-03,60,52.8,10.76,-0.95522535,-0.075902596
2009-07-04,60,52.8,10.76,1.6889731,-0.33443874
2009-07-05,60,52.8,10.76,1.519348,-0.80029285
2009-07-06,60,52.8,10.76,0.8788894,0.29268715
2009-07-07,60,52.8,10.76,1.4360809,1.2157316
2009-07-08,60,52.8,10.76,2.145163,0.92361003
2009-07-09,60,52.8,10.76,2.69273,0.5888023
2009-07-10,60,52.8,10.76,2.0916564,1.558056
2009-07-11,60,52.8,10.76,2.1012487,0.643901
2009-07-12,60,52.8,10.76,0.5250182,1.3789718
2009-07-13,60,52.8,10.76,1.1609149,0.78858453
2009-07-14,60,52.8,10.76,0.13195395,0.7240087
2009-07-15,60,52.8,10.76,0.44941413,0.754489
2009-07-16,60,52.8,10.76,1.050153,0.16814008
2009-07-17,60,52.8,10.76,-0.8856584,0.9604672
2009-07-18,60,52.8,10.76,1.927993,0.48927096
2009-07-19,60,52.8,10.76,1.7380768,0.9218062
2009-07-20,60,52.8,10.76,1.9145904,1.0893809
2009-07-21,60,52.8,10.76,0.8920491,0.90446097
2009-07-22,60,52.8,10.76,0.6094557,1.5156925
2009-07-23,60,52.8,10.76,0.8524658,1.1322497
2009-07-24,60,52.8,10.76,1.37036,0.88610816
2009-07-25,60,52.8,10.76,2.224928,0.38741603
2009-07-26,60,52.8,10.76,1.7757978,0.06582888
2009-07-27,60,52.8,10.76,0.21022718,1.6207831
2009-07-28,60,52.8,10.76,1.8878866,-0.10511494
2009-07-29,60,52.8,10.76,-0.4988209,1.1755097
2009-07-30,60,52.8,10.76,1.0603558,1.1620497
2009-07-31,60,52.8,10.76,1.3541218,0.32072338
2009-08-01,60,52.8,10.76,-1.0318207,0.71473163
2009-08-02,60,52.8,10.76,0.056407005,0.99970734
2009-08-03,60,52.8,10.76,1.4327992,-0.78818905
2009-08-04,60,52.8,10.76,0.7233454,-0.6922687
2009-08-05,60,52.8,10.76,-0.48920938,-0.27160728
2009-08-06,60,52.8,10.76,-1.2980816,-0.08701358
2009-08-07,60,52.8,10.76,-1.4783144,0.40717426
2009-08-08,60,52.8,10.76,-0.7570682,0.53146327
2009-08-09,60,52.8,10.76,-0.44662994,0.024215698
2009-08-10,60,52.8,10.76,0.28232443,0.070901096
2009-08-11,60,52.8,10.76,1.299288,-0.060771655
2009-08-12,60,52.8,10.76,2.079833,0.16734658
